iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,GrPX2,875,10,0,0,0.000967873,0.126405,0.00765694
10,GrPX2,944,8,0,0,0.000879542,0.139194,0.00631882
20,GrPX2,881,9,0,0,0.000875763,0.121349,0.00721691
30,GrPX2,1104,16,0,0,0.000884922,0.155188,0.00570225
40,GrPX2,613,9,0,0,0.000872633,0.0906825,0.00962295
50,GrPX2,652,8,0,0,0.000870722,0.0964463,0.00902805
60,GrPX2,819,8,0,0,0.000871372,0.109463,0.00796043
70,GrPX2,906,9,0,0,0.000866352,0.111985,0.00773633
80,GrPX2,651,9,0,0,0.000865713,0.119384,0.0072515
90,GrPX2,451,11,0,0,0.000879512,0.0912521,0.00963827
100,GrPX2,946,11,0,0,0.000869272,0.108988,0.00797587
110,GrPX2,812,11,0,0,0.000864222,0.124694,0.00693077
120,GrPX2,492,13,0,0,0.000868022,0.0979179,0.00886479
130,GrPX2,855,11,0,0,0.000952543,0.120246,0.00792163
140,GrPX2,602,8,0,0,0.000857213,0.11099,0.00772336
150,GrPX2,698,8,0,0,0.000854912,0.0891784,0.00958653
160,GrPX2,717,10,0,0,0.000860562,0.108618,0.0079228
170,GrPX2,749,8,0,0,0.000897163,0.0949252,0.00945127
180,GrPX2,803,11,0,0,0.000868682,0.109128,0.00796021
190,GrPX2,955,10,0,0,0.000855893,0.121214,0.007061
200,GrPX2,599,7,0,0,0.000867833,0.0877228,0.0098929
210,GrPX2,931,11,0,0,0.000864713,0.113744,0.00760224
220,GrPX2,697,8,0,0,0.000855843,0.0892416,0.00959018
230,GrPX2,713,9,0,0,0.000869162,0.0942128,0.00922552
240,GrPX2,773,9,0,0,0.000870502,0.0975085,0.00892744
250,GrPX2,404,9,0,0,0.000867923,0.0874798,0.00992142
260,GrPX2,846,7,0,0,0.000875992,0.0933112,0.00938786
270,GrPX2,703,8,0,0,0.000858202,0.0797662,0.010759
280,GrPX2,870,9,0,0,0.000866272,0.100929,0.00858294
290,GrPX2,485,8,0,0,0.000862132,0.0953236,0.00904427
300,GrPX2,660,7,0,0,0.000868103,0.0873435,0.00993896
310,GrPX2,740,7,0,0,0.000850612,0.0858822,0.0099044
320,GrPX2,353,9,0,0,0.000856732,0.0797931,0.0107369
330,GrPX2,862,8,0,0,0.000859662,0.105509,0.00814773
340,GrPX2,595,10,0,0,0.000865063,0.0915921,0.00944473
350,GrPX2,871,7,0,0,0.000881443,0.107699,0.00818435
360,GrPX2,755,7,0,0,0.000860012,0.0945866,0.00909232
370,GrPX2,610,7,0,0,0.000857863,0.081285,0.0105538
380,GrPX2,641,7,0,0,0.000857152,0.0781978,0.0109613
390,GrPX2,0,3,0,0,0.000820582,0.019572,0.0419264
400,GrPX2,329,8,0,0,0.000845372,0.0743451,0.0113709
410,GrPX2,1087,9,0,0,0.000881172,0.109525,0.00804541
420,GrPX2,778,11,0,0,0.000864922,0.137516,0.00628961
430,GrPX2,778,8,0,0,0.000865202,0.0849773,0.0101816
440,GrPX2,581,10,0,0,0.000862322,0.0792704,0.0108782
450,GrPX2,950,8,0,0,0.000878243,0.106763,0.00822607
460,GrPX2,956,8,0,0,0.000857712,0.101001,0.0084921
470,GrPX2,706,8,0,0,0.000869403,0.104356,0.00833111
480,GrPX2,688,6,0,0,0.000851022,0.0822793,0.0103431
490,GrPX2,937,10,0,0,0.000884152,0.124178,0.00712006
500,GrPX2,1148,11,0,0,0.000890262,0.148108,0.00601092
510,GrPX2,361,6,0,0,0.000858202,0.063038,0.0136141
520,GrPX2,831,8,0,0,0.000849483,0.101372,0.00837984
530,GrPX2,755,6,0,0,0.000872003,0.0897947,0.00971107
540,GrPX2,382,5,0,0,0.000878372,0.0626756,0.0140146
550,GrPX2,346,6,0,0,0.000850803,0.074156,0.0114732
560,GrPX2,743,7,0,0,0.000863452,0.0842833,0.0102446
570,GrPX2,291,6,0,0,0.000861562,0.0628111,0.0137167
580,GrPX2,694,8,0,0,0.000864792,0.0877227,0.00985825
590,GrPX2,766,7,0,0,0.000867802,0.092881,0.00934315
