iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,UOX,3258,11,0,0,0.00802592,0.158841,0.050528
10,UOX,2943,16,0,0,0.00774026,0.209032,0.037029
20,UOX,2951,14,0,0,0.00784429,0.191175,0.041032
30,UOX,3202,12,0,0,0.0077287,0.19679,0.0392739
40,UOX,3389,14,0,0,0.00788471,0.222528,0.0354324
50,UOX,3079,13,0,0,0.0076604,0.193999,0.0394867
60,UOX,1,3,0,0,0.00041406,0.0230453,0.0179672
70,UOX,2769,12,0,0,0.00779059,0.175515,0.0443871
80,UOX,3276,13,0,0,0.00786336,0.215119,0.0365536
90,UOX,3153,14,0,0,0.00778699,0.198919,0.0391466
100,UOX,2806,9,0,0,0.00787724,0.15584,0.050547
110,UOX,3226,15,0,0,0.00767306,0.219773,0.0349136
120,UOX,2985,14,0,0,0.00785046,0.201929,0.0388774
130,UOX,2920,13,0,0,0.00778978,0.189795,0.0410432
140,UOX,3154,12,0,0,0.00770665,0.180977,0.0425836
150,UOX,3082,12,0,0,0.00791188,0.192037,0.0411998
160,UOX,2785,11,0,0,0.00789473,0.177543,0.0444665
170,UOX,3168,12,0,0,0.00775781,0.21269,0.0364747
180,UOX,2964,13,0,0,0.00786076,0.192489,0.0408375
190,UOX,3205,18,0,0,0.00756496,0.196933,0.0384138
200,UOX,3017,10,0,0,0.00787291,0.191707,0.0410675
210,UOX,3134,15,38,5,0.00767628,0.255648,0.0300268
220,UOX,3054,9,0,0,0.0076746,0.165512,0.0463687
230,UOX,3278,13,0,0,0.00762235,0.236071,0.0322883
240,UOX,2848,14,0,0,0.00775839,0.192325,0.0403399
250,UOX,2768,9,21,4,0.00765409,0.198616,0.0385371
260,UOX,3153,31,0,0,0.00771207,0.269378,0.0286292
270,UOX,3112,11,0,0,0.00757878,0.173992,0.0435582
280,UOX,3031,14,0,0,0.00763872,0.215626,0.0354257
290,UOX,3060,12,0,0,0.00766453,0.188519,0.0406565
300,UOX,3168,14,0,0,0.00778842,0.241097,0.0323041
310,UOX,2835,13,4,3,0.00758759,0.202294,0.0375077
320,UOX,2930,12,0,3,0.00764707,0.207201,0.0369066
330,UOX,3108,15,0,0,0.00757278,0.227027,0.0333562
340,UOX,3055,16,0,0,0.00758829,0.205492,0.0369275
350,UOX,3159,18,0,0,0.00764617,0.239027,0.0319887
360,UOX,3071,10,21,3,0.00752347,0.195922,0.0384004
370,UOX,3177,18,0,0,0.00751561,0.205298,0.0366084
380,UOX,3046,10,0,3,0.00764741,0.190736,0.0400942
390,UOX,2862,14,0,0,0.00776945,0.191243,0.040626
400,UOX,2828,11,0,0,0.00757437,0.162731,0.0465453
410,UOX,3209,10,0,0,0.00748545,0.163016,0.0459184
420,UOX,3096,12,0,0,0.00733168,0.19205,0.0381759
430,UOX,3017,13,0,0,0.00745901,0.193894,0.0384696
440,UOX,2990,15,0,0,0.00763331,0.21297,0.0358421
450,UOX,3285,13,8,3,0.00760907,0.223046,0.0341143
460,UOX,3151,11,0,0,0.00760864,0.178625,0.0425956
470,UOX,2862,14,0,0,0.00775169,0.192478,0.0402731
480,UOX,2820,13,0,0,0.00752528,0.170837,0.0440494
490,UOX,2972,16,0,0,0.00756764,0.179415,0.0421795
500,UOX,2923,13,0,0,0.0074753,0.192277,0.0388778
510,UOX,3164,12,77,5,0.00743984,0.213979,0.034769
520,UOX,3186,11,0,0,0.00745498,0.187533,0.0397529
530,UOX,3156,13,0,0,0.00760908,0.17996,0.0422822
540,UOX,2899,11,0,0,0.00745739,0.166631,0.0447541
550,UOX,2992,11,0,0,0.00742364,0.186215,0.039866
560,UOX,3115,16,0,0,0.00745409,0.219572,0.0339483
570,UOX,3133,13,0,0,0.00744697,0.191975,0.0387914
580,UOX,3263,14,0,0,0.00756426,0.186464,0.0405669
590,UOX,3094,13,11,3,0.00039868,0.209093,0.00190671
600,UOX,3101,11,1,3,0.00746632,0.218087,0.0342354
610,UOX,3183,18,0,0,0.00043444,0.223277,0.00194575
620,UOX,2857,12,3,3,0.00737096,0.210486,0.0350187
630,UOX,3242,14,0,0,0.00731976,0.207607,0.0352578
640,UOX,3079,21,105,5,0.0004077,0.306018,0.00133227
650,UOX,3068,13,0,0,0.0004126,0.189388,0.00217859
660,UOX,2806,13,0,0,0.00745313,0.173749,0.0428961
670,UOX,2812,10,0,0,0.00042933,0.163997,0.00261792
680,UOX,2992,9,43,4,0.00739932,0.192532,0.0384317
690,UOX,3078,11,0,0,0.00738491,0.167381,0.0441203
700,UOX,3446,15,0,0,0.00741159,0.188301,0.0393603
710,UOX,2909,14,0,0,0.00723344,0.206635,0.0350058
720,UOX,2786,9,0,0,0.0004083,0.164769,0.00247802
730,UOX,3073,14,0,0,0.00041802,0.210143,0.00198922
740,UOX,3065,11,0,0,0.000399751,0.174326,0.00229312
750,UOX,3027,12,3,3,0.00040463,0.262489,0.00154151
760,UOX,3084,14,319,7,0.00041193,0.226783,0.00181641
770,UOX,3240,15,0,0,0.00039113,0.274833,0.00142316
780,UOX,3267,15,6,4,0.00042236,0.218386,0.00193401
790,UOX,2929,17,0,0,0.00040099,0.194644,0.00206011
800,UOX,3213,17,0,0,0.00734652,0.222581,0.033006
810,UOX,2717,16,0,0,0.000408892,0.2005,0.00203936
820,UOX,0,3,233,8,0.000377112,0.114261,0.00330043
830,UOX,2907,12,1,3,0.000414972,0.173794,0.00238772
