iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,GOX,430,12,0,0,0.00713241,0.137473,0.0518825
10,GOX,473,14,0,0,0.00687329,0.21424,0.0320822
20,GOX,595,7,0,0,0.00648431,0.133137,0.0487041
30,GOX,316,8,0,0,0.00650298,0.113995,0.0570462
40,GOX,410,9,0,0,0.00656619,0.177195,0.0370564
50,GOX,238,9,0,0,0.00733436,0.0938697,0.0781334
60,GOX,565,10,0,0,0.00637591,0.137971,0.046212
70,GOX,697,10,0,0,0.00647589,0.20143,0.0321496
80,GOX,502,7,0,0,0.00655004,0.119045,0.0550214
90,GOX,467,7,0,0,0.00582577,0.129423,0.0450135
100,GOX,731,8,0,0,0.00630789,0.168765,0.0373768
110,GOX,453,11,0,0,0.00602979,0.140671,0.0428645
120,GOX,708,8,0,0,0.00698906,0.226374,0.030874
130,GOX,462,8,0,0,0.00622098,0.130894,0.0475267
140,GOX,395,7,0,0,0.00648762,0.143941,0.0450715
150,GOX,948,9,0,0,0.00653502,0.264929,0.0246671
160,GOX,277,7,0,0,0.0061772,0.0907088,0.0680992
170,GOX,579,7,0,0,0.00628829,0.139105,0.0452052
180,GOX,443,11,0,0,0.00747857,0.101821,0.0734483
190,GOX,427,9,18,5,0.00650535,0.205553,0.031648
200,GOX,543,12,0,0,0.00648384,0.170172,0.0381016
210,GOX,407,7,0,0,0.00684988,0.135688,0.0504826
220,GOX,423,6,0,0,0.00696131,0.110232,0.0631516
230,GOX,687,12,0,0,0.00577976,0.0984036,0.0587352
240,GOX,434,8,0,0,0.00576172,0.0564787,0.102016
250,GOX,308,6,0,0,0.0060208,0.0520151,0.115751
260,GOX,503,9,12,5,0.00620167,0.0881204,0.0703772
270,GOX,333,10,0,0,0.00609843,0.068019,0.0896578
280,GOX,289,7,0,0,0.00585483,0.0516383,0.113381
290,GOX,423,7,0,0,0.00594195,0.0571776,0.103921
300,GOX,435,7,0,0,0.00573057,0.0658972,0.0869623
310,GOX,452,8,0,0,0.00604715,0.0536618,0.11269
320,GOX,549,14,0,0,0.0057239,0.0907533,0.0630711
330,GOX,275,7,4,3,0.0061468,0.0666989,0.0921574
340,GOX,258,7,0,0,0.00608142,0.0411955,0.147623
350,GOX,486,12,0,0,0.00612072,0.0833379,0.0734445
360,GOX,245,6,0,0,0.00632848,0.0319822,0.197875
370,GOX,464,9,3,3,0.00602912,0.0942546,0.0639663
380,GOX,363,9,7,4,0.0060216,0.0753985,0.0798637
390,GOX,184,7,6,3,0.00621349,0.0569134,0.109174
400,GOX,445,11,0,0,0.00567971,0.0841169,0.0675216
410,GOX,243,7,0,0,0.00566886,0.0352969,0.160605
420,GOX,335,8,4,3,0.00574909,0.0743496,0.077325
430,GOX,152,7,8,3,0.00618013,0.0480419,0.12864
440,GOX,344,7,0,0,0.00621121,0.0609018,0.101987
450,GOX,507,8,2,3,0.00621619,0.102118,0.0608723
460,GOX,341,7,0,0,0.00607077,0.0622089,0.0975868
470,GOX,451,10,0,0,0.00623055,0.0945871,0.065871
480,GOX,341,11,2,3,0.00632532,0.106189,0.0595669
490,GOX,535,15,0,0,0.00602178,0.109946,0.0547703
500,GOX,504,11,0,0,0.00629648,0.112603,0.0559176
510,GOX,359,9,0,0,0.00625084,0.083672,0.0747064
520,GOX,352,9,0,0,0.00615918,0.0546509,0.1127
530,GOX,273,7,0,0,0.00604601,0.0628819,0.0961486
540,GOX,389,7,0,0,0.00605603,0.088859,0.0681532
550,GOX,504,7,0,0,0.00630365,0.0827718,0.076157
560,GOX,330,8,0,0,0.00629959,0.102987,0.0611689
570,GOX,367,7,0,0,0.00621542,0.0793125,0.0783662
580,GOX,542,12,1,3,0.0061788,0.167238,0.0369461
