iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,GrPX,1254,8,0,0,0.00745926,0.0667467,0.111755
10,GrPX,1225,5,0,0,0.00722504,0.049782,0.145133
20,GrPX,1135,5,0,0,0.007327,0.0501176,0.146196
30,GrPX,980,6,0,0,0.00729554,0.0538728,0.135422
40,GrPX,983,6,0,0,0.00733932,0.0512789,0.143126
50,GrPX,991,5,0,0,0.00729922,0.04964,0.147043
60,GrPX,1034,7,98,10,0.00740286,0.0934807,0.0791914
70,GrPX,1139,6,0,0,0.00736168,0.0537688,0.136914
80,GrPX,992,6,114,5,0.00738574,0.0774904,0.0953116
90,GrPX,791,6,354,8,0.00732032,0.104745,0.069887
100,GrPX,873,6,215,6,0.007384,0.0979422,0.0753915
110,GrPX,975,6,0,0,0.00730067,0.0482348,0.151357
120,GrPX,1030,6,0,0,0.00729815,0.0546769,0.133478
130,GrPX,1002,7,240,8,0.00740171,0.10152,0.0729089
140,GrPX,0,3,0,0,0.00748099,0.0214208,0.349239
150,GrPX,1103,6,0,0,0.00732327,0.0570713,0.128318
160,GrPX,1235,5,52,6,0.00731358,0.080115,0.0912885
170,GrPX,1223,8,32,5,0.00735351,0.0858829,0.0856226
180,GrPX,1029,5,0,0,0.00730091,0.0520453,0.14028
190,GrPX,1082,8,0,0,0.00734298,0.0613801,0.119631
200,GrPX,992,6,101,5,0.00749892,0.092529,0.081044
210,GrPX,956,5,42,4,0.00729642,0.0702517,0.103861
220,GrPX,1042,7,0,0,0.00734168,0.0533542,0.137603
230,GrPX,1104,8,0,0,0.00740691,0.0593303,0.124842
240,GrPX,976,6,0,0,0.00731769,0.0556971,0.131384
250,GrPX,1259,7,0,0,0.00730083,0.0562136,0.129876
260,GrPX,987,6,14,3,0.00725088,0.0720148,0.100686
270,GrPX,1022,7,208,6,0.00729133,0.0937934,0.0777381
280,GrPX,1059,6,0,0,0.00722628,0.0514482,0.140458
290,GrPX,1026,6,0,0,0.0073292,0.0550122,0.133229
300,GrPX,1004,6,0,0,0.0073554,0.0535962,0.137237
310,GrPX,1350,8,0,0,0.00738976,0.0633852,0.116585
320,GrPX,1127,5,0,0,0.00728914,0.0554852,0.131371
330,GrPX,1033,7,0,0,0.00732406,0.0569196,0.128674
340,GrPX,973,5,16,3,0.007472,0.0718808,0.10395
350,GrPX,1124,6,0,0,0.00738831,0.0580023,0.12738
360,GrPX,1203,6,0,0,0.00735861,0.0569663,0.129175
370,GrPX,1075,7,132,9,0.00737962,0.096901,0.0761563
380,GrPX,1000,6,45,4,0.00730396,0.079878,0.0914389
390,GrPX,1045,7,0,0,0.0073707,0.0526746,0.139929
400,GrPX,1152,7,81,6,0.00742569,0.0961574,0.0772243
410,GrPX,1125,7,92,5,0.00729847,0.0888437,0.0821496
420,GrPX,1153,7,0,0,0.00730597,0.0593334,0.123134
430,GrPX,962,5,0,0,0.00730122,0.0496169,0.147152
440,GrPX,974,7,66,5,0.00732893,0.0870282,0.0842133
450,GrPX,988,6,47,4,0.00729636,0.0831056,0.0877963
460,GrPX,0,3,0,0,0.007471,0.0214766,0.347867
470,GrPX,1168,7,31,5,0.00729702,0.0888439,0.082133
480,GrPX,919,10,177,6,0.00731364,0.101138,0.0723134
490,GrPX,904,6,0,0,0.00735029,0.0491201,0.149639
500,GrPX,1068,8,147,6,0.00732391,0.0986487,0.0742423
510,GrPX,1216,6,167,8,0.00743012,0.0956726,0.0776619
520,GrPX,1141,7,0,0,0.00733243,0.0584737,0.125397
530,GrPX,0,3,113,5,0.00746937,0.0517733,0.144271
540,GrPX,1025,7,0,0,0.00738595,0.0566477,0.130384
550,GrPX,1034,8,0,0,0.0073641,0.0628851,0.117104
560,GrPX,851,6,20,3,0.00732705,0.0740251,0.0989805
570,GrPX,898,6,0,0,0.00729773,0.0499815,0.146009
580,GrPX,1482,7,0,0,0.00735115,0.0620887,0.118398
590,GrPX,964,5,0,0,0.00736497,0.0517787,0.142239
600,GrPX,880,5,289,6,0.00729107,0.0937938,0.077735
610,GrPX,1052,7,246,7,0.00739334,0.103532,0.0714112
620,GrPX,1100,6,0,0,0.00752788,0.0587844,0.128059
630,GrPX,1019,5,0,0,0.00729523,0.0513066,0.142189
640,GrPX,947,5,120,6,0.00734874,0.0856603,0.0857893
650,GrPX,1046,6,30,5,0.00734292,0.0838797,0.0875411
660,GrPX,1132,8,0,0,0.00732674,0.0582997,0.125674
670,GrPX,1087,6,0,0,0.00733406,0.0558009,0.131433
680,GrPX,967,5,0,0,0.00731348,0.0502797,0.145456
690,GrPX,1194,7,0,0,0.00759243,0.0607241,0.125031
700,GrPX,1069,7,25,5,0.00728665,0.0845743,0.0861567
710,GrPX,967,6,0,0,0.00736321,0.0495527,0.148593
720,GrPX,1113,8,322,6,0.00739286,0.101182,0.0730647
730,GrPX,971,6,0,0,0.00727693,0.0546389,0.133182
740,GrPX,1118,7,183,7,0.00739329,0.0999658,0.0739581
750,GrPX,1099,5,0,0,0.0073631,0.0525861,0.14002
760,GrPX,953,6,10,4,0.00732309,0.074113,0.0988098
770,GrPX,1225,6,3,3,0.0073616,0.0799535,0.0920735
780,GrPX,997,5,0,0,0.00731232,0.0494683,0.147818
790,GrPX,1019,6,158,7,0.00726991,0.0918446,0.0791544
800,GrPX,994,7,0,0,0.00753957,0.057459,0.131217
810,GrPX,1047,5,8,3,0.00734889,0.0697509,0.105359
820,GrPX,1004,8,41,4,0.00755035,0.0855933,0.0882119
830,GrPX,988,6,0,0,0.00726528,0.0512642,0.141723
840,GrPX,1004,6,38,6,0.00736103,0.0768653,0.0957653
850,GrPX,1072,5,0,0,0.00745404,0.052695,0.141456
860,GrPX,1164,9,0,0,0.0073334,0.0624927,0.117348
870,GrPX,1102,5,0,0,0.00743219,0.0522565,0.142225
880,GrPX,1013,6,0,0,0.00734475,0.0528174,0.139059
890,GrPX,953,6,0,0,0.0073635,0.0537568,0.136978
900,GrPX,837,4,0,0,0.00744339,0.0468655,0.158824
910,GrPX,1202,5,0,0,0.00730743,0.0504859,0.144742
920,GrPX,1432,6,0,0,0.00737015,0.0594016,0.124073
930,GrPX,1091,5,0,0,0.00734098,0.0501658,0.146334
940,GrPX,1049,5,0,0,0.00735759,0.054968,0.133852
950,GrPX,834,5,25,5,0.00737486,0.0781012,0.0944269
960,GrPX,1226,6,202,7,0.00728143,0.09265,0.0785906
970,GrPX,1022,6,0,0,0.00729256,0.0531009,0.137334
980,GrPX,1154,9,0,0,0.00726857,0.0624335,0.116421
990,GrPX,1090,7,0,0,0.00737393,0.0580699,0.126984
1000,GrPX,1251,7,0,0,0.00732778,0.0650262,0.11269
1010,GrPX,1211,7,261,9,0.00740059,0.103677,0.0713813
1020,GrPX,995,7,0,0,0.00732734,0.0596721,0.122793
1030,GrPX,1033,7,0,0,0.00731934,0.0591822,0.123675
1040,GrPX,1068,8,67,4,0.00733787,0.0863069,0.0850207
1050,GrPX,1000,5,470,9,0.00729899,0.120009,0.0608202
1060,GrPX,1250,6,0,0,0.00724995,0.0560587,0.129328
1070,GrPX,949,6,61,4,0.00740123,0.0764399,0.0968242
1080,GrPX,976,6,0,0,0.00726127,0.0522653,0.138931
1090,GrPX,996,5,0,0,0.00732822,0.0523749,0.139919
1100,GrPX,1133,8,98,5,0.00732783,0.0957694,0.0765153
1110,GrPX,1058,7,310,7,0.00734317,0.10098,0.0727193
1120,GrPX,1006,5,0,0,0.00729097,0.0514487,0.141713
1130,GrPX,1044,6,81,6,0.00728765,0.0829675,0.0878374
1140,GrPX,1232,6,0,0,0.00732923,0.0580296,0.126302
1150,GrPX,1140,8,6,3,0.0073824,0.086432,0.0854128
1160,GrPX,996,6,0,0,0.0073413,0.0519943,0.141194
1170,GrPX,846,7,0,0,0.00728421,0.05526,0.131817
1180,GrPX,1030,8,165,7,0.00735003,0.100513,0.0731252
1190,GrPX,883,7,335,7,0.00728752,0.103937,0.0701145
1200,GrPX,993,5,145,6,0.00737021,0.0958532,0.0768906
1210,GrPX,849,8,0,0,0.00734285,0.0547688,0.13407
1220,GrPX,972,7,0,0,0.00733822,0.0524675,0.139862
1230,GrPX,1022,7,0,0,0.00730555,0.0550392,0.132734
1240,GrPX,964,7,25,5,0.00729024,0.0833609,0.087454
1250,GrPX,1081,6,0,0,0.00728426,0.0518529,0.140479
1260,GrPX,1136,7,11,4,0.00743776,0.0757679,0.098165
1270,GrPX,1014,6,0,0,0.00729862,0.0489053,0.14924
1280,GrPX,1005,7,0,0,0.007378,0.0573399,0.128671
1290,GrPX,856,5,14,4,0.00736585,0.0703938,0.104638
1300,GrPX,974,6,0,0,0.00737207,0.0559647,0.131727
1310,GrPX,1185,9,0,0,0.0073328,0.0585191,0.125306
1320,GrPX,1068,6,0,0,0.00732421,0.0518813,0.141172
1330,GrPX,1069,5,79,4,0.00731604,0.077557,0.0943311
1340,GrPX,1200,7,0,0,0.00732576,0.0596562,0.1228
1350,GrPX,1152,7,0,0,0.00736104,0.0575589,0.127887
1360,GrPX,1141,6,0,0,0.00733817,0.0508538,0.1443
1370,GrPX,1068,5,0,0,0.00733923,0.0499219,0.147014
1380,GrPX,1001,5,0,0,0.00736119,0.0506539,0.145323
1390,GrPX,1028,5,62,6,0.0072673,0.081894,0.0887404
1400,GrPX,720,5,0,0,0.0073523,0.0496873,0.147972
1410,GrPX,886,7,0,0,0.0073411,0.0512684,0.14319
1420,GrPX,914,8,0,0,0.00733383,0.0550314,0.133266
1430,GrPX,864,6,47,4,0.00734639,0.0722395,0.101695
1440,GrPX,959,5,0,0,0.00730266,0.0527475,0.138446
1450,GrPX,905,7,0,0,0.00735886,0.0594976,0.123683
