iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,OX,512,7,39,6,0.0246244,0.0825104,0.298439
10,OX,221,5,0,0,0.0244233,0.0396905,0.615344
20,OX,426,9,0,0,0.0243203,0.0557482,0.436253
30,OX,262,5,0,0,0.0242494,0.0363823,0.666516
40,OX,396,7,0,0,0.0240785,0.05721,0.42088
50,OX,415,6,369,8,0.0238033,0.100422,0.237033
60,OX,302,5,0,0,0.0237944,0.0446863,0.532477
70,OX,212,7,133,7,0.0237979,0.0776421,0.306508
80,OX,341,7,0,0,0.024449,0.0496802,0.492128
90,OX,233,5,203,7,0.0235743,0.0812466,0.290158
100,OX,357,7,579,7,0.0240164,0.10648,0.225548
110,OX,321,5,424,8,0.0240447,0.0993403,0.242043
120,OX,345,7,0,0,0.0246324,0.0498456,0.494174
130,OX,248,6,256,6,0.0243623,0.0830413,0.293375
140,OX,471,8,0,0,0.0237941,0.054395,0.437433
150,OX,329,6,3,3,0.0236443,0.06632,0.356519
160,OX,457,9,0,0,0.0241581,0.0565089,0.427509
170,OX,300,6,0,0,0.0245401,0.0426092,0.575935
180,OX,87,4,0,3,0.0003871,0.0527472,0.00733878
190,OX,396,7,0,0,0.023831,0.0475925,0.500731
200,OX,196,4,66,6,0.024039,0.0708119,0.339478
210,OX,310,6,0,0,0.0240757,0.0412752,0.583296
220,OX,213,5,0,0,0.0244404,0.0341611,0.715446
230,OX,142,6,113,7,0.0239792,0.0822131,0.291671
240,OX,359,7,0,0,0.023665,0.0484966,0.487972
250,OX,292,5,222,7,0.0235643,0.0875373,0.269191
260,OX,283,6,0,0,0.0240567,0.0452527,0.531609
270,OX,143,4,0,0,0.000397299,0.0324639,0.0122382
280,OX,313,7,113,8,0.0246161,0.0854312,0.288139
290,OX,0,3,0,0,0.00039142,0.0227673,0.0171922
300,OX,201,6,0,0,0.0236099,0.0348034,0.678378
310,OX,0,3,0,0,0.00037355,0.0224944,0.0166064
320,OX,349,5,0,0,0.0247534,0.0400101,0.618679
330,OX,334,5,0,0,0.0246942,0.0400939,0.61591
340,OX,296,6,0,0,0.0243379,0.0383668,0.63435
350,OX,270,5,0,0,0.0236542,0.0384771,0.614761
360,OX,107,4,0,0,0.0237548,0.0296727,0.800559
370,OX,426,6,0,0,0.0238119,0.0574062,0.414797
380,OX,385,7,0,0,0.0240271,0.0538155,0.446472
390,OX,244,6,0,0,0.0236864,0.0442587,0.535181
400,OX,245,4,0,0,0.0239631,0.0368167,0.650876
410,OX,342,6,0,0,0.026207,0.0450224,0.582089
420,OX,335,6,13,3,0.0238752,0.0706587,0.337895
430,OX,201,5,47,8,0.023432,0.071656,0.327007
440,OX,342,6,513,8,0.0237976,0.109952,0.216436
450,OX,135,6,0,0,0.0234558,0.0340337,0.689195
460,OX,224,4,0,0,0.023743,0.0332249,0.714614
470,OX,285,5,600,8,0.0237407,0.105788,0.224417
480,OX,336,9,0,0,0.023775,0.0510803,0.465444
490,OX,133,5,0,0,0.0234429,0.034652,0.676523
500,OX,269,7,0,0,0.02329,0.0435342,0.534982
510,OX,489,9,407,8,0.023648,0.127224,0.185877
520,OX,321,6,363,8,0.0239876,0.102004,0.235163
