iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,AOX,233,6,0,0,0.000517103,0.0519777,0.00994856
10,AOX,91,5,0,0,0.0103792,0.0279879,0.370846
20,AOX,246,6,0,0,0.0102617,0.0460355,0.222909
30,AOX,376,8,0,0,0.0105125,0.0503014,0.208991
40,AOX,283,6,0,0,0.0102446,0.0345215,0.296762
50,AOX,188,4,56,4,0.010248,0.0774664,0.13229
60,AOX,135,5,0,0,0.0102074,0.0331746,0.307686
70,AOX,293,6,12,4,0.010374,0.079186,0.131008
80,AOX,101,4,0,0,0.000351631,0.0268713,0.0130857
90,AOX,91,5,312,8,0.0103544,0.0893515,0.115884
100,AOX,374,8,102,6,0.0102891,0.102307,0.100571
110,AOX,126,6,295,8,0.0102738,0.106841,0.0961598
120,AOX,302,10,0,0,0.0103033,0.0626818,0.164376
130,AOX,227,7,0,0,0.0102307,0.0397981,0.257065
140,AOX,88,5,0,0,0.0102586,0.0329545,0.311297
150,AOX,380,7,148,8,0.0102751,0.12075,0.0850935
160,AOX,128,5,0,0,0.0105195,0.0378148,0.278184
170,AOX,391,7,18,3,0.0103676,0.0794823,0.130439
180,AOX,317,7,18,4,0.0102324,0.0655793,0.156031
190,AOX,506,8,0,0,0.0103125,0.0625047,0.164987
200,AOX,100,4,0,0,0.0102522,0.0262193,0.391016
210,AOX,189,5,184,8,0.0102991,0.100652,0.102324
220,AOX,130,5,0,0,0.010315,0.0439652,0.234617
230,AOX,388,9,0,0,0.0106248,0.0962389,0.110401
240,AOX,268,7,0,0,0.0104704,0.0629791,0.166252
250,AOX,553,8,0,0,0.0104073,0.0956084,0.108853
260,AOX,232,6,0,0,0.0125921,0.0701531,0.179494
270,AOX,325,6,97,7,0.0106286,0.116859,0.0909526
280,AOX,337,7,63,7,0.0104525,0.11811,0.088498
290,AOX,141,6,0,0,0.000365022,0.0533234,0.00684543
300,AOX,267,7,0,0,0.0107854,0.0989539,0.108994
310,AOX,359,6,328,7,0.0104619,0.158352,0.0660674
320,AOX,340,7,0,0,0.0105415,0.0668898,0.157595
330,AOX,438,8,33,7,0.0103807,0.124303,0.083512
340,AOX,259,6,0,0,0.0105527,0.0724412,0.145672
350,AOX,198,7,0,0,0.0105312,0.0558811,0.188457
360,AOX,330,8,0,0,0.0104282,0.0753122,0.138466
370,AOX,287,6,243,7,0.010387,0.115086,0.0902542
380,AOX,239,9,163,7,0.0104026,0.116253,0.0894826
390,AOX,454,10,162,9,0.0104564,0.163226,0.0640611
400,AOX,152,5,140,7,0.0105303,0.110247,0.0955154
410,AOX,334,7,0,0,0.0103958,0.0673129,0.154439
420,AOX,340,8,0,0,0.0103367,0.0542404,0.190573
430,AOX,237,6,0,0,0.0103509,0.063797,0.162248
440,AOX,364,6,0,0,0.0103415,0.0712028,0.145241
450,AOX,58,7,0,0,0.0101996,0.0367205,0.277764
460,AOX,176,7,45,6,0.0104178,0.09106,0.114406
470,AOX,254,6,0,0,0.0103736,0.0529579,0.195884
480,AOX,447,7,121,6,0.0105091,0.147937,0.0710381
490,AOX,239,6,0,0,0.010271,0.0568387,0.180704
500,AOX,128,4,0,0,0.0103179,0.0343554,0.300328
510,AOX,340,7,0,0,0.0107576,0.0790871,0.136023
520,AOX,190,5,66,5,0.0104713,0.14073,0.0744072
530,AOX,298,7,0,0,0.0105564,0.0998246,0.105749
540,AOX,210,6,0,0,0.0102456,0.0825824,0.124066
550,AOX,210,4,0,0,0.0105612,0.0728058,0.14506
560,AOX,241,5,98,5,0.0105502,0.136122,0.0775057
570,AOX,196,7,118,5,0.0107614,0.126836,0.0848449
580,AOX,205,8,15,4,0.0104973,0.120928,0.0868067
590,AOX,213,5,0,0,0.0106377,0.0799139,0.133114
600,AOX,364,6,0,0,0.010502,0.099647,0.105392
610,AOX,320,6,174,9,0.0106679,0.168581,0.0632801
620,AOX,262,5,0,0,0.0105787,0.0594679,0.177889
630,AOX,213,5,0,0,0.0105501,0.0775579,0.136029
640,AOX,70,5,0,0,0.010479,0.0480264,0.218191
650,AOX,404,8,0,0,0.0104476,0.112058,0.0932337
660,AOX,377,6,0,0,0.0103966,0.0632403,0.164398
670,AOX,481,6,0,0,0.0104458,0.0630191,0.165756
680,AOX,202,7,0,0,0.0102985,0.0512827,0.200818
690,AOX,174,4,0,0,0.0104242,0.0499085,0.208866
700,AOX,300,5,0,0,0.0102584,0.0538528,0.19049
710,AOX,193,9,0,0,0.0103341,0.0702983,0.147003
720,AOX,336,7,0,0,0.0102134,0.0857063,0.119167
730,AOX,242,6,24,4,0.0104465,0.103519,0.100913
740,AOX,288,8,0,0,0.0103843,0.0900435,0.115326
750,AOX,210,5,0,0,0.010231,0.0482067,0.212232
760,AOX,320,6,0,0,0.0102142,0.0702002,0.145501
770,AOX,106,4,0,0,0.0102,0.0349894,0.291518
780,AOX,334,10,0,0,0.0101505,0.0734052,0.138281
790,AOX,271,9,101,7,0.0102098,0.0858906,0.11887
800,AOX,248,7,110,6,0.0101466,0.113438,0.0894457
810,AOX,82,5,0,0,0.000335322,0.0386232,0.00868189
820,AOX,223,7,124,5,0.0101755,0.0943191,0.107884
830,AOX,243,5,158,8,0.0102475,0.097277,0.105343
840,AOX,180,7,0,0,0.0106834,0.0433505,0.246443
850,AOX,167,6,0,0,0.0101804,0.0397872,0.255871
860,AOX,238,7,0,0,0.010085,0.0498284,0.202395
870,AOX,283,7,130,10,0.010285,0.100642,0.102194
880,AOX,223,7,0,0,0.0101841,0.0499811,0.203758
890,AOX,323,6,0,0,0.010284,0.0492584,0.208777
900,AOX,337,6,255,7,0.0101799,0.125331,0.0812245
910,AOX,200,9,130,6,0.0102359,0.0865052,0.118327
920,AOX,1,3,0,0,0.000338091,0.0220225,0.0153521
930,AOX,146,5,133,6,0.0101824,0.0855509,0.119021
940,AOX,326,9,0,0,0.0102234,0.0537952,0.190044
950,AOX,224,5,0,0,0.0103018,0.0415815,0.24775
960,AOX,130,5,144,5,0.0100153,0.0765827,0.130777
970,AOX,428,7,107,8,0.0102784,0.105586,0.0973462
980,AOX,136,6,115,5,0.000361032,0.0751521,0.00480401
990,AOX,178,5,0,0,0.0100872,0.0366815,0.274995
1000,AOX,339,10,0,0,0.0105211,0.0684335,0.153742
1010,AOX,218,9,0,0,0.000359172,0.0607926,0.00590816
1020,AOX,191,8,0,0,0.0102606,0.0445797,0.230164
1030,AOX,328,9,77,6,0.0101697,0.0844331,0.120447
1040,AOX,156,5,348,11,0.0104802,0.0963563,0.108765
1050,AOX,225,8,142,9,0.0102828,0.10666,0.0964075
1060,AOX,168,6,0,0,0.0100063,0.0431541,0.231874
1070,AOX,86,4,0,0,0.0102596,0.0279515,0.367051
1080,AOX,394,9,0,0,0.010158,0.0556812,0.182431
1090,AOX,82,5,135,7,0.0101581,0.0749534,0.135525
1100,AOX,192,6,404,9,0.0100896,0.118764,0.0849547
1110,AOX,120,9,0,0,0.000347132,0.040538,0.00856313
1120,AOX,267,6,0,0,0.0101235,0.0518916,0.195089
1130,AOX,322,7,203,7,0.0101262,0.111947,0.0904553
1140,AOX,389,10,236,7,0.0101733,0.141871,0.0717077
1150,AOX,349,7,130,7,0.010087,0.104851,0.0962037
1160,AOX,106,6,66,5,0.0100629,0.0731243,0.137614
1170,AOX,68,4,0,0,0.0099953,0.0260878,0.383141
1180,AOX,78,6,28,4,0.000349882,0.0619325,0.00564941
1190,AOX,266,5,377,7,0.0101835,0.110683,0.0920058
1200,AOX,224,6,147,6,0.0103223,0.0912344,0.113141
1210,AOX,209,7,0,0,0.0101808,0.0507303,0.200685
1220,AOX,139,6,26,4,0.0101436,0.063697,0.159247
1230,AOX,152,7,0,0,0.0102303,0.0434998,0.235181
1240,AOX,263,7,430,7,0.0101698,0.0967649,0.105098
1250,AOX,230,5,148,7,0.010106,0.0956598,0.105645
1260,AOX,189,5,0,0,0.0101673,0.0392885,0.258785
1270,AOX,130,6,0,0,0.0101073,0.0324208,0.311755
1280,AOX,311,8,0,0,0.00998785,0.0505082,0.197747
1290,AOX,238,5,228,7,0.0101953,0.0871142,0.117034
