iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,EAX,3571,11,0,0,0.00514927,0.166352,0.0309541
10,EAX,3594,8,0,0,0.00434045,0.117268,0.0370131
20,EAX,4053,7,0,0,0.00489441,0.15318,0.0319519
30,EAX,3545,8,0,0,0.00603585,0.165563,0.0364566
40,EAX,3792,8,0,0,0.00612282,0.133615,0.0458243
50,EAX,3824,8,0,0,0.00445348,0.154616,0.0288034
60,EAX,3636,7,0,0,0.00483649,0.151333,0.0319593
70,EAX,3832,8,0,0,0.0044365,0.142508,0.0311316
80,EAX,3516,10,0,0,0.00548217,0.123582,0.0443608
90,EAX,3697,13,0,0,0.00496186,0.182121,0.0272448
100,EAX,3660,9,0,0,0.00479466,0.163091,0.0293988
110,EAX,3719,8,0,0,0.00453665,0.145536,0.031172
120,EAX,3551,7,0,0,0.00469478,0.159816,0.0293762
130,EAX,3740,8,0,0,0.00476534,0.149533,0.0318682
140,EAX,3469,9,0,0,0.00445707,0.125091,0.0356305
150,EAX,3501,7,0,0,0.00491764,0.154271,0.0318767
160,EAX,3769,9,0,0,0.00468695,0.149314,0.0313898
170,EAX,3667,8,0,0,0.00657109,0.16399,0.0400701
180,EAX,3426,7,0,0,0.00478823,0.138087,0.0346754
190,EAX,3559,8,0,0,0.00461084,0.148554,0.0310381
200,EAX,3630,11,0,0,0.00468127,0.167869,0.0278864
210,EAX,3513,8,0,0,0.00496862,0.141162,0.035198
220,EAX,3176,8,222,7,0.00442911,0.213903,0.0207062
230,EAX,3296,8,0,0,0.00506287,0.156673,0.0323148
240,EAX,3311,11,0,0,0.00988665,0.167904,0.0588826
250,EAX,3387,8,0,0,0.00460296,0.138405,0.0332572
260,EAX,3456,7,115,7,0.00482173,0.227284,0.0212145
270,EAX,3334,8,0,0,0.00548911,0.158814,0.0345631
280,EAX,3449,8,45,4,0.00462024,0.163227,0.0283055
290,EAX,3666,9,0,0,0.00643984,0.169757,0.0379357
300,EAX,3293,8,0,0,0.00487379,0.157097,0.031024
310,EAX,3212,7,0,0,0.00501309,0.135482,0.0370018
320,EAX,3330,10,207,6,0.00483011,0.19344,0.0249695
330,EAX,3022,7,131,7,0.00476932,0.200063,0.0238391
340,EAX,3083,10,0,0,0.00461589,0.148032,0.0311817
350,EAX,3335,8,0,0,0.00482725,0.15319,0.0315114
360,EAX,3204,8,106,7,0.00496854,0.203086,0.0244652
370,EAX,3297,10,0,0,0.0046071,0.146826,0.031378
