iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,LOX,211,6,0,0,0.00973022,0.0378468,0.257095
10,LOX,402,6,0,0,0.00950451,0.0448852,0.211752
20,LOX,193,4,0,0,0.000311951,0.0351373,0.00887806
30,LOX,217,6,0,0,0.00937494,0.0404546,0.23174
40,LOX,261,7,0,0,0.00948484,0.0496232,0.191137
50,LOX,0,3,0,0,0.000318381,0.0221777,0.0143559
60,LOX,415,6,0,0,0.00949429,0.0565045,0.168027
70,LOX,359,6,0,0,0.00939246,0.0409976,0.229098
80,LOX,171,8,0,0,0.00970922,0.0376776,0.257692
90,LOX,567,11,0,0,0.00963937,0.0786634,0.122539
100,LOX,425,6,0,0,0.00958121,0.0515559,0.185841
110,LOX,428,7,0,0,0.00943721,0.0532005,0.17739
120,LOX,228,6,16,4,0.00951877,0.0644939,0.147592
130,LOX,355,7,0,0,0.00951906,0.0449977,0.211545
140,LOX,213,5,0,0,0.00959181,0.0366293,0.261862
150,LOX,196,7,144,8,0.00937016,0.0970774,0.0965226
160,LOX,294,7,0,0,0.00944501,0.0558286,0.169179
170,LOX,314,7,0,0,0.00942509,0.0479488,0.196566
180,LOX,430,9,0,0,0.00958751,0.056813,0.168756
190,LOX,308,6,0,0,0.00942357,0.0429824,0.219243
200,LOX,202,6,0,0,0.00950284,0.0467202,0.203399
210,LOX,335,6,0,0,0.00949461,0.0410543,0.23127
220,LOX,212,5,0,0,0.00950013,0.0344391,0.275853
230,LOX,0,3,0,0,0.000306761,0.0184554,0.0166218
240,LOX,316,5,0,0,0.00936219,0.0461625,0.20281
250,LOX,140,5,44,5,0.00947615,0.0671044,0.141215
260,LOX,198,5,0,0,0.00943763,0.0356887,0.264443
270,LOX,272,6,0,0,0.00949304,0.032467,0.292391
280,LOX,202,4,0,0,0.00944573,0.0308737,0.305947
290,LOX,343,7,0,0,0.00948414,0.0503463,0.188378
300,LOX,373,7,0,0,0.00949917,0.0534088,0.177858
310,LOX,343,6,9,4,0.009446,0.0660017,0.143117
320,LOX,241,10,0,0,0.00939249,0.0464971,0.202002
330,LOX,312,6,0,0,0.00940494,0.0416678,0.225712
340,LOX,305,8,124,6,0.00948808,0.0983169,0.0965051
350,LOX,342,6,45,6,0.00948359,0.0778965,0.121746
360,LOX,289,8,0,0,0.00948899,0.0441417,0.214967
370,LOX,253,5,99,6,0.00958703,0.0732599,0.130863
380,LOX,355,8,0,0,0.00944348,0.053791,0.175559
390,LOX,207,5,0,0,0.00951515,0.0359008,0.26504
400,LOX,286,7,0,0,0.00940202,0.0524093,0.179396
410,LOX,243,6,0,0,0.00942162,0.0330754,0.284853
420,LOX,314,7,128,7,0.00940332,0.0953362,0.0986332
430,LOX,205,5,0,0,0.00941809,0.0387835,0.242838
440,LOX,213,6,0,0,0.00937062,0.0419115,0.223581
450,LOX,130,4,0,0,0.00937762,0.0269897,0.347452
460,LOX,270,6,0,0,0.00934236,0.0406292,0.229942
470,LOX,62,4,0,0,0.00943908,0.02534,0.372498
480,LOX,325,8,100,6,0.00946862,0.0817196,0.115867
490,LOX,374,7,118,7,0.00945238,0.0984082,0.0960528
500,LOX,263,7,131,8,0.00943054,0.103293,0.0912991
510,LOX,332,7,0,0,0.00946027,0.0471704,0.200555
520,LOX,291,5,0,0,0.00942318,0.042217,0.223208
530,LOX,257,8,262,8,0.0094854,0.102683,0.0923758
540,LOX,189,6,0,0,0.00940725,0.0350151,0.268663
550,LOX,205,4,256,6,0.00955311,0.0946958,0.100882
560,LOX,247,5,0,0,0.00942604,0.0410501,0.229623
570,LOX,224,5,0,0,0.00946779,0.039631,0.238899
580,LOX,372,7,0,0,0.00947771,0.0568247,0.166789
590,LOX,365,7,42,4,0.00948737,0.082143,0.115498
600,LOX,252,6,0,0,0.00947382,0.0373345,0.253755
610,LOX,239,6,113,5,0.00946585,0.074876,0.12642
620,LOX,227,6,221,7,0.00939451,0.0878754,0.106907
630,LOX,217,6,253,9,0.00940647,0.100026,0.0940404
640,LOX,139,4,0,0,0.00933576,0.0292751,0.318897
650,LOX,283,9,0,0,0.0094156,0.054228,0.17363
660,LOX,459,9,125,5,0.00946229,0.109131,0.0867058
670,LOX,334,6,0,0,0.00947029,0.0444445,0.213081
680,LOX,148,9,202,7,0.00941097,0.0832494,0.113046
690,LOX,0,3,132,7,0.000315861,0.0592827,0.00532805
700,LOX,128,7,0,0,0.00941265,0.0385833,0.243957
710,LOX,181,6,0,0,0.00941794,0.0503864,0.186914
720,LOX,328,9,102,6,0.0094824,0.0817949,0.115929
730,LOX,272,7,119,6,0.00941169,0.0801229,0.117466
740,LOX,244,6,108,6,0.00943278,0.0789046,0.119547
750,LOX,72,6,0,0,0.00948547,0.030925,0.306725
760,LOX,244,5,0,0,0.0094612,0.0322689,0.293199
770,LOX,121,5,0,0,0.000325621,0.0263252,0.0123692
780,LOX,183,6,134,9,0.00949498,0.0783796,0.121141
790,LOX,254,6,103,6,0.0093972,0.0739647,0.12705
800,LOX,376,6,0,0,0.00943481,0.04476,0.210787
810,LOX,382,6,0,0,0.00953415,0.0531308,0.179447
820,LOX,223,7,183,6,0.00943436,0.0873215,0.108042
830,LOX,203,8,0,0,0.0093801,0.0420904,0.222856
840,LOX,250,6,77,6,0.0094884,0.0740856,0.128074
850,LOX,182,6,0,0,0.00936813,0.0374387,0.250226
860,LOX,201,5,213,6,0.0094231,0.0773139,0.121881
870,LOX,268,6,128,9,0.00940717,0.0926448,0.10154
880,LOX,124,5,0,0,0.00934255,0.0345062,0.27075
890,LOX,0,3,0,0,0.000324161,0.0179559,0.0180532
900,LOX,168,5,84,5,0.009422,0.0672494,0.140105
910,LOX,213,5,281,8,0.00937523,0.0898428,0.104351
920,LOX,214,8,0,0,0.00940235,0.0462515,0.203288
930,LOX,210,7,152,8,0.00932594,0.0847794,0.110002
940,LOX,102,6,0,0,0.00930816,0.0286446,0.324953
950,LOX,142,6,0,0,0.0094367,0.0382181,0.246917
960,LOX,241,6,248,8,0.00929282,0.0974847,0.0953259
970,LOX,148,5,0,0,0.0094764,0.0376369,0.251785
980,LOX,258,8,0,0,0.00934949,0.0422805,0.22113
990,LOX,97,4,0,0,0.00938892,0.0256465,0.366089
1000,LOX,173,6,0,0,0.00942403,0.0412275,0.228586
1010,LOX,231,6,172,9,0.0094244,0.0891217,0.105748
1020,LOX,240,6,152,8,0.00934167,0.0903768,0.103364
1030,LOX,243,6,226,7,0.00940545,0.0901954,0.104279
1040,LOX,224,6,0,0,0.00929262,0.0453545,0.204889
1050,LOX,266,8,295,7,0.0093948,0.1044,0.0899889
1060,LOX,314,9,0,0,0.00929207,0.0594778,0.156228
1070,LOX,356,6,160,7,0.00942532,0.0888216,0.106115
1080,LOX,269,6,0,0,0.00944976,0.0476218,0.198433
1090,LOX,262,8,274,7,0.00944016,0.0946125,0.0997771
1100,LOX,177,4,0,0,0.00948563,0.0354275,0.267748
1110,LOX,253,8,0,0,0.00933107,0.0416935,0.223801
1120,LOX,198,5,0,0,0.00938007,0.0349054,0.268728
1130,LOX,255,7,147,7,0.00943585,0.0905626,0.104191
1140,LOX,92,4,0,0,0.0093125,0.0259203,0.359274
1150,LOX,267,8,183,9,0.00928135,0.0940463,0.0986892
1160,LOX,369,7,0,0,0.00941236,0.053266,0.176705
1170,LOX,271,7,0,0,0.00934857,0.0400988,0.233139
1180,LOX,141,5,0,0,0.00934584,0.0300349,0.311166
1190,LOX,0,3,0,0,0.000313142,0.0178677,0.0175256
1200,LOX,359,8,0,0,0.00943983,0.0539905,0.174842
1210,LOX,194,5,561,9,0.00936256,0.10834,0.0864184
1220,LOX,361,7,0,0,0.00933231,0.0564644,0.165278
1230,LOX,277,7,77,5,0.00943748,0.0891656,0.105842
1240,LOX,352,8,49,7,0.00943834,0.0809525,0.116591
1250,LOX,201,9,0,0,0.00936893,0.0436923,0.21443
1260,LOX,318,6,0,0,0.00928675,0.0498331,0.186357
1270,LOX,161,9,91,5,0.00928769,0.071608,0.129702
1280,LOX,100,6,0,0,0.00931651,0.0330354,0.282016
1290,LOX,262,8,0,0,0.00937072,0.0491001,0.190849
1300,LOX,217,6,0,0,0.00932408,0.0371896,0.250718
