iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,PL,1413,8,0,0,0.17395,0.0872555,1.99357
10,PL,1404,9,0,0,0.165319,0.0895125,1.84688
20,PL,0,3,0,0,0.15791,0.0232461,6.79296
30,PL,1189,7,0,0,0.166604,0.0771622,2.15915
40,PL,1286,7,0,0,0.16574,0.0797188,2.07906
50,PL,1262,8,0,0,0.164792,0.0790382,2.08496
60,PL,1261,8,99,5,0.164655,0.109027,1.51022
70,PL,1396,8,0,0,0.166211,0.100421,1.65514
80,PL,1371,11,0,0,0.165248,0.0989134,1.67063
90,PL,1153,7,0,0,0.165029,0.0779,2.11848
100,PL,1248,7,0,0,0.166117,0.0850595,1.95295
110,PL,960,6,187,7,0.16516,0.1182,1.39729
120,PL,1312,7,0,0,0.16574,0.09297,1.78273
130,PL,1280,10,0,0,0.164386,0.0932439,1.76297
140,PL,1387,9,0,0,0.165806,0.0982876,1.68695
150,PL,1211,8,36,4,0.163963,0.104958,1.56219
160,PL,1195,6,0,0,0.166751,0.0846369,1.97019
170,PL,1068,7,0,0,0.166254,0.0746998,2.22563
180,PL,1041,7,222,7,0.167347,0.123922,1.35042
190,PL,1361,10,0,0,0.165819,0.107654,1.5403
200,PL,1239,8,0,0,0.16604,0.0740231,2.24308
210,PL,1253,7,0,0,0.165957,0.0849257,1.95415
220,PL,1124,6,0,0,0.165654,0.0769399,2.15303
230,PL,1225,7,0,0,0.168227,0.0870071,1.93349
240,PL,1242,9,406,7,0.165358,0.154554,1.06991
250,PL,1279,9,0,0,0.16558,0.0865117,1.91397
260,PL,1115,7,56,6,0.164581,0.127128,1.29461
270,PL,977,9,309,6,0.164094,0.122226,1.34255
280,PL,1165,7,271,6,0.167329,0.140283,1.19279
290,PL,1113,6,0,0,0.165336,0.0713146,2.31841
300,PL,1220,7,122,8,0.165915,0.131325,1.26339
310,PL,1047,6,0,0,0.164778,0.0743812,2.21532
320,PL,1263,7,0,0,0.165827,0.082617,2.00718
330,PL,0,3,0,0,0.158143,0.0236171,6.69612
340,PL,1142,8,212,7,0.165438,0.140116,1.18072
350,PL,1242,8,0,0,0.164421,0.0912444,1.80199
360,PL,1264,7,0,0,0.165769,0.0776303,2.13536
370,PL,1302,9,209,6,0.164829,0.130175,1.26621
380,PL,1289,6,0,0,0.165061,0.0796904,2.07127
