iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,GrPX,615,7,0,0,0.00319873,0.0523988,0.0610459
10,PL,1256,8,0,0,0.11398,0.0935903,1.21786
20,LOX,268,8,0,0,0.0124138,0.0440398,0.281878
30,OX,0,3,0,0,0.0121952,0.0211052,0.57783
40,GrPX,682,7,0,0,0.00309009,0.0634426,0.0487068
50,OX,786,9,0,0,0.0122779,0.0723972,0.169591
60,OX,133,5,0,0,0.0122217,0.0299739,0.407744
70,AOX,222,6,0,0,0.0123374,0.0341658,0.361103
80,AOX,393,6,0,0,0.0125661,0.0560415,0.224228
90,UOX,2583,11,0,0,0.0134063,0.11001,0.121864
100,GrPX,899,5,0,0,0.00313999,0.0577784,0.0543453
110,LOX,437,7,0,0,0.0124248,0.0656192,0.189348
120,PMX,202,7,0,0,0.0123826,0.0346747,0.357109
130,GrPX,966,8,0,0,0.00310117,0.0711366,0.0435945
140,PMX,127,5,0,0,0.0124813,0.0346279,0.36044
150,GOX,382,6,0,0,0.0135721,0.0583455,0.232617
160,AOX,318,6,0,0,0.0122575,0.0493079,0.248591
170,GOX,331,6,0,0,0.0133445,0.0457146,0.291908
180,EAX,3571,9,0,0,0.00474078,0.12778,0.0371012
190,LOX,289,7,0,0,0.0124152,0.057543,0.215755
200,GOX,567,9,0,0,0.01291,0.0611822,0.21101
210,PL,1264,7,288,6,0.113481,0.122318,0.927754
220,PL,1051,6,0,0,0.111973,0.0805233,1.39056
230,EAX,3416,8,0,0,0.00456553,0.116695,0.0391235
240,GrPX,817,7,0,0,0.00312643,0.0644834,0.0484842
250,PMX,659,8,0,0,0.000524466,0.0792943,0.00661417
260,EAX,3235,8,0,0,0.00443987,0.121947,0.0364083
270,PMX,204,5,0,0,0.0125847,0.0343578,0.366283
280,AOX,223,6,119,5,0.0121679,0.0698899,0.174101
290,EAX,3336,9,0,0,0.00448728,0.125781,0.0356753
300,PL,1254,8,180,7,0.112653,0.125751,0.895846
310,GOX,327,6,0,0,0.0133223,0.0373633,0.356561
320,AOX,146,7,0,0,0.0121859,0.0329067,0.370318
330,UOX,2880,10,20,4,0.0129808,0.141882,0.0914896
340,EAX,2946,10,0,0,0.00441289,0.122334,0.0360726
350,GrPX,701,6,0,0,0.00313458,0.0584976,0.0535847
360,OX,369,8,0,0,0.0122979,0.0699442,0.175825
370,UOX,2824,10,119,8,0.0127601,0.144196,0.0884916
380,EAX,3342,8,0,0,0.00438214,0.115225,0.0380313
390,AOX,371,8,0,0,0.012388,0.0593473,0.208738
400,UOX,2945,8,186,9,0.0127915,0.15514,0.0824514
410,OX,211,4,0,0,0.000456594,0.0306045,0.0149192
420,PMX,605,8,177,9,0.0123344,0.125994,0.0978963
430,UOX,2848,10,0,0,0.0130894,0.110318,0.118651
440,AOX,383,7,77,5,0.0122409,0.0714999,0.171202
450,PL,1176,6,305,7,0.112305,0.136405,0.823316
460,LOX,205,6,158,6,0.0124465,0.0710603,0.175154
470,LOX,205,5,0,0,0.0122412,0.031904,0.383687
480,GrPX,766,7,0,0,0.00310326,0.0628562,0.0493708
490,PMX,240,5,67,5,0.0122201,0.0717905,0.170219
500,UOX,2782,8,0,0,0.0127822,0.0955878,0.133722
510,GrPX,737,7,0,0,0.00308952,0.0610857,0.0505767
520,PL,959,6,542,7,0.111224,0.134175,0.828951
530,GOX,326,8,0,0,0.0129868,0.0492209,0.263848
