iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,GLOX,792,15,0,0,0.0106177,0.209592,0.0506588
10,GLOX,750,13,0,0,0.0105056,0.189004,0.0555838
20,GLOX,622,7,0,0,0.0105107,0.14208,0.0739773
30,GLOX,808,10,0,0,0.01039,0.156281,0.0664831
40,GLOX,0,3,0,0,0.00296945,0.0342402,0.0867241
50,GLOX,817,11,0,0,0.0104706,0.188459,0.0555592
60,GLOX,812,11,0,0,0.0103863,0.175131,0.0593061
70,GLOX,629,8,0,0,0.0103254,0.100562,0.102676
80,GLOX,799,12,0,0,0.0103071,0.191862,0.0537215
90,GLOX,637,11,0,0,0.01041,0.159922,0.0650943
100,GLOX,789,14,0,0,0.0107701,0.20225,0.0532516
110,GLOX,479,7,0,0,0.0102808,0.0869812,0.118196
120,GLOX,558,10,0,0,0.010449,0.143853,0.0726368
130,GLOX,895,13,0,0,0.0105167,0.211077,0.049824
140,GLOX,665,12,0,0,0.0103406,0.158817,0.0651105
150,GLOX,784,15,0,0,0.0102782,0.212586,0.0483484
160,GLOX,754,9,0,0,0.0107779,0.142684,0.075537
170,GLOX,793,8,0,0,0.0103684,0.129393,0.080131
180,GLOX,1078,18,0,0,0.0105916,0.223872,0.0473108
190,GLOX,510,9,0,0,0.0102804,0.109915,0.0935303
200,GLOX,403,11,0,0,0.0101497,0.12645,0.0802661
210,GLOX,671,8,0,0,0.0105913,0.118945,0.0890441
220,GLOX,535,7,40,7,0.0101556,0.176363,0.0575836
230,GLOX,509,7,0,0,0.0102208,0.095127,0.107444
240,GLOX,587,8,0,0,0.0101851,0.130627,0.0779708
250,GLOX,452,8,0,0,0.0103205,0.0917181,0.112524
260,GLOX,627,6,410,10,0.0101104,0.310986,0.0325107
270,GLOX,664,11,29,4,0.0101536,0.21476,0.0472788
280,GLOX,499,8,0,0,0.0102534,0.138307,0.0741354
290,GLOX,413,11,0,0,0.010301,0.117145,0.0879337
300,GLOX,423,10,0,0,0.0102736,0.0972647,0.105626
310,GLOX,564,7,8,3,0.0103604,0.158465,0.0653797
320,GLOX,323,9,0,0,0.0102012,0.102755,0.0992767
330,GLOX,394,6,0,0,0.0102021,0.0974976,0.10464
340,GLOX,387,7,5,4,0.0102015,0.124444,0.0819767
350,GLOX,491,6,0,0,0.0100955,0.123733,0.0815904
360,GLOX,488,10,0,0,0.0103956,0.154078,0.0674701
370,GLOX,284,6,10,3,0.00296868,0.112286,0.0264385
380,GLOX,428,9,0,0,0.0102717,0.106929,0.0960606
390,GLOX,543,10,518,13,0.0100527,0.273773,0.036719
400,GLOX,910,14,0,0,0.0102874,0.214701,0.047915
410,GLOX,245,4,0,0,0.00994939,0.0598882,0.166133
420,GLOX,903,8,9,3,0.0103461,0.174884,0.05916
430,GLOX,493,7,12,3,0.0100238,0.143654,0.0697775
440,GLOX,460,11,0,0,0.00998938,0.10072,0.0991794
450,GLOX,386,9,38,5,0.00988934,0.150154,0.0658611
460,GLOX,481,8,17,4,0.0100606,0.13869,0.0725401
470,GLOX,431,8,0,0,0.0102341,0.132447,0.0772695
480,GLOX,752,8,0,0,0.0100908,0.140781,0.0716774
490,GLOX,564,8,0,0,0.0100085,0.130661,0.0765993
500,GLOX,682,11,0,0,0.0099875,0.165683,0.0602807
510,GLOX,521,14,0,0,0.0100518,0.129001,0.0779209
520,GLOX,629,10,307,11,0.0100335,0.283252,0.0354224
530,GLOX,541,10,0,0,0.00989195,0.13825,0.071551
540,GLOX,599,10,0,0,0.00997732,0.126804,0.078683
550,GLOX,735,10,59,6,0.00999126,0.271313,0.0368256
560,GLOX,323,6,0,0,0.0100345,0.0970657,0.103379
570,GLOX,384,7,0,0,0.00999191,0.102091,0.0978725
