iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,GLOX,178,6,70,10,3,14,7,4,2,7,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0.000681074,0.0243448,0.0279762
10,GLOX,231,7,80,7,4,18,7,11,17,16,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0.000566254,0.0280388,0.0201954
20,GLOX,135,5,54,6,4,15,7,2,10,12,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0.00141789,0.0130876,0.108339
30,GLOX,145,4,59,13,4,4,9,4,7,15,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0.00140704,0.0137171,0.102576
40,GLOX,134,4,35,4,4,17,11,5,3,14,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0.00141741,0.0159821,0.0886872
50,GLOX,78,4,32,6,1,4,3,2,3,7,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0.000563764,0.0134537,0.041904
60,GLOX,186,6,70,15,5,17,5,6,3,11,12,42,0,0,0,0,0,0,0,0,0,0,0,0,0.000556294,0.0233291,0.0238455
70,GLOX,190,8,58,11,7,13,12,2,17,15,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0.00141823,0.0242102,0.0585797
80,GLOX,64,3,27,7,3,9,4,2,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0014042,0.00905067,0.155149
90,GLOX,128,6,44,8,5,13,2,4,9,8,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0.00144683,0.0170628,0.0847946
100,GLOX,114,5,43,6,4,13,6,1,2,7,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0.00141878,0.0170702,0.0831144
110,GLOX,184,7,67,5,2,13,6,3,5,16,18,49,0,0,0,0,0,0,0,0,0,0,0,0,0.00137526,0.0247616,0.0555401
120,GLOX,79,8,22,2,2,4,3,2,5,6,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0.000551544,0.0220464,0.0250174
130,GLOX,102,4,42,7,5,9,5,3,2,5,7,17,4,3,1,0,0,1,0,0,0,0,1,1,0.000558384,0.0179098,0.0311775
140,GLOX,147,5,51,7,3,13,13,1,9,13,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0.00143251,0.0162143,0.0883483
150,GLOX,124,4,60,10,1,6,5,1,10,8,6,17,31,4,7,1,1,2,2,1,1,1,2,13,0.00141895,0.0313427,0.0452722
160,GLOX,48,4,22,3,2,1,1,1,2,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0.000557434,0.0104938,0.0531204
170,GLOX,72,6,27,2,1,5,2,1,6,8,2,18,1,3,1,0,0,0,0,0,0,0,0,0,0.000552034,0.0191689,0.0287984
180,GLOX,31,3,17,1,0,3,0,0,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.000560764,0.00887466,0.0631871
190,GLOX,54,4,20,3,2,6,3,2,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0.000559614,0.0111183,0.0503325
200,GLOX,111,4,47,6,7,12,5,0,2,6,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0.000561763,0.0141357,0.0397408
210,GLOX,107,4,33,7,2,5,4,5,8,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0.00134475,0.015011,0.089584
220,GLOX,107,4,43,9,2,14,1,1,11,0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0.00137417,0.013897,0.0988824
230,GLOX,70,5,28,3,1,6,2,3,1,2,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0.0014551,0.0162863,0.0893449
240,GLOX,86,6,31,0,4,9,5,0,4,5,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0.000548973,0.0165455,0.0331797
250,GLOX,103,5,31,1,5,7,3,2,5,15,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0.00136363,0.015167,0.0899077
260,GLOX,121,4,48,4,3,10,5,3,6,12,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0.000558214,0.0139793,0.0399313
270,GLOX,204,4,84,8,6,21,5,5,7,24,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0.0014004,0.0190711,0.0734303
280,GLOX,42,3,17,2,0,7,1,0,3,6,5,1,10,3,5,0,0,0,0,0,0,1,3,1,0.000559174,0.0142201,0.0393228
290,GLOX,80,5,28,0,1,14,3,2,2,5,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0.000552064,0.0179046,0.0308336
300,GLOX,76,4,24,4,3,3,4,4,8,3,7,16,10,3,3,0,0,2,1,1,0,0,0,3,0.000548923,0.0219501,0.0250077
310,GLOX,19,4,4,0,0,3,1,1,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0.000549234,0.0117502,0.0467426
320,GLOX,123,5,40,3,4,15,5,0,7,10,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0.000553634,0.0178972,0.0309342
330,GLOX,82,5,29,4,1,10,1,5,6,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0.00137863,0.0170908,0.080665
340,GLOX,96,4,31,4,4,8,3,0,4,14,10,18,27,4,8,1,1,4,1,1,2,0,1,8,0.000555814,0.0250707,0.0221698
350,GLOX,181,5,62,7,4,20,3,4,7,15,18,41,34,5,12,1,0,4,1,0,3,4,1,8,0.00139977,0.0317911,0.0440303
360,GLOX,172,8,75,5,5,19,9,3,3,11,10,32,13,3,7,1,0,2,1,0,0,0,0,2,0.00138603,0.030601,0.0452935
370,GLOX,55,3,25,2,1,8,2,1,6,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000549404,0.00928138,0.0591942
380,GLOX,118,6,49,4,3,14,2,3,5,9,8,21,8,3,4,0,0,1,0,0,0,0,0,3,0.000550944,0.0224094,0.0245854
390,GLOX,69,3,25,4,4,7,2,0,7,5,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0.000562293,0.0123821,0.0454119
400,GLOX,111,3,39,2,5,13,11,3,4,6,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00140116,0.0130397,0.107453
410,GLOX,87,5,36,12,4,8,7,1,5,3,1,10,43,4,19,1,0,9,0,0,0,1,2,11,0.000548614,0.0276456,0.0198445
420,GLOX,33,3,17,1,0,2,0,0,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.000550913,0.00703205,0.0783432
430,GLOX,84,4,26,5,3,8,5,2,3,8,2,22,26,3,12,0,0,2,1,1,1,5,1,3,0.000551054,0.0255838,0.0215392
440,GLOX,133,4,49,18,4,11,4,4,9,14,4,16,26,3,11,4,2,1,3,0,1,2,0,2,0.00139371,0.0203692,0.0684223
450,GLOX,45,3,18,1,2,8,3,0,6,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.000549304,0.00914619,0.0600582
460,GLOX,54,4,21,6,2,4,1,1,4,4,6,5,12,3,4,0,2,0,1,0,1,2,0,2,0.000544134,0.0182188,0.0298666
470,GLOX,76,4,20,7,1,14,5,1,3,3,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0.000543434,0.0133655,0.0406594
480,GLOX,68,4,31,1,2,7,0,1,4,6,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0.000539743,0.0145085,0.0372017
490,GLOX,53,4,17,1,0,5,4,0,1,12,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000547144,0.00941755,0.0580983
500,GLOX,113,4,39,1,2,14,5,1,3,9,16,23,85,5,26,2,0,11,5,1,6,5,6,23,0.00136051,0.0358245,0.0379771
510,GLOX,69,3,32,6,3,3,1,3,3,4,7,7,67,3,29,1,3,8,1,2,1,3,2,17,0.000542684,0.0233907,0.0232008
520,GLOX,167,4,67,16,7,15,8,1,9,12,12,20,121,7,35,8,2,10,2,3,4,13,9,35,0.00136244,0.0385119,0.0353771
530,GLOX,28,3,12,1,2,1,0,1,0,4,4,3,98,5,39,3,1,14,2,3,5,4,4,23,0.000545504,0.0270371,0.0201761
