iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,UOX,1429,8,588,158,48,140,82,35,87,103,84,104,0,0,0,0,0,0,0,0,0,0,0,0,0.00119351,0.0387579,0.0307939
10,UOX,1415,10,583,133,44,142,69,35,67,99,97,146,0,0,0,0,0,0,0,0,0,0,0,0,0.00111338,0.0498349,0.0223413
20,UOX,1249,11,549,119,41,137,47,30,97,76,60,93,0,0,0,0,0,0,0,0,0,0,0,0,0.00111856,0.0406509,0.0275162
30,UOX,1518,12,642,160,32,143,83,38,85,98,90,147,0,0,0,0,0,0,0,0,0,0,0,0,0.00107325,0.0576664,0.0186113
40,UOX,1248,8,510,133,40,145,67,26,76,92,64,95,0,0,0,0,0,0,0,0,0,0,0,0,0.0011066,0.0344405,0.0321306
50,UOX,1376,8,579,114,57,138,67,34,109,90,79,109,0,0,0,0,0,0,0,0,0,0,0,0,0.00105335,0.0410555,0.0256566
60,UOX,1219,6,524,112,33,120,60,36,86,95,62,91,0,0,0,0,0,0,0,0,0,0,0,0,0.00102286,0.0270973,0.0377478
70,UOX,1205,8,527,127,33,121,49,27,86,89,60,86,0,0,0,0,0,0,0,0,0,0,0,0,0.000162891,0.0335053,0.00486164
80,UOX,1354,10,542,123,41,140,83,41,84,97,92,111,0,0,0,0,0,0,0,0,0,0,0,0,0.00107017,0.0408455,0.0262003
90,UOX,1437,7,594,129,33,165,87,36,83,117,92,101,0,0,0,0,0,0,0,0,0,0,0,0,0.00107648,0.0338008,0.0318477
100,UOX,1281,9,532,120,36,138,64,37,59,95,99,101,0,0,0,0,0,0,0,0,0,0,0,0,0.00110122,0.0409029,0.0269227
110,UOX,1385,7,582,145,56,131,74,32,95,109,78,83,7,4,1,0,0,3,0,1,0,0,0,2,0.00108652,0.0405974,0.0267632
120,UOX,1246,5,543,132,37,125,63,34,81,89,65,77,0,0,0,0,0,0,0,0,0,0,0,0,0.00108147,0.0263928,0.0409761
130,UOX,1428,5,632,153,45,123,89,36,66,119,84,81,0,0,0,0,0,0,0,0,0,0,0,0,0.00108312,0.0294982,0.036718
140,UOX,1297,11,548,127,48,122,76,46,82,90,66,92,0,0,0,0,0,0,0,0,0,0,0,0,0.00108922,0.0458441,0.0237591
150,UOX,1239,6,522,113,49,140,72,27,91,76,65,84,0,0,0,0,0,0,0,0,0,0,0,0,0.00107707,0.0309631,0.0347855
160,UOX,1272,8,542,109,42,138,63,37,70,94,73,104,0,0,0,0,0,0,0,0,0,0,0,0,0.00108864,0.0397853,0.0273627
170,UOX,1232,10,511,150,50,98,57,40,77,78,70,101,0,0,0,0,0,0,0,0,0,0,0,0,0.00105206,0.0371816,0.028295
