iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,OX,84,3,19,2,2,20,2,2,4,6,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0.00400885,0.0097554,0.410936
10,OX,209,5,56,6,6,48,7,4,6,10,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0.0038733,0.0136374,0.28402
20,OX,81,4,17,1,2,21,1,3,0,6,8,22,5,3,1,0,0,0,0,0,0,0,1,3,0.00390761,0.0168324,0.232149
30,OX,129,7,31,2,3,27,5,4,4,12,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0.000196852,0.0131779,0.014938
40,OX,83,5,19,2,2,11,5,2,5,7,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0.00388459,0.0102859,0.377663
50,OX,47,3,15,2,1,10,3,1,4,3,6,2,11,4,3,0,1,4,0,1,0,0,0,2,0.00437644,0.0159002,0.275244
60,OX,151,4,30,4,6,38,10,3,9,8,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0.00383646,0.00954494,0.401937
70,OX,126,6,35,4,5,18,4,3,6,18,7,26,4,3,0,1,0,0,0,0,0,1,1,1,0.00394567,0.0181451,0.217451
80,OX,187,6,51,5,2,29,6,6,11,15,15,47,0,0,0,0,0,0,0,0,0,0,0,0,0.00381719,0.013102,0.291345
90,OX,200,6,46,4,8,40,9,4,14,24,15,36,23,4,3,1,2,5,2,1,1,0,1,7,0.00400717,0.0221913,0.180574
100,OX,208,7,50,10,8,42,5,9,4,20,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0.0038276,0.0172405,0.222012
110,OX,85,5,29,2,3,11,3,2,5,3,10,17,2,3,1,0,0,1,0,0,0,0,0,0,0.00395473,0.0149813,0.263978
120,OX,97,4,32,2,4,19,1,4,3,9,4,19,8,3,2,0,0,4,0,0,1,0,0,1,0.0042346,0.0180193,0.235004
130,OX,166,4,37,10,3,40,9,6,9,17,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0.00396127,0.0109771,0.360866
140,OX,121,3,34,5,1,20,4,3,7,10,6,31,15,3,3,0,1,3,0,0,0,2,1,5,0.00424962,0.0161078,0.263823
150,OX,131,5,31,6,5,30,5,3,4,14,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0.00422131,0.0104844,0.402629
160,OX,46,4,8,3,3,7,2,2,4,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000175692,0.00769189,0.0228412
170,OX,148,5,44,4,5,35,0,7,10,8,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0.00441713,0.0111695,0.395462
180,OX,71,3,19,3,2,13,4,4,6,7,4,9,9,5,1,0,0,0,0,0,0,0,3,5,0.00381532,0.0140924,0.270736
190,OX,176,10,47,4,5,38,3,5,12,12,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0.00381925,0.0155203,0.246081
200,OX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163011,0.00701776,0.0232283
210,OX,126,4,31,5,7,32,4,3,5,13,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0.00407981,0.0100334,0.406624
