iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,LOX,97,5,27,5,4,17,4,3,7,7,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0.000197942,0.0121202,0.0163316
10,LOX,145,7,50,6,4,17,7,4,18,7,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0.00218932,0.0123676,0.177021
20,LOX,66,5,17,4,3,16,1,4,7,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00215391,0.0100944,0.213378
30,LOX,180,6,53,12,10,21,7,4,11,15,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0.00216934,0.0150991,0.143673
40,LOX,121,5,48,3,2,18,0,9,11,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0.00218017,0.00886607,0.245901
50,LOX,79,6,16,2,3,10,0,1,2,6,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0.00213129,0.013693,0.155649
60,LOX,57,4,30,1,2,9,1,1,5,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0.00215306,0.00684681,0.314462
70,LOX,129,4,30,7,5,34,3,5,7,3,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0.00220588,0.0106316,0.207483
80,LOX,222,5,59,6,6,55,4,7,18,13,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0.0021711,0.0142839,0.151997
90,LOX,113,6,38,3,7,17,5,2,7,10,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0.00215357,0.0106897,0.201462
100,LOX,130,5,38,2,5,25,1,6,12,8,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0.00217493,0.0121529,0.178964
110,LOX,151,6,34,3,4,22,4,1,19,15,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0.00220793,0.0157553,0.140139
120,LOX,122,5,42,6,4,22,3,5,13,6,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00218119,0.00947462,0.230214
130,LOX,77,4,19,7,1,15,1,2,8,5,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0.000201112,0.00933458,0.0215448
140,LOX,94,6,22,1,1,22,3,4,6,8,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0.000144512,0.0106098,0.0136206
150,LOX,101,4,20,6,3,28,0,6,8,4,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0.00218164,0.0109534,0.199175
160,LOX,125,4,38,8,2,20,4,5,12,14,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0.00216567,0.00988386,0.219112
170,LOX,83,7,31,2,0,18,3,2,3,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0.00214825,0.00910719,0.235885
180,LOX,132,8,33,4,5,24,4,9,9,8,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0.00215212,0.0130025,0.165515
190,LOX,24,3,10,3,1,2,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.000147421,0.00611464,0.0241095
200,LOX,93,9,13,0,2,21,0,5,6,6,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0.000146022,0.0171318,0.00852343
210,LOX,57,5,14,1,3,10,1,3,0,4,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0.000147491,0.00911986,0.0161725
220,LOX,30,4,9,0,1,3,1,2,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0.000150791,0.00682723,0.0220867
230,LOX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151812,0.00477408,0.0317992
240,LOX,106,5,31,2,5,28,3,3,2,6,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0.00218793,0.0103144,0.212125
250,LOX,110,5,32,4,6,27,3,4,7,3,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0.00218413,0.0106878,0.204357
260,LOX,200,8,42,10,9,45,3,11,12,13,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0.00219149,0.0196088,0.111761
270,LOX,46,3,24,2,1,4,0,5,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.00220374,0.00646303,0.340977
280,LOX,91,5,26,4,3,22,0,4,5,5,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00214581,0.0104303,0.205728
290,LOX,102,6,29,9,2,22,1,8,5,5,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0.000150912,0.00986615,0.0152959
300,LOX,75,5,24,0,0,19,2,3,3,5,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0.00213969,0.00996278,0.214769
310,LOX,90,5,29,5,2,11,2,4,2,8,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0.000145602,0.0101239,0.014382
320,LOX,42,3,16,1,1,9,2,4,6,0,1,2,85,9,25,3,3,8,1,4,5,6,9,21,0.00215203,0.0180257,0.119387
330,LOX,85,5,26,5,6,8,1,4,13,4,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0.00216766,0.00891555,0.243133
340,LOX,109,5,41,9,2,18,3,7,9,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00219458,0.00869458,0.252408
350,LOX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146451,0.0058366,0.0250918
360,LOX,61,4,12,4,2,7,2,4,7,9,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000146342,0.00720691,0.0203058
370,LOX,59,4,28,2,4,9,1,1,9,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00215319,0.00673048,0.319917
380,LOX,125,4,39,2,7,22,1,0,10,13,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0.000153961,0.0120493,0.0127776
390,LOX,40,5,19,3,0,5,0,1,1,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.00213739,0.00694968,0.307552
400,LOX,45,4,19,1,1,5,0,4,3,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0.000144562,0.00823434,0.017556
410,LOX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141801,0.0049315,0.0287541
420,LOX,92,5,29,2,4,10,1,2,5,7,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0.000148491,0.0105601,0.0140615
430,LOX,137,4,53,7,5,16,9,10,9,8,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00216133,0.00927654,0.232989
440,LOX,81,4,30,1,2,19,1,2,8,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0.000152101,0.00929387,0.0163657
450,LOX,83,3,32,1,0,20,2,5,6,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0.00214819,0.0077896,0.275777
460,LOX,64,6,28,4,1,13,0,0,6,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.00223864,0.00852708,0.262533
470,LOX,109,4,36,13,3,22,1,6,6,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0021601,0.00848063,0.25471
480,LOX,119,4,21,5,3,18,1,14,11,14,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0.00221436,0.00965258,0.229406
490,LOX,100,5,32,1,2,22,2,4,5,7,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0.00215044,0.0118841,0.180951
500,LOX,38,3,14,3,3,4,1,0,3,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.00213101,0.00732363,0.290978
510,LOX,64,5,16,2,2,15,0,1,7,7,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0.00217132,0.0100319,0.216442
520,LOX,79,4,20,4,2,17,2,0,7,6,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0.00210171,0.0109733,0.19153
530,LOX,55,5,23,0,0,2,2,2,8,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0.000146271,0.00906449,0.0161367
540,LOX,26,4,14,1,0,5,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.000146041,0.00590141,0.0247468
550,LOX,24,4,11,1,0,2,0,0,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000145861,0.00685492,0.0212783
560,LOX,148,6,48,8,5,28,4,6,9,7,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0.00224105,0.0133574,0.167776
570,LOX,97,5,38,4,2,10,3,3,5,11,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0.00216531,0.00862662,0.251004
580,LOX,89,4,31,4,1,14,4,2,4,5,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0.00215659,0.00907325,0.237687
590,LOX,84,4,15,3,9,19,0,5,6,4,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0.000141652,0.00793861,0.0178434
600,LOX,91,5,22,2,4,16,2,2,4,8,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0.00215111,0.012024,0.178901
610,LOX,20,3,5,2,1,5,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00214462,0.00589248,0.363959
620,LOX,95,4,27,6,4,15,2,3,12,5,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0.00214126,0.00831021,0.257667
630,LOX,122,4,32,9,3,26,5,3,5,6,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0021616,0.0108321,0.199555
640,LOX,69,4,25,2,1,11,1,2,9,2,5,11,100,5,35,5,6,11,1,2,7,14,4,15,0.00214055,0.0198998,0.107566
650,LOX,92,5,26,2,4,15,2,5,10,10,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0.000151272,0.00961457,0.0157336
660,LOX,30,4,10,0,0,6,0,0,1,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0.000144612,0.00793777,0.0182182
670,LOX,80,5,31,7,4,7,1,2,10,5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0.00281004,0.00911687,0.308224
680,LOX,62,4,15,7,2,17,1,0,6,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0.00216917,0.00775548,0.279695
690,LOX,80,4,23,1,3,17,2,3,10,4,6,11,40,5,10,3,5,5,0,0,1,6,5,5,0.00218222,0.0158576,0.137614
700,LOX,48,4,16,2,2,9,1,1,4,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.000151252,0.0082177,0.0184056
710,LOX,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142891,0.00500529,0.028548
720,LOX,88,5,22,5,2,24,3,3,3,2,3,21,20,4,9,0,0,6,0,0,1,2,2,0,0.00214597,0.016434,0.130581
730,LOX,12,3,2,1,1,1,2,1,3,1,0,0,76,6,19,0,7,5,2,1,5,8,8,21,0.000145362,0.0169745,0.00856356
740,LOX,46,3,19,3,1,8,2,0,7,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.000140422,0.00674565,0.0208167
750,LOX,115,5,32,10,2,21,3,5,9,8,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0021221,0.0117759,0.180207
760,LOX,136,5,35,7,6,19,2,11,13,10,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0.00229822,0.0108918,0.211006
770,LOX,51,4,19,2,2,7,2,1,3,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000141151,0.00709463,0.0198955
780,LOX,68,4,14,6,4,19,1,2,4,4,5,9,62,6,13,4,0,8,1,4,2,3,9,18,0.0022222,0.016418,0.135352
790,LOX,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143121,0.00503533,0.0284233
800,LOX,119,5,32,7,2,23,3,4,9,8,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0.00216988,0.0116489,0.186273
810,LOX,97,5,24,4,7,16,4,5,8,4,6,19,32,4,7,0,2,10,0,0,0,4,2,7,0.00217819,0.0179052,0.121651
