iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,EAX,1479,12,576,94,45,129,72,24,92,162,118,167,0,0,0,0,0,0,0,0,0,0,0,0,0.0079815,0.0632937,0.126103
10,EAX,1377,9,552,93,36,98,52,23,86,162,119,156,0,0,0,0,0,0,0,0,0,0,0,0,0.00830545,0.0548842,0.151327
20,EAX,1355,7,521,107,60,114,42,22,87,143,129,130,0,0,0,0,0,0,0,0,0,0,0,0,0.00886051,0.0476499,0.18595
30,EAX,1378,8,559,98,39,109,66,27,96,129,111,144,0,0,0,0,0,0,0,0,0,0,0,0,0.0073722,0.0507279,0.145328
40,EAX,1346,7,520,90,48,111,55,23,89,157,138,115,0,0,0,0,0,0,0,0,0,0,0,0,0.00499856,0.048551,0.102955
50,EAX,1438,7,547,90,51,146,59,16,103,157,142,127,0,0,0,0,0,0,0,0,0,0,0,0,0.0113642,0.0476151,0.238669
60,EAX,1216,6,475,78,43,109,48,21,78,141,127,96,0,0,0,0,0,0,0,0,0,0,0,0,0.011843,0.0400298,0.295854
70,EAX,1358,8,518,89,50,105,58,26,86,145,132,149,20,4,3,0,0,2,1,0,1,1,0,12,0.00860747,0.0710364,0.12117
80,EAX,1388,8,500,78,39,161,58,22,87,144,155,144,0,0,0,0,0,0,0,0,0,0,0,0,0.0146151,0.0460774,0.317186
90,EAX,1283,7,516,87,51,107,54,19,83,136,109,121,0,0,0,0,0,0,0,0,0,0,0,0,0.00996354,0.0519926,0.191634
100,EAX,1246,10,452,107,43,101,45,18,96,144,104,136,0,0,0,0,0,0,0,0,0,0,0,0,0.00951105,0.0653801,0.145473
110,EAX,1273,12,478,96,38,116,44,15,70,143,117,156,0,0,0,0,0,0,0,0,0,0,0,0,0.00949653,0.0616607,0.154013
