iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,AOX,290,5,95,14,9,29,13,7,23,24,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0.0017851,0.0228127,0.0782503
10,AOX,243,6,70,10,8,31,12,7,13,16,21,55,0,0,0,0,0,0,0,0,0,0,0,0,0.001719,0.02367,0.0726237
20,AOX,191,8,41,8,2,21,5,13,12,22,19,48,0,0,0,0,0,0,0,0,0,0,0,0,0.00173865,0.0221734,0.0784116
30,AOX,320,7,129,14,7,33,16,5,37,19,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0.00173857,0.019419,0.0895293
40,AOX,353,7,111,18,9,52,19,9,24,17,15,79,0,0,0,0,0,0,0,0,0,0,0,0,0.00161831,0.0291749,0.0554693
50,AOX,268,7,78,10,9,34,10,12,14,18,12,71,0,0,0,0,0,0,0,0,0,0,0,0,0.00171133,0.0292567,0.0584937
60,AOX,286,7,113,19,7,21,11,6,28,25,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0.00172734,0.0239216,0.0722085
70,AOX,108,5,25,3,4,13,3,1,7,9,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0.00172182,0.0185332,0.0929047
80,AOX,157,6,66,13,8,12,1,1,26,4,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0.00168947,0.0147484,0.114553
90,AOX,278,8,80,23,7,36,4,9,15,16,20,68,0,0,0,0,0,0,0,0,0,0,0,0,0.00164431,0.0262563,0.0626253
100,AOX,466,7,128,15,12,83,13,12,26,26,26,125,0,0,0,0,0,0,0,0,0,0,0,0,0.00168431,0.0380779,0.0442333
110,AOX,186,6,64,10,3,34,5,4,6,16,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0.00180189,0.020375,0.0884366
