iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,GrPX,393,6,154,22,15,29,10,6,23,52,32,50,0,0,0,0,0,0,0,0,0,0,0,0,0.000466074,0.0248516,0.0187543
10,GrPX,332,6,108,18,9,38,13,4,19,49,22,52,0,0,0,0,0,0,0,0,0,0,0,0,0.000393204,0.0243534,0.0161458
20,GrPX,316,10,124,17,6,40,6,2,7,26,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0.000387413,0.0330699,0.011715
30,GrPX,271,6,102,13,9,26,9,4,19,25,26,38,0,0,0,0,0,0,0,0,0,0,0,0,0.000382173,0.0237961,0.0160603
40,GrPX,443,7,161,18,19,42,7,4,28,66,39,59,0,0,0,0,0,0,0,0,0,0,0,0,0.000404113,0.0292808,0.0138013
50,GrPX,359,6,123,17,11,40,16,7,16,42,38,49,0,0,0,0,0,0,0,0,0,0,0,0,0.000414793,0.0253096,0.0163888
60,GrPX,394,7,154,13,14,43,11,3,21,43,35,57,0,0,0,0,0,0,0,0,0,0,0,0,0.000392703,0.0254925,0.0154047
70,GrPX,233,7,77,6,8,26,7,1,15,26,25,42,0,0,0,0,0,0,0,0,0,0,0,0,0.000393383,0.0233771,0.0168277
80,GrPX,244,5,90,8,8,26,7,5,13,23,28,36,0,0,0,0,0,0,0,0,0,0,0,0,0.000391993,0.0194607,0.0201428
90,GrPX,363,7,123,12,14,46,9,2,22,39,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0.000395954,0.0269766,0.0146777
100,GrPX,292,7,101,16,10,28,11,4,11,31,26,54,0,0,0,0,0,0,0,0,0,0,0,0,0.000398653,0.0251591,0.0158453
110,GrPX,360,6,141,18,13,28,9,5,26,41,33,46,0,0,0,0,0,0,0,0,0,0,0,0,0.000397454,0.0237856,0.0167099
120,GrPX,190,6,68,18,5,10,9,2,13,15,14,36,0,0,0,0,0,0,0,0,0,0,0,0,0.000393263,0.0180396,0.0218
130,GrPX,315,4,112,13,14,38,12,6,19,31,27,43,0,0,0,0,0,0,0,0,0,0,0,0,0.000391534,0.0228426,0.0171405
140,GrPX,232,7,92,15,6,24,5,3,11,18,25,33,0,0,0,0,0,0,0,0,0,0,0,0,0.000388424,0.0208795,0.0186032
150,GrPX,335,6,107,20,11,31,15,4,20,39,43,45,0,0,0,0,0,0,0,0,0,0,0,0,0.000394203,0.02542,0.0155076
160,GrPX,236,6,85,13,6,22,9,3,13,30,21,34,5,3,2,0,1,2,0,0,0,0,0,0,0.000391884,0.0263298,0.0148836
170,GrPX,170,6,51,8,7,17,2,4,11,24,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0.000388343,0.0224147,0.0173254
180,GrPX,208,6,75,14,9,21,4,3,12,15,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0.000397973,0.0197315,0.0201694
190,GrPX,271,5,102,16,11,25,5,0,10,24,23,55,0,0,0,0,0,0,0,0,0,0,0,0,0.000381613,0.0213276,0.0178929
200,GrPX,383,6,124,23,20,32,13,12,22,42,35,60,0,0,0,0,0,0,0,0,0,0,0,0,0.000387463,0.0279677,0.0138539
