iteration,crossover_type,nbMoves,nbLoopsLS,m1,m2,m3,m4,m5,m6,m7,m8,m9,swapStar,nbMovesRepair,nbLoopsRepair,m1r,m2r,m3r,m4r,m5r,m6r,m7r,m8r,m9r,swapStarR,time_crossover,time_LS,ratio_crossover_LS
0,PMX,139,4,38,5,1,28,2,5,1,12,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0.000520984,0.0170754,0.0305109
10,PMX,143,4,29,5,2,48,1,11,1,15,14,17,134,5,25,4,1,37,2,7,1,9,9,39,0.00795453,0.038014,0.209253
20,PMX,72,4,14,2,1,18,0,6,0,13,3,15,257,5,29,11,11,58,2,14,2,17,15,98,0.000335452,0.041424,0.00809801
30,PMX,215,7,40,8,5,63,11,10,2,21,19,36,268,7,44,15,7,64,4,18,1,32,22,61,0.00806053,0.051406,0.156801
40,PMX,213,4,26,3,3,61,1,9,2,22,23,63,0,0,0,0,0,0,0,0,0,0,0,0,0.000263592,0.0186383,0.0141425
50,PMX,258,8,33,5,10,80,3,8,1,24,23,71,214,4,40,5,1,60,2,17,1,17,16,55,0.000292402,0.0468633,0.00623947
60,PMX,184,4,37,7,3,47,1,22,0,21,13,33,154,7,30,1,3,42,1,9,2,6,16,44,0.000305663,0.0379997,0.00804384
70,PMX,99,4,12,2,1,28,2,4,0,13,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0.000293502,0.0140669,0.0208648
80,PMX,226,5,38,7,3,74,4,7,2,29,20,42,0,0,0,0,0,0,0,0,0,0,0,0,0.0081547,0.0226976,0.359275
90,PMX,199,5,24,7,1,57,7,5,1,29,15,53,153,7,29,2,3,51,1,6,0,13,11,37,0.00818256,0.0477463,0.171376
100,PMX,75,4,17,6,1,24,2,1,0,6,4,14,206,4,41,2,2,66,0,6,2,17,15,55,0.00796978,0.0399982,0.199253
110,PMX,227,4,46,6,3,49,7,11,2,32,24,47,0,0,0,0,0,0,0,0,0,0,0,0,0.000292962,0.0184665,0.0158645
120,PMX,159,6,28,5,1,43,2,13,0,19,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0.000314582,0.0196511,0.0160084
