iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,GrPX2,64,3,11,3,0.000159911,0.0159141,0.0100484
10,GrPX2,38,3,8,3,0.000107241,0.00290107,0.036966
20,GrPX2,48,3,0,0,0.000111621,0.00152333,0.0732743
30,GrPX2,54,4,0,0,0.000115811,0.00211496,0.0547581
40,GrPX2,26,3,0,0,0.000110711,0.00155132,0.0713656
50,GrPX2,114,3,0,0,0.000110361,0.00194872,0.0566324
60,GrPX2,13,3,0,0,0.000105561,0.00139581,0.0756271
70,GrPX2,16,3,0,0,0.000109211,0.00143503,0.0761036
80,GrPX2,47,3,12,3,0.000112461,0.00311836,0.0360641
90,GrPX2,19,3,21,3,0.000113071,0.00284087,0.0398015
100,GrPX2,71,5,0,0,0.000109221,0.00228564,0.0477858
110,GrPX2,66,8,0,0,0.00011126,0.00338881,0.0328316
120,GrPX2,25,3,0,0,0.000110751,0.00140773,0.0786734
130,GrPX2,68,3,8,3,0.00010988,0.00333561,0.0329415
140,GrPX2,44,3,8,3,0.000107781,0.00277803,0.0387976
150,GrPX2,19,3,7,3,0.000111841,0.00266813,0.0419174
160,GrPX2,20,3,0,0,0.000109661,0.00139926,0.0783707
170,GrPX2,18,3,7,3,0.000108461,0.00270871,0.0400416
180,GrPX2,43,3,3,3,0.000108951,0.00282219,0.0386051
190,GrPX2,55,3,1,3,0.00011027,0.00263252,0.0418876
200,GrPX2,35,3,4,3,0.000108981,0.00277252,0.0393075
210,GrPX2,42,3,0,0,0.000110301,0.00195026,0.056557
220,GrPX2,0,3,0,0,0.000107941,0.00106821,0.101049
230,GrPX2,51,3,1,3,0.000114821,0.00283069,0.0405629
240,GrPX2,23,3,0,0,0.00011246,0.0013955,0.0805875
250,GrPX2,15,3,0,0,0.000113191,0.00147565,0.0767058
260,GrPX2,38,3,0,0,0.000105091,0.00143716,0.073124
270,GrPX2,30,3,0,0,0.000109221,0.00168883,0.0646725
280,GrPX2,33,3,22,3,0.000107001,0.00309082,0.0346189
290,GrPX2,11,3,1,3,0.000109621,0.00236423,0.0463665
300,GrPX2,50,3,0,0,0.000106541,0.00193263,0.0551274
310,GrPX2,39,3,15,3,0.000109451,0.00280168,0.0390662
320,GrPX2,35,3,12,3,0.000110661,0.00280847,0.0394026
330,GrPX2,76,5,2,3,0.000104511,0.00356438,0.029321
340,GrPX2,6,3,0,0,0.00010846,0.00123654,0.0877125
350,GrPX2,11,3,13,3,0.000107711,0.00248879,0.0432785
360,GrPX2,50,3,0,0,0.000112591,0.00149636,0.0752432
370,GrPX2,65,3,11,3,0.000113751,0.00327686,0.0347134
380,GrPX2,26,4,0,0,0.000111951,0.00189266,0.05915
390,GrPX2,65,3,0,0,0.00010607,0.001947,0.0544785
400,GrPX2,41,3,0,0,0.000111351,0.0016666,0.0668132
410,GrPX2,46,3,0,0,0.000110321,0.00183946,0.0599745
420,GrPX2,34,3,0,0,0.000109931,0.00175549,0.0626211
430,GrPX2,32,3,0,0,0.000110481,0.00136428,0.0809811
440,GrPX2,25,3,2,3,0.00010778,0.00256855,0.0419614
450,GrPX2,61,4,0,0,0.000111051,0.00226198,0.0490947
460,GrPX2,22,3,7,3,0.000118211,0.00266032,0.0444349
470,GrPX2,16,3,20,3,0.000110321,0.0029811,0.0370068
480,GrPX2,32,3,0,0,0.00010865,0.00160822,0.067559
490,GrPX2,39,4,1,3,0.00011174,0.00303985,0.0367584
500,GrPX2,23,3,19,3,0.000111071,0.00284531,0.0390365
510,GrPX2,44,3,0,0,0.000108871,0.00159728,0.0681602
520,GrPX2,72,4,0,0,0.000114001,0.00231989,0.0491407
530,GrPX2,1,3,0,0,0.00010708,0.00109981,0.0973624
540,GrPX2,14,3,29,3,0.000109371,0.00296656,0.0368679
550,GrPX2,5,3,0,0,0.000113171,0.00125908,0.0898839
560,GrPX2,28,3,0,0,0.000111591,0.0015363,0.0726361
570,GrPX2,40,3,0,0,0.00011379,0.00159193,0.0714792
580,GrPX2,72,4,0,0,0.000111951,0.00242154,0.0462314
590,GrPX2,54,3,16,3,0.00010972,0.00318699,0.0344274
600,GrPX2,47,3,5,3,0.000114451,0.00308841,0.0370582
610,GrPX2,23,3,0,0,0.000103711,0.00127057,0.0816256
620,GrPX2,55,4,0,0,0.000110181,0.00186724,0.0590073
630,GrPX2,6,3,0,0,0.000110931,0.00112146,0.0989168
640,GrPX2,30,3,0,0,0.00011422,0.00158435,0.0720926
650,GrPX2,13,3,0,0,0.000109951,0.00130284,0.0843933
660,GrPX2,47,3,0,0,0.000107211,0.00192247,0.0557672
670,GrPX2,22,3,0,0,0.000109531,0.00162808,0.0672761
680,GrPX2,23,3,4,3,0.000110781,0.00269899,0.0410454
690,GrPX2,29,3,2,3,0.000112631,0.0024206,0.0465302
700,GrPX2,16,3,10,3,0.00010817,0.00248833,0.0434709
710,GrPX2,5,3,0,0,0.000114871,0.00120037,0.0956964
720,GrPX2,49,3,3,3,0.00010875,0.00279563,0.0389
730,GrPX2,26,3,0,0,0.000107641,0.00156851,0.0686262
740,GrPX2,57,3,11,3,0.000115751,0.00303977,0.0380788
750,GrPX2,13,3,0,0,0.000103331,0.00126286,0.0818231
760,GrPX2,11,3,2,3,0.000113851,0.00233674,0.0487222
770,GrPX2,73,4,0,0,0.000114271,0.00226959,0.0503488
780,GrPX2,31,3,0,0,0.000116351,0.00146566,0.0793847
790,GrPX2,33,3,0,0,0.000104811,0.00156397,0.0670159
