iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,OX,20,3,0,0,5.282e-05,0.00170772,0.0309301
10,OX,27,3,22,3,0.000357291,0.00286167,0.124854
20,OX,59,3,20,4,3.399e-05,0.00376816,0.00902032
30,OX,18,3,0,0,0.000325042,0.0013072,0.248656
40,OX,37,4,5,3,3.34e-05,0.00306902,0.010883
50,OX,15,3,0,0,0.000334182,0.00116954,0.285739
60,OX,0,3,0,0,3.242e-05,0.00104463,0.0310348
70,OX,18,3,0,0,0.000336462,0.00156988,0.214324
80,OX,71,5,31,3,0.000350741,0.00458757,0.0764546
90,OX,15,3,8,3,3.283e-05,0.00232813,0.0141014
100,OX,17,3,30,3,0.000333141,0.00324806,0.102566
110,OX,64,4,0,0,0.000339301,0.00229,0.148166
120,OX,5,3,0,0,0.000328092,0.00120054,0.273288
130,OX,35,3,6,3,0.000338062,0.00304951,0.110858
140,OX,26,3,22,3,0.000341462,0.0034364,0.0993663
150,OX,3,3,21,3,3.276e-05,0.00302764,0.0108203
160,OX,56,3,43,6,0.000330932,0.00517645,0.0639303
170,OX,49,5,3,3,0.000343832,0.0035435,0.0970318
180,OX,60,4,85,6,0.000342372,0.00678492,0.0504607
190,OX,16,3,0,0,3.312e-05,0.00142408,0.0232572
200,OX,8,3,0,0,3.3581e-05,0.00119748,0.0280432
210,OX,35,3,0,0,0.000349252,0.00171118,0.2041
220,OX,20,3,0,0,0.000336391,0.00143308,0.234733
230,OX,39,3,15,3,0.000341432,0.00315735,0.108139
240,OX,55,4,0,0,0.000345442,0.00233385,0.148014
250,OX,37,3,0,0,0.000341682,0.00173312,0.197149
260,OX,27,3,16,3,3.2381e-05,0.00321854,0.0100608
270,OX,43,3,59,4,0.000344942,0.00466168,0.0739952
280,OX,31,3,0,0,0.000343171,0.00141362,0.242761
290,OX,10,3,0,0,3.343e-05,0.0014594,0.0229067
300,OX,35,3,0,0,0.000338642,0.00168278,0.20124
310,OX,19,3,0,0,3.355e-05,0.00133479,0.0251351
320,OX,38,3,36,3,0.000346662,0.0036489,0.0950045
330,OX,47,3,0,0,0.000350462,0.00196037,0.178773
340,OX,8,3,0,0,3.312e-05,0.00110505,0.0299716
350,OX,52,3,0,0,0.000336642,0.00186017,0.180974
360,OX,38,3,6,3,3.316e-05,0.00296865,0.01117
370,OX,18,3,2,3,0.000342461,0.00241015,0.142091
380,OX,10,3,24,3,0.000341471,0.00288476,0.118371
390,OX,49,4,0,0,0.000331781,0.00207748,0.159704
400,OX,29,3,0,0,0.000335871,0.00161884,0.207477
410,OX,31,3,0,0,3.5121e-05,0.00151926,0.0231172
420,OX,18,3,0,0,3.396e-05,0.00153774,0.0220844
430,OX,6,3,0,0,0.000343682,0.0011884,0.289198
440,OX,2,3,0,0,3.4141e-05,0.00106233,0.0321377
450,OX,19,3,6,3,0.000329222,0.00268105,0.122796
460,OX,22,3,0,0,0.000335001,0.00139571,0.240022
470,OX,20,3,8,4,3.3221e-05,0.00264501,0.0125599
480,OX,8,3,0,0,0.000438412,0.00122351,0.358324
490,OX,29,4,0,0,0.000346402,0.00175446,0.197441
500,OX,16,3,0,0,0.000342381,0.00153347,0.223272
510,OX,1,3,1,3,3.325e-05,0.00208018,0.0159842
520,OX,44,3,0,0,0.000331792,0.00176448,0.18804
530,OX,15,3,0,0,0.000336662,0.00134673,0.249985
540,OX,30,3,0,0,0.000339492,0.00140052,0.242405
550,OX,46,4,0,0,0.000342342,0.00202488,0.169068
560,OX,58,4,13,3,0.000350382,0.00383647,0.0913293
570,OX,37,4,13,3,0.000341872,0.00337502,0.101295
580,OX,11,4,1,3,3.461e-05,0.00274661,0.012601
590,OX,48,3,0,0,0.000354112,0.00197097,0.179664
600,OX,0,3,1,3,3.321e-05,0.00211237,0.0157217
610,OX,34,3,0,0,3.257e-05,0.0014553,0.0223803
620,OX,19,3,0,0,0.000329512,0.00128338,0.256754
630,OX,23,3,0,0,0.000344102,0.00132071,0.260544
640,OX,44,3,3,3,0.000356082,0.00256936,0.138588
650,OX,3,3,0,0,3.523e-05,0.00108354,0.0325139
660,OX,36,3,0,0,0.000347432,0.00175047,0.198479
670,OX,28,3,0,0,0.000351691,0.0015492,0.227015
680,OX,23,3,7,3,0.000341212,0.00257144,0.132693
690,OX,43,4,0,0,0.000359792,0.00197657,0.182028
700,OX,27,3,1,3,0.000356872,0.00254232,0.140372
710,OX,40,3,0,0,0.000350411,0.00175822,0.199299
720,OX,35,3,11,3,0.000339172,0.00270011,0.125614
730,OX,48,3,17,3,0.000345622,0.003185,0.108516
740,OX,11,3,0,0,3.397e-05,0.00114174,0.0297529
750,OX,32,3,0,0,0.000332581,0.00154634,0.215077
760,OX,52,5,0,0,0.000360842,0.002266,0.159242
770,OX,20,3,0,0,0.000337402,0.00127282,0.265083
780,OX,18,3,0,0,0.000339281,0.00124795,0.271871
790,OX,2,3,1,3,3.296e-05,0.00210596,0.0156508
800,OX,11,3,0,0,0.000346302,0.00122064,0.283706
810,OX,38,3,0,0,0.000349062,0.00167069,0.208933
820,OX,1,3,1,3,3.421e-05,0.00215502,0.0158746
830,OX,1,3,0,0,3.303e-05,0.00103243,0.0319926
840,OX,50,3,22,3,0.000343542,0.00317449,0.10822
850,OX,0,3,0,0,3.426e-05,0.00102798,0.0333276
