iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,GrPX,89,5,0,0,0.00010374,0.00333204,0.0311341
10,GOX,114,4,0,0,0.00011887,0.00325073,0.0365672
20,OX,67,5,0,0,3.358e-05,0.00318402,0.0105464
30,GOX,88,6,6,3,0.00010697,0.00609712,0.0175443
40,PL,162,6,0,0,0.00242329,0.00525057,0.461529
50,EAX,332,5,0,0,0.00050618,0.00577277,0.0876841
60,AOX,72,5,96,6,3.428e-05,0.0102641,0.00333979
70,GrPX,78,4,6,3,8.665e-05,0.00481823,0.0179838
80,EAX,338,5,0,0,0.00048663,0.00638218,0.0762483
90,AOX,35,5,113,5,3.416e-05,0.00975078,0.00350331
100,GrPX,72,4,0,0,0.00016402,0.00258366,0.0634836
110,PMX,44,4,0,0,4.803e-05,0.00294642,0.0163011
120,OX,93,4,5,3,3.403e-05,0.00451401,0.00753875
130,EAX,351,7,106,6,0.00050772,0.0126489,0.0401394
140,GOX,82,4,18,5,8.322e-05,0.00469743,0.0177161
150,GrPX,108,5,0,0,9.191e-05,0.00382924,0.0240022
160,PMX,63,5,0,0,4.961e-05,0.00315694,0.0157146
170,GOX,188,6,0,0,0.00029655,0.00495132,0.0598931
180,UOX,230,5,0,0,4.538e-05,0.00475764,0.00953834
190,LOX,76,4,0,0,3.457e-05,0.00289123,0.0119569
200,UOX,174,6,0,0,4.468e-05,0.00446913,0.00999747
210,PL,141,5,3,3,0.00241767,0.00780444,0.309781
220,PMX,103,4,116,6,4.932e-05,0.00928387,0.00531244
230,GrPX,32,4,11,3,9.288e-05,0.00491323,0.0189041
240,EAX,365,7,229,6,0.00066206,0.0127728,0.0518335
250,OX,98,6,0,0,3.378e-05,0.00581816,0.00580596
260,AOX,91,8,0,0,3.395e-05,0.0053194,0.0063823
270,PL,167,5,81,7,0.00244524,0.0111259,0.219779
280,AOX,168,6,0,0,0.0002129,0.00543466,0.0391745
290,GrPX,87,5,0,0,8.759e-05,0.00441674,0.0198314
300,GOX,146,7,90,5,0.00010093,0.0113957,0.00885684
310,GrPX,79,7,0,0,9.179e-05,0.0039221,0.0234033
320,UOX,219,8,84,7,4.417e-05,0.0134037,0.00329537
330,AOX,113,9,145,7,3.332e-05,0.0124047,0.00268608
340,EAX,335,7,117,5,0.00053081,0.0124813,0.0425284
350,PL,88,4,0,0,0.00244082,0.00354993,0.687568
360,LOX,74,4,2,3,3.5e-05,0.00434083,0.00806298
370,AOX,64,8,0,0,3.387e-05,0.00553318,0.00612126
380,GrPX,86,4,0,0,9.461e-05,0.00310627,0.0304578
390,OX,102,6,0,0,3.536e-05,0.00516022,0.00685242
400,PMX,130,6,0,0,4.975e-05,0.00575704,0.0086416
410,GrPX,139,5,8,3,9.471e-05,0.00503325,0.0188169
420,LOX,7,3,110,6,3.277e-05,0.00689118,0.00475536
430,EAX,325,8,0,0,0.00051813,0.00839214,0.0617399
440,EAX,342,6,99,5,0.00049768,0.0116743,0.0426303
450,AOX,141,4,142,7,3.475e-05,0.0100651,0.00345253
460,PMX,96,4,0,3,5.618e-05,0.00556384,0.0100973
470,PMX,36,3,3,3,4.938e-05,0.00372542,0.0132549
480,PL,171,5,0,0,0.00245208,0.00505568,0.485015
490,PMX,99,5,0,0,5.473e-05,0.00499992,0.0109462
500,PL,97,4,9,4,0.00236983,0.00645562,0.367096
510,LOX,27,4,4,3,3.276e-05,0.0051112,0.00640945
520,LOX,82,5,0,0,3.367e-05,0.00350727,0.00960006
530,AOX,60,5,100,7,3.332e-05,0.0092242,0.00361224
540,PMX,19,3,147,5,6.307e-05,0.0072713,0.00867383
550,EAX,354,5,81,8,0.00048826,0.0134988,0.0361705
560,PL,119,5,2,3,0.00242658,0.00643531,0.377073
570,PL,99,4,13,3,0.00241986,0.00490661,0.493184
580,PMX,44,4,36,3,4.78e-05,0.0057949,0.00824863
590,EAX,321,7,0,0,0.00046356,0.00769207,0.0602647
600,GOX,61,5,0,0,9.7409e-05,0.00313889,0.031033
610,EAX,337,9,0,0,0.0005772,0.00951444,0.0606657
620,GOX,44,3,0,0,8.415e-05,0.0026956,0.0312175
630,LOX,89,5,81,5,3.283e-05,0.00891259,0.00368355
640,PL,194,7,25,4,0.0024132,0.0106064,0.227524
650,AOX,88,4,31,5,3.51e-05,0.00822598,0.00426697
660,EAX,374,6,0,0,0.00050282,0.00692792,0.0725788
670,AOX,43,5,0,0,3.357e-05,0.00338044,0.00993066
680,PL,102,4,0,0,0.00245654,0.00362047,0.678514
690,GrPX,65,5,0,0,8.686e-05,0.00243964,0.0356036
700,GrPX,114,4,0,0,9.085e-05,0.0032952,0.0275704
710,EAX,291,6,286,6,0.000623579,0.0133614,0.0466702
720,UOX,160,5,17,3,4.406e-05,0.00717047,0.00614465
730,GrPX,77,3,0,0,9.053e-05,0.00282584,0.0320365
740,PL,136,4,0,0,0.00252289,0.00363635,0.693798
750,UOX,164,4,0,0,4.463e-05,0.00340146,0.0131208
760,LOX,50,7,0,0,3.253e-05,0.00477373,0.00681438
770,GrPX,104,5,0,0,8.6e-05,0.00317358,0.0270987
780,GOX,105,4,0,0,9.065e-05,0.00346503,0.0261614
790,PMX,34,4,62,7,4.698e-05,0.00838223,0.00560472
800,LOX,76,4,0,0,3.48e-05,0.0029319,0.0118694
810,LOX,95,5,0,0,3.41e-05,0.00465914,0.00731895
820,LOX,104,5,125,4,3.464e-05,0.00879133,0.00394025
830,GrPX,109,5,32,6,8.799e-05,0.00613944,0.0143319
840,PMX,56,5,116,4,4.854e-05,0.00735222,0.00660209
850,AOX,111,5,0,0,3.398e-05,0.00443728,0.00765785
860,PMX,72,5,3,3,5.515e-05,0.00566855,0.00972912
870,LOX,41,4,80,8,3.269e-05,0.00775797,0.00421373
880,EAX,286,7,0,0,0.00071143,0.00691049,0.102949
890,OX,144,8,103,9,3.39e-05,0.013099,0.00258799
900,GrPX,133,5,6,3,8.961e-05,0.00530774,0.0168829
910,PMX,59,4,0,0,5.437e-05,0.00282695,0.0192327
920,OX,78,5,30,4,3.302e-05,0.0063948,0.00516357
930,EAX,362,6,90,6,0.00053891,0.0129424,0.0416391
940,AOX,85,4,0,0,3.507e-05,0.00320694,0.0109357
950,AOX,48,8,8,3,3.34e-05,0.00512066,0.0065226
960,OX,118,5,0,0,3.396e-05,0.00459415,0.00739201
970,PL,96,4,0,0,0.00240368,0.00325182,0.73918
980,GrPX,81,4,0,0,8.656e-05,0.00319329,0.0271068
990,UOX,276,8,4,3,4.543e-05,0.00954242,0.00476085
1000,UOX,208,6,165,7,4.418e-05,0.0126921,0.0034809
1010,UOX,226,5,0,0,4.491e-05,0.00428603,0.0104782
1020,AOX,78,4,11,3,3.488e-05,0.00502611,0.00693976
1030,AOX,104,7,0,0,3.364e-05,0.00603691,0.00557239
1040,LOX,39,3,0,0,3.395e-05,0.00222207,0.0152786
1050,OX,129,5,0,0,3.568e-05,0.00354819,0.0100558
1060,LOX,14,3,70,7,3.289e-05,0.00612707,0.00536798
1070,GrPX,90,7,80,4,9.104e-05,0.0111259,0.00818271
1080,PL,157,6,0,0,0.00246093,0.00379916,0.647757
1090,AOX,36,3,0,0,3.29e-05,0.00231342,0.0142214
1100,GOX,129,4,11,4,0.00010878,0.00548807,0.0198212
1110,PMX,35,4,84,5,3.973e-05,0.00731178,0.0054337
1120,GrPX,90,3,110,5,9.474e-05,0.00730623,0.012967
1130,GrPX,95,5,2,3,8.859e-05,0.00435789,0.0203286
1140,UOX,175,3,0,0,4.339e-05,0.00370204,0.0117206
1150,AOX,74,4,0,0,3.427e-05,0.00369274,0.00928037
1160,PMX,35,4,2,3,4.025e-05,0.00476682,0.00844379
1170,UOX,116,6,15,4,4.353e-05,0.00759103,0.0057344
1180,PL,118,4,0,0,0.00238512,0.00351012,0.679498
1190,GOX,82,6,12,3,9.364e-05,0.00552177,0.0169583
1200,PMX,79,4,130,7,5.387e-05,0.00971806,0.00554329
1210,LOX,33,3,113,5,3.401e-05,0.00622379,0.00546452
1220,OX,61,3,0,0,3.534e-05,0.00211386,0.0167182
1230,AOX,37,4,0,0,3.267e-05,0.00239561,0.0136374
1240,PL,146,5,8,3,0.00244551,0.00715474,0.341803
1250,AOX,102,5,0,0,3.388e-05,0.00413853,0.00818648
1260,EAX,368,7,0,0,0.00051332,0.00771128,0.0665674
1270,EAX,349,8,0,0,0.00052765,0.00899889,0.058635
1280,EAX,264,5,0,0,0.00048473,0.00692231,0.0700243
1290,GrPX,115,6,0,0,9.405e-05,0.00390419,0.0240895
1300,OX,40,4,0,0,3.371e-05,0.00262949,0.01282
1310,PL,116,3,0,0,0.00233837,0.00267839,0.87305
1320,PL,118,4,0,0,0.00244503,0.00356866,0.68514
1330,GrPX,108,6,0,0,9.047e-05,0.00413914,0.0218572
1340,LOX,92,6,0,0,3.396e-05,0.00400495,0.00847951
1350,LOX,54,5,0,0,3.583e-05,0.00312521,0.0114648
1360,OX,0,3,77,6,3.439e-05,0.00669669,0.00513537
1370,AOX,59,5,0,0,3.447e-05,0.00384626,0.00896195
1380,PL,122,5,89,5,0.00242744,0.00853627,0.284368
1390,PMX,20,3,18,3,4.421e-05,0.00426042,0.0103769
1400,UOX,200,7,111,9,4.572e-05,0.0140647,0.0032507
1410,LOX,50,3,0,0,3.406e-05,0.0018932,0.0179907
1420,GrPX,117,4,7,4,9.412e-05,0.00714438,0.013174
1430,GOX,90,3,0,0,0.00010122,0.002657,0.0380956
1440,UOX,177,6,2,3,4.519e-05,0.00661159,0.00683497
1450,AOX,43,4,0,0,3.308e-05,0.00272049,0.0121596
1460,PMX,12,3,2,3,3.931e-05,0.00252248,0.0155839
1470,GOX,157,4,0,0,0.00011536,0.00391333,0.0294787
1480,LOX,51,4,0,0,3.701e-05,0.00363386,0.0101848
1490,AOX,104,4,0,0,3.2949e-05,0.00415722,0.00792573
1500,LOX,89,5,3,3,3.361e-05,0.0056442,0.00595479
