iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,EAX,331,5,0,0,0.000538962,0.00432802,0.124529
10,EAX,305,5,0,0,0.000463542,0.00432445,0.107191
20,EAX,221,6,0,0,0.000466262,0.00364832,0.127802
30,EAX,279,5,0,0,0.000355361,0.00370972,0.0957919
40,EAX,285,6,0,0,0.000462502,0.00423685,0.109162
50,EAX,277,5,0,0,0.000472153,0.00372337,0.126808
60,EAX,284,7,0,0,0.000420912,0.00471072,0.0893519
70,EAX,269,6,0,0,0.000478332,0.0039968,0.119679
80,EAX,278,6,0,0,0.000450832,0.0043702,0.103161
90,EAX,257,4,0,0,0.000459472,0.00390125,0.117776
100,EAX,310,5,0,0,0.000422072,0.00406768,0.103762
110,EAX,269,6,0,0,0.000432232,0.00407959,0.10595
120,EAX,270,7,0,0,0.000476632,0.00493141,0.0966523
130,EAX,275,4,0,0,0.000414801,0.0036188,0.114624
140,EAX,261,6,0,0,0.000451272,0.004074,0.110769
150,EAX,285,6,0,0,0.000471962,0.00405723,0.116326
160,EAX,285,6,0,0,0.000479022,0.00431877,0.110916
170,EAX,249,6,0,0,0.000416942,0.00412044,0.101189
180,EAX,243,5,0,0,0.000478552,0.00383022,0.124941
190,EAX,267,6,21,3,0.000448832,0.00604412,0.0742593
200,EAX,259,6,0,0,0.000472582,0.00482399,0.0979649
210,EAX,315,6,0,0,0.000455942,0.00461931,0.0987035
220,EAX,246,6,0,0,0.000472822,0.00404384,0.116924
230,EAX,250,5,0,0,0.000458972,0.00427187,0.107441
240,EAX,244,4,0,0,0.000443192,0.0035414,0.125146
250,EAX,247,7,0,0,0.000548072,0.00427769,0.128123
260,EAX,243,7,0,0,0.000448812,0.00454537,0.0987405
270,EAX,277,6,0,0,0.000441702,0.00413315,0.106868
280,EAX,258,5,0,0,0.000515192,0.0038904,0.132427
290,EAX,271,5,0,0,0.000474352,0.00391155,0.12127
300,EAX,274,6,0,0,0.000443522,0.00455011,0.097475
310,EAX,233,4,0,0,0.000461132,0.00336018,0.137234
320,EAX,276,6,15,3,0.000416642,0.00586069,0.071091
330,EAX,275,7,12,3,0.000511613,0.0059917,0.085387
340,EAX,226,5,0,0,0.000474182,0.00406444,0.116666
350,EAX,226,6,0,0,0.000439512,0.00434084,0.10125
360,EAX,274,5,0,0,0.000440492,0.00377308,0.116746
370,EAX,227,6,0,0,0.000418121,0.00405697,0.103062
380,EAX,278,5,0,0,0.000425442,0.00389238,0.109301
390,EAX,200,5,0,0,0.000426702,0.00355687,0.119966
400,EAX,272,6,0,0,0.000447742,0.00435335,0.10285
410,EAX,252,5,0,0,0.000454922,0.00383313,0.118682
420,EAX,208,5,0,0,0.000441312,0.00363323,0.121466
430,EAX,176,5,0,0,0.000500132,0.00358594,0.13947
440,EAX,216,5,8,3,0.000424552,0.00534507,0.0794287
450,EAX,259,7,0,0,0.000439622,0.00387299,0.11351
460,EAX,211,6,45,4,0.000476982,0.00629354,0.0757892
470,EAX,229,6,0,0,0.000464632,0.00437234,0.106266
480,EAX,232,6,0,0,0.000468182,0.00415724,0.112619
490,EAX,235,5,0,0,0.000490402,0.00432747,0.113323
500,EAX,187,4,0,0,0.000462462,0.00339827,0.136088
510,EAX,0,3,0,0,0.00015527,0.000951294,0.16322
520,EAX,241,5,0,0,0.000464532,0.00375907,0.123576
530,EAX,220,5,0,0,0.000477402,0.0037137,0.128552
540,EAX,210,5,0,0,0.000458742,0.00372599,0.12312
550,EAX,188,5,0,0,0.000430242,0.00384174,0.111992
560,EAX,231,8,0,0,0.000497672,0.00472442,0.10534
570,EAX,208,7,8,3,0.000434252,0.00560014,0.077543
580,EAX,207,5,4,3,0.000454992,0.0047105,0.096591
590,EAX,204,6,20,3,0.000419782,0.00552247,0.0760134
600,EAX,183,5,23,3,0.000482442,0.00514156,0.0938318
610,EAX,194,5,0,0,0.000426731,0.00423355,0.100797
620,EAX,213,4,0,0,0.000435812,0.00398313,0.109415
