iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,GOX,34,3,0,0,0.000145211,0.00252839,0.0574323
10,GOX,106,7,0,0,0.000222862,0.00750367,0.0297004
20,GOX,92,4,0,0,0.000217501,0.00389794,0.055799
30,GOX,125,5,0,0,0.000199301,0.00521188,0.0382398
40,GOX,99,6,0,0,0.000199212,0.00703876,0.0283022
50,GOX,84,4,0,0,0.000181811,0.00514284,0.0353522
60,GOX,16,3,0,0,0.00013273,0.00190612,0.0696335
70,GOX,129,7,0,0,0.000210572,0.00821372,0.0256366
80,GOX,43,5,0,0,0.000104231,0.00383308,0.0271925
90,GOX,135,6,0,0,0.000203501,0.00605145,0.0336285
100,GOX,108,6,0,0,0.000107001,0.00536561,0.019942
110,GOX,52,4,0,0,0.000167671,0.00433574,0.0386718
120,GOX,65,3,0,0,0.000204171,0.00363191,0.0562158
130,GOX,140,5,0,0,0.000208012,0.00600569,0.0346358
140,GOX,190,5,0,0,0.000176571,0.00578527,0.0305208
150,GOX,103,9,0,0,0.000212301,0.00772114,0.0274961
160,GOX,124,6,0,0,0.000164221,0.00580147,0.0283068
170,GOX,95,4,0,0,0.000186961,0.00352715,0.0530062
180,GOX,150,5,0,0,0.000207581,0.00741806,0.0279832
190,GOX,166,5,0,0,0.000203491,0.0053429,0.0380863
200,GOX,64,4,0,0,0.000170681,0.0046559,0.0366591
210,GOX,106,4,0,0,9.728e-05,0.00514335,0.0189137
220,GOX,79,4,0,0,0.000201291,0.00456052,0.0441377
230,GOX,147,6,0,0,0.000188832,0.00646118,0.0292256
240,GOX,164,5,0,0,0.000221941,0.00504277,0.0440117
250,GOX,87,5,0,0,0.000196362,0.00493952,0.0397532
260,GOX,102,4,0,0,0.000207321,0.00412781,0.0502254
270,GOX,101,4,0,0,0.000210441,0.00550561,0.038223
280,GOX,59,4,0,0,0.00010534,0.00486057,0.0216723
290,GOX,108,5,0,0,0.000199591,0.00527389,0.0378451
300,GOX,72,5,0,0,0.000178761,0.00578774,0.0308862
310,GOX,125,5,0,0,0.000196091,0.0045548,0.0430515
320,GOX,85,3,0,0,0.000205791,0.00416687,0.0493875
330,GOX,66,4,0,0,0.000198042,0.00400945,0.0493939
340,GOX,79,6,0,0,0.000166171,0.00569671,0.0291697
350,GOX,94,4,0,0,0.000205801,0.00406126,0.0506742
360,GOX,66,3,0,0,0.000222181,0.00309163,0.0718653
370,GOX,78,3,0,0,0.000210261,0.00392346,0.0535908
380,GOX,46,6,0,0,0.000168501,0.00505309,0.0333461
390,GOX,127,6,0,0,0.000182201,0.00777253,0.0234417
400,GOX,113,5,0,0,0.000179621,0.00618625,0.0290355
410,GOX,73,4,0,0,0.000220881,0.00436203,0.0506372
420,GOX,103,7,0,0,0.000203811,0.00651403,0.031288
430,GOX,91,8,0,0,0.000193332,0.00704274,0.0274513
440,GOX,123,4,0,0,0.000190511,0.00418589,0.0455127
450,GOX,104,6,0,0,0.000200361,0.00603375,0.0332067
460,GOX,118,4,0,0,0.000207401,0.00494525,0.0419394
470,GOX,49,3,0,0,0.000172961,0.00357981,0.0483156
480,GOX,69,5,0,0,0.000167901,0.00535648,0.0313454
490,GOX,128,6,0,0,0.000186922,0.00551238,0.0339095
500,GOX,146,7,0,0,0.000200321,0.00750145,0.0267043
510,GOX,109,4,0,0,0.000203511,0.00473411,0.0429882
520,GOX,86,5,0,0,0.000199521,0.00522031,0.0382201
530,GOX,106,4,0,0,0.000188421,0.00303205,0.0621431
540,GOX,112,7,0,0,0.000198301,0.00758419,0.0261466
550,GOX,102,4,0,0,0.000200142,0.00396941,0.0504211
560,GOX,59,4,0,0,0.000188491,0.00419534,0.0449287
570,GOX,98,5,0,0,0.000185541,0.00384342,0.048275
580,GOX,124,6,0,0,0.000204731,0.006645,0.0308098
590,GOX,104,4,0,0,0.000204981,0.00409208,0.0500922
600,GOX,143,4,0,0,0.000204142,0.00477916,0.042715
610,GOX,103,6,0,0,0.000183241,0.00722456,0.0253636
620,GOX,48,5,0,0,9.3851e-05,0.00533798,0.0175818
630,GOX,86,4,0,0,0.000195312,0.00381976,0.0511321
640,GOX,75,3,0,0,0.000209662,0.0041154,0.0509458
650,GOX,79,4,0,0,0.000180451,0.00404285,0.0446346
660,GOX,31,4,0,0,0.000190802,0.00336921,0.056631
670,GOX,80,5,0,0,0.000146211,0.00436571,0.0334908
680,GOX,94,5,0,0,0.000180151,0.00506187,0.0355898
690,GOX,66,4,0,0,0.000165341,0.00311748,0.0530367
700,GOX,108,5,0,0,0.000176801,0.00540127,0.0327333
710,GOX,50,5,0,0,7.879e-05,0.0045955,0.017145
720,GOX,62,5,0,0,0.000157591,0.00518933,0.0303683
730,GOX,94,5,0,0,0.000159001,0.0049134,0.0323607
740,GOX,68,4,0,0,7.3451e-05,0.00379715,0.0193437
750,GOX,112,5,0,0,7.6361e-05,0.00477277,0.0159993
