iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,GrPX,72,4,0,0,8.135e-05,0.00383785,0.0211968
10,GrPX,81,3,0,0,4.667e-05,0.00330346,0.0141276
20,GrPX,61,5,0,0,4.534e-05,0.0045845,0.00988985
30,GrPX,70,6,0,0,4.786e-05,0.00465715,0.0102767
40,GrPX,66,4,0,0,5.13e-05,0.00391168,0.0131146
50,GrPX,76,3,0,0,4.869e-05,0.00262181,0.0185711
60,GrPX,19,3,0,0,4.157e-05,0.00192824,0.0215585
70,GrPX,110,6,0,0,4.751e-05,0.00423657,0.0112143
80,GrPX,50,3,0,0,4.862e-05,0.00266721,0.0182288
90,GrPX,33,3,0,0,4.077e-05,0.00231007,0.0176488
100,GrPX,66,3,0,0,4.346e-05,0.00350513,0.012399
110,GrPX,33,3,0,0,4.753e-05,0.003046,0.0156041
120,GrPX,15,3,0,0,4.829e-05,0.00163657,0.0295068
130,GrPX,69,5,0,0,4.155e-05,0.00433562,0.00958341
140,GrPX,21,3,0,0,4.455e-05,0.00169734,0.0262469
150,GrPX,0,3,0,0,4.667e-05,0.00137581,0.0339218
160,GrPX,54,5,0,0,4.822e-05,0.00460423,0.010473
170,GrPX,65,4,0,0,4.906e-05,0.0036888,0.0132997
180,GrPX,61,3,0,0,4.467e-05,0.00253431,0.0176261
190,GrPX,108,4,0,0,4.827e-05,0.00402725,0.0119859
200,GrPX,48,5,0,0,5.07e-05,0.00420505,0.0120569
210,GrPX,78,5,0,0,5.023e-05,0.00392656,0.0127924
220,GrPX,42,3,0,0,4.217e-05,0.00221082,0.0190743
230,GrPX,55,4,0,0,4.773e-05,0.00365052,0.0130749
240,GrPX,51,3,0,0,4.933e-05,0.00266454,0.0185135
250,GrPX,89,5,0,0,5.059e-05,0.00367924,0.0137501
260,GrPX,75,4,0,0,4.326e-05,0.0028052,0.0154213
270,GrPX,120,4,0,0,4.916e-05,0.00512346,0.00959508
280,GrPX,17,3,0,0,4.6571e-05,0.00172793,0.0269519
290,GrPX,49,3,0,0,4.696e-05,0.00323263,0.0145269
300,GrPX,15,3,0,0,4.21e-05,0.00204658,0.0205709
310,GrPX,29,3,0,0,4.577e-05,0.00201056,0.0227648
320,GrPX,51,3,0,0,4.9311e-05,0.00318222,0.0154958
330,GrPX,52,3,0,0,5.17e-05,0.00268369,0.0192645
340,GrPX,0,3,0,0,4.076e-05,0.00131222,0.0310618
350,GrPX,44,3,0,0,4.044e-05,0.00274031,0.0147575
360,GrPX,12,3,0,0,4.809e-05,0.00189955,0.0253165
370,GrPX,61,5,0,0,4.065e-05,0.00321879,0.012629
380,GrPX,54,4,0,0,4.297e-05,0.00348651,0.0123247
390,GrPX,38,3,0,0,4.439e-05,0.00269077,0.0164971
400,GrPX,40,3,0,0,4.5221e-05,0.0023433,0.019298
410,GrPX,38,4,0,0,4.9851e-05,0.00309736,0.0160947
420,GrPX,49,5,0,0,4.647e-05,0.00486899,0.00954408
430,GrPX,67,4,0,0,4.4111e-05,0.00362843,0.0121571
440,GrPX,63,6,0,0,5.036e-05,0.00571136,0.00881751
450,GrPX,69,3,0,0,5.694e-05,0.00384749,0.0147993
460,GrPX,89,6,0,0,4.288e-05,0.00482076,0.00889486
470,GrPX,0,3,0,0,4.275e-05,0.00129287,0.0330659
480,GrPX,44,6,0,0,4.53e-05,0.00420426,0.0107748
490,GrPX,45,3,0,0,4.811e-05,0.00187983,0.0255927
500,GrPX,52,9,0,0,4.315e-05,0.00731762,0.00589672
510,GrPX,58,3,0,0,3.855e-05,0.00212616,0.0181312
520,GrPX,27,3,0,0,3.899e-05,0.00210584,0.0185151
530,GrPX,23,3,0,0,4.886e-05,0.00180606,0.0270533
540,GrPX,21,4,0,0,4.176e-05,0.00315057,0.0132548
550,GrPX,51,6,0,0,3.999e-05,0.00478169,0.00836315
560,GrPX,53,3,0,0,4.783e-05,0.00304065,0.0157302
570,GrPX,49,3,0,0,4.276e-05,0.00184666,0.0231553
580,GrPX,78,4,0,0,5.243e-05,0.0040489,0.0129492
590,GrPX,66,3,0,0,5.072e-05,0.0026763,0.0189515
600,GrPX,60,3,0,0,4.828e-05,0.00307827,0.0156842
610,GrPX,0,3,8,4,3.49e-05,0.00435853,0.00800729
620,GrPX,21,3,0,0,5.065e-05,0.00222453,0.0227688
630,GrPX,23,3,0,0,3.838e-05,0.00222974,0.0172127
640,GrPX,0,3,0,0,4.315e-05,0.00122256,0.0352947
650,GrPX,63,4,0,0,5.053e-05,0.00481469,0.010495
660,GrPX,70,7,0,0,5.1851e-05,0.00505056,0.0102664
670,GrPX,50,6,0,0,4.073e-05,0.00441112,0.00923349
680,GrPX,0,3,0,0,3.957e-05,0.00117876,0.0335691
690,GrPX,63,5,0,0,4.382e-05,0.00573251,0.00764412
700,GrPX,35,3,0,0,5.143e-05,0.00199333,0.025801
710,GrPX,79,5,0,0,5.144e-05,0.00486315,0.0105775
720,GrPX,31,3,0,0,4.288e-05,0.00249507,0.0171859
730,GrPX,59,4,0,0,4.612e-05,0.0040893,0.0112782
740,GrPX,26,3,0,0,5.038e-05,0.00281032,0.0179268
750,GrPX,82,4,0,0,5.599e-05,0.00440475,0.0127113
760,GrPX,46,3,0,0,4.369e-05,0.00255174,0.0171216
770,GrPX,39,4,0,0,4.523e-05,0.00252046,0.0179452
780,GrPX,82,6,0,0,4.608e-05,0.00471807,0.00976671
790,GrPX,45,4,0,0,4.95e-05,0.00357099,0.0138617
800,GrPX,30,3,0,0,5.187e-05,0.00172069,0.0301448
810,GrPX,64,3,0,0,4.456e-05,0.00244482,0.0182263
820,GrPX,32,3,0,0,4.6951e-05,0.00219549,0.0213852
830,GrPX,57,3,0,0,4.901e-05,0.0029481,0.0166243
840,GrPX,16,4,0,0,4.846e-05,0.00213823,0.0226637
850,GrPX,12,3,0,0,4.211e-05,0.00190245,0.0221346
860,GrPX,46,4,0,0,4.778e-05,0.00206545,0.0231329
870,GrPX,59,3,0,0,4.782e-05,0.002248,0.0212722
880,GrPX,52,3,0,0,5.021e-05,0.00232239,0.02162
890,GrPX,45,5,0,0,5.262e-05,0.0034451,0.0152739
900,GrPX,57,3,0,0,4.496e-05,0.00263415,0.0170682
910,GrPX,24,3,0,0,4.279e-05,0.00226945,0.0188548
920,GrPX,0,3,0,0,5.053e-05,0.00124987,0.0404281
930,GrPX,54,4,0,0,4.682e-05,0.00291085,0.0160846
940,GrPX,76,4,0,0,5.35e-05,0.00361651,0.0147933
950,GrPX,63,4,0,0,4.32e-05,0.00400402,0.0107892
960,GrPX,28,3,0,0,4.356e-05,0.00244093,0.0178456
970,GrPX,51,4,0,0,5.063e-05,0.00272115,0.0186061
980,GrPX,28,4,0,0,5.1731e-05,0.00251513,0.0205679
990,GrPX,0,3,3,3,5.079e-05,0.00376887,0.0134762
1000,GrPX,51,5,0,0,4.634e-05,0.00439015,0.0105555
1010,GrPX,29,3,11,4,5.027e-05,0.00539469,0.00931842
1020,GrPX,64,5,0,0,5.202e-05,0.00365366,0.0142378
1030,GrPX,44,4,0,0,4.985e-05,0.00295313,0.0168804
1040,GrPX,36,4,0,0,5.561e-05,0.00420167,0.0132352
1050,GrPX,31,3,0,0,4.477e-05,0.00250079,0.0179024
1060,GrPX,58,4,0,0,4.2861e-05,0.00366028,0.0117098
1070,GrPX,45,5,0,0,4.86e-05,0.00520748,0.00933273
1080,GrPX,28,3,12,5,4.427e-05,0.00623438,0.00710094
1090,GrPX,71,4,0,0,5.311e-05,0.00419848,0.0126498
1100,GrPX,63,4,0,0,4.45e-05,0.00379857,0.0117149
1110,GrPX,42,6,0,0,4.788e-05,0.00693029,0.0069088
1120,GrPX,41,4,0,0,5.148e-05,0.00288172,0.0178644
1130,GrPX,28,3,0,0,4.794e-05,0.00220724,0.0217194
1140,GrPX,103,5,0,0,4.689e-05,0.00444377,0.0105519
1150,GrPX,61,5,0,0,4.515e-05,0.00333161,0.013552
1160,GrPX,40,3,5,3,4.645e-05,0.00558779,0.00831277
1170,GrPX,52,5,0,0,4.98e-05,0.00463397,0.0107467
1180,GrPX,19,3,0,0,5.125e-05,0.00243811,0.0210203
1190,GrPX,22,3,0,0,5.65e-05,0.00154136,0.0366559
1200,GrPX,17,3,0,0,5.141e-05,0.0028089,0.0183025
1210,GrPX,11,3,0,0,4.806e-05,0.00147304,0.0326264
1220,GrPX,28,3,0,3,4.177e-05,0.00379347,0.011011
1230,GrPX,43,5,0,0,4.803e-05,0.00420705,0.0114166
1240,GrPX,66,3,0,0,5.113e-05,0.00328046,0.0155862
1250,GrPX,30,3,0,0,5.022e-05,0.00302748,0.0165881
1260,GrPX,64,4,0,0,5.027e-05,0.00277239,0.0181323
1270,GrPX,28,4,0,0,4.606e-05,0.00377008,0.0122173
1280,GrPX,20,3,15,4,4.311e-05,0.0049307,0.00874318
1290,GrPX,19,3,2,3,4.92e-05,0.00261554,0.0188106
1300,GrPX,9,3,7,3,4.776e-05,0.00423547,0.0112762
1310,GrPX,37,3,0,0,5.231e-05,0.00270264,0.0193552
1320,GrPX,26,3,13,3,4.514e-05,0.0055193,0.00817857
1330,GrPX,57,4,0,0,4.625e-05,0.00273215,0.0169281
