iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,GLOX,65,6,0,0,0.000405133,0.00431854,0.0938126
10,GLOX,0,3,0,0,8.4471e-05,0.00141308,0.059778
20,GLOX,72,5,0,0,0.000373692,0.0040491,0.09229
30,GLOX,75,4,0,0,0.000391613,0.00364306,0.107496
40,GLOX,72,4,0,0,8.5181e-05,0.00350115,0.0243294
50,GLOX,84,6,0,0,8.4781e-05,0.00459742,0.018441
60,GLOX,43,3,13,3,8.6311e-05,0.00562127,0.0153544
70,GLOX,23,3,41,4,8.5011e-05,0.00490732,0.0173233
80,GLOX,39,4,0,0,8.682e-05,0.0037798,0.0229695
90,GLOX,50,4,0,0,8.797e-05,0.00305294,0.0288149
100,GLOX,51,4,0,0,8.5491e-05,0.0034338,0.0248969
110,GLOX,49,5,0,0,8.4611e-05,0.00362313,0.023353
120,GLOX,42,3,0,0,8.449e-05,0.00247302,0.0341646
130,GLOX,52,4,60,5,8.876e-05,0.00716091,0.0123951
140,GLOX,65,6,0,0,8.363e-05,0.00436515,0.0191586
150,GLOX,34,4,0,0,8.404e-05,0.00319508,0.0263029
160,GLOX,56,3,0,0,8.489e-05,0.00262711,0.0323131
170,GLOX,86,7,40,5,8.2761e-05,0.00934594,0.00885529
180,GLOX,29,3,0,0,8.5211e-05,0.00301262,0.0282847
190,GLOX,87,4,18,4,8.424e-05,0.00584382,0.0144152
200,GLOX,6,3,0,0,8.439e-05,0.00174209,0.0484418
210,GLOX,29,3,46,5,8.389e-05,0.00633927,0.0132334
220,GLOX,57,4,0,3,8.5201e-05,0.00545315,0.0156242
230,GLOX,53,5,0,0,8.295e-05,0.00348182,0.0238237
240,GLOX,67,5,0,0,8.4901e-05,0.00414246,0.0204953
250,GLOX,33,3,0,0,8.388e-05,0.00195885,0.042821
260,GLOX,46,6,0,0,8.216e-05,0.00468967,0.0175194
270,GLOX,0,3,0,0,8.4471e-05,0.00135878,0.0621669
280,GLOX,22,3,18,4,8.5e-05,0.00495631,0.0171499
290,GLOX,39,4,15,3,8.5321e-05,0.00532841,0.0160125
300,GLOX,61,4,0,0,0.000363532,0.00403843,0.0900183
310,GLOX,29,3,58,7,8.311e-05,0.00769451,0.0108012
320,GLOX,29,4,0,0,8.2701e-05,0.00261054,0.0316797
330,GLOX,33,5,22,4,8.3071e-05,0.00597245,0.013909
340,GLOX,0,3,0,0,8.1351e-05,0.00144059,0.0564707
350,GLOX,60,9,40,6,8.14e-05,0.0106861,0.0076174
360,GLOX,24,3,0,0,0.000362842,0.00208314,0.17418
370,GLOX,27,3,30,4,8.1841e-05,0.0046946,0.017433
380,GLOX,39,4,0,0,8.301e-05,0.00232777,0.0356607
390,GLOX,51,5,0,0,8.7761e-05,0.00296091,0.0296399
400,GLOX,84,4,0,0,8.2401e-05,0.00345138,0.0238748
410,GLOX,73,6,22,5,8.235e-05,0.00780458,0.0105515
420,GLOX,36,5,76,6,8.188e-05,0.00742957,0.0110208
430,GLOX,40,3,43,5,8.2011e-05,0.00717644,0.0114278
440,GLOX,65,4,14,3,8.33e-05,0.00518277,0.0160725
450,GLOX,31,6,0,0,8.153e-05,0.00368553,0.0221216
460,GLOX,24,3,0,0,8.698e-05,0.00202621,0.0429274
470,GLOX,69,10,47,5,8.2431e-05,0.0103751,0.00794512
480,GLOX,48,5,106,6,8.186e-05,0.00859991,0.0095187
490,GLOX,23,4,39,6,8.216e-05,0.00741543,0.0110796
500,GLOX,21,3,0,0,8.281e-05,0.00198059,0.0418107
510,GLOX,4,3,0,0,8.1651e-05,0.00141682,0.0576298
520,GLOX,17,3,0,0,8.143e-05,0.00200166,0.0406812
530,GLOX,10,3,0,0,8.2441e-05,0.00219043,0.0376369
540,GLOX,40,3,26,4,8.261e-05,0.00589885,0.0140044
550,GLOX,43,4,106,6,8.2091e-05,0.0091631,0.00895887
560,GLOX,13,3,0,0,8.327e-05,0.00196966,0.0422763
570,GLOX,36,3,0,0,8.158e-05,0.00244415,0.0333776
580,GLOX,28,3,0,0,8.4121e-05,0.00271373,0.0309983
590,GLOX,25,4,0,0,8.3411e-05,0.00275218,0.0303073
600,GLOX,30,3,6,3,0.000361402,0.00479706,0.0753382
610,GLOX,30,3,0,0,8.359e-05,0.00211503,0.0395218
620,GLOX,40,5,0,0,8.3341e-05,0.00345388,0.0241297
630,GLOX,75,5,67,6,8.2761e-05,0.00879234,0.00941285
640,GLOX,20,3,0,0,8.3281e-05,0.00263373,0.031621
650,GLOX,27,3,0,0,8.4411e-05,0.00267497,0.0315559
660,GLOX,55,6,0,0,8.092e-05,0.00415546,0.0194732
670,GLOX,21,4,0,0,8.281e-05,0.00329504,0.0251317
680,GLOX,26,4,0,0,8.2631e-05,0.00284472,0.0290472
690,GLOX,75,4,0,0,0.000357892,0.0030195,0.118527
700,GLOX,47,4,31,4,8.115e-05,0.00672519,0.0120666
710,GLOX,46,4,37,5,8.303e-05,0.00798317,0.0104006
720,GLOX,41,7,4,3,8.175e-05,0.00519744,0.0157289
730,GLOX,68,5,0,3,8.248e-05,0.00514743,0.0160235
740,GLOX,68,4,33,4,8.255e-05,0.00616734,0.013385
750,GLOX,26,3,0,0,8.516e-05,0.00216098,0.039408
760,GLOX,40,4,0,0,8.351e-05,0.00293727,0.0284312
770,GLOX,16,3,51,5,8.463e-05,0.00625922,0.0135209
780,GLOX,22,3,0,0,8.234e-05,0.00211032,0.0390177
790,GLOX,47,5,82,7,8.124e-05,0.0101245,0.00802409
800,GLOX,74,4,0,0,8.246e-05,0.00345108,0.023894
810,GLOX,10,3,0,0,8.393e-05,0.00172611,0.0486238
820,GLOX,57,4,0,0,8.328e-05,0.00331571,0.0251168
830,GLOX,25,3,0,0,8.1971e-05,0.00197768,0.041448
