iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,AOX,119,5,0,0,0.000391341,0.0047271,0.0827867
10,AOX,116,5,0,0,0.000334151,0.00457692,0.0730078
20,AOX,84,5,0,0,4.907e-05,0.00424495,0.0115596
30,AOX,79,5,0,0,4.68e-05,0.00419776,0.0111488
40,AOX,45,5,0,0,4.883e-05,0.0031711,0.0153985
50,AOX,73,4,0,0,0.000343671,0.00410998,0.0836187
60,AOX,110,7,4,3,0.00031777,0.00703775,0.0451522
70,AOX,101,6,0,0,0.000351691,0.00510922,0.0688345
80,AOX,106,4,0,0,4.935e-05,0.00434412,0.0113602
90,AOX,69,5,0,0,0.000306311,0.00387302,0.0790884
100,AOX,33,4,6,3,4.883e-05,0.00476882,0.0102394
110,AOX,137,6,0,0,0.000309091,0.00620291,0.04983
120,AOX,67,5,0,0,0.000339271,0.00431254,0.0786708
130,AOX,133,3,0,0,0.000289711,0.00354172,0.0817995
140,AOX,52,4,0,0,0.000312611,0.00359425,0.0869753
150,AOX,23,3,0,0,4.942e-05,0.00217675,0.0227035
160,AOX,69,4,0,0,0.000309001,0.00348929,0.088557
170,AOX,48,3,0,0,4.825e-05,0.00230566,0.0209268
180,AOX,100,5,0,0,0.000307841,0.00421466,0.0730405
190,AOX,76,5,0,0,0.000313251,0.00436625,0.0717437
200,AOX,30,4,0,0,4.827e-05,0.00243753,0.0198029
210,AOX,70,4,0,0,0.000318861,0.00328897,0.0969486
220,AOX,18,3,2,3,0.000340111,0.00332316,0.102346
230,AOX,79,6,0,0,0.00031225,0.00534811,0.0583851
240,AOX,63,4,0,0,0.000315731,0.00364688,0.0865757
250,AOX,1,3,0,0,4.748e-05,0.00146833,0.032336
260,AOX,12,3,0,0,4.721e-05,0.00216439,0.0218121
270,AOX,103,4,24,3,0.000316691,0.00569044,0.0556531
280,AOX,141,7,3,3,0.00031218,0.00809634,0.0385582
290,AOX,58,6,0,0,0.000298961,0.00469796,0.0636363
300,AOX,106,7,0,0,0.00032549,0.00499458,0.0651686
310,AOX,66,6,0,0,4.65e-05,0.00501026,0.00928095
320,AOX,88,4,0,0,0.000310731,0.00426653,0.0728299
330,AOX,99,4,0,0,0.00030836,0.00392866,0.0784899
340,AOX,0,3,21,6,4.695e-05,0.00388151,0.0120958
350,AOX,56,5,0,0,0.000299121,0.00372542,0.0802919
360,AOX,63,6,4,3,0.000294721,0.00585085,0.0503723
370,AOX,108,4,0,0,0.000310581,0.00445375,0.0697347
380,AOX,111,4,0,0,0.00031664,0.00424676,0.0745604
390,AOX,46,7,0,0,0.000310731,0.00421178,0.0737766
400,AOX,46,4,10,3,0.000306511,0.00530047,0.0578271
410,AOX,38,7,0,0,0.000306201,0.0041018,0.0746504
420,AOX,1,3,0,0,4.757e-05,0.00160313,0.0296731
