iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,PL,206,7,0,0,0.00298416,0.0070504,0.423261
10,PL,179,5,0,0,0.00291814,0.00528979,0.551654
20,PL,136,4,0,0,0.00294601,0.00453955,0.648964
30,PL,164,5,4,3,0.00289432,0.0071031,0.407472
40,PL,178,8,0,0,0.00286269,0.00694721,0.412063
50,PL,172,5,3,3,0.00293386,0.00704213,0.416615
60,PL,159,5,0,0,0.00294493,0.00512776,0.57431
70,PL,185,8,0,0,0.00290657,0.00717837,0.404906
80,PL,143,6,0,0,0.00286332,0.00507915,0.563739
90,PL,143,5,0,0,0.00288145,0.00512318,0.562433
100,PL,149,6,0,0,0.00288006,0.004973,0.579139
110,PL,162,4,0,0,0.00296521,0.00452806,0.654852
120,PL,157,4,0,0,0.00290892,0.0044335,0.656122
130,PL,127,5,0,0,0.00286265,0.00557466,0.51351
140,PL,196,6,0,0,0.00291489,0.00566553,0.514495
150,PL,172,6,0,0,0.00300106,0.00610269,0.49176
160,PL,183,5,0,0,0.00286586,0.00566039,0.5063
170,PL,203,7,7,4,0.00292659,0.00806435,0.362904
180,PL,107,5,0,0,0.00283746,0.0049128,0.577564
190,PL,139,5,8,3,0.00288594,0.00684914,0.421358
200,PL,159,5,0,0,0.00290367,0.00452821,0.641239
210,PL,147,4,0,0,0.00291281,0.00464858,0.626601
220,PL,178,7,0,0,0.00283846,0.00639291,0.444001
230,PL,160,6,0,0,0.00288353,0.0060645,0.475477
240,PL,146,4,0,0,0.00286297,0.00478842,0.597894
250,PL,174,5,0,0,0.00290178,0.00562617,0.515764
260,PL,0,3,0,0,0.00260424,0.00145137,1.79432
270,PL,139,4,0,0,0.00293381,0.00415115,0.706746
280,PL,174,5,3,3,0.00291571,0.00670565,0.434814
290,PL,209,6,0,0,0.00295284,0.00595893,0.495532
300,PL,146,4,0,0,0.00291317,0.00400773,0.726887
310,PL,120,4,0,0,0.00290597,0.00458049,0.634422
320,PL,154,4,0,0,0.0028531,0.00491704,0.580247
330,PL,182,6,0,0,0.0028725,0.00680748,0.421962
340,PL,128,6,0,0,0.00288533,0.00594447,0.485381
350,PL,105,4,0,0,0.00284533,0.00350197,0.812494
360,PL,171,5,0,0,0.00294637,0.00533681,0.552084
370,PL,181,4,0,0,0.0029119,0.00484238,0.601336
380,PL,149,5,0,0,0.00291504,0.00531698,0.54825
390,PL,170,6,0,0,0.00290133,0.00540769,0.536518
400,PL,103,3,0,0,0.00285096,0.00312765,0.911534
410,PL,0,3,0,0,0.00257606,0.00143299,1.79767
420,PL,188,6,5,3,0.00291785,0.00859269,0.339573
430,PL,148,4,0,0,0.00288494,0.00405049,0.712244
440,PL,139,6,3,3,0.00289033,0.00743541,0.388725
450,PL,113,4,23,4,0.00282088,0.00767791,0.367402
460,PL,158,6,2,3,0.00294079,0.0066508,0.442171
470,PL,120,5,0,0,0.00289751,0.00500817,0.578556
480,PL,142,4,19,5,0.00290333,0.00746037,0.389167
490,PL,140,5,29,4,0.00293045,0.00856127,0.342291
500,PL,154,4,35,4,0.00289398,0.00739764,0.391203
510,PL,91,4,3,4,0.00282881,0.00592245,0.477642
520,PL,146,6,0,3,0.00291186,0.00622823,0.467526
530,PL,100,4,0,0,0.00285341,0.00385796,0.739615
540,PL,119,5,0,0,0.00285904,0.00439266,0.650867
550,PL,112,4,6,3,0.00289687,0.0057473,0.50404
