iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,UOX,313,8,0,0,0.000363771,0.00866528,0.0419803
10,UOX,343,5,0,0,0.000331711,0.00534847,0.0620198
20,UOX,289,10,0,0,6.107e-05,0.00751028,0.00813152
30,UOX,370,8,0,0,0.000373311,0.00767663,0.0486295
40,UOX,299,6,0,0,0.000369741,0.00547432,0.0675409
50,UOX,266,8,0,0,0.000350501,0.00760794,0.0460704
60,UOX,317,8,0,0,0.000333441,0.00808485,0.0412427
70,UOX,239,9,0,0,0.000336961,0.00651929,0.0516868
80,UOX,308,6,0,0,0.000326351,0.00695768,0.0469052
90,UOX,225,5,0,0,0.000332781,0.00523154,0.0636105
100,UOX,281,5,0,0,0.000326431,0.00610051,0.0535088
110,UOX,337,6,0,0,6.133e-05,0.00633883,0.00967529
120,UOX,295,7,38,6,0.000335821,0.0103037,0.0325923
130,UOX,285,6,2,3,0.00034044,0.00872474,0.0390201
140,UOX,299,7,4,3,0.000333131,0.0083942,0.0396858
150,UOX,327,8,0,0,0.00033916,0.00761581,0.0445337
160,UOX,0,3,0,0,5.938e-05,0.00143766,0.0413031
170,UOX,268,6,0,0,0.000331401,0.00689841,0.0480402
180,UOX,383,5,0,0,0.000341581,0.00639727,0.0533948
190,UOX,273,8,0,0,0.000329401,0.00723735,0.045514
200,UOX,155,5,0,0,0.000334921,0.00410114,0.0816653
210,UOX,276,6,0,0,0.000352591,0.00605489,0.0582325
220,UOX,244,5,0,0,0.000324861,0.00608544,0.0533834
230,UOX,186,6,0,0,0.000343601,0.00525362,0.0654027
240,UOX,290,7,3,3,0.000314141,0.00841711,0.0373217
250,UOX,230,7,0,0,0.00032649,0.00618227,0.0528107
260,UOX,219,7,0,0,0.00032464,0.00660653,0.0491393
270,UOX,230,7,0,0,6.214e-05,0.00574097,0.0108239
280,UOX,252,5,0,0,0.000331991,0.00429736,0.0772546
290,UOX,216,4,38,4,0.000333501,0.00805064,0.0414254
300,UOX,197,4,0,0,0.0003205,0.00433898,0.0738653
310,UOX,271,6,0,0,0.00033611,0.00646393,0.0519978
320,UOX,264,6,0,0,0.000337361,0.00636276,0.0530212
330,UOX,308,6,0,0,0.000320781,0.00589387,0.0544262
340,UOX,218,4,0,0,0.000332351,0.00487861,0.0681241
350,UOX,282,8,0,0,0.00032445,0.00771003,0.0420816
360,UOX,297,5,22,6,0.000331871,0.00885513,0.0374778
370,UOX,276,5,0,0,0.00032759,0.00506158,0.0647209
380,UOX,268,5,0,0,0.00035136,0.00528497,0.0664828
390,UOX,273,6,0,0,0.000323051,0.00585579,0.0551677
400,UOX,252,6,0,0,0.000331161,0.00637248,0.0519674
410,UOX,235,5,14,3,0.00031813,0.00686046,0.0463715
420,UOX,253,5,0,0,0.000334821,0.00549141,0.0609717
430,UOX,354,8,0,0,6.497e-05,0.00843582,0.00770168
440,UOX,203,5,0,0,0.000318991,0.00494626,0.0644913
450,UOX,258,6,0,0,0.000318971,0.00688397,0.0463353
460,UOX,244,5,4,3,0.00032627,0.00669236,0.0487526
470,UOX,352,5,16,3,0.000314471,0.00831299,0.0378289
480,UOX,258,5,0,0,0.000332331,0.00503483,0.0660064
490,UOX,247,5,0,0,0.00032109,0.00494308,0.0649574
500,UOX,254,4,0,0,5.9231e-05,0.00425266,0.013928
510,UOX,187,4,0,0,0.000315841,0.00416958,0.0757489
520,UOX,263,5,15,3,0.000322651,0.00745786,0.0432632
530,UOX,236,5,14,3,0.000338511,0.00693005,0.0488468
540,UOX,217,5,0,0,6.754e-05,0.0048885,0.0138161
550,UOX,295,6,0,0,0.000336001,0.00609677,0.0551113
560,UOX,329,5,0,0,0.000321691,0.00615469,0.0522677
570,UOX,329,5,17,3,0.000332681,0.00938644,0.0354427
580,UOX,227,5,7,3,0.000325881,0.00653574,0.0498614
590,UOX,239,6,0,0,0.00031544,0.00566786,0.0556542
600,UOX,274,6,0,0,0.00033197,0.00653861,0.0507708
610,UOX,355,6,0,0,0.000326841,0.00657933,0.049677
620,UOX,255,4,0,0,0.000323451,0.00457389,0.0707168
630,UOX,241,5,0,0,6.2561e-05,0.00499606,0.0125221
640,UOX,312,5,0,0,0.000319621,0.00577423,0.055353
650,UOX,270,8,0,0,0.000333581,0.00770435,0.0432978
660,UOX,191,3,0,0,0.000327611,0.0036674,0.0893306
670,UOX,153,4,34,4,6.21e-05,0.00799,0.00777221
680,UOX,301,4,0,0,0.000311701,0.00516996,0.0602908
690,UOX,186,5,14,3,0.000313011,0.00740855,0.04225
700,UOX,245,6,0,0,0.000320961,0.00599968,0.0534964
710,UOX,297,7,0,0,5.9361e-05,0.00695406,0.00853617
720,UOX,352,6,0,0,0.00032323,0.00650192,0.049713
730,UOX,251,6,2,3,0.000335961,0.00797172,0.0421441
740,UOX,261,5,0,0,0.000322101,0.00553673,0.0581753
750,UOX,189,7,6,3,0.000334191,0.00759698,0.04399
760,UOX,265,5,0,0,0.000324031,0.00614886,0.0526977
770,UOX,208,6,2,3,0.000319911,0.00704583,0.0454043
780,UOX,256,6,17,3,0.000311501,0.00803436,0.0387711
790,UOX,193,4,1,3,0.000314211,0.00576387,0.0545138
800,UOX,253,6,0,0,0.000315611,0.0063216,0.0499258
810,UOX,196,5,12,3,6.053e-05,0.00735585,0.00822883
820,UOX,258,5,36,4,0.000327831,0.00865878,0.0378611
830,UOX,251,5,13,4,0.000330491,0.00757406,0.0436346
840,UOX,211,5,4,3,5.939e-05,0.00641097,0.00926381
850,UOX,287,5,0,0,0.000330781,0.00538122,0.0614695
860,UOX,245,5,0,0,6.578e-05,0.00561454,0.011716
870,UOX,261,5,0,0,0.000322451,0.00536213,0.0601348
880,UOX,330,5,0,0,0.000333601,0.00640943,0.0520485
890,UOX,243,7,5,3,5.896e-05,0.00795562,0.00741111
900,UOX,314,5,0,0,0.00032466,0.00630008,0.0515327
910,UOX,207,5,0,0,6.106e-05,0.00593663,0.0102853
920,UOX,255,5,0,0,0.000327721,0.00523055,0.0626551
930,UOX,249,5,0,0,0.000306631,0.00527293,0.0581519
940,UOX,283,11,0,0,0.000322841,0.00949227,0.0340109
