iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,LOX,118,5,0,0,8.3951e-05,0.00493048,0.0170269
10,LOX,143,6,0,0,0.000246362,0.00743289,0.0331448
20,LOX,21,4,0,0,5.723e-05,0.00266277,0.0214927
30,LOX,69,4,13,3,5.693e-05,0.0057252,0.00994375
40,LOX,130,5,0,0,0.000252822,0.00510231,0.0495505
50,LOX,119,8,0,0,0.000262941,0.00949458,0.0276938
60,LOX,50,5,0,0,5.8421e-05,0.00486373,0.0120116
70,LOX,9,3,0,0,5.642e-05,0.00204005,0.0276562
80,LOX,47,4,0,0,5.653e-05,0.00380263,0.014866
90,LOX,80,4,0,0,5.7671e-05,0.0030926,0.0186481
100,LOX,149,6,0,0,0.000259691,0.00613435,0.0423339
110,LOX,105,3,0,0,0.000251261,0.00361803,0.0694469
120,LOX,100,5,0,0,5.795e-05,0.00474898,0.0122026
130,LOX,59,4,0,0,5.678e-05,0.00264124,0.0214975
140,LOX,78,6,0,0,5.57e-05,0.00574553,0.00969449
150,LOX,92,5,0,0,5.6871e-05,0.00614096,0.00926094
160,LOX,99,6,0,0,0.000258231,0.00533903,0.0483666
170,LOX,116,5,0,0,5.979e-05,0.00427995,0.0139698
180,LOX,31,3,0,0,5.773e-05,0.00293331,0.0196809
190,LOX,49,3,0,0,5.5e-05,0.00213245,0.0257919
200,LOX,108,8,0,0,0.000254582,0.00795464,0.0320042
210,LOX,40,7,0,0,0.000264131,0.00598259,0.04415
220,LOX,52,3,0,0,0.000233981,0.00245641,0.0952534
230,LOX,129,7,0,0,5.806e-05,0.00679472,0.00854487
240,LOX,39,4,0,0,5.5071e-05,0.00308759,0.0178363
250,LOX,69,4,1,3,0.000237872,0.00628069,0.0378736
260,LOX,10,3,0,0,5.731e-05,0.00207479,0.027622
270,LOX,103,5,0,0,0.000247511,0.0061608,0.0401752
280,LOX,33,3,11,3,5.674e-05,0.00626722,0.00905346
290,LOX,98,6,8,3,5.514e-05,0.00838141,0.00657885
300,LOX,54,8,7,4,0.000244621,0.0112764,0.0216932
310,LOX,32,4,2,3,5.672e-05,0.00507598,0.0111742
320,LOX,62,3,0,0,5.621e-05,0.00259412,0.0216683
330,LOX,93,6,0,0,0.000230241,0.00574162,0.0401003
340,LOX,75,5,4,3,0.000252942,0.00697372,0.0362707
350,LOX,76,10,0,0,0.000258831,0.00938554,0.0275776
360,LOX,72,4,5,3,0.000243211,0.00568569,0.042776
370,LOX,0,3,0,0,5.662e-05,0.00153337,0.0369252
380,LOX,119,4,0,0,0.000246811,0.00370748,0.0665711
390,LOX,13,3,0,0,5.678e-05,0.00247869,0.0229072
400,LOX,96,4,0,0,0.000248171,0.00495343,0.0501008
410,LOX,57,4,33,5,5.6751e-05,0.00836397,0.00678518
420,LOX,59,4,0,0,5.701e-05,0.0033568,0.0169834
430,LOX,46,3,0,0,5.479e-05,0.00389647,0.0140614
440,LOX,16,3,0,0,5.3591e-05,0.00248259,0.0215867
450,LOX,46,3,0,0,5.456e-05,0.00268369,0.0203302
460,LOX,84,5,0,0,0.000259191,0.00448296,0.057817
470,LOX,77,4,0,0,0.000224351,0.00395001,0.0567975
480,LOX,43,4,2,3,5.494e-05,0.00539195,0.0101893
490,LOX,72,5,0,0,5.75e-05,0.00469768,0.0122401
500,LOX,42,4,0,0,5.4761e-05,0.00267555,0.0204672
510,LOX,72,4,0,0,0.000250611,0.00546575,0.0458511
520,LOX,38,3,0,0,0.000221332,0.00264859,0.0835661
530,LOX,55,8,0,0,5.5121e-05,0.00642463,0.00857964
540,LOX,67,4,0,0,5.8011e-05,0.00354789,0.0163508
550,LOX,68,4,0,0,5.476e-05,0.00435068,0.0125866
560,LOX,22,6,5,3,5.454e-05,0.00644914,0.00845694
570,LOX,71,3,0,0,5.5991e-05,0.00348895,0.0160481
580,LOX,22,3,0,0,5.5171e-05,0.00277105,0.0199098
590,LOX,135,6,5,3,0.000233752,0.00916061,0.0255171
600,LOX,106,4,0,0,0.000229921,0.00410794,0.0559699
610,LOX,101,6,6,3,0.000235811,0.00930722,0.0253363
620,LOX,68,4,0,0,5.439e-05,0.00400037,0.0135962
630,LOX,72,4,0,0,0.000229791,0.00335265,0.0685401
640,LOX,4,3,9,3,5.21e-05,0.00364022,0.0143123
650,LOX,6,3,4,3,5.064e-05,0.00450948,0.0112297
660,LOX,44,4,45,5,5.349e-05,0.00888224,0.00602213
670,LOX,99,5,0,0,0.000232272,0.00482825,0.0481069
680,LOX,66,8,0,0,5.4011e-05,0.00522461,0.0103378
690,LOX,126,6,0,0,0.000232032,0.00619447,0.037458
700,LOX,29,3,1,3,5.566e-05,0.00331056,0.0168129
710,LOX,92,4,0,0,0.000230171,0.00405475,0.0567657
720,LOX,4,3,0,0,5.213e-05,0.00141038,0.0369617
730,LOX,30,4,0,0,5.146e-05,0.00378139,0.0136087
740,LOX,103,5,0,0,0.000214851,0.0055921,0.0384204
750,LOX,26,3,0,0,5.2141e-05,0.00179904,0.0289827
760,LOX,151,10,0,0,0.000227831,0.00987616,0.0230688
770,LOX,103,5,0,0,0.000236201,0.00457808,0.0515939
780,LOX,49,3,0,0,5.316e-05,0.00351576,0.0151205
790,LOX,110,6,0,0,0.000221261,0.00659212,0.0335645
800,LOX,62,5,23,3,5.3371e-05,0.00709985,0.0075172
810,LOX,74,4,0,0,5.4451e-05,0.00365943,0.0148796
820,LOX,25,3,1,3,4.722e-05,0.00318388,0.014831
830,LOX,36,4,0,0,5.2291e-05,0.00366742,0.0142582
840,LOX,103,4,0,3,0.000216891,0.0057914,0.0374505
850,LOX,131,5,0,0,0.000228961,0.0052528,0.0435884
860,LOX,86,5,0,0,5.23e-05,0.00501089,0.0104373
870,LOX,47,4,0,0,5.025e-05,0.00424524,0.0118368
880,LOX,29,6,0,0,5.1841e-05,0.00416228,0.0124549
890,LOX,70,4,4,3,4.97e-05,0.00508171,0.00978017
900,LOX,83,8,0,0,4.754e-05,0.00718581,0.00661581
910,LOX,22,3,0,0,4.882e-05,0.00196054,0.0249013
920,LOX,49,5,0,0,5.164e-05,0.00436018,0.0118435
930,LOX,18,3,0,0,4.936e-05,0.00189904,0.0259921
940,LOX,99,6,0,0,5.103e-05,0.00553088,0.00922638
950,LOX,18,4,0,0,5.1841e-05,0.00254857,0.0203412
960,LOX,110,4,0,0,0.000209471,0.00486987,0.0430137
970,LOX,39,5,0,0,4.9631e-05,0.00496444,0.0099973
980,LOX,46,5,3,3,0.000222531,0.00662627,0.0335832
990,LOX,81,4,0,0,4.9451e-05,0.00324421,0.0152429
