iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,PMX,113,10,0,0,0.00011762,0.0117582,0.0100032
10,PMX,87,4,0,0,5.477e-05,0.00428826,0.0127721
20,PMX,80,5,0,0,8.676e-05,0.00431781,0.0200935
30,PMX,26,4,1,3,6.574e-05,0.00400637,0.0164089
40,PMX,82,5,0,0,6.005e-05,0.00564537,0.010637
50,PMX,59,6,0,0,9.425e-05,0.00500006,0.0188498
60,PMX,148,5,0,0,0.000235811,0.00395965,0.0595535
70,PMX,26,3,0,0,6.398e-05,0.00269066,0.0237785
80,PMX,20,4,0,0,6.139e-05,0.00199364,0.0307929
90,PMX,140,3,0,0,0.00023212,0.0039203,0.0592097
100,PMX,18,3,0,0,7.061e-05,0.00234832,0.0300683
110,PMX,5,3,0,0,5.235e-05,0.00181319,0.0288718
120,PMX,201,10,0,0,7.907e-05,0.011134,0.00710165
130,PMX,99,6,0,0,0.00022875,0.00599149,0.0381792
140,PMX,42,5,0,0,7.311e-05,0.00504759,0.0144841
150,PMX,93,5,0,0,6.764e-05,0.00415776,0.0162684
160,PMX,105,5,0,0,0.0002271,0.00592147,0.0383519
170,PMX,105,9,0,0,7.201e-05,0.00737598,0.00976278
180,PMX,79,5,0,0,7.7e-05,0.00506302,0.0152083
190,PMX,83,3,0,0,7.117e-05,0.00427482,0.0166486
200,PMX,0,3,0,0,6.2331e-05,0.00132341,0.0470987
210,PMX,159,6,0,0,0.0002036,0.00645471,0.0315429
220,PMX,67,6,0,0,7.558e-05,0.00497314,0.0151977
230,PMX,73,9,0,0,5.663e-05,0.00783019,0.00723227
240,PMX,99,6,0,0,0.000205701,0.00534768,0.0384654
250,PMX,35,4,22,5,8.664e-05,0.00947589,0.00914321
260,PMX,121,6,0,0,0.00022163,0.00633237,0.0349996
270,PMX,36,4,0,0,6.1901e-05,0.00357249,0.0173271
280,PMX,150,5,0,0,0.00022083,0.00615781,0.0358617
290,PMX,181,13,0,0,0.00021668,0.0102303,0.0211803
300,PMX,41,3,0,0,5.477e-05,0.00226204,0.0242126
310,PMX,66,7,3,3,0.000224391,0.00820628,0.0273438
320,PMX,137,8,0,0,0.00023596,0.00955887,0.0246849
330,PMX,71,4,0,0,0.0002304,0.00452441,0.0509237
340,PMX,137,5,0,0,0.000221021,0.00462816,0.0477557
350,PMX,108,5,0,0,0.00021748,0.00461396,0.0471352
360,PMX,72,4,4,3,0.0002106,0.00514214,0.0409557
370,PMX,114,5,1,3,0.0002122,0.0071904,0.0295116
380,PMX,51,4,0,0,6.702e-05,0.00416497,0.0160913
390,PMX,145,7,0,0,0.00022219,0.00669101,0.0332073
