iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,EAX,2795,9,0,0,0.0240765,0.133035,0.180979
10,EAX,2735,11,0,0,0.0240814,0.155537,0.154828
20,EAX,2885,9,0,0,0.0186029,0.149757,0.124221
30,EAX,2657,10,0,0,0.0261117,0.164684,0.158556
40,EAX,2528,9,0,0,0.0295809,0.138867,0.213016
50,EAX,2685,10,0,0,0.0246743,0.153381,0.16087
60,EAX,2715,15,0,0,0.0184269,0.157105,0.11729
70,EAX,2879,11,3,3,0.0303833,0.15833,0.191898
80,EAX,2657,8,0,0,0.0228553,0.129431,0.176583
90,EAX,2738,10,0,0,0.0220595,0.134491,0.164023
100,EAX,2869,9,0,0,0.0236457,0.131279,0.180117
110,EAX,2568,11,0,0,0.0226369,0.134457,0.168358
120,EAX,2708,10,0,0,0.025368,0.128332,0.197675
130,EAX,2366,9,0,0,0.0458112,0.130324,0.351517
140,EAX,2633,8,0,0,0.0227453,0.115539,0.196864
150,EAX,2558,8,0,0,0.0271867,0.120258,0.22607
160,EAX,2639,9,2,3,0.0203831,0.171348,0.118958
170,EAX,2580,11,0,0,0.0260599,0.1647,0.158226
180,EAX,2680,9,0,0,0.0162547,0.127848,0.127141
190,EAX,2820,9,0,0,0.0177304,0.138129,0.128361
200,EAX,2663,9,0,0,0.0296082,0.126557,0.233951
210,EAX,2447,10,0,0,0.0280183,0.165411,0.169386
220,EAX,2407,17,0,0,0.0211607,0.166919,0.126772
230,EAX,2588,12,0,0,0.0261196,0.141855,0.18413
240,EAX,2546,10,0,0,0.0269818,0.138492,0.194826
250,EAX,2610,10,0,0,0.0243106,0.136107,0.178614
260,EAX,2216,9,0,0,0.0260845,0.131589,0.198227
270,EAX,2584,9,1,3,0.0321558,0.155928,0.206222
280,EAX,2111,12,0,0,0.0344832,0.167134,0.20632
290,EAX,2517,10,0,0,0.0279546,0.155553,0.179711
300,EAX,2336,9,0,0,0.0231158,0.145429,0.158949
310,EAX,2329,13,0,0,0.0577057,0.173838,0.331951
320,EAX,2381,10,0,0,0.0355591,0.150157,0.236813
330,EAX,2248,10,0,0,0.0193996,0.146156,0.132733
340,EAX,2452,8,0,0,0.0169495,0.132006,0.128399
350,EAX,2074,8,0,0,0.0188894,0.12016,0.157201
360,EAX,2438,10,0,0,0.0314731,0.150712,0.20883
370,EAX,2428,16,0,0,0.0219645,0.171144,0.12834
380,EAX,2272,11,0,0,0.0240674,0.138292,0.174033
390,EAX,2259,9,0,0,0.0259179,0.126602,0.204719
400,EAX,2358,10,5,3,0.017758,0.18412,0.0964478
410,EAX,2402,9,0,0,0.0286975,0.135752,0.211395
420,EAX,2420,11,0,0,0.0312824,0.147032,0.212759
430,EAX,2239,11,0,0,0.0279697,0.155254,0.180155
440,EAX,2598,10,0,0,0.0280031,0.149897,0.186816
450,EAX,2502,10,0,0,0.031312,0.14151,0.221271
460,EAX,2226,12,0,0,0.0303711,0.149242,0.203502
470,EAX,2240,9,4,3,0.0145592,0.16164,0.090072
480,EAX,2352,10,0,0,0.0269314,0.137778,0.195469
490,EAX,2273,10,9,3,0.022757,0.166646,0.136559
