iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,EAX,307,5,0,0,0.00139661,0.00465655,0.299924
10,EAX,310,5,0,0,0.000952965,0.0045897,0.207631
20,EAX,296,4,0,0,0.00115267,0.00404839,0.284722
30,EAX,284,7,0,0,0.000909925,0.00515179,0.176623
40,EAX,302,6,0,0,0.00114879,0.00413344,0.277926
50,EAX,263,6,0,0,0.000673754,0.00470986,0.143052
60,EAX,0,3,0,0,0.000168931,0.000993025,0.170118
70,EAX,272,6,0,0,0.0012553,0.00416677,0.301264
80,EAX,380,8,0,0,0.00151744,0.00591897,0.256369
90,EAX,279,5,0,0,0.000915845,0.00464986,0.196962
100,EAX,272,8,0,0,0.0013981,0.00579187,0.24139
110,EAX,267,5,0,0,0.00112082,0.00421346,0.266008
120,EAX,284,6,0,0,0.00140779,0.00472799,0.297756
130,EAX,317,6,0,0,0.00109184,0.0049024,0.222715
140,EAX,0,3,1,3,0.000150661,0.00207782,0.0725091
150,EAX,236,5,0,0,0.00182762,0.00388426,0.470519
160,EAX,250,5,0,0,0.00137077,0.00425719,0.32199
170,EAX,267,4,0,0,0.000963706,0.0032261,0.298722
180,EAX,255,7,0,0,0.000604094,0.00502482,0.120222
190,EAX,283,6,0,0,0.0012978,0.00418899,0.309812
200,EAX,250,6,0,0,0.00191936,0.00527172,0.364086
210,EAX,278,5,0,0,0.00121315,0.00427485,0.283787
220,EAX,243,6,0,0,0.00144864,0.0044805,0.323321
230,EAX,267,8,0,0,0.00160692,0.00457562,0.351192
240,EAX,232,7,20,3,0.00120709,0.0067913,0.17774
250,EAX,0,3,0,0,0.000155961,0.000941606,0.165633
260,EAX,242,5,0,0,0.00127105,0.00399547,0.318122
270,EAX,234,8,0,0,0.00109378,0.00556475,0.196554
280,EAX,264,5,0,0,0.00184911,0.00386761,0.478101
290,EAX,225,5,0,0,0.0014865,0.00438654,0.338877
300,EAX,312,4,0,0,0.001045,0.00413964,0.252436
310,EAX,271,4,0,0,0.00129542,0.0036718,0.352802
320,EAX,266,4,0,0,0.00152965,0.00374489,0.408463
330,EAX,231,6,46,4,0.0013967,0.00737653,0.189343
340,EAX,241,5,0,0,0.00113575,0.00392284,0.289521
350,EAX,195,6,0,0,0.00122763,0.00415467,0.295482
360,EAX,262,4,0,0,0.000883165,0.00392946,0.224755
370,EAX,263,6,0,0,0.00142597,0.00455069,0.313352
380,EAX,254,5,17,3,0.00155253,0.00621738,0.249708
390,EAX,267,5,0,0,0.00109959,0.00461427,0.238302
400,EAX,261,7,0,0,0.00143063,0.00574912,0.248843
410,EAX,228,5,0,0,0.000930116,0.00417796,0.222624
420,EAX,233,6,0,0,0.000690954,0.00466105,0.14824
430,EAX,220,5,9,3,0.00105673,0.00522703,0.202166
440,EAX,219,6,0,0,0.00122629,0.00466676,0.262771
450,EAX,252,4,38,5,0.000849455,0.00656603,0.129371
460,EAX,262,7,0,0,0.000894315,0.0049979,0.178938
470,EAX,234,4,0,0,0.000944566,0.00423827,0.222866
480,EAX,223,5,0,0,0.0010795,0.00390445,0.276478
490,EAX,206,7,0,0,0.00147088,0.0049198,0.298971
500,EAX,215,6,0,0,0.00185331,0.00412941,0.448807
510,EAX,177,5,0,0,0.00111372,0.00415337,0.268147
520,EAX,203,5,0,0,0.000820105,0.0039467,0.207795
530,EAX,232,5,0,0,0.000904436,0.00452123,0.200042
540,EAX,216,5,0,0,0.0011035,0.0040083,0.275303
550,EAX,180,4,0,0,0.00122376,0.00319017,0.383603
560,EAX,202,5,0,0,0.00102321,0.00412718,0.247919
570,EAX,195,7,28,5,0.00120345,0.00717106,0.16782
580,EAX,245,7,0,0,0.000941316,0.00461315,0.204051
590,EAX,206,5,39,4,0.0012275,0.00610511,0.201061
600,EAX,192,4,0,0,0.000737804,0.0038974,0.189307
610,EAX,197,5,0,0,0.00144984,0.00401489,0.361115
620,EAX,166,4,0,0,0.00100931,0.00374685,0.269374
630,EAX,229,6,51,3,0.00106173,0.00676475,0.15695
640,EAX,197,4,36,5,0.000876315,0.00610328,0.143581
650,EAX,201,5,0,0,0.0014076,0.00403998,0.348417
