iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,PL,1766,7,0,0,0.173941,0.0995758,1.74682
10,PL,1417,8,0,0,0.161113,0.0918479,1.75413
20,PL,1933,9,0,0,0.159055,0.102701,1.54872
30,PL,1721,9,0,0,0.159524,0.0940053,1.69696
40,PL,1504,7,0,0,0.164406,0.0934834,1.75866
50,PL,0,3,0,0,0.102567,0.0223013,4.59914
60,PL,1488,8,0,0,0.164978,0.0836023,1.97337
70,PL,1929,8,0,0,0.159552,0.0981542,1.62552
80,PL,0,3,29,5,0.105364,0.0529868,1.9885
90,PL,1564,7,0,0,0.153952,0.0972497,1.58306
100,PL,1372,8,0,0,0.165083,0.0934207,1.7671
110,PL,1455,8,0,0,0.166728,0.0965026,1.72771
120,PL,1404,14,0,0,0.161707,0.107489,1.5044
130,PL,0,3,0,0,0.103072,0.0254734,4.04626
140,PL,1239,7,155,7,0.155323,0.118761,1.30786
150,PL,1307,7,0,0,0.152856,0.0836081,1.82824
160,PL,1473,8,0,0,0.155433,0.0939028,1.65526
170,PL,1442,8,0,0,0.145251,0.0971233,1.49553
180,PL,1484,13,0,0,0.163138,0.118785,1.37339
190,PL,1394,7,0,0,0.16423,0.0857087,1.91614
200,PL,1551,8,292,7,0.156475,0.153039,1.02245
210,PL,1196,7,0,0,0.16352,0.0872419,1.87433
220,PL,1454,8,0,0,0.162637,0.101463,1.60291
230,PL,0,3,32,6,0.106569,0.0493679,2.15866
240,PL,1395,8,0,0,0.164735,0.0969829,1.6986
250,PL,1249,9,28,5,0.156709,0.126103,1.24271
260,PL,1404,9,94,5,0.159935,0.134461,1.18945
270,PL,112,5,0,0,0.104521,0.0393262,2.65779
280,PL,1495,6,285,6,0.163193,0.13916,1.1727
290,PL,1240,10,0,0,0.156639,0.0905873,1.72915
300,PL,1561,8,0,0,0.161193,0.104,1.54994
310,PL,1418,8,18,4,0.161729,0.112624,1.436
