iteration,crossover_type,nbMoves,nbLoopsLS,nbMovesRepair,nbLoopsRepair,time_crossover,time_LS,ratio_crossover_LS
0,PL,43,3,0,0,0.00256729,0.0016322,1.57291
10,PL,47,4,0,0,0.00248941,0.0019628,1.2683
20,PL,30,3,0,0,0.00235964,0.00140347,1.68129
30,PL,90,4,0,0,0.00264029,0.00233319,1.13162
40,PL,76,6,0,0,0.00260317,0.00316918,0.821404
50,PL,60,4,0,0,0.00259241,0.00193695,1.3384
60,PL,69,4,0,0,0.00243119,0.00222373,1.09329
70,PL,38,3,7,3,0.00241845,0.00330197,0.732428
80,PL,21,3,0,0,0.00262159,0.00138597,1.89153
90,PL,28,3,0,0,0.00243896,0.00163531,1.49144
100,PL,29,4,0,0,0.00268809,0.00198547,1.35388
110,PL,28,3,0,0,0.00245921,0.00139043,1.76867
120,PL,17,3,0,0,0.0024458,0.00142908,1.71146
130,PL,30,3,0,0,0.00250056,0.0015811,1.58153
140,PL,7,3,0,0,0.00227353,0.00127219,1.78711
150,PL,31,3,0,0,0.00227596,0.00156483,1.45445
160,PL,17,3,7,3,0.0023157,0.00220969,1.04798
170,PL,52,3,0,0,0.00261135,0.00189313,1.37938
180,PL,22,3,19,4,0.00234351,0.00295243,0.793756
190,PL,40,4,0,0,0.00241353,0.00184903,1.3053
200,PL,67,4,0,0,0.00261521,0.00203979,1.2821
210,PL,20,3,0,0,0.00237079,0.00125661,1.88666
220,PL,70,3,0,0,0.00249429,0.00194987,1.27921
230,PL,11,3,0,0,0.00245394,0.00125651,1.95299
240,PL,34,3,0,0,0.00230764,0.00150158,1.53681
250,PL,10,3,0,0,0.00222546,0.0011498,1.93553
260,PL,43,3,0,0,0.00256035,0.00197279,1.29783
270,PL,9,3,0,0,0.00226076,0.00121708,1.85753
280,PL,16,3,0,0,0.00235294,0.00158107,1.4882
290,PL,91,3,0,0,0.00263354,0.0022219,1.18527
300,PL,46,3,0,0,0.00269881,0.00215912,1.24996
310,PL,55,4,0,0,0.00251268,0.00240623,1.04424
320,PL,25,5,30,4,0.00245842,0.0039052,0.629526
330,PL,50,5,0,0,0.00243909,0.00241931,1.00818
340,PL,64,4,0,0,0.00245638,0.00197973,1.24077
350,PL,2,3,0,0,0.00211539,0.000979226,2.16027
360,PL,67,3,0,0,0.00251531,0.00211584,1.1888
370,PL,23,3,14,3,0.00244615,0.00253052,0.966659
380,PL,44,3,0,0,0.00227259,0.00191331,1.18778
390,PL,55,4,47,5,0.00240884,0.00539732,0.446304
400,PL,41,4,0,0,0.00234834,0.00201154,1.16744
410,PL,31,3,0,0,0.00223964,0.00168806,1.32676
420,PL,41,5,0,0,0.00237186,0.00249493,0.950672
430,PL,29,4,9,3,0.00241004,0.0031021,0.776907
440,PL,16,3,0,0,0.0023025,0.00158958,1.4485
450,PL,61,4,0,0,0.00254056,0.00224642,1.13094
460,PL,47,6,0,0,0.00227542,0.00287109,0.79253
470,PL,34,3,0,0,0.0026674,0.00180636,1.47667
480,PL,23,3,6,3,0.00237076,0.00288116,0.822849
490,PL,24,3,7,3,0.00256263,0.00250113,1.02459
500,PL,22,3,0,0,0.00224791,0.00143702,1.56429
510,PL,47,4,0,0,0.00239206,0.00182267,1.3124
520,PL,43,4,0,0,0.00229889,0.00197878,1.16177
530,PL,32,3,0,0,0.00243609,0.00160733,1.51562
540,PL,15,3,31,5,0.00241776,0.00338155,0.714987
550,PL,25,3,0,0,0.00258467,0.00181699,1.4225
560,PL,12,3,0,0,0.00231113,0.00135788,1.70202
570,PL,18,3,11,3,0.00238283,0.00270534,0.880787
580,PL,18,3,0,0,0.00229438,0.0013284,1.72718
590,PL,9,3,0,0,0.0026231,0.0010573,2.48096
600,PL,8,3,0,0,0.00226562,0.00129082,1.75518
610,PL,3,3,0,0,0.00214744,0.000897205,2.39348
620,PL,0,3,0,0,0.00212608,0.000852424,2.49416
630,PL,15,3,0,0,0.00216987,0.00115324,1.88155
640,PL,30,8,0,0,0.00249602,0.00265202,0.941177
650,PL,40,4,0,0,0.00264942,0.00168557,1.57183
660,PL,1,3,0,0,0.00236192,0.000911455,2.59138
670,PL,27,3,7,3,0.00220935,0.00219145,1.00817
680,PL,18,3,10,4,0.00214689,0.00276646,0.776044
690,PL,11,3,26,4,0.00221567,0.00294683,0.751884
700,PL,12,3,0,0,0.00241523,0.00160785,1.50215
710,PL,45,4,0,0,0.00258126,0.00233389,1.10599
720,PL,21,3,0,0,0.00266737,0.00138217,1.92984
730,PL,21,3,0,0,0.00222151,0.00157192,1.41325
740,PL,10,3,0,0,0.0021889,0.00111399,1.96493
750,PL,14,3,0,0,0.00243564,0.00156053,1.56078
760,PL,13,3,20,3,0.00220969,0.00293681,0.752413
770,PL,24,4,0,0,0.00239811,0.0017345,1.3826
780,PL,5,3,0,0,0.00214236,0.000960975,2.22936
790,PL,7,3,0,0,0.00215001,0.00105621,2.0356
800,PL,3,3,0,0,0.00220782,0.000963005,2.29264
810,PL,33,3,0,0,0.00249545,0.0019882,1.25513
820,PL,22,3,24,3,0.00221622,0.00277765,0.797875
830,PL,6,3,0,0,0.00221597,0.00117038,1.89338
840,PL,12,3,17,4,0.00273284,0.00320826,0.851816
850,PL,27,3,0,0,0.00257694,0.0017402,1.48083
860,PL,9,3,10,3,0.00226183,0.00239226,0.945478
870,PL,14,3,0,0,0.00218625,0.00130635,1.67356
880,PL,24,3,0,0,0.00246525,0.00145908,1.6896
890,PL,10,3,0,0,0.00216325,0.00122809,1.76148
900,PL,14,3,0,0,0.00219855,0.0010507,2.09247
910,PL,10,3,0,0,0.00217917,0.00121584,1.79232
920,PL,4,3,5,3,0.00221528,0.00223092,0.992989
930,PL,0,3,0,0,0.00216259,0.000876895,2.46619
940,PL,13,3,7,3,0.00223631,0.00245684,0.910238
950,PL,40,5,4,3,0.00252241,0.00366469,0.688302
960,PL,19,3,64,4,0.00246876,0.00380809,0.648294
970,PL,4,3,0,0,0.00220062,0.00102746,2.14182
980,PL,13,3,21,3,0.00219582,0.00279993,0.78424
990,PL,4,3,0,0,0.00259031,0.000924505,2.80184
1000,PL,5,3,0,0,0.00220052,0.0011696,1.88144
1010,PL,33,3,0,0,0.00255386,0.00162159,1.57491
1020,PL,23,3,0,0,0.00257951,0.00179831,1.43441
1030,PL,5,3,0,0,0.00220212,0.00105084,2.09557
1040,PL,13,3,0,0,0.00222192,0.00133365,1.66605
1050,PL,13,3,30,3,0.00227233,0.0030133,0.754102
1060,PL,8,3,0,0,0.002139,0.00115632,1.84984
1070,PL,6,3,0,0,0.00229532,0.00113865,2.01584
1080,PL,14,3,0,0,0.00223319,0.00148046,1.50845
1090,PL,17,3,36,5,0.002378,0.00406892,0.584431
1100,PL,33,4,0,0,0.0025108,0.00204789,1.22604
1110,PL,12,3,0,0,0.00214202,0.00116686,1.83572
1120,PL,10,3,8,3,0.00220331,0.0021842,1.00875
1130,PL,0,3,8,3,0.00211519,0.00228641,0.925114
1140,PL,6,3,13,3,0.00224317,0.00259263,0.86521
1150,PL,15,3,8,3,0.00224556,0.0028737,0.781419
1160,PL,17,3,0,0,0.00248452,0.00117835,2.10848
1170,PL,5,3,0,0,0.00225335,0.00100829,2.23481
1180,PL,6,3,0,0,0.0020697,0.00102075,2.02764
1190,PL,22,3,2,3,0.00230796,0.00235209,0.981238
1200,PL,10,3,12,3,0.00227999,0.00239225,0.953074
1210,PL,4,3,10,3,0.00211832,0.00234463,0.903477
1220,PL,57,4,30,4,0.00242166,0.00437174,0.553935
1230,PL,3,3,0,0,0.00220067,0.000914295,2.40696
1240,PL,20,4,8,3,0.0025848,0.00301343,0.857763
1250,PL,7,3,0,0,0.00211646,0.00113675,1.86186
1260,PL,15,3,22,3,0.0022139,0.00274742,0.80581
1270,PL,11,3,0,0,0.00219067,0.00120121,1.82373
1280,PL,26,3,0,0,0.00267813,0.0015631,1.71335
1290,PL,5,3,0,0,0.00210404,0.00106295,1.97944
1300,PL,0,3,0,0,0.0020732,0.000879685,2.35675
1310,PL,0,3,0,0,0.00210513,0.000859805,2.44838
1320,PL,3,3,0,0,0.00254566,0.000881475,2.88796
1330,PL,9,3,0,0,0.00212625,0.00120883,1.75894
1340,PL,5,3,4,3,0.00218504,0.00218069,1.00199
1350,PL,34,4,0,0,0.00255192,0.00248428,1.02723
1360,PL,20,3,4,3,0.00255542,0.00302777,0.843997
1370,PL,4,3,0,0,0.00217246,0.00116423,1.86601
1380,PL,6,3,0,0,0.00217482,0.000981575,2.21565
1390,PL,0,3,9,3,0.00208097,0.00185553,1.1215
1400,PL,12,3,0,0,0.0021558,0.00114102,1.88937
1410,PL,27,3,9,3,0.00250911,0.00311273,0.806082
