iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,GrPX2,1,1,0.623202,24.2373,0.21537,0.455408,0.422819,0.553212,8.88136,17.6271,15.6949,21.0508
50,GrPX2,1,1,0.599233,22.678,0.202279,0.424501,0.321189,0.569511,7.55932,16.7458,11.5593,22.4407
100,GrPX2,1,1,0.577181,23.2542,0.207977,0.412156,0.447747,0.550336,9.66102,17.1186,15.5593,21.5932
150,GrPX2,1,1,0.558006,22.678,0.213068,0.400568,0.41419,0.521572,8.40678,16.5085,15.661,20.1017
200,GrPX2,1,1,0.52349,20.5763,0.20928,0.363636,0.35187,0.475551,8.84746,13.6271,12.1356,18.8814
250,GrPX2,1,1,0.47651,19.1864,0.183886,0.341232,0.344199,0.456376,7.25424,14.1695,12.1356,18.5085
300,GrPX2,1,1,0.480345,19.4576,0.163826,0.361742,0.364334,0.416107,7.05085,14.4407,12.3729,15.8305
350,GrPX2,1,1,0.501438,21.7627,0.1875,0.357008,0.392138,0.460211,8.40678,15.661,14.6441,18.0339
400,GrPX2,1,1,0.509108,20.678,0.172512,0.375355,0.329818,0.444871,7.52542,15.4237,11.8644,17.322
450,GrPX2,1,1,0.540748,21.7288,0.206635,0.389573,0.418984,0.512943,8.44068,15.8305,15.2881,20.8475
500,GrPX2,1,1,0.493768,20.6102,0.180095,0.354502,0.383509,0.4535,7.86441,14.339,13.9322,18.0678
550,GrPX2,1,1,0.455417,17.8305,0.140818,0.345385,0.227229,0.417066,6.50847,12.5763,8.67797,15.9322
600,GrPX2,1,1,0.474593,19.1525,0.205492,0.32197,0.31256,0.46117,7.32203,13.8983,11.3559,18.4068
650,GrPX2,1,1,0.441035,17.8644,0.159886,0.33491,0.307766,0.440077,6.0339,13.5254,10.7797,16.8136
