iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,GrPX,1,1,0.623202,24.2373,0.33018,0.33964,0.495686,0.517737,13.1525,13.2542,18.7458,19.4915
50,GrPX,0,1,0.59348,24.0678,0.325779,0.354108,0.52349,0.52349,13.322,14.8475,20.8814,20.5085
100,GrPX,1,1,0.564717,23.8983,0.280303,0.326705,0.49185,0.485139,12.6441,13.8983,18.5763,19.8644
150,GrPX,1,1,0.499521,19.4915,0.261611,0.283412,0.363375,0.423778,10.0678,10.7797,13.1186,15.9322
200,GrPX,1,1,0.558965,22.9492,0.29745,0.321058,0.492809,0.467881,12.6102,13.3559,18.678,18.4407
250,GrPX,1,1,0.533078,21.9322,0.298677,0.29206,0.446788,0.457335,13.1525,11.9322,16.9153,17.2542
300,GrPX,1,1,0.554171,21.8644,0.299526,0.29763,0.481304,0.433365,12.6102,11.6271,19.5254,16.5763
350,GrPX,1,1,0.518696,21.5593,0.288425,0.279886,0.40652,0.454458,12.2373,11.9661,15.0169,17.7966
400,GrPX,1,1,0.503356,22.2712,0.277303,0.261159,0.333653,0.408437,11.2542,12.1017,12.5085,15.3559
450,GrPX,1,1,0.503356,21.0847,0.254269,0.29222,0.397891,0.391179,10.2373,12.3051,14.9831,16.4068
500,GrPX,0,1,0.505273,20.2373,0.281398,0.292729,0.426654,0.409396,11.322,11.5932,15.2881,14.9492
550,GrPX,1,1,0.521572,21.5932,0.292614,0.279356,0.394056,0.494727,11.6271,11.9661,16.1695,19.2203
600,GrPX,1,1,0.550336,22.678,0.299048,0.27619,0.384468,0.426654,12.4746,11.4915,14.4407,15.6271
650,GrPX,1,1,0.534036,21.2203,0.290323,0.291271,0.4535,0.441994,12.3729,11.0847,18.0339,15.0169
700,GrPX,1,1,0.464046,15.5254,0.241706,0.269194,0.362416,0.404602,8.33898,8.71186,13.1186,13.322
750,GrPX,1,1,0,0,0,0,0,0,0,0,0,0
800,GrPX,1,1,0.520614,21.0169,0.2755,0.268827,0.356663,0.348035,12.1695,10.2034,14.4068,12.5424
850,GrPX,0,1,0.489933,19.6949,0.279886,0.253321,0.411314,0.377756,11.1864,10.3051,15.0847,14.678
900,GrPX,0,1,0.505273,19.7627,0.283681,0.259962,0.41419,0.363375,11.0169,10.2373,15.3559,14.1695
950,GrPX,0,1,0.490892,19.3898,0.253308,0.279773,0.416107,0.411314,11.2542,10.678,16.9492,15.6949
1000,GrPX,1,1,0.511985,19.9661,0.286256,0.273934,0.401726,0.42186,10.7458,11.2881,15.1525,14.6102
1050,GrPX,0,1,0.509108,20.2712,0.266857,0.282051,0.395973,0.397891,10.7797,11.2881,14.678,15.7966
1100,GrPX,0,1,0.466922,18.4407,0.239849,0.276676,0.412272,0.415149,9.52542,11.3559,14.9492,14.5085
1150,GrPX,1,1,0.450623,18.0339,0.238411,0.258278,0.410355,0.391179,10,10.8136,15.8644,14.1695
1200,GrPX,0,0,0.465005,16.4746,0.248335,0.254044,0.396932,0.377756,9.55932,8.40678,13.2203,11.5254
1250,GrPX,0,0,0.462128,18.678,0.264455,0.232227,0.355705,0.394056,11.0508,9.83051,13.0847,14.9831
1300,GrPX,0,1,0.485139,17.661,0.268178,0.270066,0.384468,0.394056,9.08475,10.678,13.2542,13.661
1350,GrPX,0,0,0.471716,19.6271,0.28436,0.222749,0.415547,0.391555,11.4237,9.05085,16.2034,14.6441
1400,GrPX,0,0,0.465964,18.4407,0.258278,0.257332,0.391179,0.425695,10.6102,9.66102,14.2373,15.661
1450,GrPX,0,0,0.46929,19.4576,0.266289,0.261568,0.420901,0.452541,10.6441,11.5593,15.8644,17.0847
1500,GrPX,0,0,0.472169,18.7797,0.21449,0.285033,0.360499,0.377756,8.0678,11.6271,12.678,15.0508
1550,GrPX,1,1,0.518696,20.8136,0.291985,0.248092,0.40652,0.3279,11.7966,10.0678,15.8305,12.0678
1600,GrPX,0,0,0.447747,16.9153,0.25118,0.23796,0.400767,0.398849,9.62712,9.9661,14.4068,13.7966
1650,GrPX,1,1,0.480345,19.4237,0.26087,0.266541,0.462128,0.396932,10.8475,10.3729,17.7966,15.1186
1700,GrPX,0,0,0.434324,15.5932,0.204739,0.267299,0.333653,0.350911,7.49153,9.32203,10,10.8814
1750,GrPX,0,0,0.455417,18.678,0.263507,0.229384,0.365292,0.35187,11.1864,9.32203,14.9492,13.3559
1800,GrPX,0,1,0.521572,20.1017,0.286256,0.278673,0.394056,0.388303,11.0847,10.5424,14.2712,13.0508
1850,GrPX,1,0,0.487057,19.1525,0.285444,0.259924,0.388303,0.407478,11.0169,10.0339,13.0847,14.4407
1900,GrPX,1,0,0.442953,15.6949,0.24053,0.262311,0.411314,0.390221,8.94915,9.05085,14.6102,13.322
1950,GrPX,0,0,0.47651,17.4576,0.264455,0.253081,0.407478,0.381592,11.1186,7.79661,14.6102,12.8136
2000,GrPX,0,0,0.426104,15.0169,0.226236,0.230038,0.3279,0.340364,7.25424,8.81356,10.3051,11.8305
2050,GrPX,0,0,0.47651,18.1695,0.275992,0.248582,0.38255,0.454458,10.8475,9.55932,12.4407,15.3898
2100,GrPX,0,0,0.517737,20.1695,0.25782,0.293839,0.415149,0.420901,10.1695,11.8644,15.9322,16.1356
2150,GrPX,0,0,0.502397,19.7966,0.273157,0.284499,0.449664,0.434324,10.6441,10.9831,16,15.4237
2200,GrPX,1,0,0.490892,20.0678,0.291943,0.245498,0.41419,0.448706,11.2542,10.6102,15.2203,16.3051
2250,GrPX,0,1,0.473634,17.6271,0.246198,0.270913,0.376798,0.418984,8.88136,10.4746,13.0508,15.3559
2300,GrPX,0,0,0.471716,18.5424,0.248347,0.273843,0.440077,0.366251,10.5424,10,16.1356,13.1186
2350,GrPX,0,0,0.528284,20.678,0.282876,0.288553,0.445829,0.425695,11.2542,11.2881,15.4576,15.661
2400,GrPX,0,0,0.394434,14.4746,0.221381,0.221381,0.35954,0.329818,7.86441,9.01695,11.7966,12.1695
2450,GrPX,0,0,0.485139,19.2881,0.254044,0.259753,0.418025,0.329818,10.3051,9.9322,15.6949,11.661
2500,GrPX,0,1,0.498562,18.6102,0.276879,0.246432,0.408437,0.314477,10.5424,9.45763,14.3729,11.661
2550,GrPX,0,0,0.480806,18.7119,0.273504,0.252612,0.381592,0.376798,10.4068,10.1356,15.1525,14.0678
2600,GrPX,1,0,0.441994,17.3898,0.23368,0.257332,0.395014,0.452541,8.40678,11.2203,13.4237,17.0847
2650,GrPX,1,1,0.394056,16.1017,0.241249,0.203406,0.331735,0.302013,10.1017,8.0339,12.5085,11.1864
2700,GrPX,0,1,0.494727,18.9831,0.288952,0.260623,0.416107,0.450623,11.0508,10.7458,14.5085,15.9661
2750,GrPX,0,0,0.490892,19.6949,0.245964,0.283951,0.370086,0.401726,10.4407,10.8136,13.8983,14.3729
2800,GrPX,1,1,0.522531,22.2034,0.262108,0.290598,0.438159,0.392138,12.4746,11.8983,17.5254,16.0678
2850,GrPX,0,0,0.462128,16.678,0.245979,0.26017,0.383509,0.358581,9.42373,8.84746,13.5932,11.1525
2900,GrPX,1,1,0.449664,18,0.248577,0.234345,0.329818,0.343241,9.42373,9.83051,12,13.2203
2950,GrPX,0,0,0.474593,17.7966,0.261116,0.259224,0.416107,0.395014,9.86441,10.3051,14.9831,15.8644
3000,GrPX,0,0,0.452541,17.322,0.244782,0.236243,0.346117,0.365292,9.76271,8.71186,12.0678,12.1695
3050,GrPX,0,0,0.495686,18.1017,0.25071,0.296121,0.428571,0.393097,9.83051,9.86441,15.7966,13.8644
3100,GrPX,1,1,0.518696,19.9661,0.273674,0.294508,0.397891,0.413231,10.9831,10.5763,14.7119,14.7797
3150,GrPX,0,0,0.449664,17.0508,0.255703,0.230038,0.386385,0.330777,9.59322,8.64407,12.9831,11.4915
3200,GrPX,0,0,0.455417,16.1017,0.232514,0.273157,0.349952,0.381592,8.54237,9.69492,12.2373,12.9153
3250,GrPX,0,0,0.489933,19.5932,0.290995,0.237915,0.445829,0.445829,11.8305,9.9322,17.8983,16.678
3300,GrPX,1,1,0.319271,9.45763,0.155303,0.186553,0.200384,0.261745,4.16949,6.20339,5.49153,8.94915
3350,GrPX,1,0,0.48418,18.1356,0.267299,0.256872,0.329818,0.418984,9.05085,10.4746,11.2881,15.6949
3400,GrPX,0,0,0.455417,18.7797,0.248582,0.259924,0.400767,0.383509,10.2373,10.6102,14.9153,15.3559
3450,GrPX,0,0,0.353787,12.339,0.218957,0.17346,0.302013,0.299137,8.10169,5.42373,11.2203,10.1695
3500,GrPX,0,0,0.485139,19.9661,0.262808,0.256167,0.389262,0.408437,10.678,10.5424,15.7627,15.5254
3550,GrPX,0,0,0.432407,16.1695,0.199811,0.266098,0.350911,0.330777,7.55932,9.83051,12.2034,11.4576
3600,GrPX,0,0,0.493768,20.5085,0.259962,0.26945,0.388303,0.440077,11.2881,11.2881,15.5932,17.7288
3650,GrPX,0,1,0.499521,20.4407,0.294229,0.237465,0.403643,0.395973,11.1186,10.6102,14.7119,14.3051
3700,GrPX,0,0,0.472675,19.7966,0.259506,0.247148,0.331735,0.400767,11.1186,10.5085,12.7797,14.9492
3750,GrPX,0,0,0.451582,17.322,0.25831,0.22887,0.35954,0.360499,10.7797,7.42373,13.8983,11.661
3800,GrPX,0,0,0.463087,19.0508,0.247148,0.250951,0.349952,0.411314,10.1356,10.2712,12.9831,16.9831
3850,GrPX,0,0,0.498562,20.2034,0.249286,0.275928,0.386385,0.360499,10.4068,11.322,15.2203,14.3051
3900,GrPX,1,1,0.436242,15.5932,0.219905,0.25782,0.371045,0.282838,8.50847,8.84746,13.3898,8.88136
3950,GrPX,0,0,0.489933,19.0847,0.250237,0.280569,0.450623,0.369128,10.1017,11.4915,16.2712,13.0508
4000,GrPX,0,0,0.512943,20.8136,0.252141,0.286394,0.416107,0.422819,10.678,11.6271,15.8644,15.5593
4050,GrPX,0,0,0.379674,14.2034,0.202087,0.212524,0.31286,0.308061,7.69492,8.0678,11.322,10.9492
4100,GrPX,0,0,0.422819,17.2542,0.227058,0.237465,0.351248,0.346449,10.1017,8.84746,14.1356,11.4576
4150,GrPX,0,0,0.49185,19.5932,0.28828,0.258034,0.369128,0.440077,10.9153,10.9492,13.9322,15.0508
4200,GrPX,0,1,0.452541,18.6441,0.224645,0.262559,0.325983,0.403643,9.9322,10.9831,11.8983,14.2712
4250,GrPX,0,1,0.49185,18.6102,0.263058,0.261159,0.375839,0.450623,10,10.2712,13.3898,17.0508
4300,GrPX,0,1,0.500479,20.339,0.26017,0.287606,0.435283,0.407478,11.5254,11.1525,17.322,14.678
4350,GrPX,0,0,0.488974,19.2203,0.272899,0.275732,0.410355,0.467881,10.9492,11.6949,14.9831,18.3729
4400,GrPX,0,0,0.520614,19.2542,0.283951,0.28585,0.425695,0.436242,10.9492,10.5763,15.661,15.5593
4450,GrPX,0,0,0.472675,19.7966,0.231499,0.282732,0.347076,0.365292,9.83051,11.661,12.5424,13.8983
4500,GrPX,1,1,0.532119,20.6441,0.279092,0.30369,0.369128,0.436242,11.5254,11.5932,14.2034,16.4068
4550,GrPX,0,0,0.439118,16.0339,0.253548,0.230842,0.379674,0.388303,9.38983,8.88136,12.7119,13.7288
4600,GrPX,0,0,0.424736,16.2712,0.282197,0.188447,0.387344,0.302972,11.5593,6.23729,14.1356,10.5763
4650,GrPX,0,0,0.462128,17.8644,0.224762,0.262857,0.279003,0.399808,8.77966,10.0678,10.6102,14.1356
4700,GrPX,0,0,0.481304,18.5085,0.231061,0.282197,0.393097,0.344199,8.54237,11.4576,14.7458,14.4407
4750,GrPX,0,0,0.519655,20.0678,0.273157,0.28828,0.455417,0.443912,11.7627,10.5085,19.0847,16.4746
