iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,GLOX,0,1,0.656684,15.2152,0.319786,0.405348,0.51606,0.508565,7.26582,9.74684,12.1013,11.6203
50,GLOX,0,0,0.630621,15.3671,0.297645,0.398287,0.508565,0.444325,7.46835,9.31646,11.519,10.2785
100,GLOX,0,1,0.674866,15.4177,0.314439,0.407487,0.440642,0.454545,7.08861,9.87342,10.1772,10.7342
150,GLOX,0,1,0.616702,14.8861,0.297645,0.35439,0.446467,0.471092,7.16456,8.43038,10.5063,11.0633
200,GLOX,0,0,0.637045,15.2658,0.327623,0.374732,0.404711,0.474304,7.64557,9.24051,9.49367,11.0127
250,GLOX,0,1,0.635974,15.4684,0.317987,0.379015,0.456103,0.486081,7.79747,9.13924,10.4557,11.038
300,GLOX,0,0,0.630621,15.2658,0.308351,0.345824,0.37152,0.45182,7.51899,8.32911,8.58228,10.5823
350,GLOX,0,0,0.640257,15.1392,0.309422,0.389722,0.528908,0.492505,7.18987,9.29114,11.443,11.3924
400,GLOX,0,0,0.617773,14.7848,0.298715,0.367238,0.416488,0.457173,6.63291,9.03797,9.41772,10.7848
450,GLOX,0,0,0.675589,15.8987,0.332976,0.412206,0.527837,0.498929,7.64557,9.87342,11.4177,11.6962
500,GLOX,0,0,0.672377,14.5063,0.310493,0.408994,0.522484,0.460385,6.83544,8.93671,10.6835,10.1266
550,GLOX,0,0,0.623794,13.6962,0.296574,0.389722,0.438972,0.490364,6.3038,8.65823,9.34177,11.3418
600,GLOX,1,0,0,0,0,0,0.0674518,0.0674518,0,0,0.708861,0.708861
650,GLOX,0,0,0.609208,14.3038,0.289079,0.367238,0.462527,0.490364,6.55696,8.83544,9.49367,11.0886
700,GLOX,0,1,0.648822,15.6456,0.314775,0.368308,0.390792,0.490364,7.59494,9.01266,9.03797,11.2911
750,GLOX,0,0,0.619914,14.5063,0.30621,0.3394,0.383298,0.397216,7.18987,7.92405,8.4557,8.93671
800,GLOX,0,0,0.635974,15.2911,0.300857,0.380086,0.475375,0.477516,7.31646,8.93671,10.4304,10.7089
850,GLOX,0,0,0.608137,14.8101,0.296574,0.362955,0.416488,0.447537,7.06329,9.01266,9.08861,10.2785
900,GLOX,0,0,0.429336,9.67089,0.256959,0.210921,0.427195,0.360814,5.97468,4.65823,9.49367,7.31646
950,GLOX,0,0,0.605996,15.0127,0.285867,0.343683,0.359743,0.410064,7.16456,8.17722,8.27848,9.94937
1000,GLOX,0,1,0.609208,14.1013,0.27409,0.377944,0.400428,0.406852,6.50633,8.70886,8.55696,9.6962
1050,GLOX,0,0,0.623126,14.557,0.304069,0.349036,0.369379,0.455032,6.96203,8.65823,7.8481,10.1519
1100,GLOX,0,1,0.591006,13.8481,0.277302,0.344754,0.38758,0.381156,6.48101,7.92405,8.60759,8.78481
1150,GLOX,0,0,0.61349,14.1013,0.295503,0.359743,0.417559,0.442184,7.01266,8.1519,9.16456,9.39241
1200,GLOX,0,0,0.620579,14.6076,0.289079,0.377944,0.513919,0.444325,6.98734,8.96203,11.1139,10
1250,GLOX,0,0,0.635974,15.038,0.300857,0.367238,0.473233,0.411135,7.08861,8.55696,10.5316,9.08861
1300,GLOX,0,0,0.649893,14.3038,0.309422,0.379015,0.448608,0.445396,6.88608,8.35443,9.24051,9.56962
1350,GLOX,0,0,0.627409,15.0127,0.299786,0.388651,0.461951,0.565916,7.26582,9.44304,10.3797,13.0127
1400,GLOX,0,1,0.652034,15.443,0.336188,0.366167,0.40257,0.456103,7.5443,9.16456,9.29114,11.0886
1450,GLOX,0,0,0.589496,12.7848,0.297645,0.33833,0.436831,0.453961,7.24051,7.03797,10.1013,9.87342
1500,GLOX,0,0,0.591006,14.6076,0.286938,0.340471,0.462527,0.443255,7.56962,8.02532,10.3038,9.89873
1550,GLOX,0,1,0.498929,10.481,0.285867,0.262313,0.32227,0.335118,7.06329,4.96203,7.8481,5.92405
1600,GLOX,0,0,0.609208,14.5063,0.298715,0.351178,0.436831,0.422912,6.75949,8.58228,10.1013,9.79747
1650,GLOX,0,0,0.449679,9.51899,0.154176,0.345824,0.320128,0.46788,3.11392,7.74684,6.32911,9.56962
1700,GLOX,0,0,0.620985,14.4304,0.278373,0.385439,0.416488,0.534261,6.65823,9.34177,8.43038,11.4177
1750,GLOX,0,0,0.591006,14.2278,0.297645,0.336188,0.440043,0.474304,6.91139,8.4557,9.21519,10.6835
