iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,PL,0,1,0.671658,16.1519,0.576471,0.549733,0.616043,0.640642,8.07595,8.07595,14.3291,15.3924
50,PL,0,1,0.64561,15.1899,0.527837,0.567452,0.627409,0.648822,7.59494,7.59494,14.9114,15.1139
100,PL,0,0,0.687366,15.8481,0.56531,0.571734,0.649893,0.657388,7.92405,7.92405,15.0886,15.519
150,PL,0,1,0.667024,15.6962,0.546039,0.556745,0.623126,0.653105,7.8481,7.8481,13.6709,15.1899
200,PL,0,1,0.656317,14.8861,0.558887,0.539615,0.598501,0.622056,7.44304,7.44304,13.5949,13.7468
250,PL,0,0,0.650964,15.038,0.531049,0.546039,0.617773,0.616702,7.51899,7.51899,14.2025,14.4557
300,PL,0,1,0.647752,14.962,0.547109,0.555675,0.648822,0.639186,7.46835,7.49367,14.2785,14.2532
350,PL,0,0,0.697002,15.8481,0.574946,0.566381,0.647752,0.664882,7.92405,7.92405,14.0506,15.5443
400,PL,0,1,0.685225,16.1519,0.578158,0.572805,0.643469,0.650964,8.07595,8.07595,15.0633,15.2658
450,PL,0,1,0.678801,15.6203,0.559957,0.569593,0.625268,0.642398,7.79747,7.82278,14.5316,14.6835
500,PL,0,0,0.650964,15.3165,0.555675,0.523555,0.64454,0.583512,7.64557,7.67089,14.1772,14
550,PL,0,0,0.670236,15.5949,0.543897,0.552463,0.627409,0.633833,7.79747,7.79747,14.5063,14.3291
600,PL,0,0,0.640257,14.557,0.525696,0.51606,0.59743,0.625268,7.26582,7.29114,13.9494,13.9747
650,PL,0,1,0.691649,15.3924,0.535332,0.557816,0.642398,0.66167,7.6962,7.6962,14.6076,14.7089
700,PL,0,0,0.653105,15.443,0.562099,0.531049,0.615632,0.623126,7.72152,7.72152,14.7089,14.3797
750,PL,0,0,0.665953,15.4937,0.546039,0.535332,0.650964,0.624197,7.74684,7.74684,14.4304,14.3797
800,PL,0,0,0.652733,16,0.557816,0.561028,0.606645,0.635584,8,8,14.0253,14.8608
850,PL,0,0,0.679872,15.2152,0.569593,0.540685,0.64561,0.646681,7.59494,7.62025,13.9241,14.2785
900,PL,0,0,0.631297,14.4051,0.519272,0.526767,0.655246,0.630621,7.18987,7.21519,14.4304,14.2278
950,PL,0,0,0.668094,15.1139,0.549251,0.547109,0.642398,0.664882,7.5443,7.56962,14.0759,14.5063
1000,PL,0,0,0.665595,15.519,0.558414,0.529475,0.644159,0.628081,7.74684,7.77215,14.5063,14.4051
1050,PL,0,0,0.646302,14.6329,0.521413,0.523555,0.635584,0.605573,7.31646,7.31646,14.5316,14.2532
1100,PL,0,1,0.623126,14.4557,0.514989,0.505353,0.652034,0.592077,7.21519,7.24051,14.4304,13.3165
1150,PL,0,0,0.649518,15.2911,0.527837,0.54818,0.659529,0.647752,7.64557,7.64557,14.481,14.3291
1200,PL,0,0,0.660236,16.1013,0.569593,0.558887,0.649893,0.61349,8.05063,8.05063,14.9367,14.2532
1250,PL,0,1,0.627409,14.9873,0.535332,0.520343,0.582441,0.627409,7.49367,7.49367,13.6456,14.2532
1300,PL,0,0,0.650964,15.2405,0.537473,0.556745,0.608137,0.643469,7.62025,7.62025,13.443,14.4304
1350,PL,0,1,0.623126,14,0.496788,0.505353,0.587794,0.600642,6.98734,7.01266,13.1646,12.9114
1400,PL,0,1,0.650964,15.4177,0.541756,0.526767,0.595289,0.632762,7.6962,7.72152,13.4937,14.6076
1450,PL,0,1,0.635974,14.3544,0.521413,0.522484,0.610278,0.619914,7.16456,7.18987,13.2152,13.4177
1500,PL,0,0,0.652034,14.9873,0.544968,0.54818,0.630621,0.585653,7.49367,7.49367,14.0506,13.8481
1550,PL,0,0,0.630225,14.3038,0.517685,0.499464,0.653805,0.619507,7.13924,7.16456,14.557,13.7722
1600,PL,0,1,0.618844,14.8861,0.508565,0.539615,0.620985,0.610278,7.44304,7.44304,14.5063,14
1650,PL,0,1,0.617773,14.481,0.505353,0.523555,0.610278,0.633833,7.24051,7.24051,14.0506,13.8481
1700,PL,0,0,0.670954,15.3671,0.554126,0.569132,0.636656,0.651661,7.67089,7.6962,14.0253,14.7595
1750,PL,0,0,0.62701,13.8987,0.519272,0.522484,0.589936,0.619914,6.93671,6.96203,13.443,13.8734
1800,PL,0,0,0.705252,15.8734,0.562701,0.575563,0.661308,0.6806,7.92405,7.94937,14.7595,15.5443
1850,PL,0,0,0.663812,15.8228,0.540685,0.549251,0.627409,0.653105,7.89873,7.92405,14.4557,15.3418
1900,PL,0,0,0.698821,15.6203,0.571275,0.578778,0.646302,0.65702,7.79747,7.82278,14.557,15.038
1950,PL,0,0,0.653105,15.0633,0.542827,0.539615,0.624866,0.621651,7.51899,7.5443,14,13.2152
2000,PL,0,0,0.652733,14.9873,0.539121,0.529475,0.64523,0.605573,7.49367,7.49367,14,13.4177
2050,PL,0,0,0.665953,15.6962,0.546039,0.557816,0.614561,0.632762,7.8481,7.8481,13.6962,14.3797
2100,PL,0,1,0.682013,15.2152,0.553533,0.541756,0.617773,0.632762,7.59494,7.62025,14.7848,13.9241
2150,PL,0,1,0.635974,14.5063,0.507495,0.519272,0.61242,0.61349,7.24051,7.26582,13.443,14.2532
2200,PL,0,0,0.610932,14.5316,0.5,0.513919,0.614561,0.592077,7.26582,7.26582,13.6709,12.962
2250,PL,0,0,0.678457,15.6203,0.566381,0.566381,0.618435,0.640943,7.79747,7.82278,14.1013,14.3038
2300,PL,0,0,0.664523,15.0633,0.538544,0.538544,0.605996,0.604925,7.51899,7.5443,14.1519,13.9241
2350,PL,0,0,0.635974,14.7595,0.525696,0.504283,0.6388,0.62701,7.36709,7.39241,14.0253,13.8734
2400,PL,0,0,0.639186,15.0127,0.554604,0.529979,0.625268,0.659529,7.49367,7.51899,14.0506,14.6329
2450,PL,0,0,0.648822,15.0127,0.555675,0.526767,0.605996,0.620985,7.49367,7.51899,14.3038,13.0633
2500,PL,0,0,0.620985,14.2532,0.507495,0.508565,0.62955,0.588865,7.11392,7.13924,13.6962,13.3671
2550,PL,0,0,0.673098,14.8861,0.540193,0.538049,0.661308,0.643087,7.44304,7.44304,13.7468,13.6709
2600,PL,0,1,0.619914,14.7342,0.51606,0.519272,0.614561,0.625268,7.36709,7.36709,14.0253,13.7975
2650,PL,0,0,0.669165,14.9114,0.551392,0.558887,0.619914,0.622056,7.44304,7.46835,13.9241,14.0759
2700,PL,0,0,0.652034,15.2911,0.540685,0.537473,0.618435,0.660236,7.64557,7.64557,14.2278,14.2532
2750,PL,0,0,0.675589,15.8734,0.570664,0.578158,0.667024,0.682013,7.92405,7.94937,14.9114,15.0127
2800,PL,0,0,0.70418,16.1013,0.574946,0.582441,0.685959,0.6388,8.05063,8.05063,15.3418,15.038
2850,PL,0,0,0.668094,15.2911,0.549251,0.558887,0.619914,0.662741,7.64557,7.64557,13.0127,14.5316
2900,PL,0,0,0.587794,12.481,0.481799,0.471092,0.55627,0.562701,6.22785,6.25316,11.7468,12
2950,PL,0,0,0.640257,14.2532,0.504283,0.520343,0.601713,0.631692,7.11392,7.13924,13.1899,13.6962
3000,PL,0,1,0.6606,14.962,0.546039,0.562099,0.618844,0.611349,7.46835,7.49367,13.9241,13.4177
3050,PL,0,0,0.668094,14.8354,0.546039,0.547109,0.632762,0.619914,7.41772,7.41772,13.7468,13.5696
3100,PL,0,0,0.655949,15.0886,0.541756,0.555675,0.617363,0.660236,7.5443,7.5443,14.2278,14.7089
3150,PL,0,0,0.66881,15.519,0.550911,0.562701,0.636656,0.6388,7.74684,7.77215,14.2532,14.3797
3200,PL,0,0,0.659529,15.519,0.571734,0.582441,0.588865,0.642398,7.74684,7.77215,13.3418,14.4304
3250,PL,0,1,0.583512,13.1646,0.450749,0.477516,0.5803,0.5803,6.58228,6.58228,12.7848,12.9114
3300,PL,0,0,0.637728,14.962,0.527837,0.523555,0.622722,0.64523,7.46835,7.49367,14.4557,14.1013
3350,PL,0,0,0.69239,15.2911,0.548767,0.549839,0.6806,0.6388,7.64557,7.64557,15.0127,14.3797
3400,PL,0,0,0.654176,15.1139,0.533191,0.541756,0.591006,0.641328,7.5443,7.56962,12.9114,14.1013
3450,PL,0,0,0.622056,14.2785,0.482869,0.508565,0.588865,0.592077,7.13924,7.13924,13.4177,12.8608
3500,PL,0,0,0.632762,14.9367,0.528908,0.524625,0.618844,0.619914,7.46835,7.46835,13.5443,14.3038
3550,PL,0,0,0.673448,15.1899,0.553533,0.550321,0.623126,0.67773,7.59494,7.59494,14.1266,14.8608
3600,PL,0,0,0.633833,14.5063,0.508565,0.522484,0.607066,0.600642,7.24051,7.26582,14.1266,13.1139
