iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,UOX,0,1,0.560086,24,0.684549,0.765021,0.560086,0.513948,16.7692,19.9231,23.6154,22.6923
50,UOX,0,1,0.554721,23.3462,0.675966,0.770386,0.575107,0.541845,17.2692,21.1923,23.2692,22.0769
100,UOX,0,1,0.561159,23.4615,0.671674,0.742489,0.504292,0.553648,18.3462,20.1538,22.1154,23.1154
150,UOX,0,1,0.524678,23.2692,0.693133,0.777897,0.520386,0.502146,17.0769,20.8462,23.0385,22.2692
200,UOX,0,1,0.550429,23.0385,0.685622,0.782189,0.553648,0.538627,16.8462,19.5,22.8846,22.1923
250,UOX,0,1,0.52897,21.7692,0.662017,0.759657,0.52897,0.54721,16.8846,21,22.8077,23.0385
300,UOX,0,0,0,0,0,0,0.0117899,0.0117899,0,0,0.269231,0.269231
350,UOX,0,1,0.524678,22.0385,0.667382,0.723176,0.531116,0.527897,16.8077,20.6538,22.5769,22.3077
400,UOX,1,1,0,0,0,0,0,0,0,0,0,0
450,UOX,0,1,0.51824,21.6923,0.658798,0.734979,0.504292,0.536481,17.2308,20,21.2308,22.5769
500,UOX,0,1,0.523605,24.3462,0.699571,0.756438,0.546137,0.552575,17.7308,21.7692,22,23.3077
550,UOX,0,1,0.540773,22.6538,0.687768,0.747854,0.521459,0.532189,17.5385,21.8462,21.6154,23.1538
600,UOX,0,1,0.546137,22.0769,0.690987,0.75,0.562232,0.526824,18.1923,19.9615,23.0385,22.8462
650,UOX,0,0,0.561159,23.9615,0.689914,0.742489,0.541845,0.556867,18.6154,18.8077,23.3077,23.4615
700,UOX,0,0,0.538627,23.2308,0.659871,0.723176,0.520386,0.52897,16.8846,19.5385,21.3846,22.4615
750,UOX,0,1,0.520386,23.4615,0.654506,0.745708,0.535408,0.521459,16.0769,23.3077,22.1538,24.0385
800,UOX,0,1,0.5397,23.3077,0.678112,0.762876,0.513948,0.530043,16.8846,20.8077,21.5385,22.7308
850,UOX,0,0,0.540773,22.6538,0.68133,0.758584,0.516094,0.545064,18.4231,20.6154,22.3077,23.8077
900,UOX,0,1,0.552575,23.5385,0.653433,0.737124,0.561159,0.549356,18.3077,20.8077,22.7308,23.5385
950,UOX,0,0,0.55794,21.9231,0.628755,0.723176,0.52897,0.540773,15.9231,18.4615,21.8846,22.4615
1000,UOX,0,0,0.54721,23.1923,0.626609,0.76073,0.474249,0.52897,15.1538,22.3846,18.6154,22.3077
1050,UOX,0,0,0.540773,21.8077,0.650215,0.747854,0.513948,0.562232,16.7692,21.3846,21.8077,24
1100,UOX,0,1,0.515021,23.3462,0.623391,0.725322,0.490343,0.5397,16.5769,19.9615,22.6154,22.3846
1150,UOX,0,0,0.522532,23.9231,0.696352,0.770386,0.531116,0.502146,17.4231,20.7692,21.9615,23.2308
1200,UOX,0,0,0.530043,22.6154,0.672747,0.762876,0.504292,0.536481,16.1538,20.6923,23.2692,22.0769
1250,UOX,0,1,0.533262,23.8462,0.64485,0.736052,0.506438,0.520386,17.6154,20.1154,22.1154,21.5385
1300,UOX,0,0,0.523605,22.7692,0.635193,0.741416,0.509657,0.509657,17.2692,19.4231,22.7692,22.0385
1350,UOX,0,0,0.530043,23.5,0.657725,0.732833,0.555794,0.479614,16.4615,19.2692,21.3077,20.3077
1400,UOX,0,0,0.495708,22.1538,0.659871,0.725322,0.52897,0.480687,16.6923,20.2692,21.7308,22.1154
1450,UOX,1,0,0,0,0,0,0.0193133,0.0193133,0,0,1.03846,1.03846
1500,UOX,0,0,0.540773,22.1538,0.642704,0.734979,0.540773,0.532189,16.3077,20.4615,22.2308,22.3462
1550,UOX,0,0,0.503219,22.2308,0.660944,0.752146,0.541845,0.527897,17.5,22.3846,24.1923,23.5769
1600,UOX,0,1,0.508584,21.1923,0.648069,0.718884,0.526824,0.511803,17.5385,20.3846,22.2308,21.6538
1650,UOX,0,0,0.520386,23.2308,0.636266,0.75,0.525751,0.550429,16.8846,22.1538,22.1538,23.9615
1700,UOX,0,1,0.516094,23.5385,0.671674,0.743562,0.537554,0.540773,18.3077,19.5,23.1538,22.4615
1750,UOX,0,1,0.532189,23.5769,0.608369,0.75,0.552575,0.532189,15.6538,20.5385,22.1923,23.2308
1800,UOX,0,1,0.503219,22.5,0.656652,0.716738,0.51824,0.494635,18.3846,19.6923,22.8846,23.3846
1850,UOX,0,0,0.515021,22.3077,0.672747,0.740343,0.535408,0.507511,18.0769,19.9615,22.6923,22.1154
1900,UOX,0,0,0.535408,23.6154,0.675966,0.769313,0.550429,0.498927,16.8462,21.5769,23.9231,21.7308
1950,UOX,0,0,0.523605,22.8846,0.669528,0.742489,0.487124,0.502146,18.1154,18.1538,21.3077,20.6538
2000,UOX,0,0,0.589056,23.7692,0.687768,0.7897,0.542918,0.548283,17.5385,21.6923,23.5769,24.6154
