iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,GOX,0,0,0.612245,3.41176,0.434783,0.190772,0.470693,0.311723,2.42647,1.06618,2.57353,1.75
50,GOX,0,1,0.598048,3.41176,0.506655,0.125998,0.538667,0.191111,2.90441,0.676471,3.10294,1.02206
100,GOX,0,1,0.509769,2.83088,0.420071,0.108348,0.450667,0.167111,2.34559,0.580882,2.52206,0.889706
150,GOX,0,1,0.605333,3.54412,0.427556,0.190222,0.456406,0.231317,2.50735,1.11029,2.66176,1.33088
200,GOX,0,0,0.620107,3.49265,0.173488,0.47153,0.200356,0.520926,1,2.61765,1.11029,2.93382
250,GOX,0,1,0.663701,3.68382,0.661922,0.024911,0.655694,0.0987544,3.70588,0.139706,3.69118,0.492647
300,GOX,0,0,0.644128,3.53676,0.609431,0.0516014,0.621886,0.115658,3.32353,0.308824,3.39706,0.647059
350,GOX,0,1,0.114769,0.647059,0.0756228,0.0622776,0.135231,0.133452,0.426471,0.345588,0.764706,0.779412
400,GOX,0,0,0.644128,3.63235,0.52758,0.136121,0.56545,0.222618,3.03676,0.75,3.20588,1.24265
450,GOX,0,0,0.620107,3.46324,0.211744,0.427046,0.248221,0.458185,1.23529,2.36765,1.41912,2.52941
500,GOX,0,0,0.629333,3.48529,0.472889,0.173333,0.486222,0.221333,2.63971,0.941176,2.71324,1.17647
550,GOX,0,0,0.442667,2.39706,0.032,0.427556,0.0995556,0.474667,0.161765,2.32353,0.514706,2.58088
600,GOX,0,0,0.621886,3.57353,0.0827402,0.559609,0.123665,0.585409,0.485294,3.18382,0.683824,3.35294
650,GOX,0,0,0.546263,3.10294,0.440391,0.129004,0.47242,0.19484,2.53676,0.691176,2.64706,1.11765
700,GOX,0,0,0.618327,3.57353,0.143238,0.491993,0.187722,0.550712,0.801471,2.86765,1.04412,3.18382
750,GOX,0,0,0.487088,2.70588,0.430098,0.096171,0.455922,0.181656,2.43382,0.5,2.60294,1.00735
800,GOX,0,0,0.653915,3.64706,0.396797,0.289146,0.485307,0.346394,2.25,1.58824,2.74265,1.92647
850,GOX,0,0,0.646797,3.70588,0.483986,0.186833,0.540036,0.231317,2.74265,1.125,3.02941,1.35294
900,GOX,0,0,0.636687,3.52206,0.619768,0.0463045,0.634907,0.20748,3.45588,0.257353,3.55882,1.19118
950,GOX,0,0,0.624555,3.49265,0.522242,0.137011,0.607651,0.254448,2.96324,0.779412,3.39706,1.39706
1000,GOX,0,1,0.627224,3.50735,0.224199,0.420819,0.259127,0.475512,1.25,2.40441,1.44118,2.72059
1050,GOX,0,0,0.626335,3.47059,0.565836,0.094306,0.590747,0.162811,3.11765,0.558824,3.22794,0.889706
1100,GOX,0,0,0.646797,3.72059,0.366548,0.303381,0.439893,0.353517,2.16176,1.72059,2.55147,1.95588
1150,GOX,0,0,0.613535,3.41176,0.428317,0.228851,0.504898,0.310775,2.38971,1.27941,2.83088,1.70588
1200,GOX,0,0,0.609973,3.35294,0.535174,0.118433,0.601959,0.243989,2.96324,0.661765,3.33824,1.36765
1250,GOX,0,0,0.605521,3.36765,0.146037,0.479074,0.199466,0.513802,0.830882,2.64706,1.125,2.81618
1300,GOX,0,0,0.625445,3.47059,0.486655,0.176157,0.572573,0.224399,2.67647,0.970588,3.13971,1.27206
1350,GOX,0,0,0.633126,3.63235,0.511131,0.134461,0.56634,0.17008,2.89706,0.808824,3.16912,1
1400,GOX,0,0,0.468861,2.77206,0.25,0.246441,0.378114,0.307829,1.46324,1.46324,2.14706,1.83824
1450,GOX,0,0,0.593054,3.32353,0.501336,0.106857,0.526269,0.225289,2.83088,0.610294,2.97059,1.19853
1500,GOX,0,0,0.586821,3.33088,0.497774,0.114871,0.538736,0.178985,2.83824,0.661765,3.06618,0.963235
1550,GOX,0,0,0.280249,1.64706,0.28317,0.00356189,0.281389,0.00178094,1.66176,0.0147059,1.65441,0.00735294
