iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,OX,0,1,0.614907,3.51471,0.0266193,0.606034,0.0922804,0.616681,0.183824,3.45588,0.492647,3.46324
50,OX,0,0,0.664,3.67647,0.279111,0.424889,0.318222,0.541333,1.5,2.45588,1.71324,3.06618
100,OX,0,0,0.60302,3.41912,0.455595,0.181172,0.538256,0.25089,2.61765,1.01471,3.08088,1.41912
150,OX,0,0,0.515125,2.98529,0.423488,0.118327,0.503559,0.198399,2.47794,0.705882,2.88971,1.13971
200,OX,0,1,0.646797,3.61029,0.517794,0.168149,0.605872,0.258007,2.93382,0.941176,3.49265,1.44118
250,OX,0,0,0.653915,3.64706,0.47242,0.218861,0.513345,0.303381,2.66176,1.19853,2.84559,1.69118
300,OX,0,0,0.648264,3.61029,0.443455,0.247551,0.512021,0.346394,2.44118,1.375,2.77941,1.97794
350,OX,0,0,0.597865,3.47059,0.596975,0.0231317,0.596975,0.088968,3.43382,0.125,3.375,0.566176
400,OX,0,0,0.630783,3.53676,0.318505,0.343416,0.381673,0.410142,1.82353,1.88971,2.11029,2.27206
450,OX,0,0,0.108541,0.602941,0.019573,0.0987544,0.0213523,0.125445,0.0955882,0.566176,0.125,0.698529
500,OX,0,0,0.629893,3.46324,0.312278,0.353203,0.365658,0.431495,1.76471,1.95588,2.06618,2.39706
550,OX,0,0,0.649466,3.625,0.403915,0.266904,0.465302,0.380783,2.20588,1.52941,2.55147,2.19853
600,OX,0,0,0.617097,3.52206,0.552983,0.0997329,0.58504,0.18789,3.15441,0.544118,3.32353,1.03676
650,OX,0,0,0.612645,3.47059,0.410508,0.240427,0.543188,0.32057,2.38235,1.35294,3.02941,1.76471
700,OX,0,0,0.642921,3.53676,0.618878,0.0427427,0.645592,0.18789,3.43382,0.235294,3.58824,1.00735
750,OX,0,1,0.645018,3.53676,0.318505,0.372776,0.41726,0.439502,1.79412,2.06618,2.27941,2.46324
800,OX,0,0,0.6121,3.38235,0.359431,0.289146,0.47106,0.39626,2.03676,1.55882,2.60294,2.21324
850,OX,0,0,0.637578,3.66912,0.52805,0.189671,0.560107,0.293856,2.93382,1.08824,3.11765,1.64706
900,OX,0,0,0.643811,3.52941,0.105966,0.583259,0.156723,0.64203,0.632353,3.17647,0.897059,3.51471
950,OX,0,0,0.58274,3.30147,0.392349,0.22153,0.448399,0.288256,2.25735,1.24265,2.53676,1.65441
1000,OX,0,0,0.579181,3.27206,0.0951957,0.525801,0.203737,0.58363,0.514706,2.92647,1.11765,3.28676
1050,OX,0,0,0.635797,3.61029,0.153161,0.552983,0.195904,0.627783,0.897059,3.16176,1.08088,3.55882
1100,OX,0,0,0.611754,3.40441,0.595726,0.0400712,0.599288,0.137133,3.33088,0.213235,3.31618,0.713235
1150,OX,0,0,0.62333,3.44853,0.611754,0.0427427,0.62333,0.124666,3.35294,0.25,3.43382,0.639706
1200,OX,0,0,0.613535,3.46324,0.474622,0.178985,0.562778,0.291184,2.63235,1.05882,3.23529,1.64706
1250,OX,0,0,0.58504,3.32353,0.0685663,0.562778,0.160285,0.593945,0.397059,3.18382,0.882353,3.32353
1300,OX,0,0,0.611754,3.46324,0.479074,0.176313,0.581478,0.299199,2.68382,1.05882,3.25,1.69118
1350,OX,0,0,0.613879,3.33824,0.567616,0.0809609,0.595726,0.199466,3.08088,0.448529,3.28676,1.09559
1400,OX,0,1,0.621886,3.58824,0.451068,0.209075,0.540036,0.270463,2.63971,1.15441,3.10294,1.48529
1450,OX,0,1,0.626002,3.57353,0.568121,0.0979519,0.615658,0.240214,3.21324,0.551471,3.46324,1.33088
1500,OX,0,0,0.610864,3.56618,0.181656,0.461264,0.243989,0.523598,1.03676,2.70588,1.42647,3.00735
1550,OX,0,0,0.637578,3.65441,0.284061,0.394479,0.352627,0.451469,1.63971,2.24265,1.95588,2.52206
1600,OX,0,0,0.628673,3.67647,0.100623,0.555654,0.171861,0.619768,0.588235,3.25735,0.977941,3.58824
1650,OX,0,1,0.609973,3.47059,0.0480855,0.585931,0.0650045,0.610864,0.316176,3.33088,0.367647,3.47059
1700,OX,0,0,0.608192,3.47794,0.588602,0.0516474,0.615316,0.114871,3.38235,0.264706,3.54412,0.661765
1750,OX,0,0,0.64203,3.58088,0.443455,0.24488,0.541407,0.335708,2.47059,1.41176,3.05882,1.96324
1800,OX,0,0,0.628673,3.51471,0.555654,0.103295,0.589492,0.13179,3.16176,0.573529,3.38235,0.742647
1850,OX,0,0,0.593416,3.44853,0.0782918,0.562278,0.143366,0.616207,0.492647,3.29412,0.860294,3.50735
1900,OX,0,0,0.617097,3.51471,0.43455,0.215494,0.502674,0.302139,2.48529,1.22794,2.88235,1.72794
1950,OX,0,0,0.430098,2.38235,0.18878,0.260908,0.266251,0.323241,1.09559,1.42647,1.49265,1.69118
2000,OX,0,0,0.652716,3.61765,0.561888,0.134461,0.621549,0.196794,3.13971,0.75,3.49265,1.05147
2050,OX,0,0,0.479964,2.625,0.359751,0.152271,0.462155,0.281389,1.93382,0.838235,2.53676,1.57353
2100,OX,0,1,0.614426,3.52206,0.160285,0.501336,0.26358,0.574354,0.948529,2.84559,1.41912,3.25735
2150,OX,0,0,0.662511,3.70588,0.260908,0.454141,0.333927,0.560107,1.45588,2.52206,1.80882,3.16912
2200,OX,0,0,0.627783,3.56618,0.386465,0.292965,0.493321,0.325913,2.13235,1.66176,2.77941,1.88235
2250,OX,0,0,0.615658,3.375,0.253559,0.392349,0.294484,0.432384,1.43382,2.15441,1.64706,2.375
2300,OX,0,0,0.600178,3.28676,0.0240427,0.594835,0.134461,0.596616,0.125,3.25735,0.757353,3.30147
2350,OX,0,0,0.617988,3.52206,0.543188,0.124666,0.596616,0.18789,3.07353,0.720588,3.32353,1.10294
2400,OX,0,0,0.61032,3.34559,0.322064,0.331851,0.393589,0.430098,1.81618,1.82353,2.19853,2.38971
2450,OX,0,1,0.625111,3.49265,0.0106857,0.625111,0.079252,0.619768,0.0882353,3.5,0.485294,3.52206
2500,OX,0,0,0.597865,3.42647,0.19306,0.453737,0.281139,0.517794,1.06618,2.60294,1.52941,2.94118
2550,OX,0,0,0.618878,3.47794,0.266251,0.399822,0.379341,0.438112,1.49265,2.27206,2.09559,2.44853
2600,OX,0,0,0.625111,3.54412,0.239537,0.422974,0.327694,0.518255,1.30147,2.42647,1.72794,2.92647
2650,OX,0,0,0.605521,3.44853,0.448798,0.213713,0.544969,0.309884,2.59559,1.19118,3.02941,1.75735
2700,OX,0,1,0.138023,0.713235,0.0124666,0.136242,0.0658949,0.178094,0.0808824,0.742647,0.382353,0.992647
2750,OX,0,1,0.580588,3.16176,0.378451,0.243989,0.450579,0.315227,2.02941,1.30882,2.38235,1.66912
2800,OX,0,1,0.571556,3.17647,0.0248889,0.572444,0.130667,0.581333,0.154412,3.17647,0.742647,3.15441
2850,OX,0,0,0.572064,3.25735,0.442171,0.170819,0.504007,0.247551,2.55147,0.955882,2.85294,1.31618
2900,OX,0,1,0.62333,3.51471,0.0534283,0.590383,0.0979519,0.620659,0.301471,3.34559,0.544118,3.59559
2950,OX,0,0,0.640249,3.55882,0.145147,0.536955,0.228851,0.60374,0.823529,2.93382,1.30147,3.30147
3000,OX,0,0,0.650045,3.66912,0.32146,0.363313,0.429207,0.447017,1.80882,2.05147,2.33824,2.50735
3050,OX,0,0,0.667854,3.66176,0.0605521,0.636687,0.159394,0.634907,0.308824,3.50735,0.860294,3.57353
3100,OX,0,0,0.617988,3.47059,0.337489,0.318789,0.41496,0.382012,1.91176,1.79412,2.25,2.15441
3150,OX,1,1,0,0,0,0,0,0,0,0,0,0
3200,OX,0,0,0.601423,3.44118,0.0133452,0.603203,0.0951957,0.61032,0.0955882,3.47059,0.507353,3.48529
3250,OX,0,0,0.610864,3.45588,0.26358,0.378451,0.375779,0.429207,1.60294,2.08088,2.13235,2.39706
3300,OX,0,0,0.632235,3.58088,0.119323,0.549421,0.185218,0.599288,0.669118,3.11765,1.06618,3.42647
3350,OX,0,0,0.64203,3.63235,0.499555,0.182547,0.541407,0.250223,2.81618,1.02941,3.06618,1.38971
3400,OX,0,0,0.650935,3.66176,0.0881567,0.600178,0.140695,0.633126,0.514706,3.375,0.779412,3.55882
3450,OX,0,1,0.657168,3.64706,0.238646,0.462155,0.30187,0.493321,1.33088,2.50735,1.64706,2.72059
3500,OX,0,0,0.629893,3.55882,0.240214,0.423488,0.283808,0.532918,1.35294,2.41176,1.55882,3
3550,OX,0,1,0.657168,3.66176,0.35886,0.333927,0.473731,0.361532,2.02206,1.86029,2.61765,2
3600,OX,0,0,0.601959,3.35294,0.570793,0.0694568,0.598397,0.206589,3.19853,0.397059,3.30147,1.19853
3650,OX,0,1,0.49911,2.73529,0.414591,0.117438,0.470641,0.158363,2.31618,0.625,2.58088,0.845588
3700,OX,0,0,0.617988,3.51471,0.616207,0.0213713,0.617988,0.0899377,3.50735,0.110294,3.46324,0.5
3750,OX,0,0,0.595196,3.38971,0.331851,0.289146,0.455516,0.403025,1.88235,1.64706,2.55147,2.27941
3800,OX,0,0,0.613535,3.39706,0.324132,0.319679,0.349065,0.461264,1.80882,1.79412,1.98529,2.56618
3850,OX,0,0,0.613535,3.35294,0.0721282,0.592164,0.155833,0.606411,0.411765,3.21324,0.823529,3.34559
3900,OX,0,0,0.579181,3.11029,0.270463,0.33274,0.350534,0.379893,1.5,1.72794,1.83824,2.08088
3950,OX,0,0,0.626002,3.35294,0.155833,0.512021,0.204809,0.549421,0.838235,2.72794,1.125,2.91912
4000,OX,0,0,0.617438,3.45588,0.507117,0.137011,0.566726,0.204626,2.82353,0.786765,3.11029,1.03676
4050,OX,0,1,0.63968,3.59559,0.22242,0.451957,0.309609,0.504448,1.25,2.54412,1.70588,2.83824
4100,OX,0,0,0.666073,3.76471,0.504007,0.216385,0.596616,0.332146,2.88235,1.19118,3.40441,1.82353
4150,OX,0,1,0.628114,3.59559,0.0862989,0.592527,0.209261,0.640249,0.507353,3.33824,1.16176,3.61029
4200,OX,0,0,0.650045,3.69853,0.0329475,0.637578,0.096171,0.644702,0.191176,3.63971,0.514706,3.72059
4250,OX,0,0,0.604093,3.27206,0.580961,0.0524911,0.605521,0.171861,3.16912,0.308824,3.25,0.904412
4300,OX,0,0,0.632235,3.61029,0.268923,0.390917,0.335708,0.445236,1.56618,2.20588,1.88971,2.56618
4350,OX,0,0,0.609973,3.28676,0.349955,0.293856,0.449688,0.356189,1.91176,1.58824,2.51471,2.00735
4400,OX,0,1,0.616548,3.44118,0.237544,0.41637,0.321174,0.507117,1.35294,2.29412,1.76471,2.79412
