iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,PMX,0,1,0.614907,3.51471,0.0408163,0.588287,0.166815,0.621118,0.257353,3.35294,0.867647,3.50735
50,PMX,0,1,0.638544,3.44853,0.0639432,0.603908,0.139432,0.620782,0.345588,3.32353,0.713235,3.39706
100,PMX,0,0,0,0,0,0,0,0,0,0,0,0
150,PMX,0,0,0.661621,3.69118,0.275156,0.430098,0.349065,0.555654,1.50735,2.43382,1.91176,3.10294
200,PMX,0,0,0.674978,3.75,0.096171,0.612645,0.198575,0.664292,0.536765,3.43382,1.125,3.75735
250,PMX,0,0,0.650935,3.77941,0.0854853,0.594835,0.170971,0.628673,0.507353,3.46324,0.963235,3.63971
300,PMX,0,0,0.675868,3.67647,0.438112,0.285841,0.486198,0.349955,2.41912,1.52941,2.66912,1.82353
350,PMX,0,1,0.617438,3.43382,0.322954,0.344306,0.38879,0.427046,1.75,1.96324,2.16912,2.41912
400,PMX,0,0,0.647111,3.69853,0.209778,0.475556,0.307556,0.579556,1.18382,2.73529,1.78676,3.21324
450,PMX,0,0,0.617097,3.625,0.0543188,0.590383,0.205699,0.626002,0.316176,3.46324,1.16176,3.57353
500,PMX,0,0,0.631345,3.58824,0.202137,0.462155,0.312556,0.553874,1.21324,2.55882,1.76471,3.08088
550,PMX,0,0,0.599288,3.32353,0.212823,0.418522,0.273375,0.485307,1.19853,2.30882,1.55147,2.68382
600,PMX,0,1,0.560107,3.14706,0.257346,0.342832,0.35797,0.468388,1.43382,1.95588,1.93382,2.57353
650,PMX,0,0,0.648264,3.63971,0.526269,0.15138,0.562778,0.332146,2.97794,0.860294,3.23529,1.82353
700,PMX,0,1,0.620996,3.50735,0.0551601,0.588968,0.100534,0.614769,0.352941,3.33824,0.544118,3.45588
750,PMX,0,0,0.634907,3.54412,0.118433,0.559216,0.221728,0.624221,0.705882,3.08088,1.27941,3.48529
800,PMX,0,0,0.631673,3.61765,0.0738434,0.586299,0.185053,0.619217,0.411765,3.40441,1.01471,3.52206
850,PMX,0,1,0.659253,3.76471,0.0204626,0.652135,0.0284698,0.661922,0.132353,3.74265,0.183824,3.77206
900,PMX,0,0,0.631345,3.44118,0.375779,0.280499,0.426536,0.424755,2.03676,1.55882,2.36765,2.43382
950,PMX,0,0,0.626002,3.54412,0.287622,0.367765,0.381122,0.496883,1.63235,2.13235,2.17647,2.80882
1000,PMX,0,0,0.630454,3.63235,0.13268,0.534283,0.20837,0.617097,0.757353,3.10294,1.17647,3.5
1050,PMX,0,0,0.613535,3.5,0.512021,0.121104,0.548531,0.200356,2.91912,0.713235,3.16912,1.11029
1100,PMX,0,0,0.55694,3.16912,0.0355872,0.542705,0.0819234,0.551202,0.183824,3.10294,0.441176,3.14706
1150,PMX,0,0,0.655387,3.71324,0.250223,0.45325,0.315227,0.560107,1.375,2.56618,1.72059,3.09559
1200,PMX,0,0,0.600178,3.49265,0.062333,0.572573,0.114871,0.607302,0.382353,3.34559,0.683824,3.52941
1250,PMX,0,0,0.620996,3.58824,0.52669,0.130783,0.589492,0.200356,3.06618,0.735294,3.40441,1.08824
1300,PMX,0,0,0.654497,3.63235,0.137133,0.54675,0.184328,0.617097,0.764706,3.03676,0.977941,3.44853
1350,PMX,0,1,0.636687,3.55882,0.225289,0.447907,0.304541,0.561888,1.27941,2.50735,1.71324,3.11029
1400,PMX,0,0,0.614426,3.43382,0.336598,0.314337,0.418522,0.417631,1.85294,1.80147,2.35294,2.38235
1450,PMX,0,1,0.640249,3.58824,0.329475,0.334817,0.373998,0.400712,1.76471,1.91912,2.09559,2.25
1500,PMX,0,1,0.586821,3.25,0.529831,0.0676759,0.548531,0.079252,2.94853,0.345588,3.05882,0.433824
1550,PMX,0,1,0.617988,3.51471,0.308994,0.341941,0.407836,0.481745,1.81618,1.875,2.30882,2.65441
1600,PMX,0,0,0.647373,3.59559,0.268923,0.403384,0.307213,0.494212,1.47794,2.26471,1.77206,2.76471
1650,PMX,0,0,0.637578,3.625,0.0747996,0.587711,0.11309,0.625111,0.419118,3.34559,0.654412,3.52206
1700,PMX,0,0,0.149599,0.867647,0.00267142,0.15138,0.0739092,0.222618,0.0220588,0.882353,0.397059,1.25735
1750,PMX,0,0,0.658059,3.58824,0.365984,0.312556,0.424755,0.352627,2.05147,1.65441,2.36029,1.88235
1800,PMX,0,0,0.611754,3.44853,0.00534283,0.609973,0.0391808,0.606411,0.0294118,3.46324,0.213235,3.47794
1850,PMX,0,0,0.60374,3.52206,0.464826,0.160285,0.520926,0.225289,2.72059,0.985294,2.97059,1.31618
1900,PMX,0,0,0.62244,3.61765,0.0899377,0.573464,0.152271,0.625111,0.529412,3.32353,0.816176,3.63235
1950,PMX,0,0,0.618878,3.47059,0.286732,0.368655,0.361532,0.436331,1.63235,2.03676,2.05882,2.45588
2000,PMX,0,0,0.639359,3.57353,0.182547,0.486198,0.285841,0.550312,1.09559,2.66176,1.59559,3.04412
2050,PMX,0,0,0.598397,3.375,0.162956,0.463045,0.291184,0.545859,0.970588,2.58824,1.58088,3.07353
2100,PMX,0,0,0.621549,3.41912,0.349065,0.295637,0.425646,0.345503,1.96324,1.59559,2.43382,1.875
2150,PMX,0,0,0.427427,2.45588,0.230632,0.228851,0.28317,0.299199,1.35294,1.25735,1.56618,1.63971
2200,PMX,0,0,0.596616,3.36765,0.0454141,0.577026,0.0979519,0.596616,0.264706,3.27206,0.551471,3.41912
2250,PMX,0,0,0.578807,3.34559,0.218166,0.383793,0.341941,0.517364,1.26471,2.26471,1.86029,2.86029
2300,PMX,0,0,0.545859,3.08824,0.135352,0.446126,0.179875,0.534283,0.764706,2.52206,1.06618,3.04412
2350,PMX,0,0,0.60374,3.41176,0.307213,0.34016,0.35797,0.451469,1.77206,1.90441,2.05147,2.50735
2400,PMX,0,0,0.64114,3.58088,0.0445236,0.626892,0.146928,0.637578,0.286765,3.47059,0.823529,3.63971
2450,PMX,0,0,0.617988,3.40441,0.227961,0.418522,0.28228,0.501336,1.30882,2.26471,1.60294,2.75735
2500,PMX,0,0,0.638468,3.61765,0.0293856,0.627783,0.120214,0.640249,0.191176,3.57353,0.654412,3.61029
