iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,AOX,0,1,0.557047,9.74138,0.394056,0.201342,0.549377,0.319271,6.96552,3.60345,9.12069,5.18966
50,AOX,0,1,0.524904,9.17241,0.198276,0.375479,0.25791,0.398849,3.55172,6.81034,4.2069,6.98276
100,AOX,0,1,0.5465,9.24138,0.173538,0.399808,0.266539,0.454458,3.15517,6.7069,4.46552,7.84483
150,AOX,0,0,0.558006,9.13793,0.118888,0.46884,0.194631,0.518696,2,7.84483,2.84483,8.65517
200,AOX,0,0,0.526366,9.2931,0.368169,0.201342,0.439118,0.278044,6.51724,3.63793,7.10345,4.63793
250,AOX,0,0,0.535954,9.44828,0.164909,0.40652,0.252157,0.505273,2.82759,7.22414,4.27586,8.48276
300,AOX,0,0,0.540748,9.62069,0.152445,0.419942,0.268456,0.426654,2.98276,7.22414,4.39655,7.05172
350,AOX,0,0,0.529243,9.03448,0.20326,0.370086,0.302013,0.416107,3.60345,6.5,4.89655,6.93103
400,AOX,0,1,0.446788,7.18966,0.0613615,0.42186,0.120805,0.449664,1.12069,6.89655,1.86207,7.22414
450,AOX,1,1,0.447318,7.56897,0.222222,0.260536,0.339406,0.319271,4.10345,4.37931,5.77586,4.89655
500,AOX,1,1,0,0,0.00287356,0.00287356,0.0517241,0.0517241,0.103448,0.103448,0.741379,0.741379
550,AOX,0,1,0.53116,8.7931,0.483221,0.0805369,0.51582,0.127517,8.08621,1.24138,8.22414,1.87931
600,AOX,0,0,0.216683,2.56897,0.119847,0.116012,0.139981,0.123682,1.27586,1.53448,1.5,1.67241
650,AOX,0,0,0.494727,8.17241,0.443912,0.0776606,0.489933,0.122723,7.43103,1.37931,8.08621,2.06897
700,AOX,0,0,0.386385,5.65517,0.36721,0.0498562,0.423778,0.168744,5.60345,0.775862,6.55172,2.41379
750,AOX,0,0,0.48418,7.93103,0.180249,0.321189,0.180249,0.339406,2.75862,5.36207,2.84483,5.62069
800,AOX,0,0,0.495686,7.96552,0.241611,0.270374,0.316395,0.307766,3.84483,4.46552,4.96552,5
850,AOX,0,0,0.499521,8.17241,0.0767018,0.451582,0.116012,0.502397,1.2931,7.37931,1.81034,8.2931
900,AOX,1,1,0.493768,7.81034,0.0412272,0.481304,0.0987536,0.485139,0.706897,7.68966,1.46552,7.65517
950,AOX,1,1,0.455417,7.27586,0.0306807,0.456376,0.0623202,0.465005,0.655172,7.48276,0.982759,7.56897
1000,AOX,0,1,0.480345,7.74138,0.0460211,0.465964,0.096836,0.471716,0.724138,7.62069,1.24138,7.68966
1050,AOX,0,1,0.452541,7.39655,0.0162991,0.456376,0.0325983,0.465005,0.293103,7.55172,0.396552,7.63793
1100,AOX,0,1,0.110259,1.65517,0.112176,0.00862895,0.143816,0.0498562,1.67241,0.103448,2.24138,0.741379
1150,AOX,0,0,0.504314,8.7931,0.467881,0.0623202,0.485139,0.141898,8.10345,1.32759,8.41379,2.06897
1200,AOX,0,0,0.501438,7.82759,0.342282,0.205177,0.391179,0.25024,5.81034,3.10345,6.44828,3.44828
1250,AOX,0,0,0.439118,7.2931,0.402685,0.075743,0.445829,0.178332,6.68966,1.5,7.17241,2.58621
1300,AOX,0,0,0.452541,7.65517,0.26558,0.200384,0.305849,0.213806,4.62069,3.34483,4.96552,3.5
1350,AOX,0,0,0.473634,7.68966,0.096836,0.413231,0.158198,0.467881,1.67241,6.7931,2.46552,7.48276
1400,AOX,0,0,0.357622,5.22414,0.0997124,0.274209,0.180077,0.329502,1.82759,3.96552,2.89655,4.72414
1450,AOX,0,0,0.460211,7.44828,0.334612,0.149569,0.337488,0.238734,5.5,2.36207,5.46552,3.32759
1500,AOX,0,0,0.509108,8.22414,0.0230105,0.505273,0.0584851,0.528284,0.465517,8.24138,0.689655,8.41379
1550,AOX,0,0,0.46117,7.63793,0.0747843,0.409396,0.147651,0.465005,1.31034,6.91379,1.7931,7.41379
1600,AOX,0,0,0.506232,8.62069,0.260786,0.298178,0.329818,0.350911,4.43103,5.17241,5.34483,5.67241
1650,AOX,0,0,0.290508,4.63793,0.0479386,0.277085,0.0853308,0.32023,0.758621,4.51724,1.06897,4.87931
1700,AOX,0,1,0.470757,7.68966,0.103547,0.416107,0.14094,0.465005,1.93103,6.84483,1.93103,7.48276
1750,AOX,0,1,0.42186,6.5,0.180249,0.278044,0.215724,0.384468,2.75862,4.32759,3.25862,5.77586
