iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,EAX,0,1,0.571429,9.7931,0.245,0.374,0.532567,0.531609,11.3448,12.5517,9.31034,9.34483
50,EAX,0,1,0.558006,9.62069,0.045,0.559,0.556088,0.5465,8.32759,13.2069,9.44828,9.37931
100,EAX,0,1,0.57047,9.55172,0.045,0.571,0.564176,0.585249,8.13793,13.7759,10,9.74138
150,EAX,0,1,0.572387,9.53448,0.045,0.572,0.576628,0.539272,8.32759,13.5345,9.65517,9.18966
200,EAX,0,1,0.552682,9.34483,0.046,0.553,0.561841,0.557047,8.32759,13.3966,9.93103,9.77586
250,EAX,0,0,0.566635,9.82759,0.045,0.574,0.5465,0.53883,8.32759,13.7414,9.67241,9.15517
300,EAX,0,0,0.572387,9.62069,0.044,0.577,0.565134,0.551724,8.32759,13.4828,9.75862,9.86207
350,EAX,0,0,0.534995,9.27586,0.0749251,0.52048,0.518199,0.524904,9.53448,13.4483,8.87931,9.53448
400,EAX,0,1,0.544583,9.17241,0.045,0.551,0.550766,0.576628,8.31034,13.7069,9.68966,9.55172
450,EAX,0,0,0,0,0,0,0,0,0,0,0,0
500,EAX,0,0,0.506705,8.86207,0.046,0.514,0.534995,0.525407,8.32759,13.4655,9.46552,9.2931
550,EAX,0,0,0.522531,8.81034,0.046,0.528,0.565676,0.536913,8.32759,12.7931,9.36207,9.13793
600,EAX,0,0,0.559923,9.63793,0.046,0.563,0.547459,0.529243,8.32759,13.4138,9.17241,9.24138
650,EAX,0,0,0.54023,9.03448,0.046,0.548,0.522031,0.550766,8.31034,13.3103,9.08621,9.36207
700,EAX,0,0,0.499521,8.58621,0.086,0.47,0.542665,0.524449,9.53448,13.069,8.82759,8.87931
750,EAX,0,0,0.519655,9.53448,0.045,0.528,0.536913,0.547459,8.31034,13.6207,9.13793,9.32759
800,EAX,0,0,0.5465,9.01724,0.048,0.549,0.544061,0.571839,8.27586,13.3966,9.06897,9.48276
850,EAX,0,0,0.552682,9.17241,0.046,0.555,0.545019,0.556513,8.32759,13.6034,9.36207,9.43103
900,EAX,0,0,0.544583,9.2931,0.046,0.547,0.535441,0.533525,8.27586,13.5517,9.15517,9.32759
950,EAX,0,1,0.536398,9.22414,0.044955,0.551449,0.526366,0.557047,7.98276,13.3448,8.82759,9.58621
1000,EAX,0,1,0.555129,9.65517,0.043956,0.561439,0.544583,0.544583,8,13.6207,9.43103,9.5
1050,EAX,0,1,0.50815,9.05172,0.046,0.512,0.550766,0.570881,8.32759,13.2414,9.82759,9.44828
1100,EAX,0,0,0.557047,9.62069,0.05,0.552,0.547459,0.539789,8.31034,13.6034,9.41379,9.24138
1150,EAX,0,0,0.541707,9.12069,0.120879,0.475524,0.52349,0.534036,10.1207,13.2931,9.18966,9.08621
1200,EAX,0,0,0.5465,9.2931,0.068,0.525,0.522531,0.541707,9.58621,13.3793,9.31034,9.36207
1250,EAX,0,0,0.565676,8.93103,0.045,0.565,0.518696,0.526366,8.32759,13.2931,9.12069,9.25862
1300,EAX,0,0,0.517737,9.24138,0.047,0.521,0.536398,0.543103,8.31034,13.3276,9.91379,9.51724
1350,EAX,0,1,0.550336,9.56897,0.045,0.557,0.539789,0.544583,8.32759,13.8621,9.15517,9.86207
1400,EAX,0,0,0.534036,9.34483,0.045954,0.538462,0.540748,0.5465,8.03448,13.5345,8.93103,9.32759
1450,EAX,0,0,0.574713,9.2931,0.046,0.57,0.544061,0.565134,8.37931,13.6379,9.56897,9.53448
1500,EAX,0,0,0.501438,9.24138,0.388,0.185,0.552682,0.570881,13.4138,11.2241,9.31034,9.55172
1550,EAX,0,0,0.563758,9.22414,0.053,0.56,0.542146,0.528736,8.5,13.5862,9.2931,8.94828
1600,EAX,0,0,0.540748,9.48276,0.046,0.542,0.545019,0.542146,8.32759,13.4828,8.84483,9.17241
1650,EAX,0,1,0.575264,9.5,0.044,0.578,0.561841,0.535954,8.32759,13.3276,9.67241,9.22414
1700,EAX,0,0,0.569511,9.58621,0.549,0.074,0.481304,0.541707,13.5,9.41379,8.24138,9.2069
1750,EAX,0,0,0.576222,10.1552,0.067,0.56,0.542665,0.536913,8.87931,13.9828,9.32759,9.81034
1800,EAX,0,0,0.537872,9.75862,0.162,0.439,0.550336,0.52349,10.8448,13.3276,9.44828,9.01724
1850,EAX,0,0,0.527325,9.27586,0.045,0.536,0.547893,0.58046,8.32759,13.2586,9.68966,9.74138
1900,EAX,0,0,0.564717,9.48276,0.046,0.568,0.532567,0.545977,8.12069,13.3103,9.22414,9.17241
1950,EAX,0,0,0.573755,9.96552,0.048,0.578,0.534036,0.536913,8.32759,13.5345,9.2069,9.51724
