iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,LOX,0,1,0.571429,9.7931,0.478428,0.128476,0.518696,0.198466,7.96552,2.60345,8.43103,3.36207
50,GrPX,1,1,0.558006,9.37931,0.298775,0.301602,0.412272,0.441035,5.08621,5.22414,6.46552,7.08621
100,AOX,0,0,0.447318,7.32759,0.346743,0.128352,0.416667,0.213602,5.67241,2.39655,6.62069,3.01724
150,PMX,0,0,0.529243,9.44828,0.16395,0.395014,0.234899,0.418984,2.96552,6.94828,3.98276,7.17241
200,PMX,0,0,0.545542,9.25862,0.235858,0.361457,0.344199,0.394056,4,6.06897,5.56897,6.41379
250,UOX,0,1,0.535954,9.08621,0.657718,0.754554,0.53116,0.551294,8,9.84483,9.03448,9.31034
300,PL,0,0,0.542665,9.62069,0.458293,0.456376,0.499521,0.465005,4.81034,4.81034,7.81034,7.17241
350,GOX,0,0,0.518696,8.98276,0.444871,0.0901246,0.487057,0.160115,7.60345,1.7931,8.08621,2.62069
400,GOX,0,1,0.524449,8.60345,0.155321,0.415149,0.216683,0.514861,2.60345,7.15517,3.58621,8.74138
450,GOX,0,0,0.536913,9.01724,0.354746,0.225312,0.459252,0.352828,6.06897,3.82759,7.55172,5.2069
500,EAX,1,1,0,0,0,0,0,0,0,0,0,0
550,PL,0,1,0.563758,9.67241,0.463087,0.465005,0.518199,0.528736,4.82759,4.84483,9.05172,8.51724
600,EAX,0,1,0.556088,8.94828,0.045,0.561,0.534995,0.503356,8.27586,12.9828,9.17241,8.60345
650,AOX,0,0,0.525407,8.62069,0.308725,0.262704,0.413231,0.388303,5.15517,4.58621,6.36207,6.12069
700,AOX,0,0,0.567593,9.56897,0.295302,0.291467,0.353787,0.310642,5.01724,4.94828,5.55172,5.01724
750,GrPX,0,0,0.548418,8.75862,0.29717,0.285849,0.454458,0.401726,4.91379,4.55172,7.44828,6.17241
800,GOX,0,0,0.536913,9.15517,0.194631,0.388303,0.264621,0.454458,3.44828,6.60345,4.18966,7.43103
850,PL,0,0,0.514861,8.56897,0.431448,0.41419,0.495686,0.444871,4.27586,4.2931,7.67241,7.22414
900,UOX,0,0,0.557047,9.55172,0.63279,0.751678,0.553212,0.558965,7.56897,9.98276,8.96552,9.34483
950,GOX,0,0,0.544583,9.48276,0.390221,0.185043,0.423778,0.2186,7,3.53448,7.15517,3.62069
1000,UOX,0,0,0.543624,9.31034,0.645254,0.724832,0.511026,0.488974,7.87931,9.31034,8.25862,7.81034
1050,GrPX,1,1,0.509579,8.87931,0.277097,0.2705,0.454458,0.449664,4.89655,4.84483,8.05172,7.06897
1100,GOX,0,0,0.540748,9.34483,0.16395,0.404602,0.220518,0.47651,2.94828,7.12069,3.7069,7.82759
1150,UOX,0,0,0.217641,3.36207,0.576222,0.634708,0.449664,0.455417,6.31034,7.18966,7.17241,7.10345
1200,PMX,0,0,0.513902,8.84483,0.42186,0.150527,0.489933,0.220518,7.05172,2.48276,8.32759,3.2931
1250,GOX,0,1,0.503831,8.22414,0.121648,0.413793,0.175287,0.464559,2.05172,6.82759,2.62069,7.44828
1300,GOX,0,0,0.511985,8.72414,0.442953,0.128476,0.489933,0.212848,7.86207,2.37931,8.13793,3.7931
1350,AOX,0,1,0,0,0.00766284,0.00766284,0.0862069,0.0862069,0.172414,0.172414,1.17241,1.17241
1400,PL,0,0,0.485632,8.34483,0.3841,0.41954,0.436242,0.444871,4.17241,4.17241,6.2931,6.81034
1450,OX,0,0,0.537872,9.05172,0.259827,0.293384,0.341323,0.330777,4.18966,5.34483,5.08621,5.82759
1500,AOX,0,1,0.558006,9.86207,0.549377,0.0402685,0.559923,0.084372,9.7069,0.706897,9.86207,0.913793
1550,EAX,0,0,0.551294,9.55172,0.045,0.558,0.55364,0.522031,8.31034,13.6034,8.93103,8.86207
1600,AOX,0,0,0.482263,8.32759,0.0862895,0.415149,0.093001,0.46884,1.56897,7.08621,1.51724,7.84483
1650,PL,0,0,0.505273,9.08621,0.429119,0.44636,0.45977,0.497126,4.53448,4.55172,7.25862,8.75862
1700,AOX,0,0,0.511026,8.51724,0.146692,0.389262,0.19559,0.418025,2.56897,6.34483,3.18966,6.51724
1750,UOX,0,0,0.564717,9.89655,0.669223,0.744966,0.512943,0.574305,8.24138,9.65517,8.68966,9.62069
1800,GOX,0,0,0.544583,9.72414,0.420901,0.16395,0.475551,0.321189,7.51724,2.86207,7.94828,4.89655
1850,GrPX,1,0,0.513902,8.60345,0.27307,0.282486,0.437739,0.394636,4.56897,5.18966,6.58621,6.27586
1900,PL,0,0,0.529243,8.81034,0.436242,0.424736,0.473634,0.452541,4.39655,4.41379,7.39655,7.2931
1950,OX,0,0,0.520614,7.60345,0.145733,0.402685,0.188878,0.4372,2.22414,5.77586,2.84483,6.34483
2000,LOX,0,0,0.529243,8.7931,0.255034,0.300096,0.294343,0.33557,4.05172,5.25862,4.68966,5.77586
2050,AOX,0,0,0.547459,9.15517,0.252157,0.322148,0.324065,0.402685,4.46552,5.27586,5.32759,6.51724
2100,AOX,0,0,0.520115,8.39655,0.373563,0.180077,0.420901,0.251198,5.86207,3.2931,6.46552,3.98276
2150,PL,0,0,0.528284,8.67241,0.439118,0.424736,0.455417,0.478428,4.32759,4.34483,6.62069,7.63793
2200,OX,0,0,0.467881,7.2931,0.225312,0.266539,0.292426,0.386385,3.41379,4.46552,4.2069,5.72414
2250,PMX,0,0,0.513902,8.5,0.415149,0.17162,0.502397,0.298178,6.75862,2.7069,8.51724,4.39655
2300,LOX,1,1,0.0862069,0.948276,0,0.0862069,0,0.0862069,0,0.948276,0,0.948276
2350,PL,0,0,0.512943,8.43103,0.414751,0.412835,0.502397,0.441035,4.2069,4.22414,7.68966,6.25862
2400,UOX,0,1,0.512452,8.82759,0.638889,0.75,0.527778,0.522031,7.67241,9.75862,8.81034,8.41379
2450,OX,0,0,0.480345,8.06897,0.350911,0.173538,0.375839,0.269415,6.01724,2.86207,6.25862,4.05172
2500,PL,0,0,0.534036,8.91379,0.446788,0.448706,0.486098,0.448706,4.44828,4.46552,7.72414,7.55172
2550,AOX,0,0,0.503356,8.56897,0.276127,0.255992,0.27682,0.327586,4.72414,4.46552,4.65517,5.5
2600,LOX,0,0,0,0,0,0,0,0,0,0,0,0
2650,UOX,0,0,0.467881,7.81034,0.629914,0.703739,0.524449,0.483221,8.15517,9.25862,8.7931,8.81034
2700,UOX,0,1,0.512943,8.06897,0.637584,0.72675,0.556088,0.516779,8.37931,9.63793,8.98276,8.65517
2750,PL,0,0,0.487057,7.65517,0.378715,0.370086,0.448706,0.46884,3.82759,3.82759,6.24138,6.7069
2800,GOX,0,0,0.448706,7.7069,0.395014,0.0882071,0.441035,0.141898,6.74138,1.77586,7.43103,2.58621
2850,LOX,0,1,0.527325,8.7069,0.300096,0.25024,0.353787,0.287632,4.74138,4.43103,5.51724,4.75862
2900,GOX,0,0,0.552253,9.74138,0.279003,0.302013,0.303931,0.334612,4.87931,5.46552,4.84483,5.89655
2950,UOX,0,0,0.543624,9.03448,0.634708,0.728667,0.498562,0.567593,8.05172,9.87931,8.13793,9.7931
3000,PL,0,0,0.534995,8.89655,0.439118,0.409396,0.456376,0.483221,4.44828,4.44828,6.74138,7.60345
3050,PL,0,0,0.46884,7.63793,0.383142,0.368774,0.411314,0.427613,3.81034,3.82759,5.91379,5.98276
3100,AOX,0,0,0.502397,8.46552,0.188878,0.324065,0.259827,0.35954,3.25862,5.48276,4,5.91379
3150,AOX,0,0,0.523946,8.7931,0.418582,0.128352,0.48418,0.211889,7.13793,2.36207,8.15517,3.43103
3200,GOX,0,0,0.576222,9.94828,0.472675,0.138063,0.557047,0.230105,8.03448,2.48276,9.17241,3.60345
3250,GOX,0,0,0.469349,7.77586,0.137931,0.346743,0.17433,0.431034,2.13793,5.98276,2.68966,7.22414
3300,GrPX,0,1,0.548418,9.22414,0.279661,0.306968,0.444444,0.425287,5.01724,5.12069,7.75862,7
3350,PL,0,0,0.522531,8.67241,0.435283,0.434324,0.499521,0.4535,4.32759,4.34483,7.5,7.2069
3400,GrPX,0,0,0.533078,9.01724,0.280453,0.282342,0.466922,0.368169,4.51724,5.06897,7.84483,6.17241
3450,EAX,0,0,0.51582,8.67241,0.044955,0.524476,0.517737,0.494727,8.03448,13.2069,9.08621,9.08621
3500,PMX,0,0,0.460211,7.7069,0.176414,0.322148,0.24257,0.354746,2.98276,5.37931,3.72414,5.7069
3550,PMX,0,0,0.520614,8.63793,0.00383509,0.520614,0,0.520614,0.0344828,8.63793,0,8.63793
3600,GrPX,0,1,0.518696,8.60345,0.273585,0.274528,0.360153,0.382184,4.86207,4.55172,5.65517,6.34483
3650,GrPX,0,1,0.456376,7.24138,0.229972,0.254477,0.415149,0.340364,3.75862,4.13793,6.51724,5.01724
3700,EAX,0,0,0.542665,8.93103,0.352,0.25,0.499521,0.547459,12.6379,12.2241,8.72414,9.48276
3750,GrPX,0,0,0.525407,8.22414,0.283962,0.281132,0.41419,0.402685,4.63793,4.53448,6.46552,5.91379
3800,PMX,0,0,0.481304,7.72414,0.227229,0.302013,0.356663,0.376798,3.56897,4.68966,5.44828,5.65517
3850,EAX,0,0,0.479386,8.22414,0.045,0.492,0.527778,0.530651,8.32759,13.2241,8.72414,9.03448
3900,AOX,0,0,0.506232,8.10345,0.459252,0.0584851,0.465005,0.102589,7.34483,1,7.31034,1.5
3950,UOX,0,0,0.516779,8.81034,0.597315,0.725791,0.504314,0.532119,7.25862,9.65517,8.31034,8.18966
