iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,LOX,0,1,0.622951,17.4872,0.48216,0.208293,0.582449,0.405014,13.6923,5.71795,16.3077,10.1795
50,LOX,0,1,0.635487,17.9487,0.495661,0.210222,0.594986,0.53134,14.0256,6.48718,16.7949,13
100,LOX,0,1,0.620656,16.8974,0.585907,0.0926641,0.612934,0.449807,16.3077,2.20513,16.2821,10.2821
150,LOX,0,1,0.629344,18.1282,0.233591,0.457529,0.533784,0.508687,7.61538,11.8462,14.7179,12.9744
200,LOX,1,1,0,0,0,0,0,0,0,0,0,0
250,LOX,0,1,0.638031,17.4615,0.456564,0.235521,0.582046,0.429537,13.1282,6.20513,15.2564,9.5641
300,LOX,0,1,0.643822,16.7179,0.267375,0.418919,0.525097,0.535714,8.23077,9.84615,13.0256,13.2051
350,LOX,0,0,0.666988,17.5385,0.427606,0.322394,0.542471,0.472008,12,7.92308,14.2564,12
400,LOX,0,0,0.648649,18,0.638031,0.0492278,0.643822,0.214286,17.9231,2.41026,17.7949,5.28205
450,LOX,0,0,0.608108,16.359,0.429537,0.21332,0.557915,0.398649,11.8974,5.76923,14.6923,9.66667
500,LOX,0,1,0.620656,17.4103,0.458494,0.201737,0.532819,0.3861,13.4359,5.46154,15.3333,10
550,LOX,0,0,0.67278,18.0769,0.632239,0.0627413,0.65251,0.127413,16.7436,2.23077,17.2564,3.07692
600,LOX,1,1,0.617761,17.3077,0.6139,0.027027,0.632239,0.149614,17.1538,0.897436,17.0513,3.48718
650,LOX,0,0,0.604247,16.3333,0.269305,0.368726,0.476834,0.498069,8.25641,9.15385,12.2564,12.5641
700,LOX,0,0,0.580116,15.7692,0.230695,0.390927,0.445946,0.478764,7.12821,9.82051,12.3077,12.359
750,LOX,0,0,0.608108,16.0769,0.163127,0.490347,0.314672,0.548263,5.25641,11.7436,8.02564,13.4615
800,LOX,0,0,0.634523,16.5641,0.579556,0.0954677,0.580116,0.439189,15.3077,2.38462,15.1795,10.2308
850,LOX,1,1,0.638996,17.1026,0.638031,0.003861,0.633205,0.0395753,17.1026,0.0512821,17.1282,0.692308
900,LOX,0,0,0.584942,17.2564,0.491313,0.128378,0.530888,0.314672,14.7436,3.58974,15.0513,7.46154
950,LOX,0,1,0.584942,16,0.333012,0.304054,0.524131,0.475869,9.84615,7.74359,13.9487,12.5385
1000,LOX,0,0,0.546332,15.3333,0.504826,0.0791506,0.549228,0.361969,14.3846,2.12821,15,7.46154
1050,LOX,0,1,0.65251,17.9744,0.0743243,0.620656,0.238417,0.61583,2.51282,16.359,6.97436,17.2308
1100,LOX,0,0,0,0,0,0,0,0,0,0,0,0
1150,LOX,0,0,0.666023,18.1538,0.235521,0.476834,0.547297,0.561776,7.25641,11.7692,13.9744,14.1282
1200,LOX,0,0,0.633205,17.641,0.333012,0.352317,0.517375,0.480695,9.53846,9.46154,12.7692,12.2564
1250,LOX,0,0,0.578185,16.7436,0.508687,0.144788,0.563707,0.324324,14.7949,4.33333,16.2821,7.33333
1300,LOX,0,0,0.653475,17.0256,0.61583,0.0598456,0.63417,0.123552,16.1795,1.61538,16.2051,2.71795
1350,LOX,0,1,0.318533,7.4359,0.311776,0.0173745,0.315637,0.140927,7.23077,0.538462,7.58974,2.82051
1400,LOX,0,0,0.638996,17.7692,0.208494,0.470077,0.444981,0.510618,6.5641,12.4615,11.5128,12.8974
1450,LOX,0,0,0.63417,16.2821,0.44112,0.239382,0.579151,0.307915,12.2051,5.15385,15.0256,6.79487
1500,LOX,0,0,0.627413,16.5897,0.406371,0.276062,0.567568,0.44112,11.6154,6.51282,14.6667,9.84615
1550,LOX,0,1,0.567568,15.8205,0.513514,0.0849421,0.555019,0.198842,14.3846,2.84615,14.8205,4.92308
1600,LOX,0,0,0.638996,17.3333,0.598456,0.0569498,0.642857,0.0752896,16.2821,2.10256,17.8974,2.20513
1650,LOX,0,0,0.52027,13.1795,0.34749,0.218147,0.52027,0.388031,10.1538,4.84615,13.0513,8.41026
1700,LOX,0,0,0.565637,16.8718,0.360039,0.251931,0.514479,0.354247,11.4359,6.69231,13.5385,8.71795
1750,LOX,0,1,0.567568,16.359,0.382239,0.245174,0.516409,0.407336,11.7949,6.46154,14.1795,9.58974
1800,LOX,0,1,0.55888,15.359,0.474903,0.138996,0.557915,0.277992,13.4615,3.53846,14.8205,6.41026
1850,LOX,0,0,0.59556,16.1538,0.260618,0.375483,0.459459,0.503861,7.71795,10.2821,11.1026,12.6923
1900,LOX,0,0,0.590734,16.5641,0.219112,0.413127,0.414093,0.497104,7.84615,10.1538,10.8205,12.2564
1950,LOX,0,0,0.589768,16.3077,0.397683,0.243243,0.505792,0.426641,11.7179,6.66667,13.4872,9.66667
2000,LOX,0,0,0.527992,13.2564,0.474903,0.0916988,0.548263,0.299228,12.1026,2.4359,13.4359,5.79487
2050,LOX,0,1,0.583977,16.1538,0.273166,0.356178,0.362934,0.455598,8.41026,8.71795,10.0513,11.0513
2100,LOX,0,0,0.589768,15.7179,0.434363,0.219112,0.537645,0.451737,12.0256,5.30769,14.2051,12.1795
2150,LOX,0,1,0.369691,10.2308,0.358108,0.0598456,0.447876,0.266409,10.6923,1.64103,12.4615,5.87179
2200,LOX,0,0,0.656371,16.2564,0.15444,0.531853,0.275097,0.588803,4,13.2051,5.92308,14.9487
2250,LOX,0,0,0.650579,18,0.603282,0.101351,0.602317,0.439189,16.8462,2.79487,17.1538,9.92308
2300,LOX,0,0,0.197876,4.02564,0.0810811,0.138031,0.157336,0.186293,1.5641,3,3.10256,4
2350,LOX,0,1,0.555985,15.1026,0.194015,0.411197,0.396718,0.507722,5.82051,11.359,11.6154,14.1026
2400,LOX,0,0,0.598456,16.2564,0.534749,0.110039,0.563707,0.323359,14.5897,3.05128,15.359,7.07692
2450,LOX,0,0,0.611969,16.2308,0.525097,0.129344,0.580116,0.3861,13.7949,3.41026,15.4615,8
2500,LOX,0,1,0.644788,16.7436,0.354247,0.358108,0.525097,0.533784,10.1795,8.58974,13.0256,12.359
2550,LOX,0,0,0.610039,16.9487,0.309846,0.337838,0.489382,0.440154,9.71795,8.30769,12.4872,10.7949
2600,LOX,0,0,0.601351,16.5128,0.589768,0.03861,0.585907,0.225869,15.8205,1.5641,15.5641,5.4359
2650,LOX,0,0,0.600386,16.2564,0.534749,0.117761,0.59556,0.322394,14.5897,3.33333,16.0769,6.61538
