iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,OX,0,1,0.529138,22.2963,0.324009,0.328671,0.477855,0.468531,14.8148,12.2963,19.037,16.963
50,OX,1,1,0.515152,20.4444,0.200466,0.344988,0.214452,0.431235,8.51852,13.6296,9.11111,17.6296
100,OX,0,0,0.477855,17.7778,0.261072,0.265734,0.405594,0.342657,10.5926,9.33333,13.7778,12.2963
150,OX,0,1,0.480186,19.4074,0.102564,0.435897,0.249417,0.470862,6,17.5556,9.62963,20
200,OX,0,1,0.481308,18.8148,0.32634,0.254079,0.431235,0.337995,14.0741,8.88889,17.8519,13.4815
250,OX,0,0,0.426573,17.4074,0.100233,0.368298,0.111888,0.393939,5.40741,13.3333,5.48148,15.1111
300,OX,0,1,0.456876,22.1481,0.307692,0.244755,0.321678,0.384615,13.2593,13.4815,14.0741,17.7037
350,OX,0,0,0.491841,20,0.382284,0.160839,0.483645,0.205607,15.7778,7.77778,19.8519,7.62963
400,OX,0,1,0.505828,20.3704,0.417249,0.170163,0.463869,0.307692,16.8148,6.22222,19.2593,9.40741
450,OX,0,0,0.344988,14.6667,0.275058,0.125874,0.319347,0.160839,10,5.77778,12.8148,7.40741
500,OX,0,1,0.495327,19.6296,0.272727,0.284382,0.375291,0.300699,10.963,10.6667,13.037,11.8519
550,OX,0,0,0.289044,11.037,0.0955711,0.244755,0.200466,0.319347,4.59259,9.85185,6.22222,11.9259
600,OX,0,1,0.351981,11.6296,0.0699301,0.319347,0.0699301,0.30303,2.07407,10.0741,2.22222,9.77778
650,OX,0,0,0.410256,15.2593,0.207459,0.284382,0.291375,0.340326,9.7037,9.55556,10.0741,12
700,OX,0,0,0.354312,11.9259,0.331002,0.0675991,0.38785,0.21729,12.2222,4.44444,15.1111,6.44444
750,OX,0,0,0.417249,15.4815,0.286713,0.184149,0.382284,0.216783,10.2963,6.88889,13.8519,7.7037
800,OX,0,0,0.433566,16,0.25641,0.263403,0.37296,0.368298,10.2963,10.3704,14.5185,13.1111
850,OX,0,0,0.382284,13.9259,0.216783,0.219114,0.377622,0.235431,7.92593,7.48148,12.0741,6.88889
900,OX,0,0,0.407925,16,0.365967,0.0792541,0.414918,0.121212,15.1111,2.2963,15.8519,3.55556
950,OX,0,0,0.398601,15.4815,0.004662,0.39627,0,0.398601,0.0740741,15.4074,0,15.4815
1000,OX,0,0,0.452214,15.4815,0.216783,0.27972,0.328671,0.317016,7.48148,11.037,10.5926,9.7037
1050,OX,1,0,0.412587,14.7407,0.011655,0.414918,0.037296,0.407925,0.148148,14.8889,0.592593,15.037
1100,OX,0,0,0.354312,13.7778,0.0839161,0.307692,0.177156,0.34965,4.22222,11.4815,6,12
1150,OX,0,0,0.347319,10.963,0.114219,0.293706,0.242424,0.340326,4.07407,9.85185,6.96296,11.4815
1200,OX,0,0,0.386946,13.4074,0.0559441,0.377622,0.195804,0.391608,2.44444,13.9259,5.33333,13.5556
1250,OX,0,1,0.512821,20.963,0.454545,0.107226,0.519814,0.198135,17.7037,5.33333,19.5556,5.11111
1300,OX,0,0,0.461538,17.1111,0.228438,0.27972,0.307692,0.37296,8.74074,10.8148,9.03704,11.9259
1350,OX,0,1,0.421911,14.8889,0.228438,0.263403,0.398601,0.305361,8.88889,9.18519,12.3704,10.6667
1400,OX,0,0,0.428904,15.4815,0.2331,0.265734,0.270396,0.370629,9.18519,11.5556,9.33333,12.1481
1450,OX,0,0,0.319347,11.9259,0.240093,0.111888,0.261072,0.191142,9.62963,5.48148,8.37037,5.48148
1500,OX,0,1,0.373832,13.037,0.0792541,0.337995,0.291375,0.398601,2.88889,12.8889,8.44444,13.037
1550,OX,0,0,0.356643,13.9259,0.0979021,0.296037,0.0909091,0.344988,4.96296,10.5185,4.44444,11.5556
1600,OX,0,0,0.428904,15.7037,0.02331,0.421911,0.111888,0.417249,0.592593,15.3333,4,15.037
1650,OX,0,0,0.393939,13.1111,0.184149,0.286713,0.370629,0.333333,7.92593,12.8148,11.037,12.5185
1700,OX,0,0,0.405594,15.5556,0.044289,0.39627,0.11655,0.370629,1.7037,15.2593,4.07407,12.8148
1750,OX,0,0,0.363636,12.2222,0.198135,0.216783,0.298368,0.244755,8.66667,6.66667,11.2593,7.48148
1800,OX,0,0,0.39627,12.2222,0.123543,0.310023,0.170163,0.37296,3.03704,11.5556,4.2963,12.8889
1850,OX,0,1,0.258741,7.7037,0.200466,0.0979021,0.324009,0.237762,7.48148,2.59259,10.963,6.74074
1900,OX,1,1,0,0,0,0,0,0,0,0,0,0
1950,OX,0,0,0.382284,12.2222,0.034965,0.375291,0.149184,0.377622,2.88889,13.1852,4.22222,12.7407
2000,OX,0,0,0.298368,8.37037,0.174825,0.158508,0.179487,0.223776,4.2963,5.11111,6,7.40741
2050,OX,0,0,0.37296,13.9259,0.137529,0.275058,0.158508,0.335664,5.7037,10.5926,5.62963,12.8889
2100,OX,0,0,0.365967,12.5185,0.254079,0.212121,0.351981,0.300699,8.66667,8.96296,11.7778,8.44444
2150,OX,0,0,0.319347,11.4815,0.198135,0.160839,0.275701,0.214953,6.96296,7.55556,10.2222,8.51852
2200,OX,0,0,0.324009,13.1111,0.004662,0.32634,0.016317,0.317016,0.37037,13.3333,1.18519,13.4074
2250,OX,0,0,0.412587,14.5926,0.125874,0.344988,0.291375,0.405594,6.37037,12.8889,8.51852,14.963
2300,OX,0,1,0.296037,10.3704,0.195804,0.158508,0.321678,0.216783,7.33333,5.92593,12.0741,7.11111
2350,OX,0,0,0.354312,10.963,0.11655,0.284382,0.272727,0.342657,3.7037,10.3704,8.51852,12.963
2400,OX,0,0,0.452214,15.6296,0.375291,0.118881,0.391608,0.221445,13.4074,3.7037,15.1852,6.07407
2450,OX,0,0,0.289044,8.74074,0.109557,0.205128,0.165501,0.265734,2.96296,6.44444,3.85185,7.40741
2500,OX,0,0,0.329439,11.2593,0.263403,0.107226,0.286713,0.123543,8.59259,3.48148,9.33333,4.2963
2550,OX,0,0,0.027972,0.666667,0,0.027972,0,0.027972,0,0.666667,0,0.666667
2600,OX,0,0,0.389277,14.6667,0.377622,0.044289,0.383178,0.189252,15.2593,1.55556,15.1852,4
2650,OX,0,0,0.370629,12.963,0.254079,0.160839,0.237762,0.228438,8.81481,7.03704,8.2963,8.22222
2700,OX,0,0,0.307692,12.8889,0.195804,0.174825,0.298368,0.265734,9.03704,7.55556,10,11.6296
2750,OX,0,0,0.400932,13.7778,0.0815851,0.358974,0.0792541,0.365967,3.33333,11.7037,3.40741,12.5185
