iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,PL,0,0,0.476744,20.8148,0.281395,0.411628,0.377622,0.508159,6,18.2222,13.7778,21.1852
50,PL,0,0,0.456876,18.7407,0.221445,0.403263,0.305361,0.459207,4.66667,17.1111,9.18519,17.7037
100,PL,0,0,0.554779,21.2593,0.285047,0.46729,0.380841,0.528037,6.51852,19.037,12.8148,21.2593
150,PL,0,1,0.512821,19.9259,0.237762,0.440559,0.342657,0.461538,5.77778,17.4815,11.1852,17.6296
200,PL,0,1,0.426573,17.2593,0.240093,0.312354,0.335664,0.463869,5.40741,14.963,10.8889,17.1852
250,PL,0,1,0.347319,10.5926,0.223776,0.240093,0.265734,0.331002,4,8.59259,6.66667,10.3704
300,PL,0,0,0.504673,19.1111,0.193925,0.462617,0.275701,0.504673,3.62963,17.4815,8.2963,17.8519
350,PL,0,0,0.516355,19.037,0.268692,0.457944,0.464953,0.530374,6.14815,18.3704,17.1111,20.963
400,PL,0,0,0.487179,18,0.247664,0.397196,0.350467,0.429907,5.18519,15.1111,10.8889,15.6296
450,PL,0,1,0.564103,18.8889,0.312354,0.4662,0.337995,0.536131,6.81481,16.5185,13.1111,18.7407
500,PL,0,0,0.505828,18.7407,0.249417,0.461538,0.334112,0.478972,5.18519,17.4815,12.5926,16.7407
550,PL,0,0,0.405594,14.4444,0.111888,0.354312,0.181818,0.403263,1.77778,13.4815,4.96296,14.6667
600,PL,0,0,0.474299,18.8889,0.268692,0.348131,0.38785,0.441589,6.22222,15.037,11.9259,17.6296
650,PL,0,0,0.441589,15.4074,0.196262,0.371495,0.285047,0.404206,4.22222,13.9259,6.59259,14.6667
700,PL,0,1,0.440559,15.3333,0.216783,0.333333,0.347319,0.365967,4.81481,12.5926,10.3704,13.2593
750,PL,0,0,0.538462,20,0.261682,0.415888,0.310748,0.511682,5.18519,16.963,8.96296,18.6667
800,PL,0,0,0.41958,12.4444,0.214452,0.321678,0.289044,0.368298,3.92593,10,5.92593,10.5185
850,PL,0,0,0.449883,16.1481,0.244755,0.398601,0.328671,0.433566,4.74074,13.9259,8.37037,15.2593
900,PL,0,0,0.293706,8.51852,0.118881,0.2331,0.181818,0.275058,2.37037,6.51852,5.03704,8.96296
950,PL,0,0,0.314685,10.5185,0.121212,0.27972,0.174825,0.319347,2,9.48148,4.07407,10.7407
1000,PL,0,0,0.403263,15.2593,0.158508,0.324009,0.263403,0.379953,2.88889,12.7407,6.96296,14.8889
1050,PL,0,0,0.428904,14.963,0.170163,0.382284,0.212121,0.428904,3.55556,14.2963,4.66667,14.963
1100,PL,0,0,0.379953,15.6296,0.195804,0.312354,0.307692,0.386946,4.44444,13.6296,9.25926,14.6667
1150,PL,0,1,0.421911,14.6667,0.251748,0.324009,0.25641,0.39627,5.33333,11.1852,9.33333,12.7407
1200,PL,0,1,0.351981,11.7778,0.200466,0.258741,0.223776,0.291375,3.18519,9.62963,6.96296,11.1852
1250,PL,0,0,0.512821,18.7407,0.291375,0.405594,0.361305,0.501166,6.37037,16.2963,10.8148,18.6667
1300,PL,0,1,0.407925,14.3704,0.242424,0.298368,0.310023,0.37296,5.18519,11.2593,9.18519,11.1852
1350,PL,0,1,0.226107,7.55556,0.102564,0.167832,0.107226,0.212121,2.44444,5.85185,3.11111,7.33333
1400,PL,0,0,0.447552,14,0.193473,0.370629,0.272727,0.433566,4.22222,11.3333,7.7037,15.5556
1450,PL,0,0,0.452214,14.963,0.223776,0.37296,0.249417,0.426573,4.66667,12.5185,9.18519,13.4074
1500,PL,0,0,0.452214,16.0741,0.181818,0.386946,0.284382,0.456876,3.33333,14,8.37037,16.8889
