iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,AOX,0,1,0.614286,5.5122,0.557143,0.120408,0.555102,0.193878,5,1,5,1.53659
50,AOX,0,1,0.615071,5.85366,0.240326,0.415479,0.293279,0.478615,2.46341,3.90244,2.90244,4.29268
100,AOX,0,0,0.582485,5.31707,0.0855397,0.525458,0.12449,0.581633,1.02439,4.73171,1,5.21951
150,AOX,0,0,0.573469,4.95122,0.0571429,0.561224,0.0571429,0.563265,0.487805,4.92683,0.560976,4.97561
200,AOX,0,0,0.565306,5.12195,0.577551,0.0408163,0.567347,0.14898,5.12195,0.292683,4.97561,1.12195
250,AOX,0,0,0.595918,5.53659,0.310204,0.312245,0.353061,0.387755,3.09756,2.73171,3.39024,3.26829
300,AOX,0,0,0.492872,4.7561,0.405295,0.1222,0.485714,0.177551,4.07317,1.07317,4.70732,1.34146
350,AOX,0,0,0.510204,4.68293,0.281633,0.25102,0.285714,0.255102,2.43902,2.39024,2.53659,2.41463
400,AOX,0,0,0.55102,5.19512,0.54898,0.0591837,0.569388,0.110204,5.12195,0.512195,5.2439,0.878049
450,AOX,1,0,0.497959,4.21951,0.167347,0.389796,0.165306,0.418367,1.39024,3.39024,1.5122,3.73171
500,AOX,0,0,0.57551,5.07317,0.463265,0.183673,0.510204,0.24898,4.17073,1.78049,4.56098,2.29268
550,AOX,0,1,0.532653,5.02439,0.0326531,0.518367,0.0244898,0.540816,0.414634,4.7561,0.243902,4.92683
600,AOX,0,0,0.389796,3.46341,0.304082,0.130612,0.330612,0.161224,2.73171,1.31707,3.04878,1.56098
650,AOX,0,0,0.365306,3.36585,0.0285714,0.371429,0.102041,0.379592,0.268293,3.34146,0.756098,3.39024
700,AOX,0,0,0.47551,4.58537,0.395918,0.0938776,0.385714,0.108163,3.80488,0.902439,3.70732,0.95122
750,AOX,0,1,0.355102,3.26829,0.0897959,0.306122,0.0877551,0.320408,0.707317,2.87805,0.682927,3.07317
800,AOX,0,0,0.573469,5.29268,0.465306,0.193878,0.532653,0.285714,4.36585,1.73171,4.85366,2.36585
850,AOX,0,1,0.365306,2.80488,0.25102,0.189796,0.261224,0.228571,1.92683,1.41463,2.14634,1.82927
900,AOX,0,1,0.537832,4.90244,0.0654397,0.507157,0.0940695,0.523517,0.609756,4.63415,0.829268,4.90244
950,AOX,0,0,0.579592,5.07317,0.17551,0.457143,0.191837,0.491837,1.56098,4.04878,1.87805,4.36585
1000,AOX,0,1,0.487755,4.34146,0.422449,0.0918367,0.444898,0.112245,3.68293,0.780488,3.97561,1.04878
1050,AOX,1,1,0.293878,2.36585,0,0.293878,0,0.293878,0,2.36585,0,2.36585
1100,AOX,0,0,0.557143,5.12195,0.232653,0.359184,0.25102,0.4,2.17073,3.41463,2.12195,3.73171
1150,AOX,0,1,0.428571,3.60976,0.0897959,0.359184,0.14898,0.387755,0.878049,3.02439,1.2439,3.29268
1200,AOX,0,0,0.491837,4.29268,0.422449,0.0897959,0.473469,0.155102,3.78049,0.756098,4.09756,1.34146
1250,AOX,0,0,0.404082,3.63415,0.0897959,0.334694,0.138776,0.369388,0.756098,3.02439,1.12195,3.2439
1300,AOX,0,0,0.561224,4.82927,0.132653,0.483673,0.189796,0.516327,1.17073,4.14634,1.60976,4.46341
1350,AOX,0,0,0.502041,4.63415,0.389796,0.140816,0.42449,0.138776,3.5122,1.41463,3.80488,1.34146
1400,AOX,0,0,0.489796,4.12195,0.0673469,0.461224,0.0632653,0.471429,0.512195,3.97561,0.560976,4.12195
1450,AOX,0,0,0.385714,3.14634,0.0142857,0.389796,0,0.385714,0.195122,3.14634,0,3.14634
1500,AOX,0,0,0.414286,3.60976,0.214286,0.246939,0.328571,0.353061,1.73171,2.21951,2.56098,3.02439
1550,AOX,0,1,0.481633,4.41463,0.308163,0.238776,0.395918,0.291837,3.02439,2.07317,3.80488,2.53659
1600,AOX,0,0,0.416327,3.65854,0.189796,0.263265,0.226531,0.293878,1.7561,2.26829,1.97561,2.46341
1650,AOX,0,0,0.395918,3.65854,0.257143,0.226531,0.4,0.32449,2.43902,2.12195,3.4878,2.82927
1700,AOX,0,0,0.47551,3.68293,0.157143,0.37551,0.187755,0.47551,1.36585,3.02439,1.53659,3.87805
1750,AOX,0,0,0.479592,4.04878,0.436735,0.114286,0.438776,0.122449,3.60976,0.902439,3.65854,1.02439
1800,AOX,0,0,0.420408,3.36585,0.42449,0.0795918,0.418367,0.0938776,3.58537,0.756098,3.4878,0.804878
1850,AOX,0,0,0.473469,4.04878,0.177551,0.326531,0.285714,0.416327,1.56098,2.73171,2.43902,3.4878
1900,AOX,0,0,0.544898,4.82927,0.25102,0.318367,0.297959,0.330612,2.21951,2.90244,2.63415,2.90244
1950,AOX,0,0,0.459184,4.12195,0.173469,0.330612,0.216327,0.373469,1.53659,3.07317,1.92683,3.31707
2000,AOX,0,1,0.387755,3.02439,0.0102041,0.395918,0.022449,0.408163,0.097561,3.07317,0.121951,3.12195
2050,AOX,0,0,0.622449,5.17073,0.406122,0.263265,0.485714,0.338776,3.58537,2.14634,4.21951,2.85366
2100,AOX,0,0,0.489796,4.46341,0.181633,0.35102,0.193878,0.355102,1.7561,3.09756,1.82927,3.2439
2150,AOX,0,0,0.55102,4.85366,0.116327,0.457143,0.17551,0.559184,0.95122,4.14634,1.46341,5.02439
2200,AOX,0,0,0.0795918,0.756098,0.0979592,0.022449,0.214286,0.173469,1.12195,0.390244,2.04878,1.58537
2250,AOX,0,0,0.520408,4.73171,0.35102,0.22449,0.359184,0.340816,3.12195,2.09756,3.26829,2.97561
2300,AOX,0,1,0.477551,4.09756,0.259184,0.244898,0.330612,0.306122,2.29268,2.19512,2.7561,2.53659
2350,AOX,0,0,0.459184,3.85366,0.197959,0.27551,0.285714,0.318367,1.85366,2.2439,2.5122,2.58537
2400,AOX,0,0,0.567347,5.17073,0.428571,0.181633,0.512245,0.273469,3.82927,1.7561,4.36585,2.39024
2450,AOX,0,0,0.516327,4.60976,0.438776,0.0959184,0.442857,0.128571,4.02439,0.682927,3.95122,0.926829
2500,AOX,0,1,0.567347,5.31707,0.565306,0.0326531,0.565306,0.0285714,5.26829,0.292683,5.21951,0.268293
2550,AOX,0,0,0.512245,4.53659,0.00816327,0.512245,0.0489796,0.512245,0.097561,4.53659,0.414634,4.4878
2600,AOX,0,1,0.559184,5.2439,0.153061,0.467347,0.22449,0.546939,1.36585,4.29268,1.70732,5.12195
2650,AOX,0,0,0.444898,4.02439,0.171429,0.338776,0.210204,0.342857,1.53659,3.04878,1.73171,3.19512
2700,AOX,0,0,0.514286,4.43902,0.291837,0.263265,0.345603,0.312883,2.36585,2.36585,2.95122,2.7561
2750,AOX,0,0,0.507157,4.31707,0.282209,0.257669,0.314928,0.325153,2.46341,2.2439,2.60976,2.82927
2800,AOX,0,0,0.508163,5,0.128571,0.432653,0.237219,0.453988,1.07317,4.34146,1.85366,4.58537
2850,AOX,0,0,0.508163,4.46341,0.273469,0.287755,0.308163,0.328571,2.36585,2.4878,2.60976,2.92683
2900,AOX,0,0,0.44898,3.78049,0.246939,0.238776,0.308163,0.365306,2.04878,2.04878,2.56098,3.04878
2950,AOX,1,1,0.432653,3.87805,0.177551,0.271429,0.195918,0.293878,1.5122,2.5122,1.65854,2.65854
3000,AOX,0,0,0.502041,4.82927,0.328571,0.255102,0.426531,0.336735,3.21951,2.31707,3.58537,3
3050,AOX,0,0,0.114286,0.853659,0,0.114286,0,0.114286,0,0.853659,0,0.853659
3100,AOX,0,0,0.487755,3.82927,0.430612,0.110204,0.461224,0.0918367,3.43902,0.878049,3.80488,0.853659
3150,AOX,1,0,0.510204,4.63415,0.402041,0.134694,0.422449,0.171429,3.68293,1.14634,3.82927,1.34146
3200,AOX,0,0,0.388548,3.14634,0.0224949,0.398773,0.0572597,0.402863,0.146341,3.21951,0.439024,3.36585
3250,AOX,0,0,0.514286,4.4878,0.0469388,0.522449,0.0897959,0.544898,0.560976,4.73171,0.682927,4.7561
3300,AOX,0,0,0.530612,4.85366,0.169388,0.434694,0.242857,0.489796,1.63415,4,1.92683,4.34146
3350,AOX,0,0,0.568507,5.41463,0.306748,0.374233,0.361963,0.462168,2.97561,3.56098,3.02439,3.92683
3400,AOX,0,0,0.377551,3.12195,0.346939,0.0530612,0.334694,0.116327,2.97561,0.512195,2.82927,1
3450,AOX,0,0,0.54898,5,0.359184,0.269388,0.402041,0.418367,3.31707,2.70732,3.46341,3.68293
3500,AOX,0,0,0.427403,3.85366,0.394683,0.118609,0.435583,0.267894,3.53659,1.17073,3.7561,2.14634
3550,AOX,0,0,0.321063,2.70732,0.200409,0.143149,0.220859,0.202454,1.85366,1.02439,1.97561,1.43902
3600,AOX,0,0,0.571429,5,0.571429,0.0285714,0.574642,0.0511247,4.90244,0.365854,4.92683,0.512195
3650,AOX,1,0,0.434694,3.68293,0.00612245,0.438776,0.0163265,0.42449,0.0487805,3.70732,0.097561,3.60976
3700,AOX,0,0,0.432653,3.58537,0.153061,0.342857,0.216327,0.446939,1.43902,2.87805,1.68293,3.63415
3750,AOX,0,0,0.493878,4.19512,0.104082,0.404082,0.146939,0.47551,0.829268,3.4878,1.29268,4.12195
3800,AOX,0,0,0.573469,5,0.1,0.516327,0.14898,0.530612,0.878049,4.4878,1.36585,4.80488
3850,AOX,0,0,0.526531,4.87805,0.24898,0.318367,0.277551,0.379592,2.5122,2.73171,2.7561,3.17073
3900,AOX,0,0,0.557143,4.87805,0.0469388,0.546939,0.102041,0.571429,0.439024,4.85366,0.853659,5.19512
3950,AOX,0,0,0.443763,3.53659,0.167689,0.306748,0.186094,0.312883,1.60976,2.12195,1.82927,2.34146
4000,AOX,0,0,0.423313,3.65854,0.392638,0.0838446,0.376278,0.161554,3.34146,0.756098,3.04878,1.43902
4050,AOX,0,0,0.486708,4.09756,0.122699,0.382413,0.126789,0.396728,1.09756,3.19512,1.09756,3.29268
4100,AOX,0,0,0.514286,4.41463,0.35102,0.216327,0.416327,0.314286,3.21951,1.7561,3.70732,2.70732
4150,AOX,0,0,0.465306,4.04878,0.134694,0.35102,0.269388,0.434694,1.2439,3.04878,2.31707,4.09756
4200,AOX,0,0,0.504082,4.43902,0.0673469,0.481633,0.177551,0.514286,0.585366,4.29268,1.34146,4.26829
4250,AOX,0,0,0.481633,4.02439,0.355102,0.17551,0.355102,0.222449,3.02439,1.60976,3.02439,1.82927
4300,AOX,0,1,0.583673,5.21951,0.0530612,0.544898,0.0918367,0.573469,0.512195,5,0.756098,5.07317
4350,AOX,0,0,0.540816,4.56098,0.544898,0.0244898,0.532653,0.0408163,4.68293,0.146341,4.58537,0.292683
4400,AOX,0,0,0.471429,4.07317,0.344898,0.189796,0.463265,0.257143,3.14634,1.60976,4,2.31707
4450,AOX,0,0,0.54898,4.90244,0.434694,0.173469,0.467347,0.253061,4.02439,1.5122,4.2439,2.19512
4500,AOX,0,0,0.489796,4.46341,0.442857,0.0653061,0.487755,0.0673469,3.97561,0.731707,4.36585,0.707317
4550,AOX,0,0,0.518367,4.73171,0.504082,0.0734694,0.504082,0.128571,4.63415,0.585366,4.60976,1.26829
4600,AOX,0,0,0.320408,2.43902,0.212245,0.226531,0.389796,0.336735,1.80488,2,3.29268,2.7561
4650,AOX,1,0,0.518367,4.68293,0,0.518367,0.00612245,0.516327,0,4.68293,0.0487805,4.68293
4700,AOX,0,1,0.530612,4.7561,0.0938776,0.471429,0.0959184,0.508163,0.707317,4.36585,0.804878,4.70732
4750,AOX,0,0,0.514286,4.21951,0.526531,0.0183673,0.501022,0.126789,4.36585,0.170732,4.09756,0.97561
4800,AOX,0,0,0.340816,2.46341,0.302041,0.0795918,0.310204,0.122449,2.21951,0.609756,2.31707,1.12195
4850,AOX,0,0,0.433538,3.97561,0.312883,0.167689,0.380368,0.261759,2.87805,1.46341,3.31707,2.17073
4900,AOX,0,1,0.52449,4.19512,0.346939,0.22449,0.338776,0.289796,2.80488,1.92683,2.73171,2.34146
4950,AOX,1,0,0.558282,4.73171,0,0.558282,0.0388548,0.546012,0,4.73171,0.292683,4.60976
5000,AOX,0,1,0.585714,5.46341,0.557143,0.0632653,0.589796,0.0857143,5.04878,0.707317,5.39024,0.902439
5050,AOX,0,0,0.516327,4.4878,0.193878,0.359184,0.295918,0.426531,1.82927,3.12195,2.39024,3.80488
5100,AOX,0,0,0.447853,4.04878,0.0756646,0.398773,0.200409,0.470348,0.658537,3.70732,1.78049,4.26829
5150,AOX,0,0,0.527607,4.78049,0.292434,0.294479,0.398773,0.357873,2.65854,2.65854,3.46341,3.29268
5200,AOX,0,1,0.416327,3.5122,0.165306,0.277551,0.253061,0.295918,1.53659,2.17073,2.26829,2.34146
5250,AOX,0,0,0.334694,2.85366,0.230612,0.165306,0.246939,0.246939,2.02439,1.39024,2.26829,1.90244
5300,AOX,0,1,0.510204,4.46341,0.306122,0.27551,0.379592,0.334694,2.90244,2.2439,3.41463,2.68293
5350,AOX,0,0,0,0,0.0102041,0.0102041,0.116327,0.116327,0.219512,0.219512,1.2439,1.2439
