iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,GOX,0,0,0.608961,5.56098,0.441955,0.209776,0.521385,0.289206,4.14634,2.07317,4.97561,2.82927
50,GOX,0,0,0.569388,5.2439,0.42449,0.185714,0.559184,0.214286,3.78049,1.73171,5,2.02439
100,GOX,0,0,0.581633,5.09756,0.491837,0.142857,0.518367,0.244898,4.21951,1.34146,4.7561,1.92683
150,GOX,0,0,0.615071,5.58537,0.380855,0.301426,0.426531,0.336735,3.68293,2.65854,3.80488,3.02439
200,GOX,1,1,0.582485,5.63415,0.517312,0.0997963,0.534694,0.112245,5,0.902439,5.04878,0.878049
250,GOX,0,1,0.581633,5.2439,0.565306,0.0591837,0.571429,0.0877551,5.07317,0.463415,5.36585,0.878049
300,GOX,0,0,0.371429,3.34146,0.0938776,0.330612,0.136735,0.379592,0.731707,2.95122,1.14634,3.46341
350,GOX,0,0,0.591837,5.34146,0.612245,0.0326531,0.591837,0.0204082,5.5122,0.219512,5.34146,0.097561
400,GOX,0,0,0.47551,4.41463,0.410204,0.0938776,0.422449,0.142857,3.7561,0.926829,3.87805,1.34146
450,GOX,0,0,0.583673,5.53659,0.534694,0.106122,0.577551,0.108163,5.02439,0.97561,5.43902,0.95122
500,GOX,0,0,0.638776,5.53659,0.481633,0.2,0.525458,0.258656,4.31707,1.90244,4.73171,2.31707
550,GOX,0,0,0.587755,5.41463,0.232653,0.385714,0.338776,0.463265,2.29268,3.36585,3.09756,4.09756
600,GOX,0,0,0.542857,5.21951,0.526531,0.0591837,0.573469,0.191837,5.12195,0.560976,5.29268,2.02439
650,GOX,0,0,0.404082,3.65854,0.379592,0.055102,0.4,0.216327,3.4878,0.414634,3.70732,1.65854
700,GOX,1,0,0.585714,5.4878,0.585714,0.0367347,0.573469,0.0918367,5.63415,0.463415,5.4878,0.804878
750,GOX,0,1,0.597959,5.46341,0.579592,0.0469388,0.57551,0.0489796,5.34146,0.365854,5.21951,0.414634
800,GOX,0,0,0.577551,5.85366,0.179592,0.455102,0.242857,0.5,1.87805,4.46341,2.19512,4.78049
850,GOX,0,0,0.483673,4.87805,0.0959184,0.446939,0.173469,0.461224,0.926829,4.31707,1.63415,4.34146
900,GOX,0,0,0.540816,4.68293,0.522449,0.077551,0.557143,0.267347,4.39024,0.756098,4.95122,2.34146
950,GOX,0,0,0.542857,4.85366,0.371429,0.220408,0.436735,0.308163,3.36585,2,3.68293,2.56098
1000,GOX,0,0,0.534694,4.82927,0.232653,0.391837,0.232653,0.461224,2.07317,3.41463,2.07317,4.04878
1050,GOX,0,1,0.522449,4.87805,0.516327,0.0755102,0.544898,0.14898,4.80488,0.585366,4.85366,1.36585
1100,GOX,0,0,0.542857,4.85366,0.0510204,0.52449,0.0714286,0.520408,0.512195,4.70732,0.731707,4.82927
1150,GOX,0,0,0.220408,2.02439,0.232653,0.0122449,0.312245,0.126531,2.09756,0.0731707,2.82927,1.04878
1200,GOX,0,0,0.336735,2.95122,0.177551,0.191837,0.179592,0.232653,1.70732,1.70732,1.58537,1.95122
1250,GOX,0,0,0.569388,5.26829,0.177551,0.414286,0.220408,0.418367,1.73171,3.85366,2.04878,3.85366
1300,GOX,0,0,0.487755,4.4878,0.444898,0.0632653,0.471429,0.0897959,4.14634,0.634146,4.36585,0.585366
