iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,EAX,0,1,0.467368,8.39216,0.0459519,0.483589,0.513684,0.471579,8.70588,13.451,9.17647,9.80392
50,EAX,0,1,0.543158,10,0.0743982,0.522976,0.528421,0.486316,9.64706,13.4902,9.64706,9.01961
100,EAX,0,1,0.536842,10.1176,0.50547,0.083151,0.467368,0.490526,14.2745,9.37255,9.41176,8.70588
150,EAX,0,1,0.511579,9.88235,0.0482456,0.517544,0.486316,0.513684,8.70588,14.7843,9.29412,10.0784
200,EAX,0,1,0.52,9.84314,0.059081,0.516411,0.522105,0.509474,8.70588,13.6863,9.64706,10.4314
250,EAX,0,1,0.484211,8.47059,0.0459519,0.483589,0.462185,0.523109,8.7451,12.9412,8.7451,9.52941
300,EAX,0,1,0.532632,9.80392,0.0460526,0.541667,0.469474,0.503158,8.7451,14.5098,8.62745,9.17647
350,EAX,0,1,0.465263,9.05882,0.0437637,0.479212,0.502101,0.502101,8.70588,12.7451,9.80392,9.60784
400,EAX,0,1,0.509474,9.56863,0.0415755,0.52954,0.487395,0.506303,8.23529,13.2549,8.58824,9.68627
450,EAX,0,1,0.486316,9.01961,0.0503282,0.492341,0.455882,0.457983,8.70588,13.098,8.39216,8.94118
500,EAX,0,1,0.511579,9.60784,0.059081,0.492341,0.466387,0.481092,9.64706,13.7647,8.70588,9.52941
550,EAX,0,1,0.511579,9.33333,0.0438596,0.524123,0.405462,0.476891,9.17647,13.6863,8.94118,9.88235
600,EAX,0,1,0.522105,10.2353,0.157549,0.422319,0.496842,0.505263,10.9412,13.5686,8.54902,10.1176
650,EAX,0,1,0.469474,10.1176,0.347921,0.175055,0.483193,0.481092,13.5294,11.2941,9.52941,8.98039
700,EAX,0,1,0.490526,9.4902,0.0504386,0.491228,0.472689,0.483193,9.64706,13.8039,9.01961,9.05882
750,EAX,0,1,0.52,9.60784,0.118162,0.455142,0.522105,0.477895,10.1176,13.2941,9.45098,9.45098
800,EAX,0,0,0.513684,9.56863,0.0962801,0.47046,0.442105,0.467368,10.0392,13.098,8.54902,9.52941
850,EAX,0,0,0.505263,8.94118,0.0592105,0.489035,0.465263,0.471579,10.1176,13.6078,8.90196,9.29412
900,EAX,0,0,0.484211,8.78431,0.0547046,0.479212,0.456842,0.486316,8.58824,12.7451,9.60784,9.56863
950,EAX,0,0,0.469474,9.37255,0.0722101,0.446389,0.469474,0.454737,9.37255,13.5686,9.37255,9.09804
1000,EAX,0,0,0.501053,9.80392,0.0437637,0.50547,0.447257,0.481013,8.70588,14.3137,8.78431,10
1050,EAX,0,0,0.473684,9.29412,0.0612691,0.459519,0.381053,0.48,9.64706,13.8824,7.05882,9.68627
1100,EAX,0,0,0.47479,9.64706,0.0437637,0.490153,0.473684,0.496842,8.27451,14,9.29412,9.72549
1150,EAX,0,1,0.486316,9.21569,0.0437637,0.492341,0.488421,0.513684,8.23529,13.9216,9.21569,10.2745
1200,EAX,0,1,0.528421,10.4706,0.0700219,0.507659,0.492632,0.488421,9.13725,13.5294,10.0392,9.29412
1250,EAX,0,0,0.508403,9.76471,0.0787746,0.479212,0.449367,0.455696,8.62745,13.4902,9.45098,8.47059
1300,EAX,0,0,0.509474,9.45098,0.455142,0.111597,0.490526,0.505263,13.5686,9.52941,9.76471,9.72549
1350,EAX,0,0,0.496842,8.58824,0.04814,0.49453,0.461053,0.469474,9.17647,13.4902,7.52941,9.37255
1400,EAX,0,0,0.433684,8.35294,0.0919037,0.398249,0.452632,0.448421,9.68627,12.902,7.2549,9.05882
1450,EAX,0,0,0.508403,8.98039,0.38512,0.181619,0.503158,0.482105,12.7843,10.1961,8.98039,9.05882
