iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,GrPX,1,1,0.538947,10.0784,0.267081,0.296066,0.347368,0.383158,5.05882,5.80392,5.92157,6.39216
50,GrPX,1,1,0.404211,7.2549,0.226141,0.205394,0.343158,0.267368,4.07843,3.76471,5.76471,4.15686
100,GrPX,1,1,0.490526,9.92157,0.272727,0.264463,0.450526,0.366316,5.72549,5.41176,8.62745,6.31373
150,GrPX,1,1,0.389474,7.33333,0.222917,0.1875,0.273684,0.227368,4.39216,3.4902,4.78431,4.03922
200,GrPX,1,1,0,0,0,0,0,0,0,0,0,0
250,GrPX,1,1,0.463158,8.66667,0.265432,0.244856,0.334737,0.383158,4.78431,4.62745,6,7.41176
300,GrPX,1,1,0.387368,5.96078,0.191667,0.214583,0.222689,0.287815,2.54902,3.76471,2.94118,4.90196
350,GrPX,1,1,0.378947,6.5098,0.188406,0.221532,0.221053,0.269474,2.98039,4.19608,3.4902,5.05882
400,GrPX,1,1,0.475789,8.5098,0.240166,0.271222,0.328421,0.368421,4.47059,5.09804,5.29412,6.23529
450,GrPX,0,1,0.309474,4.62745,0.180498,0.157676,0.269474,0.221053,3.2549,1.96078,4.62745,3.05882
500,GrPX,1,1,0.210526,3.13725,0.0981211,0.129436,0.12,0.162105,1.17647,2.31373,1.60784,2.78431
550,GrPX,1,1,0.214737,3.72549,0.0857741,0.135983,0.107368,0.168421,1.4902,2.39216,1.60784,2.90196
600,GrPX,0,1,0.294118,5.17647,0.152401,0.150313,0.193684,0.206316,2.58824,3.09804,3.17647,3.60784
650,GrPX,0,0,0.229474,3.13725,0.119247,0.112971,0.185263,0.138947,1.80392,1.45098,2.58824,1.92157
700,GrPX,0,1,0.307368,4.39216,0.176715,0.149688,0.258947,0.185263,2.90196,1.92157,4.03922,2.31373
750,GrPX,1,1,0.410526,7.72549,0.25567,0.195876,0.370526,0.315789,4.90196,3.88235,6.03922,5.2549
800,GrPX,0,1,0.273684,4.54902,0.147609,0.14553,0.214737,0.134737,2.5098,2.43137,3.2549,2.35294
850,GrPX,0,0,0.273684,4.07843,0.148536,0.133891,0.162105,0.166316,2.23529,2,2.54902,2.15686
