iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,PMX,1,1,0.493697,9.80392,0.142857,0.409664,0.147059,0.476891,2.78431,7.96078,3.37255,9.37255
50,PMX,1,1,0.505263,9.29412,0.246316,0.290526,0.242105,0.402105,4.43137,5.2549,4.07843,6.94118
100,PMX,1,1,0.534737,9.76471,0.132632,0.431579,0.149474,0.492632,2.66667,7.33333,2.58824,8.82353
150,PMX,0,1,0.467368,9.21569,0.183158,0.353684,0.24,0.402105,3.05882,6.90196,4.15686,7.13725
200,PMX,1,1,0.475789,9.52941,0.294737,0.248421,0.284211,0.250526,5.72549,4.62745,5.41176,4.94118
250,PMX,0,1,0.446316,8.86275,0.145263,0.324211,0.124211,0.402105,2.62745,6.70588,2.23529,8.23529
300,PMX,1,1,0.503158,8.94118,0.138947,0.433684,0.155789,0.423158,2.47059,7.2549,2.98039,7.41176
350,PMX,1,1,0.202105,3.76471,0.117895,0.138947,0.128421,0.176842,2.15686,2.43137,2.5098,2.86275
400,PMX,1,1,0.452632,9.21569,0.0821053,0.429474,0.101053,0.458947,1.41176,8.5098,1.64706,8.78431
450,PMX,0,0,0.425263,7.76471,0.383158,0.08,0.418947,0.138947,6.66667,1.45098,8,1.96078
500,PMX,1,1,0.418947,7.05882,0.237895,0.229474,0.237895,0.242105,4.19608,3.41176,3.92157,3.56863
550,PMX,0,0,0.282105,4.98039,0.111579,0.187368,0.107368,0.176842,1.88235,3.21569,1.84314,3.17647
600,PMX,0,0,0.332632,6.03922,0.0905263,0.263158,0.124211,0.267368,1.2549,5.05882,1.4902,5.13725
650,PMX,0,0,0.397895,6.35294,0.0673684,0.374737,0.0715789,0.383158,1.21569,5.84314,1.45098,6.23529
700,PMX,0,0,0.265263,4.15686,0.115789,0.187368,0.178947,0.263158,2.07843,2.98039,2.70588,3.68627
750,PMX,1,1,0.402105,6.98039,0.111579,0.311579,0.103158,0.338947,1.4902,5.72549,1.60784,6
800,PMX,1,1,0.336842,4.98039,0.282105,0.101053,0.261053,0.124211,4.43137,0.980392,4.43137,1.33333
850,PMX,0,0,0.309474,5.76471,0.0778947,0.267368,0.0526316,0.282105,1.17647,5.05882,1.05882,5.4902
900,PMX,1,1,0.305263,5.56863,0.155789,0.183158,0.157895,0.187368,2.82353,3.29412,2.54902,3.37255
950,PMX,0,1,0.294737,5.60784,0.12,0.210526,0.143158,0.166316,2.11765,4,2.39216,3.33333
1000,PMX,0,1,0.383158,6.31373,0.191579,0.225263,0.210526,0.214737,3.17647,3.68627,3.41176,3.68627
1050,PMX,0,0,0.370526,6.43137,0.181053,0.206316,0.195789,0.214737,3.2549,3.33333,3.29412,3.68627
1100,PMX,0,0,0.334737,6.11765,0.221053,0.181053,0.195789,0.185263,3.88235,3.13725,3.4902,3.21569
1150,PMX,0,0,0.44,8.31373,0.252632,0.254737,0.332632,0.294737,4.15686,4.98039,5.84314,5.2549
1200,PMX,1,1,0.0652632,0.745098,0,0.0652632,0,0.0652632,0,0.745098,0,0.745098
1250,PMX,0,0,0.442105,7.64706,0.368421,0.12,0.36,0.12,5.92157,2.15686,6.03922,2.15686
1300,PMX,0,0,0.288421,4.5098,0.0652632,0.225263,0.0715789,0.221053,0.745098,3.76471,0.823529,3.68627
1350,PMX,0,1,0.456842,7.56863,0.0484211,0.44,0.0231579,0.444211,0.823529,7.05882,0.431373,7.37255
1400,PMX,0,0,0.372632,7.01961,0.178947,0.252632,0.214737,0.242105,2.90196,4.94118,3.60784,4.5098
1450,PMX,0,0,0.36,6.70588,0.0631579,0.315789,0.0505263,0.370526,0.941176,5.92157,0.509804,6.70588
1500,PMX,0,0,0.324211,5.45098,0.0547368,0.288421,0.0673684,0.296842,0.705882,4.98039,0.705882,4.94118
1550,PMX,0,0,0.32,5.21569,0.0631579,0.269474,0.0526316,0.267368,1.33333,4.03922,1.17647,4.03922
1600,PMX,0,0,0.286316,4.15686,0.0778947,0.227368,0.0673684,0.225263,1.05882,3.2549,0.901961,3.33333
1650,PMX,1,0,0.429474,7.05882,0.256842,0.214737,0.248421,0.210526,4.03922,3.45098,4.19608,3.80392
1700,PMX,1,1,0.332632,5.13725,0.0652632,0.324211,0.0357895,0.32,1.17647,5.01961,0.392157,5.05882
1750,PMX,0,1,0.174737,2.86275,0.0189474,0.170526,0.0336842,0.155789,0.156863,2.82353,0.313725,2.70588
1800,PMX,0,0,0.311579,4.82353,0.225263,0.126316,0.267368,0.113684,3.64706,1.56863,4.15686,1.37255
1850,PMX,1,0,0.263158,3.52941,0.189474,0.0968421,0.176842,0.117895,2.5098,1.2549,2.11765,1.64706
