iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,UOX,0,1,0.631799,14.2439,0.730126,0.767782,0.635983,0.575314,14,11.9024,14.7805,13.8049
50,UOX,0,1,0.604603,13.7073,0.656904,0.736402,0.600418,0.573222,11.122,12.7805,13.8049,13.6098
100,UOX,0,0,0.621339,15.0244,0.692469,0.759414,0.617155,0.625523,12.439,12.7317,15.2683,14.3902
150,UOX,0,1,0.667364,15.122,0.667364,0.73431,0.596234,0.583682,11.9024,13.3171,14.5366,14
200,UOX,0,1,0.596234,14.3902,0.667364,0.76569,0.552301,0.600418,11.5122,12.5854,13.7073,14.1463
250,UOX,1,1,0,0,0.0041841,0.0041841,0.039749,0.039749,0.0487805,0.0487805,1.07317,1.07317
300,UOX,0,1,0.658996,14.6829,0.694561,0.761506,0.606695,0.640167,12.2927,12.3415,13.122,14.2439
350,UOX,0,1,0.646444,14.4878,0.650628,0.803347,0.596234,0.617155,10.6829,13.6585,14.439,14.8293
400,UOX,0,1,0.596234,14.878,0.679916,0.774059,0.554393,0.608787,12.3415,13.0244,12.5854,14.878
450,UOX,0,0,0.593291,14,0.708595,0.769392,0.601677,0.580713,11.5122,12.6829,13.4634,14.1463
500,UOX,0,1,0.594142,13.9024,0.635983,0.751046,0.569038,0.604603,9.95122,12.7805,13.4146,14.439
550,UOX,0,0,0.639413,14.1463,0.660377,0.752621,0.649895,0.60587,11.0244,13.3659,14.3415,14.1463
600,UOX,1,1,0,0,0,0,0,0,0,0,0,0
650,UOX,0,0,0.610063,14.8293,0.668763,0.733753,0.618449,0.60587,11.5122,12.9756,14.1951,13.7073
700,UOX,0,0,0.63522,15.122,0.654088,0.716981,0.643606,0.654088,11.8049,13.0244,14.0976,14.7317
750,UOX,0,0,0.658281,14.878,0.647799,0.752621,0.66457,0.620545,10.3902,12.9756,13.9512,14.3902
800,UOX,0,0,0.563941,14.0488,0.679245,0.756813,0.612159,0.610063,10.7805,12.8293,14.3415,14.3902
850,UOX,0,0,0.0251572,0.487805,0.136268,0.146751,0.24109,0.251572,1.65854,1.85366,4.68293,4.73171
900,UOX,0,0,0.677149,14.6829,0.677149,0.761006,0.616352,0.668763,10.9268,13.0244,13.9512,14
950,UOX,0,0,0.610063,14.9268,0.708595,0.744235,0.643606,0.631027,12.0976,13.1707,13.8537,15.3171
1000,UOX,0,0,0.637317,13.7561,0.639413,0.704403,0.607966,0.578616,11.2683,12.4878,13.0732,13.2683
1050,UOX,0,1,0.647799,14.878,0.639413,0.794549,0.620545,0.637317,9.80488,14,14.0488,15.8049
1100,UOX,0,0,0.641509,14.1463,0.647799,0.714885,0.616352,0.597484,10.4878,12.2439,14.2439,12.8293
1150,UOX,0,0,0.637317,14,0.63522,0.746331,0.643606,0.591195,10.1951,11.8537,13.8049,13.4146
1200,UOX,0,0,0.622642,14.9268,0.672956,0.740042,0.641509,0.549266,11.3659,12.6829,14.6829,14.439
1250,UOX,0,0,0.628931,14.1463,0.708595,0.727463,0.620545,0.57652,11.7073,12.0488,12.7805,13.3659
1300,UOX,0,1,0.612159,14.5366,0.685535,0.752621,0.616352,0.641509,10.7805,12.6829,14.0976,15.0732
1350,UOX,0,0,0.638075,14,0.648536,0.797071,0.573222,0.644351,10.5366,14.0488,13.8537,15.4146
1400,UOX,0,0,0.63522,14.0976,0.651992,0.750524,0.603774,0.616352,11.3171,12.0976,13.9024,13.1707
1450,UOX,0,0,0.633124,14.439,0.681342,0.756813,0.641509,0.593291,11.6098,12.4878,14.1951,13.4146
1500,UOX,0,0,0.620545,13.7561,0.666667,0.714885,0.597484,0.616352,10.7317,11.6585,13.9512,12.9268
1550,UOX,0,0,0.610063,14.3415,0.710692,0.735849,0.668763,0.616352,11.0732,11.8049,14.8293,14.5366
1600,UOX,0,0,0.626834,14.6341,0.706499,0.744235,0.610063,0.616352,13.2683,11.6098,14.5854,14.1463
1650,UOX,0,0,0.658281,16.2439,0.706499,0.735849,0.63522,0.658281,12.9268,11.8537,14.2927,15.5122
1700,UOX,0,0,0.584906,14.1951,0.666667,0.733753,0.637317,0.607966,11.9024,12.2927,13.2683,13.6098
1750,UOX,0,0,0.612159,14,0.637317,0.746331,0.637317,0.641509,9.5122,13.7561,14.1951,14.6341
1800,UOX,0,1,0.599581,13.6585,0.696017,0.72956,0.601677,0.628931,12,12.0488,14.2927,15.122
1850,UOX,0,0,0.616352,14.4878,0.696017,0.733753,0.654088,0.641509,11.3659,12.0488,15.0732,14.878
1900,UOX,0,0,0.645702,15.122,0.66457,0.75891,0.654088,0.607966,11.2195,12.9756,14.6341,13.7561
1950,UOX,0,0,0.654088,15.2683,0.677149,0.725367,0.63522,0.631027,11.5122,12.2439,15.122,13.8537
2000,UOX,0,0,0.591195,14.5854,0.66457,0.750524,0.578616,0.618449,11.4146,12.7805,14.439,14.4878
