iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,GLOX,0,1,0.603636,5.09677,0.301818,0.323636,0.407273,0.352727,2.62366,2.75269,3.31183,2.88172
50,GLOX,0,0,0.636364,5.78495,0.301818,0.354545,0.403636,0.385455,2.7957,3.2043,3.93548,3.13978
100,GLOX,0,0,0.628415,5.48387,0.311475,0.357013,0.378871,0.408015,2.73118,3.35484,3.11828,3.63441
150,GLOX,0,0,0.453552,3.95699,0.291439,0.205829,0.393443,0.202186,2.75269,1.63441,3.50538,1.6129
200,GLOX,0,0,0.601093,5.44086,0.278689,0.35337,0.35337,0.382514,2.68817,2.98925,3.41935,3.22581
250,GLOX,0,0,0.593807,5.6129,0.284153,0.35337,0.362477,0.375228,2.49462,3.44086,3.01075,3.46237
300,GLOX,0,0,0.579235,5.09677,0.278689,0.318761,0.318761,0.351548,2.45161,2.8172,2.73118,3.03226
350,GLOX,0,0,0.515483,4.62366,0.222222,0.335155,0.249545,0.373406,1.80645,3.31183,1.95699,3.35484
400,GLOX,0,0,0.48816,4.12903,0.180328,0.344262,0.264117,0.360656,1.35484,3.07527,2.23656,3.35484
450,GLOX,0,0,0.632058,5.29032,0.315118,0.362477,0.405109,0.385036,2.77419,3.09677,3.6129,3.44086
500,GLOX,0,0,0.593807,5.01075,0.311475,0.322404,0.347905,0.371585,2.64516,2.70968,2.86022,3.07527
550,GLOX,0,0,0.367942,3.29032,0.284153,0.0965392,0.291439,0.120219,2.60215,0.795699,2.70968,0.924731
600,GLOX,0,0,0.382514,3.39785,0.0983607,0.344262,0.202186,0.375228,0.924731,3.03226,1.69892,3.05376
650,GLOX,0,0,0.499089,4.10753,0.278689,0.251366,0.322404,0.296903,2.17204,2.23656,2.53763,2.49462
700,GLOX,0,0,0.63388,5.2043,0.326047,0.322404,0.333333,0.35337,2.73118,2.55914,2.8172,2.7957
750,GLOX,0,0,0.632058,5.52688,0.307832,0.346084,0.289617,0.369763,2.68817,3.05376,2.49462,3.24731
800,GLOX,0,0,0.513661,4.58065,0.29326,0.258652,0.327869,0.296903,2.55914,2.27957,2.96774,2.36559
850,GLOX,0,0,0.559199,5.1828,0.285974,0.300546,0.373406,0.346084,2.77419,2.77419,3.35484,3.13978
900,GLOX,0,1,0.621129,5.35484,0.333333,0.326047,0.340619,0.371585,2.8172,2.83871,2.96774,3.13978
950,GLOX,0,0,0.466302,4.17204,0.276867,0.224044,0.300546,0.234973,2.53763,1.84946,2.77419,1.91398
1000,GLOX,0,0,0.500911,4.32258,0.302368,0.236794,0.386157,0.240437,2.73118,1.95699,3.35484,2
1050,GLOX,0,0,0.51184,4.55914,0.209472,0.333333,0.291439,0.362477,1.63441,3.13978,2.51613,3.24731
1100,GLOX,0,1,0.455373,4.08602,0.24408,0.238616,0.269581,0.302368,2.47312,2,2.55914,2.49462
1150,GLOX,0,0,0.477231,4.12903,0.291439,0.198543,0.298725,0.256831,2.62366,1.69892,2.64516,2.02151
1200,GLOX,0,0,0.391621,2.98925,0.12204,0.296903,0.187614,0.324226,0.88172,2.25806,1.65591,2.53763
1250,GLOX,0,0,0.601093,5.44086,0.287796,0.336976,0.375228,0.378871,2.62366,3.01075,3.39785,3.1828
1300,GLOX,0,0,0.534545,4.77419,0.289617,0.273224,0.375228,0.287796,2.73118,2.49462,3.1828,2.53763
1350,GLOX,0,0,0.584699,5.26882,0.26776,0.35337,0.320583,0.398907,2.60215,3.03226,3.03226,3.52688
1400,GLOX,1,1,0.489982,4.58065,0.23133,0.26776,0.236794,0.253188,2.10753,2.51613,2.19355,2.36559
1450,GLOX,0,0,0,0,0,0,0,0,0,0,0,0
1500,GLOX,0,0,0.555556,4.75269,0.269581,0.32969,0.346084,0.371585,2.36559,2.92473,3.01075,3.22581
1550,GLOX,0,0,0.570128,4.68817,0.302368,0.29326,0.382514,0.295082,2.55914,2.25806,3.11828,2.4086
1600,GLOX,0,0,0.156648,1.1828,0.0819672,0.0819672,0.129326,0.0965392,0.623656,0.688172,1.03226,0.903226
1650,GLOX,0,0,0.577413,5.11828,0.298725,0.311475,0.377049,0.333333,2.47312,2.88172,3.2043,3.03226
1700,GLOX,0,0,0.551913,4.88172,0.26776,0.298725,0.284153,0.311475,2.25806,2.75269,2.34409,2.88172
1750,GLOX,0,0,0.593807,5.22581,0.29326,0.346084,0.349727,0.35337,2.53763,3.07527,2.92473,3.05376
1800,GLOX,0,0,0.570128,5.03226,0.278689,0.295082,0.309654,0.304189,2.3871,2.66667,2.55914,2.75269
1850,GLOX,0,0,0.515483,4.34409,0.291439,0.236794,0.304189,0.271403,2.4086,1.97849,2.51613,2.23656
1900,GLOX,0,1,0.559199,5.01075,0.275046,0.306011,0.273224,0.311475,2.4086,2.75269,2.36559,2.8172
1950,GLOX,0,0,0.515483,4.43011,0.287796,0.258652,0.355191,0.265938,2.51613,2.30108,2.94624,2.32258
2000,GLOX,0,1,0.526412,4.73118,0.251366,0.306011,0.28051,0.31694,2.30108,2.83871,2.55914,2.98925
2050,GLOX,0,0,0.535519,4.45161,0.236794,0.322404,0.233151,0.336976,1.89247,2.68817,1.84946,2.75269
2100,GLOX,0,0,0.380692,3.37634,0.0856102,0.322404,0.12204,0.309654,0.795699,2.92473,0.946237,2.86022
2150,GLOX,0,0,0.570128,5.07527,0.287796,0.311475,0.336976,0.31694,2.68817,2.62366,3.03226,2.70968
2200,GLOX,0,0,0.484517,4.25806,0.247723,0.26776,0.344262,0.291439,2.45161,2.15054,3.13978,2.25806
2250,GLOX,0,0,0.557377,4.73118,0.271403,0.307832,0.307832,0.340619,2.3871,2.64516,2.66667,2.8172
2300,GLOX,0,0,0.513661,4.51613,0.284153,0.260474,0.327869,0.273224,2.51613,2.3871,2.86022,2.49462
2350,GLOX,0,0,0.601093,5.09677,0.311475,0.315118,0.326047,0.336976,2.60215,2.8172,2.70968,2.7957
2400,GLOX,0,0,0.382514,3.41935,0.282332,0.120219,0.32969,0.143898,2.68817,0.967742,2.94624,1.07527
2450,GLOX,0,0,0.630237,5.13978,0.327869,0.327869,0.408015,0.367942,2.73118,2.64516,3.31183,2.83871
2500,GLOX,0,0,0.590164,4.96774,0.302368,0.31694,0.324226,0.333333,2.64516,2.68817,2.88172,2.75269
2550,GLOX,0,0,0.564663,4.88172,0.278689,0.31694,0.304189,0.344262,2.47312,2.68817,2.66667,2.86022
2600,GLOX,0,0,0.544627,4.7957,0.278689,0.306011,0.3898,0.318761,2.21505,3.03226,3.07527,2.98925
2650,GLOX,0,0,0.590164,5.26882,0.289617,0.346084,0.318761,0.347905,2.62366,3.07527,3.01075,3.16129
2700,GLOX,1,1,0.377049,3.33333,0.251366,0.136612,0.247723,0.134791,2.15054,1.22581,2.12903,1.22581
2750,GLOX,0,0,0.234973,1.74194,0.0546448,0.218579,0.0801457,0.233151,0.408602,1.72043,0.795699,2
2800,GLOX,0,0,0.550091,4.70968,0.302368,0.247723,0.304189,0.278689,2.55914,2.15054,2.55914,2.47312
2850,GLOX,0,0,0.240437,1.87097,0.0655738,0.233151,0.129326,0.262295,0.602151,1.87097,1.09677,2.10753
2900,GLOX,0,1,0.338798,2.51613,0.234973,0.131148,0.256831,0.129326,1.80645,0.924731,1.89247,0.903226
2950,GLOX,0,0,0.369763,2.98925,0.0910747,0.300546,0.154827,0.322404,0.752688,2.55914,1.16129,2.55914
3000,GLOX,0,0,0.413479,3.1828,0.218579,0.213115,0.253188,0.220401,1.5914,1.67742,2,1.63441
3050,GLOX,0,1,0.540984,4.58065,0.271403,0.298725,0.275046,0.32969,2.30108,2.45161,2.30108,2.64516
3100,GLOX,0,0,0.311475,2.60215,0.0692168,0.258652,0.111111,0.282332,0.623656,2.4086,0.752688,2.43011
3150,GLOX,1,0,0.309654,2.75269,0.0510018,0.258652,0.0418944,0.26776,0.408602,2.34409,0.365591,2.3871
3200,GLOX,1,1,0,0,0,0,0,0,0,0,0,0
3250,GLOX,1,1,0.506375,4.58065,0.247723,0.265938,0.247723,0.269581,2.17204,2.45161,2.21505,2.51613
3300,GLOX,0,0,0.522769,4.55914,0.23133,0.307832,0.23133,0.336976,2.08602,2.58065,2.08602,2.73118
3350,GLOX,0,0,0.227687,1.74194,0.0928962,0.156648,0.107468,0.165756,0.645161,1.29032,0.774194,1.24731
3400,GLOX,0,0,0.533698,4.86022,0.265938,0.315118,0.282332,0.320583,2.34409,2.88172,2.45161,2.92473
3450,GLOX,0,0,0.282332,2.32258,0.236794,0.0473588,0.238616,0.0455373,1.95699,0.365591,1.95699,0.365591
3500,GLOX,1,0,0.282332,2.10753,0.0637523,0.222222,0.0564663,0.240437,0.430108,1.72043,0.408602,1.78495
3550,GLOX,0,0,0.418944,3.63441,0.174312,0.282569,0.262868,0.286765,1.80645,2.58065,2.64516,2.64516
3600,GLOX,0,0,0.344954,3.22581,0.0733945,0.278899,0.0715596,0.300917,0.516129,2.75269,0.516129,2.90323
3650,GLOX,0,0,0.593066,5.26882,0.290146,0.332117,0.324818,0.354015,2.49462,3.09677,2.90323,3.39785
3700,GLOX,0,0,0.585766,5.22581,0.298725,0.309654,0.35337,0.320583,2.75269,2.73118,3.22581,2.66667
3750,GLOX,1,1,0.229508,1.87097,0.229508,0,0.229508,0,1.87097,0,1.87097,0
3800,GLOX,0,0,0.535519,4.53763,0.255474,0.284672,0.264599,0.304745,2.23656,2.36559,2.25806,2.55914
3850,GLOX,0,0,0.357013,3.26882,0.0746812,0.307832,0.0928962,0.349727,0.602151,2.86022,0.666667,3.09677
3900,GLOX,0,0,0.54927,4.66667,0.259124,0.313869,0.322993,0.326642,2.19355,2.7957,2.8172,2.8172
3950,GLOX,0,1,0.588342,5.03226,0.289617,0.311475,0.296903,0.322404,2.45161,2.66667,2.47312,2.75269
4000,GLOX,0,0,0.566485,4.62366,0.284153,0.320583,0.364299,0.349727,2.43011,2.53763,3.16129,2.70968
4050,GLOX,0,0,0.404372,3.69892,0.179159,0.243144,0.272059,0.253676,1.74194,2.17204,2.77419,1.93548
4100,GLOX,0,0,0.473588,3.93548,0.290146,0.235401,0.424908,0.250916,2.58065,1.97849,3.76344,2.25806
4150,GLOX,0,0,0.553734,4.77419,0.26776,0.306011,0.371585,0.346084,2.34409,2.66667,3.07527,3.01075
4200,GLOX,0,0,0.595628,5.01075,0.304189,0.315118,0.336976,0.373406,2.60215,2.8172,3.07527,3.37634
4250,GLOX,0,0,0.542805,4.94624,0.284153,0.264117,0.278689,0.284153,2.60215,2.36559,2.51613,2.49462
4300,GLOX,0,0,0.581056,5.09677,0.273224,0.344262,0.391621,0.406193,2.62366,2.90323,3.65591,3.24731
4350,GLOX,0,0,0.32969,2.75269,0.256831,0.0765027,0.258652,0.0783242,2.17204,0.602151,2.17204,0.623656
4400,GLOX,0,0,0.602914,5.05376,0.320583,0.302368,0.346084,0.300546,2.58065,2.70968,2.75269,2.62366
4450,GLOX,1,0,0.315118,2.4086,0.0765027,0.240437,0.102377,0.250457,0.580645,1.82796,0.903226,2.04301
4500,GLOX,0,0,0.584699,5.29032,0.29927,0.321168,0.334552,0.358318,2.86022,2.88172,3.33333,3.44086
4550,GLOX,0,0,0.313297,2.32258,0.20765,0.10929,0.220401,0.118397,1.6129,0.731183,1.74194,0.83871
4600,GLOX,1,1,0.469945,3.74194,0.23133,0.24408,0.218579,0.264117,1.93548,1.82796,1.87097,1.95699
4650,GLOX,0,0,0.564663,5.11828,0.275046,0.324226,0.319343,0.414234,2.73118,2.75269,3.05376,3.35484
4700,GLOX,0,0,0.571949,5.11828,0.269581,0.342441,0.396709,0.330896,2.3871,3.07527,3.63441,3.26882
4750,GLOX,0,0,0.564663,5.11828,0.265938,0.31694,0.311475,0.31694,2.66667,2.60215,3.01075,2.62366
4800,GLOX,0,1,0.506375,4.23656,0.204007,0.304189,0.205829,0.313297,1.5914,2.66667,1.54839,2.75269
4850,GLOX,0,1,0.416364,3.52688,0.229091,0.229091,0.291439,0.253188,1.97849,1.84946,2.60215,2.06452
4900,GLOX,0,0,0.465328,3.93548,0.218978,0.273723,0.242701,0.301095,2.06452,2.19355,2.21505,2.34409
4950,GLOX,0,0,0.373406,3.1828,0.249545,0.127505,0.290146,0.138686,2.12903,1.07527,2.55914,1.35484
5000,GLOX,0,0,0.467153,3.5914,0.217153,0.273723,0.29927,0.313869,1.67742,2.12903,2.49462,2.43011
5050,GLOX,0,0,0.520947,4.55914,0.214936,0.340619,0.287796,0.346084,1.80645,3.01075,2.49462,3.09677
5100,GLOX,1,1,0.459016,3.78495,0.213115,0.245902,0.213115,0.245902,1.74194,2.02151,1.74194,2.02151
5150,GLOX,0,1,0.486339,4,0.245902,0.260474,0.282332,0.313297,2.15054,2.06452,2.53763,2.34409
