iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,LOX,0,1,0.62,5.35484,0.605455,0.0763636,0.623636,0.158182,5.31183,0.666667,5.33333,1.31183
50,LOX,0,1,0.635701,5.46237,0.391621,0.302368,0.440801,0.408015,3.35484,2.92473,3.76344,3.69892
100,LOX,0,0,0.630237,5.74194,0.428051,0.249545,0.522769,0.29326,3.91398,2.4086,4.68817,2.68817
150,LOX,0,0,0.622951,5.69892,0.315118,0.344262,0.500911,0.431694,2.96774,3.13978,4.43011,3.74194
200,LOX,0,0,0.542805,4.64516,0.347905,0.224044,0.431694,0.256831,2.8172,2.12903,3.44086,2.3871
250,LOX,0,0,0.619308,5.74194,0.167577,0.510018,0.202186,0.533698,1.39785,4.77419,1.89247,5.03226
300,LOX,0,0,0.628415,5.87097,0.435337,0.240437,0.479053,0.306011,4.10753,2.23656,4.47312,2.55914
350,LOX,0,0,0.626594,5.63441,0.435337,0.224044,0.43898,0.346084,3.91398,2.10753,3.76344,3.16129
400,LOX,0,0,0.612022,5.50538,0.336976,0.327869,0.367942,0.431694,2.94624,3.07527,3.33333,3.87097
450,LOX,0,1,0.6102,5.48387,0.453552,0.202186,0.484517,0.287796,4.17204,1.84946,4.27957,2.43011
500,LOX,0,1,0.579235,5.24731,0.411658,0.211293,0.493625,0.262295,3.74194,1.89247,4.4086,2.34409
550,LOX,0,0,0.601093,5.31183,0.520947,0.125683,0.593807,0.209472,4.62366,1.24731,5.07527,1.89247
600,LOX,0,0,0.515483,4.60215,0.377049,0.191257,0.45173,0.242259,3.44086,1.65591,3.95699,2.08602
650,LOX,0,0,0.630237,5.52688,0.510018,0.185792,0.615665,0.285974,4.45161,1.69892,5.03226,2.73118
700,LOX,0,0,0.571949,5.16129,0.173042,0.429872,0.211293,0.468124,1.5914,3.89247,1.91398,4.04301
750,LOX,0,1,0.526412,4.51613,0.220401,0.313297,0.324226,0.342441,1.89247,2.66667,2.73118,2.8172
800,LOX,0,0,0.581056,5.24731,0.213115,0.406193,0.300546,0.482696,2.06452,3.52688,2.77419,4.15054
850,LOX,0,0,0.562842,4.88172,0.391621,0.213115,0.440801,0.276867,3.46237,1.89247,3.65591,2.4086
900,LOX,0,0,0.579235,5.07527,0.218579,0.413479,0.271403,0.495446,2.15054,3.52688,2.49462,4
950,LOX,0,0,0.54827,4.88172,0.433515,0.173042,0.493625,0.204007,3.89247,1.63441,4.12903,1.72043
1000,LOX,0,0,0.550091,4.70968,0.360656,0.20765,0.355191,0.20765,3.07527,1.76344,2.98925,1.76344
1050,LOX,0,0,0.577413,5.13978,0.20765,0.415301,0.20765,0.486339,1.89247,3.65591,2.08602,4.27957
1100,LOX,0,1,0.550091,4.8172,0.418944,0.173042,0.453552,0.205829,3.72043,1.50538,3.93548,1.74194
1150,LOX,0,0,0.582878,5.29032,0.375228,0.256831,0.446266,0.35337,3.37634,2.3871,3.76344,3.22581
1200,LOX,0,0,0.559199,5.05376,0.544627,0.0455373,0.56102,0.0619308,4.90323,0.473118,5.09677,0.430108
1250,LOX,0,0,0.606557,5.33333,0.602914,0.0163934,0.582878,0.0637523,5.35484,0.107527,5.24731,0.451613
1300,LOX,0,0,0.584699,5.09677,0.265938,0.382514,0.285974,0.459016,2.32258,3.22581,2.51613,3.76344
1350,LOX,1,1,0,0,0,0,0,0,0,0,0,0
1400,LOX,0,0,0.602914,5.11828,0.593807,0.0255009,0.602914,0.0145719,5.05376,0.215054,5.11828,0.150538
1450,LOX,0,1,0.444444,3.91398,0.253188,0.236794,0.32969,0.282332,2.10753,2.25806,2.77419,2.51613
1500,LOX,0,0,0.546448,4.70968,0.491803,0.0910747,0.559199,0.138434,4.27957,0.774194,4.60215,1.07527
1550,LOX,0,0,0.200364,1.65591,0.169399,0.0728597,0.20765,0.169399,1.56989,0.55914,1.78495,1.56989
1600,LOX,0,0,0.588342,5.35484,0.515483,0.114754,0.553734,0.245902,4.77419,1.03226,5.07527,2.12903
1650,LOX,0,0,0.590164,5.2043,0.571949,0.0765027,0.566485,0.143898,4.98925,0.688172,4.94624,1.16129
1700,LOX,0,1,0.568306,5.09677,0.269581,0.309654,0.275046,0.32969,2.51613,2.66667,2.55914,2.90323
