iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,GLOX,0,0,0.5,2.27778,0.269841,0.285714,0.293651,0.277778,1.16667,1.44444,1.33333,1.16667
50,GLOX,0,0,0.362205,1.94444,0.212598,0.181102,0.228346,0.228346,1.05556,0.944444,1.22222,1.22222
100,GLOX,0,0,0.531746,2.66667,0.261905,0.373016,0.325397,0.404762,1.16667,1.77778,1.55556,2
150,GLOX,0,0,0.293651,1.55556,0.269841,0.111111,0.365079,0.198413,1.38889,0.722222,2,1.11111
200,GLOX,0,0,0.452381,2.27778,0.206349,0.301587,0.34127,0.293651,0.777778,1.72222,1.55556,1.55556
250,GLOX,1,0,0.468254,2.27778,0.238095,0.246032,0.238095,0.246032,0.944444,1.44444,0.944444,1.44444
300,GLOX,0,0,0.380952,1.88889,0.119048,0.261905,0.119048,0.261905,0.5,1.38889,0.5,1.38889
350,GLOX,0,0,0.484127,2.33333,0.325397,0.269841,0.5,0.293651,1.5,1.33333,2.61111,1.72222
400,GLOX,0,0,0.357143,2,0.190476,0.230159,0.166667,0.277778,0.944444,1.33333,0.777778,1.61111
450,GLOX,1,0,0.111111,0.5,0.111111,0,0.126984,0.015873,0.5,0,0.611111,0.111111
500,GLOX,0,0,0.460317,2.33333,0.277778,0.325397,0.253968,0.285714,1.44444,1.5,1.33333,1.44444
550,GLOX,0,0,0.5,2.5,0.261905,0.325397,0.31746,0.285714,1.22222,1.77778,1.44444,1.72222
600,GLOX,0,0,0.238095,1.22222,0.150794,0.18254,0.206349,0.166667,0.722222,0.833333,0.944444,0.944444
650,GLOX,0,0,0.253968,1.22222,0.166667,0.150794,0.246032,0.190476,0.777778,0.611111,1.22222,0.888889
700,GLOX,0,0,0.34127,1.72222,0.150794,0.230159,0.198413,0.238095,0.666667,1.16667,0.833333,1.33333
750,GLOX,0,0,0.301587,1.44444,0.174603,0.190476,0.190476,0.111111,0.722222,0.833333,0.944444,0.5
800,GLOX,1,0,0.261905,1.27778,0.015873,0.246032,0.031746,0.238095,0.0555556,1.22222,0.166667,1.22222
850,GLOX,0,1,0.285714,1.5,0.166667,0.190476,0.174603,0.190476,0.666667,1.05556,0.833333,1.16667
900,GLOX,0,0,0.285714,1.61111,0.150794,0.174603,0.142857,0.18254,0.888889,0.833333,0.888889,0.888889
950,GLOX,1,0,0.103175,0.555556,0,0.103175,0.015873,0.0873016,0,0.555556,0.111111,0.444444
1000,GLOX,0,0,0.142857,0.666667,0.031746,0.111111,0.031746,0.111111,0.166667,0.5,0.166667,0.5
1050,GLOX,0,0,0.0714286,0.333333,0.0396825,0.0714286,0,0.0714286,0.111111,0.333333,0,0.333333
1100,GLOX,0,0,0.31746,1.44444,0.230159,0.230159,0.285714,0.230159,1.05556,0.833333,1.38889,0.944444
1150,GLOX,1,1,0.111111,0.555556,0,0.111111,0,0.111111,0,0.555556,0,0.555556
1200,GLOX,1,1,0.134921,0.5,0,0.134921,0,0.134921,0,0.5,0,0.5
1250,GLOX,1,0,0.388889,1.88889,0.166667,0.277778,0.119048,0.293651,0.833333,1.27778,0.611111,1.44444
1300,GLOX,1,0,0.015873,0.111111,0,0.015873,0.015873,0,0,0.111111,0.111111,0
1350,GLOX,0,1,0.230159,1,0.18254,0.126984,0.214286,0.15873,0.722222,0.611111,0.833333,0.722222
1400,GLOX,0,1,0.198413,1.11111,0.150794,0.047619,0.166667,0.031746,0.833333,0.277778,0.944444,0.166667
1450,GLOX,0,1,0.293651,1.5,0.111111,0.261905,0.222222,0.301587,0.555556,1.38889,1.16667,1.5
1500,GLOX,0,0,0.293651,1.72222,0.134921,0.190476,0.119048,0.174603,0.722222,1.11111,0.666667,1.05556
1550,GLOX,0,0,0.277778,1.38889,0.15873,0.214286,0.166667,0.246032,0.722222,1.22222,0.722222,1.33333
1600,GLOX,0,0,0.142857,0.666667,0.031746,0.111111,0.031746,0.111111,0.166667,0.5,0.166667,0.5
1650,GLOX,1,1,0.206349,1.05556,0.18254,0.031746,0.206349,0,0.944444,0.166667,1.05556,0
1700,GLOX,1,1,0.166667,0.888889,0.166667,0.015873,0.166667,0,0.888889,0.0555556,0.888889,0
1750,GLOX,0,0,0.349206,1.88889,0.15873,0.261905,0.206349,0.238095,0.833333,1.44444,1.16667,1.44444
1800,GLOX,1,0,0.126984,0.611111,0.015873,0.134921,0.015873,0.111111,0.0555556,0.611111,0.111111,0.5
1850,GLOX,1,1,0.325397,1.61111,0.0873016,0.238095,0.103175,0.222222,0.444444,1.16667,0.555556,1.05556
1900,GLOX,0,1,0.222222,1.16667,0.119048,0.103175,0.134921,0.0873016,0.666667,0.5,0.777778,0.388889
1950,GLOX,0,0,0.277778,1.44444,0.119048,0.15873,0.119048,0.15873,0.666667,0.777778,0.666667,0.777778
2000,GLOX,0,0,0.174603,0.833333,0.111111,0.0634921,0.119048,0.0873016,0.611111,0.222222,0.611111,0.333333
2050,GLOX,0,1,0.277778,1.55556,0.0793651,0.214286,0.0793651,0.198413,0.388889,1.27778,0.388889,1.16667
2100,GLOX,1,1,0.230159,1.16667,0.134921,0.134921,0.119048,0.111111,0.722222,0.555556,0.666667,0.5
2150,GLOX,1,0,0.261905,1.44444,0.0793651,0.198413,0.0793651,0.198413,0.333333,1.16667,0.388889,1.16667
2200,GLOX,0,1,0.285714,1.5,0.0634921,0.238095,0,0.285714,0.333333,1.16667,0,1.5
2250,GLOX,1,1,0,0,0,0,0,0,0,0,0,0
2300,GLOX,0,1,0.0952381,0.444444,0.0952381,0,0.111111,0.015873,0.444444,0,0.555556,0.111111
2350,GLOX,1,0,0.333333,2,0.126984,0.230159,0.15873,0.190476,0.722222,1.33333,0.944444,1.16667
2400,GLOX,1,0,0.206349,1.05556,0.134921,0.103175,0.134921,0.103175,0.722222,0.444444,0.777778,0.5
2450,GLOX,0,1,0.214286,1.05556,0.111111,0.126984,0.190476,0.134921,0.444444,0.611111,0.944444,0.777778
2500,GLOX,1,0,0.261905,1.44444,0.111111,0.206349,0.0952381,0.174603,0.5,1.11111,0.5,0.944444
2550,GLOX,1,0,0.18254,1,0.142857,0.0555556,0.166667,0.015873,0.833333,0.222222,0.944444,0.0555556
2600,GLOX,0,0,0.134921,0.722222,0.134921,0,0.134921,0,0.722222,0,0.722222,0
2650,GLOX,1,0,0.246032,1.22222,0,0.246032,0.015873,0.238095,0,1.22222,0.111111,1.11111
2700,GLOX,0,1,0.206349,1,0.0793651,0.126984,0.0952381,0.111111,0.388889,0.611111,0.5,0.5
2750,GLOX,0,0,0.333333,1.66667,0.134921,0.253968,0.214286,0.246032,0.555556,1.27778,1.11111,1.44444
2800,GLOX,0,0,0.111111,0.444444,0.047619,0.103175,0.047619,0.111111,0.222222,0.444444,0.222222,0.5
2850,GLOX,0,1,0.277778,1.33333,0.111111,0.18254,0.126984,0.190476,0.555556,0.777778,0.666667,0.833333
2900,GLOX,0,1,0.111111,0.555556,0,0.111111,0.015873,0.0952381,0,0.555556,0.111111,0.444444
2950,GLOX,0,0,0.238095,1.16667,0.126984,0.111111,0.126984,0.111111,0.666667,0.5,0.666667,0.5
3000,GLOX,0,0,0.293651,1.72222,0.134921,0.190476,0.119048,0.174603,0.722222,1.11111,0.666667,1.05556
3050,GLOX,0,1,0.253968,1.44444,0.15873,0.111111,0.18254,0.119048,0.833333,0.611111,1,0.666667
3100,GLOX,1,1,0.285714,1.27778,0.111111,0.198413,0.0634921,0.222222,0.555556,0.888889,0.277778,1
