iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,GOX,0,0,0.436508,2.11111,0.34127,0.150794,0.420635,0.0873016,1.66667,0.777778,2.11111,0.444444
50,GOX,0,0,0.511811,2.5,0.370079,0.291339,0.452381,0.301587,1.83333,1.44444,2.27778,1.38889
100,GOX,0,0,0.531746,2.77778,0.484127,0.0555556,0.531746,0,2.55556,0.277778,2.77778,0
150,GOX,0,0,0.436508,2.22222,0.452381,0.015873,0.373016,0.0952381,2.27778,0.0555556,1.94444,0.388889
200,GOX,0,0,0.452381,1.77778,0.373016,0.18254,0.388889,0.166667,1.38889,0.944444,1.38889,0.777778
250,GOX,0,0,0,0,0,0,0.0396825,0.0396825,0,0,0.111111,0.111111
300,GOX,0,0,0.420635,2,0.174603,0.468254,0.18254,0.468254,0.777778,2.16667,0.888889,2.22222
350,GOX,0,0,0.357143,1.94444,0.214286,0.277778,0.277778,0.373016,1.27778,1.33333,1.44444,2
400,GOX,0,0,0.190476,0.944444,0.119048,0.142857,0.0634921,0.126984,0.611111,0.5,0.388889,0.555556
450,GOX,0,1,0.452381,2,0.396825,0.0714286,0.468254,0.134921,1.88889,0.277778,2.11111,0.777778
500,GOX,0,0,0.388889,1.88889,0.349206,0.412698,0.206349,0.380952,1.72222,1.77778,1.16667,1.83333
550,GOX,0,0,0.333333,1.72222,0.119048,0.261905,0.230159,0.34127,0.5,1.33333,1,1.83333
600,GOX,1,0,0.261905,1.55556,0.230159,0.031746,0.246032,0.047619,1.38889,0.166667,1.5,0.277778
650,GOX,0,0,0.198413,1,0.214286,0.0396825,0.269841,0.0714286,1,0.166667,1.16667,0.166667
700,GOX,0,0,0.31746,1.5,0.111111,0.325397,0.111111,0.253968,0.666667,1.5,0.611111,1.38889
750,GOX,0,0,0.0793651,0.277778,0.0793651,0,0.0793651,0,0.277778,0,0.277778,0
800,GOX,0,0,0.333333,1.61111,0.293651,0.174603,0.325397,0.119048,1.33333,0.833333,1.5,0.611111
850,GOX,0,0,0.47619,2.27778,0.333333,0.293651,0.325397,0.373016,1.5,1.38889,1.55556,2
900,GOX,0,1,0.222222,0.888889,0.214286,0.0873016,0.246032,0.198413,0.888889,0.388889,1.16667,0.944444
950,GOX,0,0,0.174603,0.777778,0.142857,0.0714286,0.150794,0.0555556,0.666667,0.222222,0.666667,0.222222
1000,GOX,0,0,0.309524,1.27778,0.15873,0.18254,0.230159,0.206349,0.722222,0.666667,1.05556,0.833333
1050,GOX,0,0,0.126984,0.666667,0.206349,0.15873,0.34127,0.293651,1.38889,1.16667,1.66667,1.44444
1100,GOX,0,0,0.420635,2.38889,0.31746,0.174603,0.333333,0.166667,1.72222,0.944444,1.66667,0.888889
1150,GOX,0,0,0,0,0.142857,0.142857,0.134921,0.134921,0.722222,0.722222,0.611111,0.611111
1200,GOX,0,1,0.126984,0.5,0.166667,0.0396825,0.198413,0.0714286,0.666667,0.166667,0.888889,0.388889
1250,GOX,0,0,0.238095,1.33333,0.0952381,0.253968,0.0793651,0.269841,0.444444,1.44444,0.388889,1.55556
1300,GOX,0,0,0.349206,1.61111,0.126984,0.293651,0.15873,0.301587,0.388889,1.5,0.555556,1.44444
1350,GOX,0,1,0.126984,0.5,0.190476,0.0634921,0.198413,0.0714286,0.722222,0.222222,0.888889,0.388889
1400,GOX,0,1,0.5,2.44444,0.365079,0.269841,0.365079,0.277778,1.55556,1.38889,1.44444,1.5
1450,GOX,0,0,0.5,2.5,0.404762,0.206349,0.428571,0.238095,2.11111,0.888889,2.16667,0.888889
1500,GOX,0,0,0.214286,1.05556,0.230159,0.015873,0.325397,0.230159,1.11111,0.0555556,1.61111,1.27778
1550,GOX,0,1,0.277778,1.38889,0.126984,0.309524,0.15873,0.325397,0.611111,1.33333,0.944444,1.66667
1600,GOX,0,1,0.34127,1.77778,0.0952381,0.365079,0.0396825,0.365079,0.388889,1.83333,0.222222,1.88889
1650,GOX,0,0,0.246032,1.27778,0.373016,0.15873,0.428571,0.34127,1.72222,0.611111,2.05556,1.83333
1700,GOX,0,1,0.420635,2.05556,0.31746,0.238095,0.396825,0.380952,1.55556,1.16667,1.88889,1.94444
1750,GOX,0,0,0.015873,0.111111,0.0555556,0.0396825,0.0873016,0.103175,0.333333,0.222222,0.5,0.611111
1800,GOX,0,0,0.507937,2.5,0.5,0.0714286,0.507937,0.150794,2.5,0.444444,2.61111,0.944444
1850,GOX,0,0,0.325397,1.61111,0.198413,0.246032,0.261905,0.373016,0.888889,1.16667,1.33333,1.77778
1900,GOX,0,0,0.31746,1.66667,0.277778,0.222222,0.325397,0.261905,1.27778,1.38889,1.77778,1.22222
1950,GOX,0,0,0.301587,1.66667,0.269841,0.150794,0.325397,0.261905,1.33333,0.722222,1.5,1.22222
2000,GOX,1,0,0.412698,2,0.293651,0.142857,0.365079,0.0793651,1.5,0.611111,1.88889,0.333333
2050,GOX,0,0,0.373016,2.11111,0.0396825,0.412698,0.111111,0.34127,0.166667,2.27778,0.5,2.05556
2100,GOX,0,0,0.0793651,0.388889,0.150794,0.150794,0.238095,0.246032,0.666667,0.666667,1.11111,1.16667
2150,GOX,0,0,0.277778,1.55556,0.309524,0.103175,0.404762,0.206349,1.88889,0.5,2.11111,0.944444
2200,GOX,1,1,0.230159,1.05556,0.246032,0.015873,0.230159,0,1.11111,0.0555556,1.05556,0
2250,GOX,0,1,0.396825,2.05556,0.277778,0.253968,0.230159,0.365079,1.38889,1.27778,1.22222,1.66667
2300,GOX,0,1,0.150794,0.666667,0.134921,0.166667,0.150794,0.190476,0.5,0.666667,0.777778,1
2350,GOX,0,0,0.412698,1.94444,0.380952,0.0952381,0.436508,0.0634921,1.77778,0.388889,2.11111,0.388889
2400,GOX,0,0,0.357143,1.72222,0.0873016,0.34127,0.0793651,0.293651,0.388889,1.77778,0.333333,1.44444
2450,GOX,0,1,0.0793651,0.388889,0.0238095,0.103175,0.103175,0.0555556,0.111111,0.5,0.555556,0.388889
2500,GOX,0,0,0.190476,0.888889,0.031746,0.222222,0.0793651,0.269841,0.111111,1,0.444444,1.33333
