iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,GrPX2,1,1,0.409836,4,0.176,0.288,0.325203,0.195122,2.3,2.9,3,2.3
50,GrPX2,1,1,0.42623,4.1,0.121951,0.333333,0.155738,0.442623,1.2,3.2,1.6,4.4
100,GrPX2,1,1,0.254098,2.3,0.162602,0.113821,0.163934,0.0901639,1.7,0.7,1.7,0.6
150,GrPX2,0,1,0.352459,3.4,0.0645161,0.298387,0.147541,0.344262,0.5,3.1,1.4,3.5
200,GrPX2,0,0,0.42623,4,0.145161,0.314516,0,0.42623,1.5,3,0,4
250,GrPX2,1,1,0.45082,5.4,0.128,0.36,0.0901639,0.434426,1.7,4.5,0.9,5.3
300,GrPX2,1,1,0.418033,4.3,0.146341,0.284553,0.245902,0.229508,2.2,2.3,3.1,2.4
350,GrPX2,1,1,0.418033,5.3,0.177419,0.274194,0.147541,0.401639,2.2,3.9,1.6,4.5
400,GrPX2,1,1,0.303279,2.9,0.096,0.24,0.0983607,0.360656,1.2,2.2,0.6,3
450,GrPX2,1,1,0.385246,4.4,0.0725806,0.33871,0.0327869,0.360656,0.8,3.9,0.3,4.3
500,GrPX2,1,0,0.155738,1.2,0.097561,0.0569106,0.0983607,0.0655738,0.8,0.5,0.9,0.6
550,GrPX2,1,1,0.0983607,0.7,0.0241935,0.0806452,0,0.0983607,0.3,0.6,0,0.7
600,GrPX2,0,0,0.139344,1.2,0.00813008,0.130081,0.0409836,0.0983607,0.1,1.2,0.3,0.9
650,GrPX2,1,0,0.42623,4.9,0.096,0.344,0.139344,0.418033,0.9,4.3,1,4.6
700,GrPX2,1,0,0.229508,1.9,0.113821,0.113821,0.106557,0.131148,1,1,0.9,1
750,GrPX2,1,0,0.377049,3.9,0.104839,0.298387,0.0409836,0.368852,1.2,3.2,0.3,4
800,GrPX2,1,1,0.0819672,0.6,0.0403226,0.0483871,0.0983607,0.122951,0.3,0.5,0.7,1.1
850,GrPX2,0,0,0.139344,0.9,0.00813008,0.130081,0.0409836,0.106557,0.1,0.9,0.3,0.7
900,GrPX2,1,0,0.286885,2.9,0.0806452,0.217742,0.131148,0.245902,0.9,2.3,1,2.5
950,GrPX2,1,1,0.147541,1.1,0.0403226,0.112903,0.0409836,0.106557,0.3,1,0.3,0.8
1000,GrPX2,1,0,0.122951,1.1,0.121951,0.0243902,0.122951,0,1.1,0.2,1.1,0
1050,GrPX2,0,1,0.221311,1.9,0.137097,0.0887097,0.204918,0.0163934,1.2,0.9,1.8,0.1
1100,GrPX2,1,0,0.188525,1.3,0.121951,0.0813008,0.122951,0.0655738,1,0.5,1,0.3
1150,GrPX2,1,0,0.352459,3.7,0.169355,0.217742,0.319672,0.122951,1.8,2.3,3,1.2
1200,GrPX2,1,1,0.270492,2.4,0.0406504,0.243902,0.204918,0.237705,0.2,2.3,2,2.3
1250,GrPX2,0,0,0.204918,1.9,0.057377,0.147541,0.0655738,0.180328,0.8,1.1,0.7,1.3
1300,GrPX2,0,1,0.139344,0.7,0.0731707,0.0731707,0.0983607,0.0409836,0.4,0.4,0.5,0.2
1350,GrPX2,1,1,0.0655738,0.4,0.00813008,0.0569106,0.0409836,0.0245902,0.1,0.4,0.3,0.1
1400,GrPX2,1,1,0.286885,3.4,0.0325203,0.292683,0.0901639,0.327869,0.4,3.3,0.8,3.6
1450,GrPX2,1,0,0.237705,1.9,0.0487805,0.195122,0.0409836,0.221311,0.2,1.8,0.3,2
1500,GrPX2,0,0,0.114754,0.8,0.0887097,0.0322581,0.0655738,0.057377,0.7,0.3,0.5,0.4
1550,GrPX2,0,0,0.286885,3,0.0813008,0.211382,0.0409836,0.245902,0.6,2.6,0.3,2.7
1600,GrPX2,1,1,0.057377,0.3,0.0163934,0.0409836,0.0163934,0.0409836,0.1,0.2,0.1,0.2
1650,GrPX2,0,0,0.131148,1.1,0.0403226,0.112903,0.0163934,0.114754,0.6,1,0.2,0.9
1700,GrPX2,1,0,0.270492,2.6,0.0894309,0.186992,0.057377,0.229508,0.6,2.1,0.4,2.2
1750,GrPX2,1,1,0.122951,1,0.0901639,0.0327869,0.0901639,0.0327869,0.7,0.3,0.7,0.3
1800,GrPX2,0,0,0.106557,1,0,0.106557,0,0.106557,0,1,0,1
1850,GrPX2,1,0,0.360656,4.3,0.137097,0.258065,0.229508,0.237705,2.2,3.4,2.7,2.3
1900,GrPX2,1,0,0.368852,4.3,0.145161,0.25,0.204918,0.286885,1.7,3,2.1,2.8
1950,GrPX2,1,1,0.237705,2.1,0.0491803,0.188525,0.0491803,0.188525,0.4,1.7,0.4,1.7
2000,GrPX2,1,0,0.327869,3.9,0.12,0.248,0.196721,0.319672,1.8,2.8,1.8,3.2
2050,GrPX2,0,0,0.352459,3.9,0.169355,0.225806,0.270492,0.180328,1.9,2.4,3,1.6
2100,GrPX2,1,0,0.327869,4,0.112903,0.241935,0.0819672,0.303279,1.1,3.3,0.7,3.7
2150,GrPX2,1,1,0.114754,0.7,0.0409836,0.0737705,0.0409836,0.0737705,0.3,0.4,0.3,0.4
2200,GrPX2,1,0,0.295082,3.4,0.113821,0.203252,0.204918,0.196721,1.5,2.3,2.4,2.1
2250,GrPX2,0,0,0.204918,2.1,0.162602,0.0813008,0.206612,0.256198,1.8,0.6,1.9,1.9
2300,GrPX2,0,0,0.278689,2.4,0.0655738,0.213115,0.0983607,0.188525,0.5,1.9,0.7,1.7
2350,GrPX2,1,1,0.188525,1.7,0.0813008,0.113821,0.0409836,0.147541,0.5,1.3,0.3,1.4
2400,GrPX2,0,0,0.180328,1.4,0.0731707,0.105691,0.0655738,0.139344,0.9,0.6,0.7,0.8
