iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,OX,0,0,0.395161,6.8,0.0806452,0.395161,0.201613,0.322581,1.2,7.06667,3.86667,5.06667
50,OX,1,0,0.354839,8,0.298387,0.120968,0.387097,0.145161,6.8,2.8,8.53333,1.6
100,OX,1,1,0.274194,6.8,0.282258,0.0241935,0.266129,0,7.06667,0.266667,6.8,0
150,OX,0,0,0.379032,7.06667,0.0725806,0.33871,0,0.379032,0.533333,7.2,0,7.06667
200,OX,1,0,0.266129,3.73333,0.129032,0.185484,0.16129,0.209677,2.26667,4,3.46667,4.8
250,OX,0,0,0.225806,3.86667,0.145161,0.193548,0.177419,0.209677,2.8,4.26667,2.26667,3.86667
300,OX,0,0,0.282258,6.4,0.0806452,0.282258,0.185484,0.266129,2.4,5.6,3.73333,5.6
350,OX,0,0,0.137097,1.33333,0.0483871,0.153226,0.104839,0.0806452,0.533333,1.46667,1.06667,0.666667
400,OX,0,0,0.292683,6,0.0806452,0.274194,0.0569106,0.292683,2.26667,5.73333,1.46667,5.33333
450,OX,0,0,0.290323,5.86667,0.0806452,0.290323,0.138211,0.308943,1.2,6.13333,2.66667,7.46667
500,OX,1,0,0.193548,1.86667,0.129032,0.16129,0.153226,0.0806452,1.46667,1.46667,1.46667,0.933333
550,OX,0,0,0.362903,5.46667,0.0564516,0.370968,0.0806452,0.370968,2,6,2.13333,5.33333
600,OX,0,0,0.25,5.46667,0.145161,0.153226,0.153226,0.145161,2.4,4.53333,2.13333,3.73333
650,OX,0,0,0.370968,6.26667,0.274194,0.193548,0.193548,0.370968,5.2,3.73333,2.8,6
700,OX,0,1,0.354839,5.73333,0.354839,0.0403226,0.346774,0.0645161,5.86667,0.4,5.6,0.533333
750,OX,0,0,0.290323,6.13333,0.137097,0.241935,0.177419,0.201613,2.4,6,2.8,4
800,OX,0,0,0.403226,8,0.201613,0.290323,0.300813,0.276423,5.6,4.13333,6.26667,4
850,OX,0,0,0.274194,4.26667,0.193548,0.169355,0.16129,0.16129,3.86667,2.4,2.53333,2.13333
900,OX,0,0,0.33871,7.6,0.25,0.193548,0.217742,0.233871,6.13333,7.2,4.66667,5.73333
950,OX,0,1,0.387097,7.33333,0.403226,0.0403226,0.282258,0.16129,6.8,0.666667,6.4,2.13333
1000,OX,0,0,0.282258,5.6,0.298387,0.0241935,0.266129,0.153226,6.13333,0.8,4.66667,2.26667
1050,OX,1,0,0.306452,4.26667,0.112903,0.274194,0.112903,0.241935,1.86667,3.73333,1.33333,3.6
1100,OX,0,1,0.0887097,0.933333,0.0483871,0.129032,0.0403226,0.0725806,1.73333,2.66667,0.8,1.73333
1150,OX,1,1,0.314516,6.26667,0.016129,0.330645,0,0.314516,0.133333,6.4,0,6.26667
1200,OX,1,1,0.274194,5.73333,0.0322581,0.298387,0,0.274194,0.4,5.86667,0,5.73333
1250,OX,0,0,0.333333,6.66667,0.112903,0.306452,0.154472,0.341463,1.46667,7.2,2,6.8
1300,OX,0,0,0.241935,5.46667,0.203252,0.0569106,0.219512,0.121951,4.66667,0.8,4.53333,1.73333
1350,OX,0,0,0.266129,4.4,0.241935,0.0967742,0.193548,0.169355,3.46667,2.4,3.2,4.13333
1400,OX,0,0,0.341463,5.2,0.274194,0.185484,0.314516,0.193548,5.46667,2.93333,6.66667,3.46667
1450,OX,0,0,0.203252,3.2,0.129032,0.193548,0.185484,0.0806452,1.86667,3.6,3.2,0.933333
1500,OX,0,0,0.379032,6.53333,0.137097,0.362903,0,0.379032,3.33333,7.2,0,6.53333
1550,OX,0,1,0.104839,1.6,0.112903,0.0806452,0.169355,0.120968,2.13333,1.73333,2.26667,1.6
1600,OX,0,0,0.217742,3.86667,0.016129,0.225806,0,0.217742,0.4,4,0,3.86667
1650,OX,0,1,0.314516,5.2,0.225806,0.129032,0.225806,0.137097,3.46667,3.86667,3.86667,2.26667
1700,OX,0,0,0.330645,7.6,0.233871,0.225806,0.177419,0.258065,4.8,5.33333,3.33333,5.33333
1750,OX,1,0,0.16129,4,0.153226,0,0.193548,0.0483871,4,0,4.4,0.4
1800,OX,0,0,0.387097,8.13333,0.112903,0.330645,0.112903,0.346774,2.13333,6.8,1.06667,7.46667
1850,OX,0,0,0.298387,5.73333,0.0564516,0.298387,0.0241935,0.282258,0.4,5.73333,0.4,5.73333
1900,OX,0,0,0.25,3.73333,0.112903,0.233871,0.129032,0.217742,1.86667,2.8,2.13333,3.06667
1950,OX,0,1,0.0806452,0.933333,0.0483871,0.0564516,0,0.0806452,0.8,0.933333,0,0.933333
2000,OX,0,1,0.346774,6.13333,0.233871,0.177419,0.153226,0.258065,3.6,3.86667,2.8,4.66667
