iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,PL,0,0,0.395161,6.8,0.298387,0.362903,0.33871,0.201613,3.33333,3.46667,5.46667,2.93333
50,PL,0,0,0.33871,6.53333,0.314516,0.354839,0.233871,0.282258,3.2,3.33333,4,4.13333
100,PL,0,0,0.258065,3.46667,0.209677,0.233871,0.225806,0.185484,1.73333,1.73333,4.26667,2.66667
150,PL,0,0,0.379032,6.93333,0.349593,0.357724,0.162602,0.284553,3.46667,3.46667,3.46667,5.06667
200,PL,0,0,0.193548,3.33333,0.137097,0.145161,0,0.193548,1.6,1.73333,0,3.33333
250,PL,0,1,0.209677,3.33333,0.137097,0.193548,0.0564516,0.177419,1.6,1.73333,1.73333,3.73333
300,PL,0,1,0.314516,5.73333,0.330645,0.274194,0.346774,0.0645161,2.8,2.93333,5.33333,1.06667
350,PL,0,1,0.217742,4.8,0.209677,0.209677,0.112903,0.177419,2.4,2.4,3.06667,2.66667
400,PL,0,0,0.274194,3.6,0.209677,0.225806,0.241935,0.145161,1.73333,1.86667,3.73333,2.13333
450,PL,0,0,0.266129,4.26667,0.201613,0.266129,0.201613,0.185484,2.13333,2.13333,4.13333,2.26667
500,PL,0,0,0.282258,5.06667,0.258065,0.266129,0.145161,0.153226,2.53333,2.53333,3.33333,2.4
550,PL,0,1,0.298387,6,0.290323,0.266129,0.137097,0.298387,2.93333,3.06667,2.93333,6.93333
600,PL,0,0,0.217742,5.33333,0.241935,0.25,0.0887097,0.241935,2.66667,2.66667,1.2,5.73333
650,PL,0,0,0.33871,5.86667,0.25,0.274194,0.153226,0.306452,2.93333,2.93333,1.73333,5.73333
700,PL,0,0,0.290323,3.73333,0.241935,0.201613,0.217742,0.209677,1.86667,1.86667,2.13333,2.4
750,PL,0,0,0.346774,5.86667,0.325203,0.333333,0.341463,0.260163,2.93333,2.93333,6,3.46667
800,PL,0,0,0.41129,6.53333,0.333333,0.365854,0.300813,0.252033,3.2,3.33333,5.73333,3.2
850,PL,0,0,0.258065,4.13333,0.193548,0.241935,0.217742,0.0887097,2,2.13333,3.73333,0.666667
900,PL,0,0,0.282258,5.2,0.266129,0.282258,0.241935,0.201613,2.53333,2.66667,3.73333,3.06667
950,PL,0,0,0.33871,6.93333,0.330645,0.33871,0.314516,0.201613,3.46667,3.46667,3.86667,4.13333
1000,PL,0,0,0.233871,3.6,0.169355,0.217742,0.0806452,0.25,1.73333,1.86667,0.533333,3.33333
1050,PL,0,0,0.322581,7.33333,0.346774,0.362903,0.322581,0.185484,3.6,3.73333,6.13333,2.66667
1100,PL,0,0,0.177419,2.66667,0.112903,0.185484,0.0887097,0.177419,1.33333,1.33333,1.86667,2.66667
1150,PL,0,0,0.225806,3.2,0.177419,0.169355,0.129032,0.193548,1.6,1.6,1.86667,1.73333
1200,PL,0,0,0.137097,1.33333,0.0967742,0.0564516,0.104839,0.120968,0.666667,0.666667,0.933333,1.46667
1250,PL,0,0,0.282258,3.73333,0.185484,0.217742,0.185484,0.193548,1.86667,1.86667,2.26667,2.66667
1300,PL,0,1,0.266129,5.46667,0.274194,0.25,0.0241935,0.282258,2.66667,2.8,0.4,5.6
1350,PL,0,0,0.25,5.33333,0.266129,0.217742,0.153226,0.185484,2.66667,2.66667,3.46667,4.4
1400,PL,0,0,0.0967742,1.2,0.0725806,0.0806452,0.104839,0.0322581,0.533333,0.666667,1.2,1.2
1450,PL,0,0,0.274194,5.6,0.314516,0.241935,0.233871,0.193548,2.8,2.8,3.33333,4.53333
1500,PL,0,0,0.225806,3.06667,0.169355,0.16129,0.177419,0.129032,1.46667,1.6,1.86667,1.6
1550,PL,1,1,0,0,0,0,0,0,0,0,0,0
1600,PL,0,0,0.290323,4.4,0.225806,0.258065,0.233871,0.120968,2.13333,2.26667,3.33333,1.73333
1650,PL,0,0,0.290323,3.73333,0.25,0.217742,0.217742,0.145161,1.86667,1.86667,3.73333,2.53333
1700,PL,0,0,0.25,3.6,0.193548,0.177419,0.0967742,0.193548,1.73333,1.86667,1.06667,2.93333
1750,PL,0,0,0.225806,3.73333,0.169355,0.193548,0.177419,0.0806452,1.86667,1.86667,3.33333,2
1800,PL,0,0,0.241935,3.2,0.169355,0.201613,0.129032,0.16129,1.6,1.6,1.33333,2.13333
1850,PL,0,0,0.145161,1.73333,0.0806452,0.0967742,0,0.145161,0.8,0.933333,0,1.73333
1900,PL,0,0,0.25,3.73333,0.225806,0.193548,0.0403226,0.233871,1.86667,1.86667,0.533333,3.6
1950,PL,0,0,0.354839,6.66667,0.349593,0.317073,0.284553,0.365854,3.33333,3.33333,4.66667,6.53333
2000,PL,0,1,0.177419,3.33333,0.169355,0.153226,0.0322581,0.169355,1.6,1.73333,0.266667,3.2
2050,PL,0,0,0.33871,7.6,0.33871,0.314516,0.129032,0.290323,3.73333,3.86667,4.13333,5.73333
2100,PL,0,1,0.177419,3.2,0.185484,0.177419,0.0403226,0.177419,1.6,1.6,0.666667,2.53333
2150,PL,0,0,0.266129,4.4,0.225806,0.290323,0.153226,0.25,2.13333,2.26667,2.4,4.26667
2200,PL,0,0,0.314516,4.93333,0.243902,0.317073,0.258065,0.258065,2.4,2.53333,3.86667,4.13333
2250,PL,0,1,0.258065,4,0.25,0.225806,0.185484,0.0725806,2,2,2.26667,1.73333
2300,PL,0,0,0.298387,4.53333,0.201613,0.217742,0.211382,0.138211,2.26667,2.26667,3.33333,2
2350,PL,0,0,0.322581,5.73333,0.298387,0.306452,0.169355,0.282258,2.8,2.93333,3.33333,4.53333
2400,PL,0,0,0.146341,2,0.105691,0.138211,0,0.146341,0.933333,1.06667,0,2
2450,PL,0,0,0.33871,5.33333,0.306452,0.266129,0.178862,0.203252,2.66667,2.66667,3.06667,2.8
2500,PL,0,0,0.105691,1.33333,0.0894309,0.0813008,0,0.105691,0.666667,0.666667,0,1.33333
2550,PL,0,0,0.322581,7.46667,0.362903,0.322581,0.258065,0.217742,3.73333,3.73333,3.86667,5.2
2600,PL,1,1,0.120968,2.13333,0.129032,0.145161,0.129032,0.0403226,1.06667,1.06667,1.73333,0.4
2650,PL,0,0,0.333333,6.93333,0.362903,0.362903,0.346774,0.153226,3.6,3.46667,6.93333,1.86667
2700,PL,0,1,0.241935,4.53333,0.193548,0.209677,0.233871,0,2.26667,2.26667,4.53333,0
2750,PL,0,0,0.185484,2.93333,0.16129,0.209677,0.137097,0.104839,1.46667,1.46667,2.13333,0.933333
2800,PL,0,0,0.252033,5.46667,0.274194,0.258065,0.217742,0.217742,2.66667,2.8,4.4,4
2850,PL,0,0,0.308943,7.46667,0.370968,0.387097,0.219512,0.365854,3.73333,3.73333,3.06667,8.26667
2900,PL,0,0,0.346774,6.4,0.290323,0.370968,0.314516,0.274194,3.2,3.2,5.86667,4.13333
2950,PL,0,0,0.227642,4.93333,0.193548,0.233871,0.0813008,0.211382,2.4,2.53333,2.13333,4.93333
3000,PL,0,0,0.185484,3.33333,0.177419,0.169355,0.169355,0.104839,1.6,1.73333,2.53333,1.06667
3050,PL,0,1,0.298387,6,0.290323,0.306452,0.33871,0.185484,2.93333,3.06667,5.86667,3.06667
3100,PL,0,0,0.300813,6.66667,0.298387,0.33871,0.233871,0.33871,3.33333,3.33333,3.6,6
3150,PL,0,0,0.314516,4.93333,0.274194,0.306452,0.185484,0.225806,2.4,2.53333,3.2,4.4
3200,PL,0,0,0.169355,2.53333,0.120968,0.137097,0.0887097,0.137097,1.2,1.33333,0.8,2
3250,PL,0,0,0.217742,2.8,0.177419,0.185484,0.145161,0.129032,1.33333,1.46667,2.13333,1.46667
3300,PL,0,0,0.306452,5.6,0.322581,0.290323,0.274194,0.209677,2.8,2.8,4.53333,3.46667
3350,PL,0,0,0.276423,4.93333,0.274194,0.282258,0.185484,0.217742,2.4,2.53333,3.6,4.53333
3400,PL,0,0,0.274194,5.86667,0.282258,0.290323,0.258065,0.209677,2.93333,2.93333,4.26667,4
3450,PL,0,1,0.201613,2.4,0.153226,0.169355,0.0806452,0.129032,1.2,1.2,0.933333,1.46667
3500,PL,0,0,0.306452,5.86667,0.25,0.298387,0.258065,0.290323,2.93333,2.93333,3.33333,5.06667
3550,PL,0,0,0.233871,4.53333,0.258065,0.282258,0.185484,0.0967742,2.26667,2.26667,3.2,1.6
3600,PL,0,0,0.341463,4.4,0.284553,0.284553,0.227642,0.260163,2.13333,2.26667,2.66667,3.33333
3650,PL,0,0,0.225806,4.26667,0.241935,0.185484,0.153226,0.185484,2.13333,2.13333,3.06667,3.2
3700,PL,0,1,0.233871,3.6,0.185484,0.201613,0.201613,0.16129,1.73333,1.86667,2.26667,2
3750,PL,0,0,0.0645161,0.666667,0.0403226,0.0483871,0.0645161,0,0.266667,0.4,0.666667,0
3800,PL,0,0,0.306452,4.93333,0.276423,0.211382,0.193548,0.298387,2.4,2.53333,2.4,4.93333
3850,PL,0,0,0.370968,6.13333,0.314516,0.298387,0.266129,0.258065,3.06667,3.06667,6.4,5.6
3900,PL,0,0,0.387097,6.4,0.322581,0.314516,0.382114,0.252033,3.2,3.2,7.33333,4
3950,PL,0,1,0.25,3.2,0.16129,0.177419,0.201613,0.0483871,1.6,1.6,2.66667,0.533333
4000,PL,0,0,0.427419,6.8,0.379032,0.330645,0.419355,0.25,3.33333,3.46667,7.86667,3.33333
4050,PL,0,0,0.322581,5.06667,0.274194,0.25,0.314516,0.0967742,2.53333,2.53333,5.46667,2.66667
4100,PL,0,0,0.243902,3.2,0.178862,0.154472,0.211382,0.0731707,1.6,1.6,3.73333,1.73333
4150,PL,0,0,0.330645,5.73333,0.290323,0.274194,0.16129,0.266129,2.8,2.93333,2.4,4
4200,PL,0,1,0.282258,6.26667,0.33871,0.322581,0.0322581,0.266129,3.06667,3.2,0.266667,6
4250,PL,1,1,0.193548,3.33333,0.209677,0.201613,0.153226,0.153226,1.6,1.73333,2.26667,2.26667
4300,PL,0,1,0.16129,2.13333,0.0887097,0.120968,0.16129,0.0725806,1.06667,1.06667,2,1.6
4350,PL,0,0,0.0645161,0.666667,0.0241935,0.0645161,0,0.0645161,0.266667,0.4,0,0.666667
4400,PL,0,0,0.258065,4.4,0.258065,0.209677,0.0725806,0.209677,2.13333,2.26667,1.86667,3.6
4450,PL,0,0,0.398374,8.53333,0.382114,0.398374,0.227642,0.300813,4.26667,4.26667,4,7.73333
4500,PL,0,0,0.306452,4.93333,0.274194,0.306452,0.225806,0.177419,2.4,2.53333,3.86667,2.26667
4550,PL,0,0,0.362903,6.93333,0.387097,0.370968,0.298387,0.241935,3.46667,3.46667,5.06667,4.8
4600,PL,0,0,0.258065,4.13333,0.233871,0.209677,0.266129,0.129032,2,2.13333,3.33333,1.6
4650,PL,0,0,0.243902,2.93333,0.169355,0.185484,0.177419,0.0967742,1.46667,1.46667,2.4,0.933333
4700,PL,0,0,0.258065,5.33333,0.282258,0.266129,0.16129,0.104839,2.66667,2.66667,3.6,1.73333
4750,PL,0,1,0.330645,6.13333,0.314516,0.314516,0.274194,0.282258,3.06667,3.06667,4.8,5.2
4800,PL,0,1,0.330645,5.86667,0.346774,0.306452,0.137097,0.258065,2.93333,2.93333,2,4.66667
4850,PL,0,0,0.266129,5.46667,0.25,0.217742,0.209677,0.233871,2.66667,2.8,2.93333,3.86667
4900,PL,0,0,0.322581,6,0.322581,0.282258,0.193548,0.290323,2.93333,3.06667,2.26667,5.6
4950,PL,0,0,0.258065,4.26667,0.225806,0.233871,0.233871,0.169355,2.13333,2.13333,4.53333,2.26667
5000,PL,0,0,0.243902,4,0.217742,0.169355,0.243902,0.211382,2,2,3.6,4.26667
5050,PL,0,0,0.325203,7.33333,0.341463,0.357724,0.266129,0.298387,3.6,3.73333,3.33333,6.13333
5100,PL,0,0,0.306452,6.8,0.354839,0.379032,0.201613,0.258065,3.33333,3.46667,4.13333,4.8
5150,PL,0,0,0.282258,5.2,0.252033,0.308943,0.170732,0.170732,2.53333,2.66667,3.86667,3.86667
5200,PL,0,0,0.346774,7.33333,0.322581,0.379032,0.185484,0.362903,3.6,3.73333,3.6,7.33333
5250,PL,0,1,0.330645,6.66667,0.33871,0.290323,0.258065,0.169355,3.33333,3.33333,3.86667,4.26667
5300,PL,0,0,0.233871,6,0.25,0.241935,0.322581,0.217742,2.93333,3.06667,6.53333,3.33333
5350,PL,0,1,0.25,5.2,0.225806,0.290323,0.0967742,0.225806,2.53333,2.66667,1.46667,4.93333
5400,PL,0,0,0.274194,4.8,0.241935,0.274194,0.203252,0.219512,2.4,2.4,3.6,3.06667
5450,PL,0,0,0.201613,2.8,0.177419,0.145161,0.16129,0.169355,1.33333,1.46667,2.53333,1.86667
5500,PL,0,0,0.276423,4.4,0.186992,0.211382,0.0731707,0.292683,2.13333,2.26667,0.8,4.13333
5550,PL,0,0,0.282258,5.2,0.258065,0.322581,0.16129,0.241935,2.53333,2.66667,2,4.4
5600,PL,0,0,0.298387,7.06667,0.330645,0.266129,0.298387,0.169355,3.46667,3.6,6,1.86667
5650,PL,0,0,0.354839,6.93333,0.365854,0.398374,0.219512,0.349593,3.46667,3.46667,3.86667,5.73333
5700,PL,0,0,0,0,0,0,0,0,0,0,0,0
5750,PL,0,0,0.185484,2.8,0.153226,0.16129,0.138211,0.138211,1.33333,1.46667,1.86667,2.13333
5800,PL,0,0,0.403226,6.53333,0.346774,0.33871,0.209677,0.387097,3.2,3.33333,3.46667,6.13333
5850,PL,1,1,0.145161,1.46667,0.112903,0.0967742,0,0.145161,0.666667,0.8,0,1.46667
5900,PL,0,0,0.25,4,0.217742,0.233871,0.169355,0.193548,2,2,1.86667,3.2
5950,PL,0,0,0.354839,6,0.346774,0.314516,0.282258,0.258065,2.93333,3.06667,3.6,4
6000,PL,0,0,0.266129,5.06667,0.258065,0.258065,0.233871,0.16129,2.53333,2.53333,4.13333,2.93333
6050,PL,0,0,0.362903,7.06667,0.33871,0.346774,0.274194,0.314516,3.46667,3.6,4.53333,7.2
6100,PL,0,1,0.306452,4.66667,0.241935,0.209677,0.241935,0.225806,2.26667,2.4,3.73333,2.26667
6150,PL,0,1,0.274194,5.2,0.274194,0.266129,0.274194,0,2.53333,2.66667,5.2,0
6200,PL,0,0,0.292683,7.06667,0.349593,0.349593,0.333333,0.243902,3.46667,3.6,7.33333,4.13333
6250,PL,0,0,0.169355,3.06667,0.219512,0.154472,0.170732,0.0813008,1.46667,1.6,2.8,0.933333
6300,PL,0,0,0.300813,6.4,0.333333,0.341463,0.105691,0.317073,3.2,3.2,1.33333,5.46667
6350,PL,0,0,0.284553,6.13333,0.290323,0.266129,0.266129,0.258065,3.06667,3.06667,6.4,6.66667
6400,PL,0,0,0.258065,3.33333,0.217742,0.217742,0.138211,0.203252,1.6,1.73333,1.46667,2.4
6450,PL,0,0,0.427419,8.8,0.379032,0.443548,0.177419,0.443548,4.4,4.4,2.4,9.06667
6500,PL,0,0,0.306452,6.53333,0.306452,0.322581,0.16129,0.290323,3.2,3.33333,2.26667,5.06667
6550,PL,0,0,0.300813,5.6,0.260163,0.219512,0.300813,0.260163,2.8,2.8,4.93333,3.46667
