iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,PMX,0,1,0.314516,6.8,0.274194,0.225806,0.153226,0.346774,6.13333,4.53333,2.53333,6.13333
50,PMX,0,0,0.306452,6.13333,0.137097,0.33871,0.104839,0.298387,1.6,6,0.933333,5.86667
100,PMX,0,0,0.298387,4.66667,0.129032,0.217742,0.137097,0.274194,2,3.46667,1.73333,5.06667
150,PMX,0,0,0.169355,3.2,0.193548,0.0241935,0.169355,0,3.2,0.133333,3.2,0
200,PMX,0,0,0.387097,7.73333,0.217742,0.395161,0.137097,0.387097,4.26667,8.13333,3.2,8
250,PMX,0,0,0.322581,6.8,0.233871,0.298387,0.129032,0.25,4.26667,5.33333,3.86667,3.86667
300,PMX,0,0,0.330645,5.06667,0.0806452,0.362903,0.0887097,0.322581,0.933333,5.06667,1.06667,4.8
350,PMX,0,0,0.266129,4.93333,0.209677,0.209677,0.193548,0.217742,3.2,3.46667,2,4.53333
400,PMX,0,0,0.169355,2.66667,0.112903,0.0967742,0.185484,0.0564516,2,1.2,2.4,0.8
450,PMX,0,1,0.274194,4.8,0.193548,0.233871,0.145161,0.298387,4,6,2.26667,5.06667
500,PMX,0,0,0,0,0,0,0,0,0,0,0,0
550,PMX,0,1,0.346774,6.4,0.145161,0.346774,0.104839,0.322581,2.4,6,1.06667,6.4
600,PMX,0,0,0.298387,5.06667,0.169355,0.225806,0.0887097,0.298387,2.53333,3.33333,2.13333,5.06667
650,PMX,1,1,0.241935,2.66667,0.0725806,0.209677,0.0564516,0.185484,1.06667,2.13333,0.933333,1.73333
700,PMX,0,0,0.258065,4.26667,0.233871,0.193548,0.169355,0.169355,4,3.33333,3.06667,2.53333
750,PMX,0,0,0.290323,6.66667,0.260163,0.243902,0.219512,0.227642,4.53333,3.2,6.8,4.66667
800,PMX,0,0,0.129032,1.6,0.153226,0.0322581,0.129032,0,1.86667,0.266667,1.6,0
850,PMX,0,0,0.314516,6.53333,0.145161,0.322581,0.120968,0.33871,3.06667,6.66667,1.73333,6.53333
900,PMX,0,0,0.362903,7.6,0.0725806,0.395161,0.0806452,0.403226,1.33333,7.86667,1.73333,7.46667
950,PMX,0,0,0.314516,6.26667,0.217742,0.201613,0.225806,0.217742,4.66667,3.33333,3.6,3.33333
1000,PMX,0,0,0.241935,3.86667,0.282258,0.0403226,0.298387,0.120968,4.4,0.533333,5.46667,1.73333
1050,PMX,0,1,0.258065,4.93333,0.266129,0.0322581,0.25,0,5.06667,0.533333,4.93333,0
1100,PMX,0,0,0.346774,5.2,0.217742,0.225806,0.225806,0.201613,3.06667,2.93333,3.6,2.53333
1150,PMX,0,0,0.260163,4.53333,0.258065,0.185484,0.154472,0.178862,5.06667,2.4,2.26667,2.53333
1200,PMX,0,0,0.33871,8.13333,0.193548,0.290323,0.225806,0.258065,3.86667,4.66667,5.2,5.33333
1250,PMX,0,0,0.300813,5.73333,0.169355,0.282258,0.186992,0.186992,2.93333,4.66667,3.2,3.6
1300,PMX,0,0,0.282258,8.13333,0.104839,0.290323,0.0483871,0.266129,1.33333,6.66667,0.533333,7.73333
1350,PMX,0,0,0.317073,6.66667,0.217742,0.266129,0.162602,0.268293,4.8,4.13333,2.53333,5.86667
1400,PMX,0,0,0.362903,7.33333,0.25,0.322581,0.266129,0.306452,4.66667,6.8,3.33333,8
1450,PMX,0,0,0.306452,4.53333,0.137097,0.282258,0.104839,0.282258,1.6,4.4,1.46667,4.4
1500,PMX,0,0,0.300813,6.26667,0.105691,0.252033,0,0.300813,1.06667,5.46667,0,6.26667
1550,PMX,0,0,0.33871,5.33333,0.322581,0.112903,0.282258,0.193548,4.93333,1.33333,4.8,2.26667
1600,PMX,1,0,0.290323,4.93333,0.0403226,0.274194,0.0322581,0.274194,0.933333,4.53333,0.4,4.66667
1650,PMX,1,0,0.225806,3.73333,0.120968,0.282258,0.169355,0.298387,1.33333,4.66667,2.66667,5.86667
1700,PMX,1,1,0.330645,7.73333,0.225806,0.193548,0.177419,0.177419,5.6,3.46667,4.13333,4.13333
1750,PMX,0,0,0.354839,6.53333,0.235772,0.308943,0.219512,0.325203,4.26667,5.73333,4.4,4.8
1800,PMX,0,0,0.217742,3.73333,0.0725806,0.193548,0.0806452,0.177419,1.46667,3.2,1.2,3.46667
1850,PMX,0,0,0.217742,2.93333,0.145161,0.169355,0.0483871,0.193548,1.73333,2.4,0.4,2.93333
1900,PMX,0,1,0.258065,4.8,0.0645161,0.241935,0.129032,0.217742,0.8,4.53333,1.33333,4.66667
1950,PMX,0,0,0.33871,7.73333,0.0967742,0.354839,0.177419,0.290323,2.13333,7.86667,1.6,6.93333
2000,PMX,0,0,0.209677,2.8,0.0645161,0.233871,0.145161,0.274194,1.2,3.86667,2.66667,4.93333
2050,PMX,0,0,0.354839,7.2,0.282258,0.217742,0.387097,0.185484,6.26667,4.26667,6.26667,2.53333
2100,PMX,0,0,0.370968,6.4,0.0645161,0.395161,0.178862,0.292683,0.933333,6.4,1.6,5.6
2150,PMX,0,0,0.298387,5.06667,0.177419,0.217742,0.201613,0.209677,2.4,4,3.2,3.6
2200,PMX,0,0,0.306452,6.53333,0.104839,0.314516,0.112903,0.25,1.86667,6,2.13333,5.73333
2250,PMX,0,0,0.130081,1.86667,0.0564516,0.120968,0,0.130081,0.8,1.6,0,1.86667
2300,PMX,1,0,0.217742,4.93333,0.0725806,0.258065,0.243902,0.317073,1.73333,5.06667,4,5.6
2350,PMX,0,0,0.314516,5.73333,0.129032,0.274194,0.0967742,0.258065,2,4.93333,1.73333,5.06667
2400,PMX,1,0,0.266129,5.06667,0.290323,0.0806452,0.298387,0.0483871,5.06667,0.8,5.33333,0.4
2450,PMX,0,0,0.362903,6,0.104839,0.387097,0.209677,0.314516,2.13333,6.13333,3.06667,4.26667
2500,PMX,0,0,0.330645,5.6,0.120968,0.33871,0.203252,0.317073,2.8,7.46667,3.6,6.53333
2550,PMX,0,1,0.201613,3.46667,0.153226,0.120968,0.0725806,0.137097,2.13333,2,0.933333,2.53333
2600,PMX,0,0,0.317073,7.06667,0.225806,0.274194,0.185484,0.169355,3.06667,5.06667,3.6,4.26667
2650,PMX,0,1,0.274194,5.2,0.16129,0.298387,0.145161,0.129032,2.93333,5.33333,2.66667,2.8
2700,PMX,0,0,0.266129,6.53333,0.0806452,0.266129,0,0.266129,1.06667,6.53333,0,6.53333
2750,PMX,0,1,0.274194,6.93333,0.25,0.241935,0.185484,0.185484,4.13333,4.26667,5.2,3.86667
2800,PMX,0,0,0.314516,5.86667,0.0564516,0.298387,0.0483871,0.314516,0.4,5.86667,0.4,6
2850,PMX,0,0,0.105691,0.933333,0.105691,0.0731707,0.105691,0,1.33333,1.33333,0.933333,0
2900,PMX,0,0,0.284553,6.13333,0.0403226,0.290323,0.0487805,0.292683,0.266667,6,0.533333,6.4
2950,PMX,1,1,0.233871,4,0.0564516,0.233871,0,0.233871,1.2,3.46667,0,4
3000,PMX,0,0,0.241935,4.4,0.177419,0.217742,0.217742,0.258065,3.2,2.66667,3.46667,3.86667
3050,PMX,0,0,0.362903,6,0.290323,0.241935,0.290323,0.225806,4.53333,3.33333,5.33333,3.73333
3100,PMX,0,0,0.241935,5.06667,0.177419,0.225806,0.169355,0.241935,3.2,3.73333,2.53333,3.6
3150,PMX,0,0,0.193548,2.8,0.225806,0.0564516,0.193548,0,2.93333,0.4,2.8,0
3200,PMX,0,0,0.419355,9.06667,0.274194,0.33871,0.185484,0.395161,5.46667,8.13333,3.73333,8.66667
3250,PMX,0,0,0.395161,7.2,0.0322581,0.395161,0,0.395161,0.266667,7.06667,0,7.2
3300,PMX,0,0,0.354839,7.86667,0.0887097,0.370968,0.0967742,0.370968,1.2,7.46667,1.46667,7.46667
3350,PMX,0,0,0.314516,3.73333,0.145161,0.25,0.0967742,0.217742,1.73333,2.66667,1.2,2.93333
3400,PMX,0,0,0.274194,5.86667,0.146341,0.219512,0.113821,0.260163,3.46667,4.4,4,6
3450,PMX,0,0,0.314516,5.46667,0.137097,0.314516,0.0645161,0.314516,2.4,5.86667,0.4,5.33333
3500,PMX,0,0,0.354839,5.46667,0.169355,0.298387,0.225806,0.266129,2.13333,4.4,2.53333,4.26667
3550,PMX,0,0,0.193548,4.4,0.0322581,0.185484,0.0564516,0.193548,0.4,4.26667,0.8,4.4
3600,PMX,0,0,0.233871,3.73333,0.112903,0.209677,0.120968,0.25,1.33333,3.06667,1.86667,4.26667
3650,PMX,0,0,0.276423,5.46667,0.170732,0.235772,0.130081,0.170732,2.66667,4.53333,1.73333,3.86667
3700,PMX,0,0,0.097561,1.33333,0.0731707,0.121951,0.178862,0.121951,1.33333,1.73333,3.06667,2.13333
3750,PMX,0,1,0.33871,6.8,0.137097,0.354839,0.104839,0.298387,2.13333,6.8,1.86667,4.8
3800,PMX,0,0,0.414634,9.06667,0.138211,0.382114,0.0406504,0.390244,1.86667,8.26667,0.4,8.8
3850,PMX,0,1,0.427419,9.33333,0.379032,0.266129,0.217742,0.443548,6.8,4.8,3.2,9.2
3900,PMX,0,0,0.362903,7.73333,0.290323,0.169355,0.185484,0.306452,6.13333,5.2,3.6,6.93333
3950,PMX,0,0,0.387097,9.6,0.209677,0.41129,0.178862,0.365854,4,9.46667,3.86667,8.8
4000,PMX,1,1,0.268293,5.73333,0.274194,0.0322581,0.266129,0,6.13333,0.533333,5.73333,0
4050,PMX,0,0,0.306452,7.33333,0.266129,0.314516,0.268293,0.219512,5.2,5.6,5.06667,3.2
4100,PMX,0,0,0.379032,4.66667,0.419355,0.0645161,0.41129,0.145161,4.93333,0.533333,6,2.66667
4150,PMX,0,1,0.354839,5.6,0.201613,0.274194,0.185484,0.193548,2.66667,3.6,3.46667,3.06667
4200,PMX,0,0,0.325203,6.8,0.130081,0.317073,0.113821,0.252033,2.26667,6.4,1.33333,5.86667
4250,PMX,1,1,0.330645,6.13333,0.137097,0.298387,0.185484,0.33871,2.53333,4.53333,4.93333,8.93333
4300,PMX,0,1,0.25,4.66667,0.145161,0.201613,0.120968,0.16129,2.26667,3.46667,2.26667,2.93333
4350,PMX,0,0,0.233871,4.4,0.112903,0.177419,0.137097,0.153226,1.73333,3.06667,2.4,2.26667
4400,PMX,0,0,0.217742,3.33333,0.120968,0.129032,0.120968,0.145161,1.46667,2.13333,1.46667,2.4
4450,PMX,0,0,0,0,0,0,0.0403226,0.0403226,0,0,0.266667,0.266667
4500,PMX,0,0,0.33871,6,0.373984,0.121951,0.341463,0,5.06667,1.86667,6,0
4550,PMX,0,0,0.403226,7.73333,0.129032,0.419355,0.169355,0.435484,3.33333,8.13333,4,8.93333
4600,PMX,0,0,0.370968,7.06667,0.0806452,0.362903,0.209677,0.25,2.4,6.8,4.4,3.86667
4650,PMX,0,1,0.314516,6.66667,0.112903,0.346774,0.104839,0.314516,1.6,7.06667,1.6,6.93333
4700,PMX,0,0,0.346774,7.73333,0.153226,0.290323,0.177419,0.298387,2,5.73333,1.6,6.53333
4750,PMX,0,0,0.306452,7.6,0.16129,0.266129,0.129032,0.266129,3.06667,5.73333,2.8,6.26667
4800,PMX,0,0,0.317073,6.4,0.225806,0.298387,0.129032,0.274194,4.4,5.6,2.53333,5.86667
4850,PMX,0,1,0.314516,5.46667,0.298387,0.201613,0.209677,0.145161,4.66667,2.93333,3.33333,2.53333
4900,PMX,0,0,0.314516,8.13333,0.145161,0.266129,0.120968,0.274194,3.73333,5.46667,2.66667,6.13333
4950,PMX,0,0,0.341463,7.33333,0.225806,0.290323,0.153226,0.241935,3.6,5.2,3.46667,3.86667
5000,PMX,0,0,0.268293,7.2,0.16129,0.274194,0.153226,0.193548,3.33333,6.8,3.73333,5.33333
5050,PMX,0,0,0.373984,7.2,0.382114,0.097561,0.365854,0,7.2,1.2,7.2,0
5100,PMX,0,0,0.266129,4.66667,0.274194,0.0967742,0.217742,0.0564516,4.26667,1.46667,3.73333,0.933333
5150,PMX,0,0,0.362903,6.13333,0.274194,0.306452,0.120968,0.354839,4,5.06667,2.13333,7.46667
5200,PMX,0,0,0.260163,5.86667,0.112903,0.290323,0.129032,0.258065,2.93333,6.13333,2.26667,6
