iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,EAX,0,1,0.416,12.9091,0.057377,0.385246,0.376,0.4,14.7273,17.6364,12.3636,12.9091
50,EAX,0,1,0.4,11.8182,0.0409836,0.385246,0.392,0.408,14.9091,14.9091,10.5455,14.5455
100,EAX,0,1,0.44,14.9091,0.203252,0.276423,0.408,0.36,9.27273,12,12.9091,10.5455
150,EAX,0,1,0.416,12.7273,0.0655738,0.360656,0.464,0.432,11.6364,17.6364,11.8182,12.1818
200,EAX,0,1,0.488,14.1818,0.057377,0.491803,0.472,0.376,15.2727,17.0909,12,13.8182
250,EAX,0,1,0.424,11.6364,0.252033,0.227642,0.4,0.408,10.9091,11.0909,12,12.1818
300,EAX,0,1,0.36,8.90909,0.377049,0.0245902,0.28,0.392,16.5455,10.1818,7.45455,9.63636
350,EAX,0,1,0.368,11.2727,0.0737705,0.327869,0.232,0.376,10.1818,15.4545,6.18182,12
400,EAX,0,1,0.384,8.90909,0.0322581,0.403226,0.36,0.472,7.27273,13.0909,10.7273,13.4545
450,EAX,0,1,0.4,11.6364,0.0409836,0.393443,0.376,0.36,10.7273,16.5455,8.54545,12.7273
500,EAX,0,1,0.36,6,0.139344,0.270492,0.312,0.376,11.4545,13.8182,9.27273,10.7273
550,EAX,0,1,0.352,7.09091,0.106557,0.295082,0.336,0.48,10.7273,11.6364,9.09091,12.3636
600,EAX,1,1,0,0,0,0,0,0,0,0,0,0
650,EAX,1,1,0,0,0,0,0,0,0,0,0,0
700,EAX,0,1,0.456,12.7273,0.0901639,0.393443,0.44,0.432,10.3636,16.3636,11.8182,13.8182
750,EAX,0,1,0.376,8.36364,0.311475,0.0983607,0.472,0.4,16,14.9091,13.6364,11.0909
800,EAX,0,1,0.472,12,0.120968,0.370968,0.44,0.416,8.54545,13.2727,12,9.45455
850,EAX,0,1,0.416,10.9091,0.385246,0.057377,0.464,0.44,17.2727,11.6364,14.3636,11.0909
900,EAX,0,1,0.368,10.1818,0.0409836,0.344262,0.36,0.384,11.6364,17.4545,13.2727,11.6364
950,EAX,0,1,0.352,11.6364,0.319672,0.0655738,0.352,0.36,16.9091,11.4545,9.45455,7.09091
1000,EAX,0,1,0.408,9.81818,0.0406504,0.398374,0.344,0.376,8.36364,13.8182,7.63636,10
1050,EAX,0,1,0.392,9.63636,0.0409836,0.393443,0.432,0.376,10.3636,16.1818,11.4545,12.9091
1100,EAX,0,0,0.376,11.0909,0.0901639,0.311475,0.344,0.392,13.4545,15.6364,9.45455,10.3636
1150,EAX,0,0,0.4,12.5455,0.0409836,0.393443,0.432,0.44,10,15.2727,12.1818,9.63636
1200,EAX,0,1,0.379032,10.5455,0.0247934,0.38843,0.352,0.344,12.3636,18,11.4545,13.4545
1250,EAX,0,1,0.288,6.90909,0.0409836,0.286885,0.352,0.392,12.1818,15.4545,7.63636,8.90909
1300,EAX,0,0,0.376,13.8182,0.0491803,0.360656,0.258065,0.346774,10.1818,16.3636,10.5455,12.5455
1350,EAX,0,0,0.424,11.6364,0.0655738,0.385246,0.346774,0.330645,10.5455,18.3636,13.8182,11.0909
1400,EAX,0,0,0.456,10.5455,0.0491803,0.434426,0.459677,0.387097,10.1818,15.2727,12.9091,13.8182
1450,EAX,0,1,0.352,7.45455,0.0406504,0.349593,0.424,0.32,6.36364,12.9091,12,9.81818
1500,EAX,0,0,0.368,10.5455,0.0409836,0.360656,0.362903,0.443548,10.7273,15.0909,12.1818,14.7273
1550,EAX,0,0,0.368,10.9091,0.0819672,0.344262,0.282258,0.427419,11.0909,16.1818,8,9.09091
1600,EAX,0,0,0.336,10,0.0491803,0.319672,0.274194,0.395161,10,15.2727,8.54545,11.2727
1650,EAX,0,1,0.4,11.8182,0.0409836,0.377049,0.32,0.416,14,18.1818,8.36364,11.6364
1700,EAX,0,0,0.408,10.7273,0.327869,0.114754,0.376,0.272,13.2727,12,13.4545,6.90909
1750,EAX,0,0,0.36,9.81818,0.0322581,0.354839,0.379032,0.298387,6.36364,14.1818,7.45455,9.27273
